代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12678151.3200000022
真實報酬,2678151.3200000022
趨勢值,0.1659232960

選擇檔數,6
找到最佳解世代,2207
找到最佳解實驗,1
Stock#,JNJ,KO,MMM,MSFT,V,WBA,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,29203,67778,27439,69328,109649,56805,
剩餘資金,50.7900000000,4.9800000000,21.1399999999,20.8800000001,1.2000000001,7.3000000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1634834.7300000000,1656499.3000000000,1653220.8899999999,1620216.2400000002,1646929.1800000002,1630310.8000000000,9842015.1400000006,
FS(3),1653524.6499999999,1660565.9800000000,1664745.2700000000,1608430.4800000000,1663376.5300000003,1676322.8500000001,9926969.7600000016,
FS(4),1642135.4800000000,1648365.9399999999,1612336.7799999998,1561980.7200000002,1637060.7700000003,1639399.6000000001,9741283.2900000010,
FS(5),1666958.0300000000,1644299.2600000000,1619470.9199999999,1564060.5600000001,1630481.8300000001,1690524.1000000001,9815798.7000000011,
FS(6),1655568.8599999999,1651077.0600000001,1621391.6499999999,1555741.2000000002,1656797.5900000001,1668938.2000000000,9809518.5600000005,
FS(7),1662577.5800000001,1637521.4600000000,1640598.9500000000,1552274.8000000000,1641446.7300000002,1638263.5000000000,9772687.0200000014,
FS(8),1685647.9500000000,1662599.3200000001,1659806.2500000000,1610510.3200000001,1654604.6100000001,1665529.9000000001,9938702.3500000015,
FS(9),1700541.4800000000,1670732.6799999999,1663647.7100000000,1602190.9600000002,1652411.6300000001,1670074.3000000000,9959602.7599999998,
FS(10),1721859.6700000002,1712755.0400000000,1701239.1399999999,1672212.2400000002,1717104.5400000003,1703589.2500000000,10228763.8800000008,
FS(11),1730328.5400000000,1721566.1799999999,1739653.7399999998,1694397.2000000002,1765350.1000000003,1669506.2500000000,10320806.0099999998,
FS(12),1729744.4800000000,1705299.4600000000,1726483.0200000000,1683998.0000000000,1756578.1800000002,1693932.4000000001,10296039.5400000010,
FS(13),1724779.9700000002,1729699.5400000000,1751726.8999999999,1700636.7200000002,1839911.4200000004,1708133.6500000001,10454892.2000000011,
FS(14),1737337.2600000000,1706655.0200000000,1761604.9399999999,1721435.1200000001,1841007.9100000001,1701885.1000000001,10469929.3500000015,
FS(15),1728576.3599999999,1665310.4399999999,1774501.2700000000,1719355.2800000003,1832235.9900000002,1692796.3000000000,10412779.6400000025,
FS(16),1758655.4500000000,1666666.0000000000,1905110.9100000001,1772044.5600000001,1842104.4000000004,1689388.0000000000,10633973.3200000003,
FS(17),1796327.3200000001,1672766.0200000000,1904836.5200000000,1625762.4800000000,1844297.3800000001,1728015.4000000001,10572009.1200000010,
FS(18),1789318.6000000001,1678188.2600000000,1918281.6299999999,1602190.9600000002,1869516.6500000004,1725175.1500000001,10582675.2500000000,
FS(19),1779097.5500000000,1674121.5799999998,1917458.4599999997,1627149.0400000000,1817981.6200000001,1718358.5500000000,10534170.8000000007,
FS(20),1786106.2700000000,1670054.8999999999,1885629.2200000000,1650027.2800000003,1831139.5000000000,1746761.0500000000,10569722.2200000007,
FS(21),1804504.1599999999,1683610.5000000000,1918007.2400000000,1650720.5600000001,1842104.4000000004,1761530.3500000001,10660481.2100000009,
FS(22),1778221.4600000000,1689032.7400000000,1935019.4199999997,1630615.4400000002,1793858.8400000001,1763802.5500000000,10590554.4500000011,
FS(23),1784354.0900000001,1680899.3800000001,1979470.5999999999,1652107.1200000001,1894735.9200000004,1766074.7500000000,10757645.8600000013,
FS(24),1783185.9700000002,1677510.4800000000,1976452.3099999998,1647947.4400000002,1893639.4300000002,1726311.2500000000,10705050.8800000008,
FS(25),1765372.1400000001,1666666.0000000000,1970964.5099999998,1650720.5600000001,1874999.1000000003,1718926.6000000001,10647652.9100000020,
FS(26),1750186.5800000001,1674121.5799999998,1986604.7400000000,1626455.7600000002,1881578.0400000003,1734263.9500000002,10653214.6500000022,
FS(27),1749310.4900000000,1672088.2400000000,2000324.2400000000,1633388.5600000001,1895832.4100000001,1745056.8999999999,10696004.8399999999,
FS(28),1773256.9500000000,1675477.1399999999,1945720.6299999999,1623682.6400000001,1888156.9800000000,1745056.8999999999,10651355.2400000002,
FS(29),1758655.4500000000,1661921.5400000000,1957519.3999999999,1603577.5200000000,1880481.5500000000,1746193.0000000000,10608352.4599999990,
FS(30),1769460.5600000001,1642265.9199999999,1984684.0099999998,1631308.7200000002,1876095.5900000001,1779139.9000000001,10682958.7000000011,
