代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12018200.2400000002
真實報酬,2018200.2400000002
趨勢值,0.1115170420

選擇檔數,3
找到最佳解世代,1782
找到最佳解實驗,1
Stock#,JNJ,WMT,XOM,
分配資金,3333333,3333333,3333333,
張數,33174,54235,43032,
剩餘資金,9.4799999999,49.9000000000,74.2800000003,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3347266.0800000001,3412516.1000000001,3361734.1200000006,10121517.3000000007,
FS(3),3330347.3399999999,3446684.1499999999,3333763.3200000003,10110795.8099999987,
FS(4),3291533.7599999998,3526951.9500000002,3280403.6400000006,10098890.3499999996,
FS(5),3256369.3199999998,3446141.7999999998,3214134.3600000003,9916646.4800000004,
FS(6),3236796.6599999997,3483021.5999999996,3171102.3600000003,9890921.6199999992,
FS(7),3259023.2399999998,3450480.5999999996,3236080.6800000002,9945585.5199999996,
FS(8),3218550.9600000000,3358281.1000000001,3255445.0800000005,9832278.1400000006,
FS(9),3280586.3399999999,3420109.0000000000,3404766.1200000006,10105462.4600000009,
FS(10),3217887.4800000000,3358823.4499999997,3338496.8400000003,9915208.7699999996,
FS(11),3234474.4800000000,3392991.5000000000,3287719.0800000005,9915186.0600000005,
FS(12),3176419.9800000000,3299707.3000000003,3149156.0400000005,9625284.3200000003,
FS(13),3182723.0400000000,3356111.7000000002,3188745.4800000000,9727581.2200000007,
FS(14),3209593.9800000000,3400042.0499999998,3295034.5200000000,9904671.5499999989,
FS(15),3197983.0800000001,3441260.6499999999,3183581.6400000006,9822826.3700000010,
FS(16),3356554.8000000003,3471089.8999999999,3300628.6800000002,10128274.3800000008,
FS(17),3389065.3199999998,3468378.1499999999,3239953.5600000005,10097398.0300000012,
FS(18),3392714.4600000000,3483021.5999999996,3313107.9600000000,10188845.0199999996,
FS(19),3464702.0400000000,3599084.5000000000,3350115.4800000000,10413903.0199999996,
FS(20),3462379.8600000003,3660912.3999999999,3282985.5600000005,10406278.8200000022,
FS(21),3430532.8199999998,3626202.0000000000,3209831.1600000006,10266566.9800000004,
FS(22),3454749.8399999999,3594203.3499999996,3377225.6400000006,10426179.8300000001,
FS(23),3446788.0800000001,3602338.6000000001,3435318.8400000003,10484446.5199999996,
FS(24),3335323.4400000004,3633794.8999999999,3446076.8400000003,10415196.1800000016,
FS(25),3383757.4800000000,3628371.4000000004,3492551.3999999999,10504681.2799999993,
FS(26),3382762.2599999998,3569255.2500000000,3446076.8400000003,10398095.3499999996,
FS(27),3374800.5000000000,3568170.5500000003,3414663.4800000000,10357635.5299999993,
FS(28),3373805.2800000003,3542680.0999999996,3425421.4800000000,10341907.8599999994,
FS(29),3377786.1599999997,3589322.2000000002,3486957.2400000002,10454066.6000000015,
FS(30),3394373.1599999997,3574136.4000000004,3495133.3200000003,10463643.8799999990,
FS(31),3400344.4800000000,3585525.7500000000,3528698.2800000003,10514569.5099999998,
FS(32),3458067.2399999998,3477598.1000000001,3548062.6800000002,10483729.0199999996,
FS(33),3455413.3199999998,3506884.9999999995,3550214.2800000003,10512513.5999999996,
FS(34),3474985.9800000000,3559492.9499999997,3545480.7600000002,10579960.6899999995,
FS(35),3452759.3999999999,3605592.7000000002,3495563.6400000006,10553916.7400000002,
FS(36),3481952.5199999996,3640303.1000000001,3508042.9199999999,10630299.5400000010,
FS(37),3529059.5999999996,3690199.3000000003,3529128.6000000006,10748388.5000000000,
FS(38),3509155.2000000002,3607219.7500000000,3517940.2800000003,10634316.2300000004,
FS(39),3490246.0199999996,3597999.8000000003,3449089.0800000005,10537335.9000000004,
FS(40),3556925.7599999998,3604507.9999999995,3497715.2400000002,10659150.0000000000,
FS(41),3550954.4400000004,3590949.2499999995,3558820.6800000002,10700725.3700000010,
FS(42),3538016.5800000001,3587152.7999999998,3545911.0800000005,10671081.4600000009,
FS(43),3533040.4800000000,3621863.2000000002,3541177.5600000005,10696082.2400000002,
FS(44),3541002.2399999998,3682064.0499999998,3634557.0000000000,10857624.2899999991,
FS(45),3523751.7599999998,3690199.3000000003,3555808.4399999999,10769760.5000000000,
FS(46),3544319.6400000001,3662539.4500000002,3545911.0800000005,10752771.1699999999,
FS(47),3554271.8399999999,3656031.2499999995,3536444.0400000005,10746748.1300000008,
FS(48),3573181.0199999996,3643014.8500000001,3536874.3600000003,10753071.2299999986,
FS(49),3571522.3199999998,3653319.5000000000,3546341.3999999999,10771184.2199999988,
FS(50),3574839.7200000002,3692911.0500000003,3563984.5200000000,10831736.2900000010,
FS(51),3563228.8199999998,3687487.5499999998,3566136.1200000006,10816853.4900000002,
FS(52),3541002.2399999998,3658200.6499999999,3619065.4800000000,10818269.3699999992,
FS(53),3566214.4800000000,3631083.1499999999,3623368.6800000002,10820667.3100000005,
FS(54),3558916.2000000002,3686402.8499999996,3598410.1200000006,10843730.1699999999,
FS(55),3562233.5999999996,3680979.3500000001,3619926.1200000006,10863140.0700000003,
FS(56),3599388.4800000000,3658742.9999999995,3604004.2800000003,10862136.7599999998,
FS(57),3593085.4199999999,3688029.8999999999,3613901.6400000006,10895017.9599999990,
FS(58),3590431.5000000000,3694538.1000000001,3624229.3200000003,10909199.9199999999,
FS(59),3620619.8399999999,3689656.9500000002,3637569.2400000002,10947847.0300000012,
FS(60),3615312.0000000000,3731417.8999999999,3637138.9199999999,10983869.8200000003,
FS(61),3589436.2800000003,3714605.0499999998,3597119.1600000006,10901161.4900000002,
FS(62),3622278.5400000000,3745519.0000000000,3570009.0000000000,10937807.5399999991,
FS(63),3602374.1400000001,3747688.3999999994,3578615.3999999999,10928678.9399999995,
FS(64),3614316.7800000003,3722740.2999999998,3537735.0000000000,10874793.0800000001,
FS(65),3629908.5600000001,3744434.3000000003,3585070.2000000002,10959414.0600000005,
FS(66),3624932.4600000000,3699961.5999999996,3544620.1200000006,10869515.1799999997,
FS(67),3619292.8799999999,3691284.0000000000,3580767.0000000000,10891344.8799999990,
FS(68),3614980.2599999998,3655488.9000000004,3585500.5200000000,10855970.6799999997,
FS(69),3635879.8799999999,3731417.8999999999,3629823.4800000000,10997122.2599999998,
FS(70),3644836.8600000003,3750400.1500000004,3650478.8400000003,11045716.8500000015,
FS(71),3643841.6400000001,3731417.8999999999,3676298.0400000005,11051558.5800000001,
FS(72),3655120.8000000003,3745519.0000000000,3656503.3200000003,11057144.1200000010,
FS(73),3680001.3000000003,3788907.0000000000,3691359.2400000002,11160268.5400000010,
FS(74),3738055.8000000003,3784025.8499999996,3709863.0000000000,11231945.6500000004,
FS(75),3767912.3999999999,3753654.2499999995,3735251.8800000004,11256819.5299999993,
FS(76),3767580.6599999997,3713520.3499999996,3734821.5600000005,11215923.5700000003,
FS(77),3759287.1599999997,3727079.0999999996,3766665.2400000002,11253032.5000000000,
FS(78),3765590.2200000002,3767755.3499999996,3758058.8400000003,11291405.4100000001,
FS(79),3745685.8199999998,3758535.3999999999,3770968.4399999999,11275190.6600000001,
FS(80),3741041.4600000000,3765043.6000000001,3806685.0000000000,11312771.0599999987,
FS(81),3731421.0000000000,3737383.7499999995,3788181.2400000002,11256986.9900000002,
FS(82),3718151.3999999999,3626744.3500000001,3804103.0800000005,11148999.8300000001,
FS(83),3740377.9800000000,3665793.5500000003,3835516.4399999999,11241688.9700000007,
FS(84),3738387.5400000000,3633794.8999999999,3791623.8000000003,11163807.2400000002,
FS(85),3722795.7599999998,3644099.5499999998,3784308.3600000003,11151204.6699999999,
FS(86),3744690.5999999996,3645184.2499999995,3788611.5600000005,11178487.4100000001,
FS(87),3740046.2399999998,3701588.6499999999,3808836.6000000006,11250472.4900000002,
FS(88),3772556.7599999998,3739553.1499999999,3811418.5200000000,11323529.4299999997,
FS(89),3804072.0600000001,3730875.5500000003,3872523.9600000000,11407472.5700000003,
FS(90),3794119.8600000003,3601796.2499999995,3821746.2000000002,11217663.3100000005,
FS(91),3789475.5000000000,3625659.6499999994,3858753.7200000002,11273889.8699999992,
FS(92),3767248.9199999999,3522070.7999999998,3815291.3999999999,11104612.1199999992,
FS(93),3796442.0400000000,3580644.5999999996,3854450.5200000000,11231538.1600000001,
