代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12160851.1799999997
真實報酬,2160851.1799999997
趨勢值,0.1030134879

選擇檔數,4
找到最佳解世代,2062
找到最佳解實驗,1
Stock#,AAPL,BA,JPM,V,
分配資金,2500000,2500000,2500000,2500000,
張數,26071,19276,40809,33566,
剩餘資金,51.8100000000,95.5600000000,40.6600000001,4.3199999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2476536.1000000001,2447569.2800000003,2430216.6099999999,2506377.5400000000,9860699.5299999993,
FS(3),2490614.4399999999,2447376.5200000000,2456334.3700000001,2485902.2799999998,9880227.6099999994,
FS(4),2501303.5499999998,2451424.4800000000,2456334.3700000001,2485902.2799999998,9894964.6799999997,
FS(5),2520596.0900000003,2507710.3999999999,2523261.1299999999,2565118.0400000000,10116685.6600000001,
FS(6),2528417.3900000001,2545298.6000000001,2541217.0900000003,2568474.6399999997,10183407.7199999988,
FS(7),2539888.6299999999,2521589.1200000001,2579169.4600000004,2600698.0000000000,10241345.2099999990,
FS(8),2525549.5800000001,2508095.9200000004,2577537.1000000001,2600026.6799999997,10211209.2799999993,
FS(9),2575605.9000000004,2535853.3600000003,2616713.7400000002,2622851.5600000001,10351024.5600000005,
FS(10),2575345.1899999999,2552045.1999999997,2619162.2800000003,2628222.1199999996,10374774.7899999991,
FS(11),2602719.7400000002,2572092.2400000002,2610184.3000000003,2628557.7799999998,10413554.0600000005,
FS(12),2603762.5800000001,2595801.7200000002,2606103.3999999999,2642319.8399999999,10447987.5399999991,
FS(13),2606108.9699999997,2596958.2800000003,2608960.0300000003,2663802.0799999996,10475829.3599999994,
FS(14),2592291.3400000003,2574019.8399999999,2599165.8700000001,2644669.4600000000,10410146.5099999998,
FS(15),2572216.6699999999,2572863.2800000003,2613449.0200000005,2682263.3799999999,10440792.3499999996,
FS(16),2537802.9500000002,2562647.0000000000,2606511.4900000002,2649704.3599999999,10356665.7999999989,
FS(17),2520335.3799999999,2599464.1600000001,2617121.8300000001,2634599.6599999997,10371521.0299999993,
FS(18),2684061.2600000002,2620860.5200000000,2625283.6299999999,2635942.2999999998,10566147.7099999990,
FS(19),2720299.9500000002,2563996.3199999998,2615897.5600000001,2658095.8599999999,10558289.6899999995,
FS(20),2716910.7199999997,2576525.7200000002,2610592.3900000001,2619830.6199999996,10523859.4499999993,
FS(21),2764881.3599999999,2567851.5200000000,2603654.8599999999,2626879.4800000000,10563267.2200000007,
FS(22),2723949.8900000001,2536817.1600000001,2597533.5100000002,2627550.7999999998,10485851.3599999994,
FS(23),2758102.9000000004,2542021.6800000002,2638750.6000000001,2641984.1799999997,10580859.3599999994,
FS(24),2760188.5800000001,2529299.5200000000,2634669.7000000002,2667830.0000000000,10591987.8000000007,
FS(25),2802162.8900000001,2539323.0400000000,2705677.3599999999,2689983.5600000001,10737146.8499999996,
FS(26),2825366.0800000001,2548190.0000000000,2697515.5600000001,2683606.0200000000,10754677.6599999983,
FS(27),2836837.3200000003,2556478.6800000002,2688129.4900000002,2687298.2799999998,10768743.7699999996,
FS(28),2815719.8100000001,2549924.8399999999,2664052.1800000002,2674543.2000000002,10704240.0300000012,
FS(29),2813894.8400000003,2563803.5600000001,2671397.7999999998,2689312.2399999998,10738408.4399999995,
FS(30),2820412.5900000003,2565731.1600000001,2665684.5400000000,2685955.6399999997,10737783.9299999997,
FS(31),2854304.8900000001,2595801.7200000002,2682008.1400000001,2715829.3799999999,10847944.1299999990,
FS(32),2851697.7900000000,2602355.5600000001,2681600.0499999998,2712472.7799999998,10848126.1799999997,
FS(33),2847526.4300000002,2596958.2800000003,2688945.6700000004,2713479.7599999998,10846910.1399999987,
FS(34),2843876.4900000002,2602355.5600000001,2691394.2100000004,2694347.1399999997,10831973.3999999985,
FS(35),2851176.3700000001,2591561.0000000000,2687721.3999999999,2701060.3399999999,10831519.1099999994,
FS(36),2829016.0200000000,2602162.8000000003,2685272.8599999999,2720864.2799999998,10837315.9600000009,
FS(37),2837880.1599999997,2585778.1999999997,2684048.5899999999,2712137.1199999996,10819844.0699999984,
FS(38),2816501.9399999999,2569393.6000000001,2691394.2100000004,2695018.4600000000,10772308.2099999990,
FS(39),2804509.2799999998,2563418.0400000000,2696291.2900000000,2696025.4399999995,10760244.0499999989,
FS(40),2788084.5499999998,2548961.0400000000,2702412.6400000001,2704416.9399999995,10743875.1699999981,
FS(41),2784956.0299999998,2561875.9600000000,2732203.2100000004,2714486.7399999998,10793521.9399999995,
FS(42),2763577.8100000001,2521589.1200000001,2754648.1600000001,2724556.5400000000,10764371.6299999990,
FS(43),2766184.9099999997,2495373.7599999998,2754648.1600000001,2715493.7200000002,10731700.5499999989,
FS(44),2782609.6400000001,2504047.9600000000,2742813.5499999998,2728920.1199999996,10758391.2699999996,
FS(45),2808680.6400000001,2528335.7200000002,2754240.0699999998,2752416.3199999998,10843672.7500000000,
FS(46),2807898.5100000002,2563610.8000000003,2752199.6200000001,2770206.2999999998,10893915.2300000004,
