代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11550004.7400000002
真實報酬,1550004.7400000002
趨勢值,0.0569384607

選擇檔數,4
找到最佳解世代,1991
找到最佳解實驗,1
Stock#,INTC,MSFT,NKE,V,
分配資金,2500000,2500000,2500000,2500000,
張數,53361,29086,39376,21832,
剩餘資金,37.1499999999,58.2999999999,17.7599999999,17.6799999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,9999999.9999999981,
FS(2),2415156.0099999998,2511634.3999999994,2499606.2399999998,2524888.4800000000,9951285.1299999990,
FS(3),2370866.3799999999,2533739.7599999998,2498031.1999999997,2534276.2399999998,9936913.5799999982,
FS(4),2387408.2900000000,2565152.6399999997,2519294.2399999998,2594969.1999999997,10066824.3699999992,
FS(5),2387408.2900000000,2567770.3799999999,2541738.5599999996,2605448.5599999996,10102365.7899999991,
FS(6),2327643.9699999997,2566025.2199999997,2523625.6000000001,2600427.1999999997,10017721.9899999984,
FS(7),2267879.6499999999,2554390.8199999998,2528744.4799999995,2597589.0399999996,9948603.9899999984,
FS(8),2316438.1599999997,2561953.1799999997,2531500.7999999998,2616364.5599999996,10026256.6999999993,
FS(9),2307366.7900000000,2606163.8999999994,2546463.6799999997,2621822.5599999996,10081816.9299999997,
FS(10),2302030.6899999999,2569806.3999999994,2497243.6799999997,2628372.1599999997,9997452.9299999978,
FS(11),2368731.9399999999,2621870.3399999999,2512600.3199999998,2663085.0399999996,10166287.6399999987,
FS(12),2373534.4299999997,2620706.8999999994,2524413.1199999996,2687755.1999999997,10206409.6499999985,
FS(13),2391677.1699999999,2617798.2999999998,2646478.7199999997,2678804.0799999996,10334758.2699999977,
FS(14),2441302.8999999999,2664626.7599999998,2614190.3999999999,2714390.2399999998,10434510.2999999989,
FS(15),2457844.8100000001,2673061.7000000002,2643722.3999999999,2721376.4800000000,10496005.3899999987,
FS(16),2428496.2599999998,2670734.8199999998,2677585.7599999998,2719193.2799999998,10496010.1199999992,
FS(17),2417290.4499999997,2685568.6799999997,2666166.7199999997,2733820.7199999997,10502846.5699999984,
FS(18),2672356.0299999998,2735887.4600000000,2679160.7999999998,2757835.9199999995,10845240.2099999990,
FS(19),2667019.9299999997,2731815.4199999999,2661047.8399999999,2725524.5599999996,10785407.7499999981,
FS(20),2603520.3399999999,2697493.9399999995,2651203.8399999999,2697361.2799999998,10649579.3999999985,
FS(21),2568835.6899999999,2763519.1600000001,2686248.4799999995,2712207.0399999996,10730810.3699999992,
FS(22),2542688.7999999998,2741704.6600000001,2663804.1600000001,2744736.7199999997,10692934.3399999980,
FS(23),2462647.2999999998,2669571.3799999999,2646872.4799999995,2639724.7999999998,10418815.9599999972,
FS(24),2375668.8700000001,2559626.2999999998,2535438.3999999999,2538424.3199999998,10009157.8899999987,
FS(25),2396479.6599999997,2656482.6799999997,2568120.4799999995,2619202.7199999997,10240285.5399999972,
FS(26),2411954.3500000001,2606454.7599999998,2584264.6399999997,2612216.4800000000,10214890.2299999986,
FS(27),2281219.8999999999,2472659.1600000001,2460624.0000000000,2485809.1999999997,9700312.2599999998,
FS(28),2345253.1000000001,2564861.7799999998,2578751.9999999995,2539515.9199999995,10028382.7999999989,
FS(29),2392210.7799999998,2592493.4799999995,2598046.2399999998,2586454.7199999997,10169205.2199999988,
FS(30),2372467.2100000000,2612853.6799999997,2593714.8799999999,2583834.8799999994,10162870.6499999985,
FS(31),2421559.3300000001,2641357.9600000000,2676010.7199999997,2637978.2399999998,10376906.2499999981,
FS(32),2450374.2700000000,2695167.0599999996,2689004.7999999998,2669634.6399999997,10504180.7699999996,
FS(33),2431164.3100000001,2675970.2999999998,2689398.5599999996,2660246.8799999994,10456780.0499999989,
FS(34),2471718.6699999999,2696912.2199999997,2657503.9999999995,2663740.0000000000,10489874.8899999987,
FS(35),2451441.4899999998,2661136.4399999995,2640178.5599999996,2629245.4399999999,10382001.9299999978,
FS(36),2443970.9499999997,2668117.0800000001,2643328.6399999997,2628153.8399999994,10383570.5099999979,
FS(37),2546957.6799999997,2735887.4600000000,2683885.9199999995,2683825.4399999999,10650556.4999999981,
FS(38),2620595.8599999999,2775444.4199999999,2742556.1600000001,2720066.5599999996,10858663.0000000000,
FS(39),2663284.6599999997,2739959.5000000000,2678767.0400000000,2693431.5200000000,10775442.7199999988,
FS(40),2630200.8399999999,2727452.5199999996,2639391.0400000000,2684043.7599999998,10681088.1599999983,
FS(41),2552827.3900000001,2700693.3999999994,2611434.0799999996,2628590.4800000000,10493545.3499999978,
FS(42),2613658.9299999997,2706510.5999999996,2594502.3999999999,2636668.3199999998,10551340.2499999981,
FS(43),2654746.8999999999,2723671.3399999999,2561426.5599999996,2660901.8399999994,10600746.6399999987,
FS(44),2705973.4600000000,2714363.8199999998,2568907.9999999995,2642999.5999999996,10632244.8799999990,
FS(45),2738523.6699999999,2730070.2599999998,2526775.6799999997,2660246.8799999994,10655616.4899999984,
FS(46),2707574.2900000000,2746649.2799999998,2563789.1199999996,2668324.7199999997,10686337.4099999983,
FS(47),2784947.7399999998,2808020.7400000002,2610646.5599999996,2718320.0000000000,10921935.0399999991,
FS(48),2749195.8700000001,2814710.5199999996,2631122.0799999996,2712425.3599999994,10907453.8299999982,
FS(49),2763069.7300000000,2746067.5599999996,2605527.6799999997,2689720.0799999996,10804385.0499999989,
FS(50),2767338.6099999999,2729779.3999999994,2606708.9600000000,2676184.2399999998,10780011.2099999990,
FS(51),2715044.8300000001,2739377.7799999998,2614190.3999999999,2694304.7999999998,10762917.8099999987,
FS(52),2730519.5200000000,2751593.8999999994,2595289.9199999995,2718756.6399999997,10796159.9799999986,
FS(53),2712376.7799999998,2701856.8399999999,2587414.7199999997,2689938.3999999994,10691586.7399999984,
FS(54),2750796.6999999997,2708837.4799999995,2630334.5599999996,2727052.7999999998,10817021.5399999972,
FS(55),2751330.3100000001,2689931.5800000001,2612615.3599999994,2690156.7199999997,10744033.9699999988,
FS(56),2712376.7799999998,2611690.2400000002,2536619.6799999997,2619639.3599999994,10480326.0599999987,
FS(57),2633936.1099999999,2535775.7799999998,2544888.6399999997,2554361.6799999997,10268962.2099999990,
FS(58),2800422.4299999997,2727743.3799999999,2594896.1600000001,2633830.1599999997,10756892.1299999990,
FS(59),2731586.7399999998,2602382.7199999997,2605527.6799999997,2563094.4800000000,10502591.6199999992,
FS(60),2646742.7500000000,2600055.8399999999,2576783.1999999997,2554143.3599999994,10377725.1499999985,
FS(61),2779078.0299999998,2654737.5199999996,2616159.1999999997,2611561.5200000000,10661536.2699999977,
FS(62),2610457.2700000000,2574751.0199999996,2524806.8799999999,2584708.1599999997,10294723.3299999982,
FS(63),2654746.8999999999,2609363.3599999994,2626396.9600000000,2602392.0799999996,10492899.2999999989,
FS(64),2667553.5400000000,2685568.6799999997,2694123.6799999997,2615709.5999999996,10662955.5000000000,
FS(65),2688364.3300000001,2687022.9799999995,2740193.6000000001,2645837.7599999998,10761418.6699999981,
FS(66),2603520.3399999999,2624488.0800000001,2659866.5599999996,2569644.0799999996,10457519.0599999987,
FS(67),2644074.6999999997,2640194.5199999996,2645297.4399999999,2593440.9600000000,10523007.6199999992,
FS(68),2735855.6200000001,2701565.9799999995,2638209.7599999998,2635576.7199999997,10711208.0799999982,
FS(69),2726784.2500000000,2671898.2599999998,2631515.8399999999,2615054.6399999997,10645252.9900000002,
FS(70),2813229.0699999998,2721926.1799999997,2668529.2799999998,2643217.9199999995,10846902.4499999974,
FS(71),2767338.6099999999,2707383.1799999997,2648053.7599999998,2636231.6799999997,10759007.2299999986,
FS(72),2796153.5499999998,2739086.9199999999,2640572.3199999998,2660901.8399999994,10836714.6299999990,
FS(73),2856985.0899999999,2794350.3199999998,2658291.5200000000,2702819.2799999998,11012446.2099999990,
FS(74),2860720.3599999999,2805112.1399999997,2606708.9600000000,2702819.2799999998,10975360.7399999984,
FS(75),2786548.5699999998,2795513.7599999998,2588202.2399999998,2706312.3999999994,10876576.9699999988,
FS(76),2749729.4800000000,2763228.2999999998,2602377.6000000001,2711552.0799999996,10826887.4599999990,
FS(77),2726784.2500000000,2773408.3999999994,2633484.6399999997,2717228.3999999994,10850905.6899999995,
FS(78),2745460.6000000001,2708546.6200000001,2637028.4799999995,2647584.3199999998,10738620.0199999996,
FS(79),2741725.3300000001,2684986.9600000000,2625215.6799999997,2646274.3999999994,10698202.3699999992,
FS(80),2830838.1999999997,2741704.6600000001,2679554.5599999996,2774428.2399999998,11026525.6599999983,
FS(81),2813762.6799999997,2787078.8199999998,2739012.3199999998,2751068.0000000000,11090921.8199999984,
FS(82),2754531.9699999997,2720181.0199999996,2692942.3999999999,2770061.8399999994,10937717.2299999986,
FS(83),2845779.2799999998,2763228.2999999998,2681523.3599999994,2783816.0000000000,11074346.9399999976,
FS(84),2791351.0600000001,2719890.1600000001,2687823.5200000000,2759145.8399999994,10958210.5799999982,
FS(85),2789750.2300000000,2736178.3199999998,2634272.1600000001,2776611.4399999999,10936812.1499999985,
FS(86),2816430.7300000000,2767882.0599999996,2681523.3599999994,2798006.7999999998,11063842.9499999974,
FS(87),2845779.2799999998,2798713.2199999997,2730349.6000000001,2822021.9999999995,11196864.0999999978,
FS(88),2861787.5800000001,2786787.9600000000,2695698.7199999997,2835994.4800000000,11180268.7399999984,
FS(89),2899673.8900000001,2819655.1399999997,2675616.9600000000,2856516.5599999996,11251462.5499999989,
FS(90),2933824.9299999997,2847868.5599999996,2674435.6799999997,2856516.5599999996,11312645.7300000004,
FS(91),2917283.0200000000,2841760.5000000000,2694517.4399999999,2877911.9199999995,11331472.8799999990,
FS(92),2929556.0499999998,2851358.8799999999,2710661.6000000001,2864594.3999999999,11356170.9299999997,
FS(93),2877262.2700000000,2830707.8199999998,2736649.7599999998,2862192.8799999994,11306812.7299999986,
FS(94),2915682.1899999999,2825763.2000000002,2809101.6000000001,2857608.1599999992,11408155.1500000004,
FS(95),2924753.5600000001,2797549.7799999998,2793351.1999999997,2836649.4399999999,11352303.9799999986,
FS(96),2924753.5600000001,2802785.2599999998,2808314.0799999996,2836649.4399999999,11372502.3399999980,
