代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11138330.4000000004
真實報酬,1138330.4000000004
趨勢值,0.0377686681

選擇檔數,3
找到最佳解世代,1899
找到最佳解實驗,1
Stock#,AAPL,BA,MCD,
分配資金,3333333,3333333,3333333,
張數,109039,59333,53095,
剩餘資金,10.7700000000,5.0600000000,28.8999999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3339875.3399999999,3442505.7200000002,3307847.3999999999,10090229.4600000009,
FS(3),3286446.2300000000,3546931.8000000003,3262716.6499999999,10096095.6800000016,
FS(4),3279903.8899999997,3690517.6600000001,3286609.3999999999,10257031.9499999993,
FS(5),3301711.6899999999,3654917.8600000003,3283423.7000000002,10240054.2500000000,
FS(6),3273361.5499999998,3611604.7700000000,3308909.2999999998,10193876.6199999992,
FS(7),3235197.9000000004,3585498.2500000000,3326961.5999999996,10147658.7500000000,
FS(8),3280994.2799999998,3628811.3399999999,3323244.9500000002,10233051.5700000003,
FS(9),3262457.6500000004,3652544.5400000000,3326430.6499999999,10241433.8399999999,
FS(10),3207938.1500000004,3608638.1200000001,3306785.5000000000,10123362.7700000014,
FS(11),3349688.8500000001,3598551.5099999998,3370499.4999999995,10318740.8600000013,
FS(12),3298440.5200000000,3571851.6600000001,3345544.8499999996,10215838.0300000012,
FS(13),3240649.8500000001,3512518.6600000001,3355632.8999999999,10108802.4100000020,
FS(14),3080362.5200000000,3427672.4700000002,3365720.9499999997,9873756.9400000013,
FS(15),3163232.1600000001,3428265.8000000003,3349792.4500000002,9941291.4100000001,
FS(16),3207938.1500000004,3424112.4900000002,3388020.8500000001,10020072.4900000002,
FS(17),3238469.0699999998,3674497.7500000000,3383773.2499999995,10296741.0700000003,
FS(18),3104351.1000000001,3711877.5400000000,3335987.7500000000,10152217.3900000006,
FS(19),2992040.9300000002,3595584.8600000003,3314749.7500000000,9902376.5400000010,
FS(20),3033475.7500000000,3660851.1600000001,3392268.4499999997,10086596.3600000013,
FS(21),3050921.9900000002,3675091.0800000001,3399701.7500000000,10125715.8200000003,
FS(22),3103260.7100000000,3646611.2400000002,3462353.8499999996,10212226.8000000007,
FS(23),2992040.9300000002,3519638.6200000001,3401294.6000000001,9912975.1500000004,
FS(24),3044379.6500000004,3465052.2599999998,3364659.0499999998,9874091.9600000009,
FS(25),3023662.2400000002,3434792.4300000002,3340766.2999999998,9799221.9700000007,
FS(26),3056373.9399999999,3544558.4800000000,3375278.0499999998,9976211.4700000007,
FS(27),3038927.7000000002,3532691.8799999999,3358287.6499999999,9929908.2300000004,
FS(28),3094537.5899999999,3594991.5300000003,3386958.9499999997,10076489.0700000003,
FS(29),3121797.3399999999,3539218.5099999998,3376339.9500000002,10037356.8000000007,
FS(30),3168684.1099999999,3634744.6400000001,3398639.8500000001,10202069.6000000015,
FS(31),3155599.4300000002,3667971.1200000001,3411913.6000000001,10235485.1500000004,
FS(32),3161051.3799999999,3731457.4300000002,3423594.5000000000,10316104.3100000005,
FS(33),3141424.3599999999,3772990.5300000003,3437399.1999999997,10351815.0899999999,
FS(34),3121797.3399999999,3795537.0699999998,3438992.0499999998,10356327.4600000009,
FS(35),3069458.6199999996,3724337.4700000002,3444301.5500000003,10238098.6400000006,
FS(36),3126158.9000000004,3766463.8999999999,3465008.6000000001,10357632.4000000004,
FS(37),3146876.3100000001,3730270.7700000000,3418284.9999999995,10295433.0800000001,
FS(38),3187220.7400000002,3747477.3399999999,3390144.6499999999,10324843.7300000004,
FS(39),3255915.3100000001,3797317.0600000001,3397046.9999999995,10450280.3700000010,
FS(40),3253734.5299999998,3823423.5800000001,3401825.5499999993,10478984.6600000001,
FS(41),3260276.8699999996,3824016.9100000001,3378463.7500000000,10462758.5300000012,
FS(42),3282084.6700000004,3889283.2100000000,3367844.7500000000,10539213.6300000008,
FS(43),3410750.6899999999,4030495.7500000005,3380587.5499999998,10821834.9900000002,
FS(44),3412931.4700000002,3989555.9800000000,3457575.3000000003,10860063.7500000000,
FS(45),3473993.3100000001,4022189.1300000004,3456513.3999999994,10952696.8399999999,
FS(46),3502343.4499999997,4153908.3900000001,3448018.1999999997,11104271.0400000010,
FS(47),3512156.9600000000,4157468.3699999996,3462353.8499999996,11131980.1799999997,
FS(48),3529603.1999999997,4143228.4500000002,3479344.2500000000,11152176.9000000004,
FS(49),3487077.9900000002,4117715.2600000002,3500582.2500000005,11105376.5000000019,
FS(50),3495801.1100000003,4077368.8199999998,3508015.5499999993,11081186.4800000004,
FS(51),3491439.5500000003,4116528.5999999996,3524474.9999999995,11132444.1500000004,
FS(52),3499072.2800000003,4204934.7699999996,3540403.5000000005,11244411.5500000007,
FS(53),3461999.0200000000,4196034.8199999994,3532439.2500000000,11190474.0899999999,
FS(54),3501253.0600000001,4266641.0899999999,3557924.8500000001,11325820.0000000019,
FS(55),3556862.9499999997,4282661.0000000000,3575977.1499999994,11415502.0999999996,
FS(56),3573218.8000000003,4290967.6199999992,3546774.8999999999,11410962.3200000003,
FS(57),3530693.5900000003,4301054.2299999995,3552084.4000000004,11383833.2200000007,
FS(58),3597207.3800000004,4306987.5299999993,3571198.6000000001,11475394.5100000016,
FS(59),3620105.5700000003,4397173.6899999995,3561110.5499999993,11578390.8100000005,
FS(60),3673534.6799999997,4362760.5499999998,3570136.6999999997,11606432.9299999997,
FS(61),3660450.0000000000,4308174.1899999995,3542527.2999999998,11511152.4900000002,
FS(62),3675715.4600000000,4330720.7299999995,3588189.0000000000,11594626.1899999995,
FS(63),3714969.5000000000,4274354.3799999999,3612081.7500000000,11601406.6300000008,
FS(64),3731325.3500000001,4293340.9399999995,3600400.8500000001,11625068.1400000006,
FS(65),3747681.1999999997,4277914.3599999994,3594560.3999999999,11620156.9600000009,
FS(66),3737867.6899999999,4288594.2999999998,3650841.1000000001,11677304.0900000017,
FS(67),3766217.8300000001,4296900.9199999999,3646593.5000000005,11709713.2500000000,
FS(68),3773850.5600000001,4267234.4199999999,3638629.2500000000,11679715.2300000004,
FS(69),3776031.3400000003,4223921.3299999991,3659336.2999999998,11659289.9700000007,
FS(70),3827279.6700000004,4254181.1600000001,3685883.7999999998,11767345.6300000008,
FS(71),3877437.6100000003,4277321.0299999993,3672079.0999999996,11826838.7400000002,
FS(72),3853449.0300000003,4200188.1299999999,3665176.7500000000,11718814.9100000020,
FS(73),3849087.4699999997,4210274.7399999993,3712431.2999999998,11771794.5099999998,
FS(74),3809833.4299999997,4236974.5899999999,3734731.2000000002,11781540.2200000007,
FS(75),4037724.9399999999,4400140.3399999999,3735793.1000000001,12173659.3799999990,
FS(76),4151125.5000000000,4484986.5299999993,3771366.7500000000,12407479.7799999993,
FS(77),4218729.6799999997,4457693.3499999996,3777738.1500000004,12454162.1799999997,
FS(78),4198012.2699999996,4410820.2799999993,3770835.7999999998,12379669.3500000015,
FS(79),4081340.5400000000,4300460.8999999994,3744819.2500000000,12126621.6900000013,
FS(80),4074798.1999999997,4293934.2699999996,3734731.2000000002,12103464.6699999999,
FS(81),4184927.5900000003,4378187.1299999999,3797383.2999999998,12360499.0200000014,
FS(82),4067165.4699999997,4297494.2500000000,3748004.9500000002,12112665.6699999999,
FS(83),4148944.7199999997,4413786.9299999997,3792073.7999999998,12354806.4500000011,
FS(84),4029001.8200000003,4318854.1299999999,3750659.6999999997,12098516.6500000022,
FS(85),3987567.0000000000,4212648.0599999996,3751721.5999999996,11951937.6600000001,
FS(86),3836002.7900000000,4032869.0699999998,3685883.7999999998,11554756.6600000001,
FS(87),3673534.6799999997,3958702.8199999998,3611019.8500000001,11243258.3500000015,
FS(88),3955945.6899999999,4212648.0599999996,3747474.0000000000,11916068.7500000000,
FS(89),3996290.1199999996,4237567.9199999999,3742164.5000000000,11976023.5400000010,
FS(90),4082430.9299999997,4323600.7699999996,3752252.5499999998,12158285.2500000000,
FS(91),4024640.2599999998,4257741.1399999997,3743226.3999999999,12025608.8000000007,
FS(92),3953764.9099999997,4142635.1199999996,3694909.9500000002,11791310.9800000004,
FS(93),3960307.2500000000,4134328.5000000005,3724112.1999999997,11818748.9500000011,
FS(94),3930866.7199999997,4018035.8199999998,3717740.7999999998,11666644.3399999999,
FS(95),3868714.4899999998,3928442.9899999998,3684821.9000000004,11481980.3800000008,
FS(96),3704065.6000000001,3737984.0600000001,3592436.5999999996,11034487.2599999998,
FS(97),3774940.9499999997,3830543.5400000000,3603055.6000000001,11208541.0899999999,
FS(98),3843635.5200000000,3746884.0099999998,3592436.5999999996,11182957.1300000008,
FS(99),3819646.9399999999,3724930.8000000003,3601993.7000000002,11146572.4400000013,
FS(100),3802200.6999999997,3753410.6400000001,3504829.8500000001,11060442.1900000013,
FS(101),3946132.1799999997,3864363.3499999996,3568012.8999999999,11378509.4299999997,
FS(102),4001742.0700000003,3807997.0000000005,3550491.5500000003,11360231.6200000010,
FS(103),4062803.9099999997,3735017.4100000001,3523413.1000000001,11321235.4199999999,
FS(104),4111871.4600000000,3817490.2800000003,3598277.0499999998,11527639.7900000010,
FS(105),4098786.7800000003,3815710.2900000000,3602524.6499999994,11517022.7200000007,
FS(106),3987567.0000000000,3628218.0099999998,3541465.3999999999,11157251.4100000001,
FS(107),3909058.9200000004,3566511.6899999999,3544120.1499999999,11019691.7600000016,
FS(108),3883979.9499999997,3620504.7200000002,3630664.9999999995,11135150.6699999999,
FS(109),3788025.6300000004,3661444.4900000002,3624293.6000000001,11073764.7200000007,
FS(110),3902516.5800000001,3790790.4300000002,3683229.0500000003,11376537.0600000005,
FS(111),3949403.3500000001,3879196.5999999996,3692255.2000000002,11520856.1500000004,
FS(112),3961397.6399999997,3845970.1199999996,3679512.3999999999,11486881.1600000001,
FS(113),4045357.6700000004,4003795.9000000004,3737916.9000000004,11787071.4700000007,
FS(114),4163119.7900000000,3977096.0500000003,3732076.4500000002,11872293.2900000010,
FS(115),4235085.5300000003,3990742.6400000001,3719333.6499999999,11945162.8200000003,
FS(116),4268887.6199999992,4032275.7399999998,3710307.4999999995,12011471.8599999994,
FS(117),4208916.1699999999,4032869.0699999998,3712431.2999999998,11954217.5400000010,
FS(118),4265616.4499999993,3932596.3000000003,3644469.6999999997,11842683.4500000011,
FS(119),4220910.4600000000,4002015.9100000001,3643938.7499999995,11866866.1200000010,
FS(120),4190379.5400000000,4000829.2500000005,3596153.2500000000,11787363.0400000010,
FS(121),4154396.6700000004,4080335.4699999997,3579693.7999999998,11814426.9400000013,
FS(122),4179475.6399999997,3993115.9600000000,3574915.2500000000,11747507.8499999996,
FS(123),3990838.1700000004,3740357.3799999999,3528722.5999999996,11259919.1500000004,
FS(124),3917782.0400000000,3723150.8100000001,3497396.5500000003,11138330.4000000004,
