代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11637402.2999999989
真實報酬,1637402.2999999989
趨勢值,0.0503106609

選擇檔數,3
找到最佳解世代,1914
找到最佳解實驗,1
Stock#,AAPL,CSCO,MCD,
分配資金,3333333,3333333,3333333,
張數,67971,210172,38918,
剩餘資金,35.1600000001,5.0800000001,6.2999999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3393147.4800000004,3293400.3199999998,3332943.8199999998,10019492.6199999992,
FS(3),3415577.9100000001,3270281.4000000004,3341505.7799999998,10027366.0899999999,
FS(4),3468595.2900000000,3341739.8800000004,3349289.3799999999,10159625.5499999989,
FS(5),3493064.8500000001,3308112.3600000003,3331387.0999999996,10132565.3099999987,
FS(6),3437328.6300000004,3242959.0400000000,3321657.5999999996,10001946.2699999977,
FS(7),3435289.5000000000,3278688.2799999998,3307647.1199999996,10021625.8999999985,
FS(8),3476751.8100000001,3272383.1200000001,3306479.5799999996,10055615.5099999998,
FS(9),3474032.9700000002,3242959.0400000000,3339559.8799999999,10056552.8899999987,
FS(10),3543363.3900000001,3276586.5600000001,3326716.9399999999,10146667.8899999987,
FS(11),3629686.5600000001,3245060.7599999998,3323603.5000000000,10198351.8200000003,
FS(12),3659593.8000000003,3291298.6000000001,3355127.0799999996,10306020.4799999986,
FS(13),3756792.3300000005,3324926.1200000001,3357462.1599999997,10439181.6099999994,
FS(14),3760870.5899999999,3436317.2800000003,3367970.0200000000,10565158.8899999987,
FS(15),3819325.6499999999,3459436.2000000002,3446584.3799999999,10725347.2300000004,
FS(16),3869624.1899999999,3421605.2400000002,3429460.4600000000,10720690.8900000006,
FS(17),3917203.8900000001,3423706.9600000000,3425568.6599999997,10766480.5099999979,
FS(18),3811848.8399999999,3297603.7599999998,3389374.9199999999,10498828.5199999996,
FS(19),3804372.0300000003,3364858.8000000003,3377310.3399999999,10546542.1699999999,
FS(20),3791457.5400000000,3356451.9200000004,3365634.9399999999,10513545.3999999985,
FS(21),3852631.4399999999,3327027.8400000003,3362132.3199999998,10541792.5999999996,
FS(22),3776503.9200000004,3249264.2000000002,3310371.3799999999,10336140.5000000000,
FS(23),3811848.8399999999,3255569.3600000003,3329052.0200000000,10396471.2199999988,
FS(24),3664351.7700000000,3114754.1200000001,3280015.3399999999,10059122.2300000004,
FS(25),3627647.4300000002,3139974.7599999998,3311149.7399999998,10078772.9299999997,
FS(26),3429851.8200000003,2929802.7599999998,3195563.2799999998,9555218.8599999994,
FS(27),3631725.6899999999,2955023.4000000004,3345397.5799999996,9932147.6699999981,
FS(28),3531808.3200000003,2885666.6400000001,3272231.7399999998,9689707.6999999993,
FS(29),3629006.8500000001,3345943.3199999998,3357851.3399999999,10332802.5099999998,
FS(30),3660953.2200000002,3360655.3600000003,3366413.2999999998,10388022.8799999990,
FS(31),3722806.8300000005,3369062.2400000002,3378867.0599999996,10470737.1299999990,
FS(32),3694259.0100000002,3362757.0800000001,3373029.3599999999,10430046.4499999993,
FS(33),3694259.0100000002,3331231.2799999998,3405331.2999999998,10430822.5899999999,
FS(34),3554238.7500000000,3154686.7999999998,3331776.2799999998,10040702.8299999982,
FS(35),3457040.2200000002,3169398.8400000003,3394823.4399999999,10021263.5000000000,
FS(36),3461118.4800000004,3154686.7999999998,3415449.9800000000,10031256.2599999998,
FS(37),3627647.4300000002,3245060.7599999998,3484334.8399999999,10357044.0299999993,
FS(38),3652796.7000000002,3249264.2000000002,3507685.6399999997,10409747.5399999991,
FS(39),3629006.8500000001,3169398.8400000003,3452422.0799999996,10250828.7699999996,
FS(40),3724845.9600000000,3219840.1200000001,3499902.0400000000,10444589.1199999992,
FS(41),3786699.5700000003,3308112.3600000003,3533371.5200000000,10628184.4499999993,
FS(42),3786699.5700000003,3284993.4400000004,3532982.3399999999,10604676.3499999996,
FS(43),3737080.7399999998,3293400.3199999998,3518582.6799999997,10549064.7399999984,
FS(44),3699696.6899999999,3324926.1200000001,3505350.5599999996,10529974.3699999992,
FS(45),3632405.3999999999,3238755.6000000001,3467210.9199999999,10338372.9199999999,
FS(46),3687461.9100000001,3211433.2399999998,3456703.0599999996,10355599.2099999990,
FS(47),3728244.5100000002,3337536.4400000004,3474994.5200000000,10540776.4699999988,
FS(48),3730283.6400000001,3423706.9600000000,3448530.2799999998,10602521.8799999990,
FS(49),3665711.1899999999,3324926.1200000001,3309203.8399999999,10299842.1500000004,
FS(50),3689501.0400000000,3381672.5600000001,3354348.7199999997,10425523.3199999984,
FS(51),3735041.6100000003,3436317.2800000003,3351624.4600000000,10522984.3499999996,
FS(52),3779902.4700000002,3432113.8399999999,3376142.7999999998,10588160.1099999994,
FS(53),3815927.1000000001,3503572.3200000003,3427514.5599999996,10747014.9799999986,
FS(54),3888656.0700000003,3493063.7200000002,3436076.5200000000,10817797.3100000005,
FS(55),3996729.9600000000,3469944.8000000003,3456313.8799999999,10922989.6400000006,
FS(56),4014402.4200000004,3474148.2400000002,3475772.8799999999,10964324.5400000010,
FS(57),4002167.6400000001,3329129.5600000001,3406109.6599999997,10737407.8599999994,
FS(58),3901570.5600000001,3221941.8400000003,3346565.1199999996,10470078.5199999996,
FS(59),3926040.1200000001,3280790.0000000000,3400271.9600000000,10607103.0800000001,
FS(60),3915164.7600000002,3360655.3600000003,3476940.4199999999,10752761.5399999991,
FS(61),3877101.0000000000,3377469.1200000001,3492507.6199999996,10747078.7399999984,
FS(62),3855350.2800000003,3329129.5600000001,3425957.8399999999,10610438.6799999997,
FS(63),3792816.9600000000,3331231.2799999998,3455146.3399999999,10579195.5800000001,
FS(64),3702415.5300000003,3257671.0800000001,3417785.0599999996,10377872.6699999981,
FS(65),3637163.3700000001,3192517.7599999998,3347732.6599999997,10177414.7899999991,
FS(66),3616772.0700000003,3274484.8400000003,3365634.9399999999,10256892.8499999996,
FS(67),3673188.0000000000,3396384.6000000001,3340338.2399999998,10409911.8399999999,
FS(68),3664351.7700000000,3520386.0800000001,3390153.2799999998,10574892.1299999990,
FS(69),3590943.0899999999,3501470.6000000001,3393655.8999999999,10486070.5899999999,
FS(70),3775144.5000000000,3591844.5600000001,3444638.4800000000,10811628.5399999991,
FS(71),3886616.9399999999,3570827.3599999999,3476940.4199999999,10934385.7199999988,
FS(72),3905648.8200000003,3625472.0800000001,3438800.7799999998,10969922.6799999997,
FS(73),3966143.0100000002,3661201.3200000003,3475772.8799999999,11103118.2100000009,
FS(74),4098006.7500000000,3688523.6800000002,3500291.2199999997,11286822.6499999985,
FS(75),4078295.1600000001,3608658.3200000003,3450476.1799999997,11137430.6599999983,
FS(76),4100045.8800000004,3680116.8000000003,3488615.8199999998,11268779.5000000000,
FS(77),3870983.6100000003,3606556.6000000001,3487837.4600000000,10965378.6699999999,
FS(78),3838357.5300000003,3612861.7600000002,3464097.4800000000,10915317.7699999996,
FS(79),3814567.6800000002,3652794.4399999999,3592916.0599999996,11060279.1799999978,
FS(80),3940314.0300000003,3686421.9600000000,3580851.4800000000,11207588.4699999988,
FS(81),3862147.3800000004,3703235.7200000002,3571511.1599999997,11136895.2599999998,
FS(82),3890015.4899999998,3701134.0000000000,3571900.3399999999,11163050.8299999982,
FS(83),3929438.6700000004,3875576.7600000002,3639228.4800000000,11444244.9100000001,
FS(84),3932157.5100000002,3900797.3999999999,3630666.5200000000,11463622.4299999997,
FS(85),3930798.0899999999,3894492.2400000002,3613542.5999999996,11438833.9299999978,
FS(86),3849912.6000000001,3696930.5600000001,3576959.6799999997,11123803.8399999980,
FS(87),3858748.8300000005,3751575.2800000003,3601088.8399999999,11211413.9500000011,
FS(88),3913805.3399999999,3820932.0400000000,3619380.2999999998,11354118.6799999997,
FS(89),3886616.9399999999,3789406.2400000002,3650903.8799999999,11326928.0600000005,
FS(90),3881179.2600000002,3785202.8000000003,3682427.4600000000,11348810.5199999996,
FS(91),3944392.2900000000,3848254.3999999999,3681649.0999999996,11474296.7899999972,
FS(92),3838357.5300000003,3701134.0000000000,3605759.0000000000,11145251.5299999993,
FS(93),3740479.2900000000,3911306.0000000000,3629498.9800000000,11281285.2699999996,
FS(94),3735041.6100000003,3997476.5200000000,3687875.9800000000,11420395.1099999994,
FS(95),3682703.9399999999,3980662.7600000002,3660633.3799999999,11324001.0800000001,
FS(96),3775824.2100000000,4018493.7200000002,3676589.7599999998,11470908.6899999995,
FS(97),3736401.0300000003,3951238.6800000002,3625218.0000000000,11312858.7100000009,
FS(98),3665031.4800000004,3883983.6400000001,3591748.5200000000,11140764.6400000006,
FS(99),3640561.9200000004,3871373.3200000003,3609261.6199999996,11121197.8599999994,
FS(100),3583466.2800000003,3783101.0800000001,3591359.3399999999,10957927.6999999993,
FS(101),3656195.2500000000,3766287.3200000003,3605759.0000000000,11028242.5700000003,
FS(102),3563754.6899999999,3659099.6000000001,3575402.9600000000,10798258.2500000000,
FS(103),3530448.8999999999,3678015.0800000001,3584354.0999999996,10792819.0799999982,
FS(104),3652116.9899999998,3785202.8000000003,3648957.9800000000,11086278.7699999996,
FS(105),3623569.1700000004,3715846.0400000000,3637282.5799999996,10976698.7899999991,
FS(106),3711251.7600000002,3917611.1600000001,3717453.6599999997,11346317.5800000001,
FS(107),3766987.9800000004,3905000.8399999999,3716675.2999999998,11388665.1199999992,
FS(108),3783980.7300000004,3898695.6800000002,3724458.8999999999,11407136.3100000005,
FS(109),3815927.1000000001,3949136.9600000000,3710837.5999999996,11475902.6599999983,
FS(110),3796215.5100000002,3936526.6400000001,3736523.4800000000,11469266.6299999990,
FS(111),3777863.3399999999,3991171.3599999999,3753647.3999999999,11522683.0999999978,
FS(112),3793496.6700000004,3902899.1200000001,3771938.8599999999,11468335.6500000004,
FS(113),3822044.4899999998,3968052.4399999999,3815137.8399999999,11605235.7699999996,
FS(114),3805051.7399999998,3894492.2400000002,3832650.9399999999,11532195.9199999999,
FS(115),3775144.5000000000,3881881.9199999999,3813970.2999999998,11470997.7199999988,
FS(116),3691540.1700000004,3778897.6400000001,3798792.2799999998,11269231.0899999999,
FS(117),3679305.3900000001,3791507.9600000000,3819418.8199999998,11290233.1699999981,
FS(118),3699696.6899999999,3770490.7600000002,3794122.1199999996,11264310.5699999984,
FS(119),3711251.7600000002,3717947.7600000002,3784392.6199999996,11213593.1399999987,
FS(120),3844474.9200000004,3869271.6000000001,3845883.0599999996,11559630.5799999982,
FS(121),3849912.6000000001,3766287.3200000003,3860671.8999999999,11476872.8200000003,
FS(122),3870303.8999999999,3810423.4399999999,3837321.0999999996,11518049.4399999976,
FS(123),3916524.1800000002,3881881.9199999999,3897644.0000000000,11696051.0999999996,
FS(124),3947790.8399999999,3905000.8399999999,3913211.1999999997,11766003.8799999990,
FS(125),3909727.0800000005,3816728.6000000001,3875460.7399999998,11601917.4199999999,
FS(126),3933516.9300000002,3835644.0800000001,3923329.8799999999,11692491.8899999987,
FS(127),3932837.2200000002,3799914.8399999999,3904649.2399999998,11637402.2999999989,
