代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11407665.0099999998
真實報酬,1407665.0099999998
趨勢值,0.1671618334

選擇檔數,5
找到最佳解世代,2481
找到最佳解實驗,1
Stock#,DIS,KO,MCD,MMM,V,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,18853,47846,16719,11232,25157,
剩餘資金,73.7600000000,37.2000000001,73.2199999999,142.3999999999,18.5000000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000019,
FS(2),2025640.0800000001,1992823.1000000001,1997659.3400000001,2003032.6399999999,2016352.0500000000,10035507.2100000009,
FS(3),2024508.8999999999,1997607.7000000002,2001337.5200000000,1996181.1200000001,2039999.6300000001,10059634.8699999992,
FS(4),2054673.7000000002,1997129.2400000002,2019059.6600000001,2002021.7599999998,2068175.4699999997,10141059.8300000019,
FS(5),2042984.8400000001,1977033.9200000002,2013542.3900000001,1991239.0400000000,2056603.2500000000,10081403.4399999995,
FS(6),2043361.8999999999,1963637.0400000000,2010532.9700000000,1983488.9600000000,2045534.1700000002,10046555.0400000010,
FS(7),2063346.0800000001,1964115.5000000000,2021065.9399999999,1998202.8799999997,2057861.0999999999,10104591.5000000000,
FS(8),2027336.8500000001,1959330.9000000004,2041463.1199999999,1993148.4800000000,2047043.5900000001,10068322.9399999995,
FS(9),2037328.9399999999,1955981.6800000004,2031431.7200000000,1992586.8799999997,2042012.1899999999,10059341.4100000001,
FS(10),2035632.1699999999,1972249.3200000001,2052330.4700000000,1991126.7199999997,2044276.3200000001,10095615.0000000000,
FS(11),2039214.2400000000,1975598.5400000000,2051661.7100000000,2004942.0800000001,2052578.1300000001,10123994.6999999993,
FS(12),2022623.6000000001,1968421.6400000001,2042800.6400000001,2007076.1599999999,2056100.1100000001,10097022.1500000004,
FS(13),2029787.7400000000,1977033.9200000002,2044138.1600000001,2004942.0800000001,2058867.3800000001,10114769.2800000012,
FS(14),2019607.1200000001,1982296.9800000002,2029425.4399999999,2005166.7199999997,2066666.0500000000,10103162.3100000005,
FS(15),2034312.4600000002,2004784.6000000001,2023908.1699999999,1976637.4399999999,2093835.6100000001,10133478.2799999993,
FS(16),2036951.8800000001,2015310.7200000000,2036280.2300000000,1985173.7599999998,2110690.8000000003,10184407.3900000006,
FS(17),2037328.9399999999,2000478.4600000002,2037784.9399999999,1986184.6399999999,2094087.1799999999,10155864.1600000001,
FS(18),2060706.6599999999,1983253.9000000004,2054169.5600000001,1993597.7599999998,2107420.3900000001,10199148.2700000014,
FS(19),2091625.5800000001,1979904.6800000004,2056844.5999999999,1970459.8399999999,2105659.3999999999,10204494.0999999996,
