代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12216016.6500000004
真實報酬,2216016.6500000004
趨勢值,0.1319846491

選擇檔數,6
找到最佳解世代,1904
找到最佳解實驗,1
Stock#,BA,MRK,MSFT,NKE,UNH,WBA,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,38060,55518,69939,117702,60916,53607,
剩餘資金,18.6000000000,15.6400000000,19.6300000001,5.6800000000,4.2400000000,24.3700000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1680748.2000000000,1656672.7600000000,1662469.6600000001,1693737.4600000000,1640472.1199999999,1629141.1000000001,9963245.3000000007,
FS(3),1675800.4000000001,1643903.6200000001,1665267.2200000000,1678436.2000000000,1594785.1199999999,1622172.1900000002,9880368.7500000000,
FS(4),1732509.8000000003,1630024.1200000001,1640788.5700000001,1696091.5000000000,1582601.9199999999,1636646.0800000001,9918665.9900000002,
FS(5),1777040.0000000000,1671107.4400000002,1647782.4700000000,1709038.7200000000,1614887.4000000001,1646831.4100000001,10066691.4399999995,
FS(6),1742024.8000000003,1698866.4400000002,1637991.0100000002,1681967.2599999998,1649000.3600000001,1646831.4100000001,10056685.2799999993,
FS(7),1727562.0000000000,1683876.5800000001,1617708.7000000000,1671374.0799999998,1694687.3600000001,1647903.5500000000,10043116.2699999996,
FS(8),1763719.0000000002,1706638.9600000000,1645684.3000000003,1692560.4399999999,1692859.8799999999,1678995.6100000001,10180462.1900000013,
FS(9),1774375.8000000000,1719963.2800000003,1651978.8100000003,1700799.5799999998,1728191.1600000001,1707407.3200000003,10282719.9499999993,
FS(10),1707770.8000000000,1719963.2800000003,1656874.5400000003,1673728.1200000001,1709307.2000000000,1695077.7100000002,10162725.6500000004,
FS(11),1680748.2000000000,1714411.4800000000,1626101.3800000001,1631355.3999999999,1734891.9199999999,1638790.3600000001,10026302.7399999984,
FS(12),1666285.4000000001,1704973.4200000002,1649181.2500000000,1636063.4800000000,1716617.1199999999,1652192.1100000001,10025316.7799999993,
FS(13),1656389.8000000003,1747722.2800000003,1654076.9800000000,1670197.0599999998,1716617.1199999999,1659161.0200000000,10104168.2600000016,
FS(14),1702823.0000000002,1739949.7600000000,1655475.7600000002,1677259.1799999999,1729409.4800000000,1655944.6000000001,10160865.7800000012,
FS(15),1745830.8000000000,1807681.7200000002,1707230.6200000001,1637240.5000000000,1761694.9600000002,1695613.7800000000,10355296.3800000008,
FS(16),1793786.4000000001,1804350.6400000001,1723316.5900000001,1647833.6799999999,1808600.2800000000,1683820.2400000002,10461711.8300000001,
FS(17),1836413.6000000001,1829333.7400000002,1723316.5900000001,1623116.2599999998,1822610.9600000002,1744396.1500000001,10579191.3000000007,
FS(18),1820047.8000000000,1814343.8800000001,1717022.0800000001,1631355.3999999999,1762304.1199999999,1791034.2400000000,10536111.5199999996,
FS(19),1972287.8000000000,1824892.3000000000,1726813.5400000003,1672551.1000000001,1762913.2800000000,1803899.9199999999,10763361.9400000013,
FS(20),1942601.0000000000,1794357.4000000001,1726114.1500000001,1653718.7800000000,1716617.1199999999,1805508.1300000001,10638920.5800000001,
FS(21),1890458.8000000000,1800464.3800000001,1724015.9800000000,1630178.3799999999,1705652.2400000000,1816229.5300000003,10567003.3100000005,
FS(22),1856204.8000000003,1764932.8600000001,1678555.6300000001,1599575.8599999999,1664838.5199999998,1824806.6500000001,10388918.3199999984,
FS(23),1842122.6000000001,1710525.2200000000,1668764.1700000002,1568973.3399999999,1745856.8000000000,1812477.0400000003,10348723.1699999999,
FS(24),1844406.2000000002,1678879.9600000000,1686248.9200000002,1580743.5399999998,1758649.1600000001,1798539.2200000000,10347471.0000000000,
FS(25),1870667.6000000001,1704418.2400000000,1721917.8100000003,1596044.8000000000,1759258.3199999998,1814085.2500000002,10466396.0200000014,
FS(26),1883988.6000000001,1719408.1000000001,1735905.6100000001,1625470.3000000000,1695905.6799999999,1821590.2300000000,10482272.5199999996,
FS(27),1923190.4000000001,1751608.5400000003,1733108.0500000003,1629001.3599999999,1730018.6399999999,1817301.6699999999,10584232.6600000001,
FS(28),1921668.0000000002,1774370.9200000002,1748494.6300000001,1631355.3999999999,1773269.0000000000,1832847.7000000000,10682009.6500000004,
FS(29),1954399.6000000001,1806571.3600000001,1738703.1700000002,1618408.1799999999,1770832.3600000001,1826950.9299999999,10715869.5999999996,
FS(30),1939936.8000000000,1826002.6600000001,1748494.6300000001,1616054.1399999999,1751948.4000000001,1835528.0500000003,10717968.6799999997,
FS(31),1981802.8000000000,1815454.2400000002,1762482.4300000002,1608992.0200000000,1687377.4399999999,1825878.7900000003,10681991.7200000007,
FS(32),1992840.2000000002,1786029.7000000002,1762482.4300000002,1683144.2800000000,1784233.8799999999,1855362.6400000001,10864097.1299999990,
FS(33),2012631.4000000001,1777146.8200000001,1769476.3300000001,1709038.7200000000,1787279.6799999999,1839816.6100000001,10895393.5600000005,
FS(34),2017959.8000000003,1769929.4800000000,1766678.7700000003,1724339.9800000000,1740983.5199999998,1849465.8700000001,10869361.4199999999,
