代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12237212.6699999999
真實報酬,2237212.6699999999
趨勢值,0.1030292861

選擇檔數,5
找到最佳解世代,1769
找到最佳解實驗,2
Stock#,BA,MCD,NKE,PG,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,41008,35945,147167,37721,73179,
剩餘資金,39.8399999999,20.2000000000,0.4700000000,32.5799999999,17.9300000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1984827.0399999998,1990294.8499999999,1961736.5800000001,1991701.3799999997,2097328.0700000003,10025887.9199999999,
FS(3),1987287.5199999998,1997483.8499999999,1976453.2800000000,1994341.8499999999,2112695.6600000001,10068262.1599999983,
FS(4),2015583.0399999998,2017972.5000000000,1995584.9900000000,1993964.6399999999,2113427.4500000002,10136532.6199999992,
FS(5),2029935.8399999999,2020848.0999999999,2032376.7400000000,2044510.7800000000,2037321.2900000003,10164992.7500000000,
FS(6),2072174.0799999998,1980230.2500000000,2036791.7500000000,2027913.5399999998,2078301.5300000000,10195411.1500000004,
FS(7),2070533.7600000000,1971603.4500000000,2039735.0899999999,2113917.4199999999,2130258.6200000001,10326048.3399999999,
FS(8),2105800.6400000001,1955068.7500000000,2023546.7200000000,2098829.0200000000,2127331.4600000000,10310576.5899999999,
FS(9),2090217.5999999999,1949317.5499999998,2020603.3800000001,2086003.8799999997,2104645.9700000002,10250788.3799999990,
FS(10),2135326.3999999999,1976276.2999999998,2011773.3599999999,2075819.2100000000,2027076.2300000002,10226271.5000000000,
FS(11),2147218.7199999997,2029834.3499999999,2104488.5700000003,2086381.0899999999,2143430.8400000003,10511353.5699999984,
FS(12),2168542.8799999999,2029474.8999999999,2136865.3100000001,2094679.7100000000,2147089.7900000000,10576652.5899999999,
FS(13),2174284.0000000000,2048885.2000000000,2155997.0200000005,2162200.3000000003,2091473.7500000000,10632840.2699999996,
FS(14),2167722.7199999997,2017972.5000000000,2154525.3500000001,2153901.6800000002,2092205.5400000003,10586327.7899999991,
FS(15),2179204.9600000000,2006110.6500000001,2154525.3500000001,2159182.6200000001,2018294.7500000000,10517318.3300000001,
FS(16),2147628.7999999998,1996405.5000000000,2145695.3300000001,2159559.8300000001,1952433.6500000001,10401723.1100000013,
FS(17),2123844.1599999997,2017253.5999999999,2139808.6499999999,2181815.2200000002,1904867.3000000003,10367588.9299999978,
FS(18),2112772.0000000000,2047087.9500000000,2157468.6900000004,2188227.7900000000,1854373.7900000003,10359930.2199999988,
FS(19),2176334.3999999999,2054995.8500000001,2170713.7200000002,2193885.9399999999,1888036.1300000001,10483966.0399999991,
FS(20),2239896.7999999998,2054995.8500000001,2210448.8100000001,2184455.6899999999,1879254.6500000001,10569051.8000000007,
FS(21),2220623.0399999996,2051401.3499999999,2381162.5300000003,2184832.8999999999,1832420.0900000001,10670439.9099999983,
FS(22),2136966.7199999997,2039539.5000000000,2300220.6800000002,2135795.6000000001,1814125.3400000001,10426647.8399999999,
FS(23),2107851.0399999996,2038461.1499999999,2282560.6400000001,2140699.3300000001,1776804.0500000003,10346376.2099999990,
FS(24),2143938.0800000001,2034866.6499999999,2310522.3700000001,2138058.8599999999,1759241.0900000001,10386627.0499999989,
FS(25),2144348.1599999997,2064700.9999999998,2320824.0600000001,2151261.2100000000,1784121.9500000002,10465256.3799999990,
FS(26),2123844.1599999997,2053917.5000000000,2334069.0900000003,2148243.5300000003,1833151.8800000001,10493226.1599999983,
FS(27),2144758.2399999998,2044212.3499999999,2356144.1400000006,2174648.2300000000,1768022.5700000001,10487785.5299999993,
FS(28),2160751.3599999999,2038101.7000000000,2339955.7700000005,2171253.3400000003,1805343.8600000003,10515406.0299999993,
FS(29),2118513.1199999996,2037382.8000000000,2326710.7400000002,2168990.0800000001,1846324.1000000001,10497920.8399999999,
FS(30),2128355.0399999996,2050682.4500000000,2342899.1100000003,2159937.0400000000,1777535.8400000001,10459409.4799999986,
FS(31),2153369.9199999999,2066857.7000000000,2388520.8800000004,2161823.0900000003,1819979.6600000001,10590551.2500000000,
FS(32),2122613.9199999999,2092019.2000000000,2389992.5499999998,2159182.6200000001,1796562.3800000001,10560370.6699999999,
FS(33),2181255.3599999999,2112867.3000000003,2394407.5600000001,2166726.8199999998,1789244.4800000002,10644501.5199999996,
FS(34),2191917.4399999999,2130839.8000000003,2431199.3100000001,2179929.1699999999,1823638.6100000003,10757524.3300000001,
FS(35),2127944.9600000000,2117899.6000000001,2394407.5600000001,2192754.3100000001,1899744.7700000003,10732751.1999999993,
FS(36),2076274.8799999999,2096692.0499999998,2382634.2000000002,2168612.8700000001,1838274.4100000001,10562488.4100000001,
FS(37),2094318.3999999999,2138747.7000000002,2398822.5700000003,2192754.3100000001,1881450.0200000003,10706093.0000000000,
FS(38),2045928.9600000000,2136231.5500000003,2360559.1499999999,2174271.0200000000,1891695.0800000003,10608685.7599999998,
FS(39),1980316.1599999999,2127964.2000000002,2345842.4500000002,2146357.4800000000,1852178.4200000002,10452658.7099999990,
FS(40),1958171.8399999999,2121494.1000000001,2357615.8100000001,2156919.3599999999,1939261.4300000002,10533462.5399999991,
FS(41),1936437.5999999999,2107835.0000000000,2301692.3500000001,2158805.4100000001,1893890.4500000002,10398660.8099999987,
FS(42),2001640.3199999998,2125807.5000000000,2344370.7800000003,2245940.9199999999,1937066.0600000001,10654825.5800000001,
FS(43),1960222.2399999998,2106756.6500000004,2288447.3200000003,2187850.5800000001,1899012.9800000002,10442289.7699999996,
FS(44),1979496.0000000000,2126526.3999999999,2300220.6800000002,2223685.5300000003,1933407.1100000003,10563335.7199999988,
FS(45),1972524.6399999999,2129402.0000000005,2306107.3600000003,2209728.7600000002,1969264.8200000001,10587027.5800000001,
FS(46),1971294.3999999999,2167144.2500000000,2307579.0300000003,2226703.2100000000,2039516.6600000001,10712237.5500000007,
FS(47),2041008.0000000000,2209918.8000000003,2382634.2000000002,2281021.4500000002,2064397.5200000003,10978979.9699999988,
FS(48),2037317.2799999998,2218545.6000000001,2375275.8500000001,2302522.4199999999,2098059.8600000003,11031721.0099999998,
FS(49),2105800.6400000001,2251615.0000000000,2403237.5800000001,2333076.4300000002,2131722.2000000002,11225451.8499999996,
FS(50),2063562.3999999999,2238674.8000000003,2372332.5100000002,2333453.6400000001,2120013.5600000001,11128036.9100000001,
FS(51),2078325.2799999998,2258444.5500000003,2388520.8800000004,2347410.4100000001,2149285.1600000001,11221986.2799999993,
FS(52),2061922.0799999998,2234720.8500000001,2357615.8100000001,2312329.8799999999,2104645.9700000002,11071234.5899999999,
FS(53),2078325.2799999998,2285403.3000000003,2370860.8400000003,2324023.3900000001,2128063.2500000000,11186676.0600000005,
FS(54),2152139.6799999997,2319551.0500000003,2431199.3100000001,2348919.2500000000,2133185.7800000003,11384995.0699999984,
FS(55),2154190.0800000001,2285043.8500000001,2389992.5499999998,2350428.0900000003,2120013.5600000001,11299668.1300000008,
FS(56),2133276.0000000000,2299781.3000000003,2370860.8400000003,2354200.1899999999,2112695.6600000001,11270813.9900000002,
FS(57),2109081.2799999998,2279292.6499999999,2338484.1000000001,2344392.7300000000,2095132.7000000002,11166383.4599999990,
FS(58),2120153.4399999999,2299421.8500000001,2351729.1300000004,2331190.3799999999,2090010.1700000002,11192504.9700000007,
FS(59),2158290.8799999999,2300140.7500000005,2372332.5100000002,2366270.9100000001,2128063.2500000000,11325098.2999999989,
FS(60),2131225.5999999996,2308408.1000000001,2373804.1800000002,2368911.3799999999,2163189.1699999999,11345538.4299999997,
FS(61),2170593.2799999998,2316675.4500000002,2417954.2800000003,2371551.8500000001,2161725.5900000003,11438500.4499999993,
FS(62),2150909.4399999999,2286122.2000000002,2392935.8900000006,2356840.6600000001,2154407.6900000004,11341215.8799999990,
FS(63),2149269.1199999996,2273541.4500000002,2387049.2100000000,2351936.9300000002,2098059.8600000003,11259856.5699999984,
FS(64),2202989.5999999996,2283965.5000000000,2406180.9200000004,2373060.6899999999,2100255.2300000000,11366451.9399999995,
FS(65),2205450.0800000001,2246582.7000000002,2404709.2500000000,2383622.5699999998,2070251.8400000001,11310616.4399999995,
FS(66),2205040.0000000000,2227531.8500000001,2379690.8600000003,2359858.3400000003,2000000.0000000000,11172121.0500000007,
FS(67),2242357.2799999998,2213872.7500000005,2366445.8300000001,2361367.1800000002,2009513.2700000003,11193556.3099999987,
FS(68),2289106.3999999999,2226094.0500000003,2375275.8500000001,2356463.4500000002,2070983.6300000001,11317923.3799999990,
FS(69),2282545.1199999996,2178646.6500000004,2337012.4300000002,2333830.8500000001,2082692.2700000003,11214727.3199999984,
FS(70),2274753.5999999996,2178287.2000000002,2279617.3000000003,2347787.6200000001,2085619.4300000002,11166065.1500000004,
FS(71),2255889.9199999999,2194462.4500000002,2307579.0300000003,2347787.6200000001,2218073.4199999999,11323792.4399999995,
FS(72),2280084.6400000001,2216388.8999999999,2350257.4600000004,2351559.7200000002,2230513.8500000001,11428804.5700000003,
FS(73),2298538.2399999998,2233642.5000000000,2360559.1499999999,2376832.7900000000,2264907.9800000000,11534480.6600000001,
FS(74),2282955.1999999997,2228610.2000000002,2367917.5000000000,2343261.1000000001,2291984.2100000000,11514728.2099999990,
FS(75),2260810.8799999999,2243707.1000000001,2356144.1400000006,2344769.9399999999,2356381.7300000004,11561813.7900000010,
FS(76),2233745.5999999996,2225734.6000000001,2326710.7400000002,2323268.9700000002,2328573.7100000000,11438033.6199999992,
FS(77),2191507.3599999999,2234720.8500000001,2370860.8400000003,2321760.1299999999,2308083.5900000003,11426932.7699999996,
FS(78),2226774.2399999998,2252333.8999999999,2387049.2100000000,2312329.8799999999,2354186.3600000003,11532673.5899999999,
FS(79),2259580.6400000001,2263476.8500000001,2394407.5600000001,2312329.8799999999,2365163.2100000000,11594958.1399999987,
FS(80),2253839.5200000000,2277495.4000000004,2407652.5900000003,2312707.0900000003,2313937.9100000001,11565632.5099999998,
FS(81),2275163.6799999997,2279652.1000000001,2400294.2400000002,2311575.4600000000,2318328.6500000004,11585014.1300000008,
FS(82),2261220.9600000000,2286481.6500000004,2410595.9300000002,2310443.8300000001,2297106.7400000002,11565849.1100000013,
FS(83),2264091.5200000000,2285762.7500000005,2435614.3200000003,2322891.7600000002,2257590.0800000001,11565950.4300000016,
FS(84),2253839.5200000000,2260601.2500000000,2434142.6499999999,2314970.3500000001,2269298.7200000002,11532852.4900000002,
FS(85),2219802.8799999999,2244426.0000000000,2431199.3100000001,2287056.8100000001,2230513.8500000001,11412998.8499999996,
FS(86),2303869.2799999998,2256647.3000000003,2404709.2500000000,2305540.1000000001,2307351.8000000003,11578117.7299999986,
FS(87),2379324.0000000000,2239393.7000000002,2413539.2700000000,2306294.5200000000,2303692.8500000001,11642244.3399999999,
FS(88),2451498.0800000001,2208840.4500000002,2398822.5700000003,2295355.4300000002,2326378.3400000003,11680894.8700000010,
FS(89),2550737.4399999999,2225015.7000000002,2422369.2900000005,2282907.5000000000,2415656.7200000002,11896686.6499999985,
FS(90),2526132.6400000001,2222859.0000000005,2417954.2800000003,2279889.8199999998,2392971.2300000004,11839806.9700000007,
FS(91),2496196.7999999998,2240112.6000000001,2388520.8800000004,2270836.7800000003,2409070.6100000003,11804737.6699999999,
FS(92),2478153.2799999998,2252333.8999999999,2384105.8700000001,2296864.2700000000,2345404.8799999999,11756862.1999999974,
FS(93),2508089.1199999996,2249817.7500000005,2406180.9200000004,2320628.5000000000,2381262.5900000003,11865978.8800000008,
FS(94),2524492.3199999998,2251974.4500000002,2391464.2200000002,2322891.7600000002,2438342.2100000000,11929164.9599999990,
FS(95),2494146.3999999999,2238674.8000000003,2369389.1700000004,2294223.8000000003,2469809.1800000002,11866243.3499999996,
FS(96),2487175.0399999996,2281808.8000000003,2381162.5300000003,2328172.7000000002,2570796.2000000002,12049115.2699999977,
FS(97),2468721.4399999999,2264914.6499999999,2362030.8200000003,2280267.0300000003,2528352.3799999999,11904286.3199999984,
FS(98),2427713.4399999999,2271744.2000000002,2341427.4400000004,2257257.2200000002,2422242.8300000001,11720385.1300000008,
FS(99),2369072.0000000000,2278573.7500000000,2317880.7200000002,2274986.0900000003,2426633.5699999998,11667146.1300000008,
FS(100),2369482.0800000001,2267790.2500000005,2342899.1100000003,2287056.8100000001,2414924.9300000002,11682153.1799999997,
FS(101),2366611.5200000000,2293670.6500000004,2345842.4500000002,2289320.0699999998,2373944.6899999999,11669389.3799999990,
FS(102),2539665.2799999998,2290795.0500000003,2354672.4700000002,2293846.5900000003,2432487.8900000001,11911467.2800000012,
FS(103),2565500.3199999998,2258444.5500000003,2337012.4300000002,2326663.8599999999,2446391.9000000004,11934013.0600000005,
FS(104),2485124.6400000001,2244066.5500000003,2345842.4500000002,2321760.1299999999,2414924.9300000002,11811718.6999999993,
FS(105),2530233.4399999999,2296546.2500000000,2357615.8100000001,2338357.3700000001,2424438.2000000002,11947191.0700000003,
FS(106),2540075.3599999999,2301578.5500000003,2351729.1300000004,2372683.4800000000,2491762.8799999999,12057829.3999999985,
FS(107),2520391.5200000000,2343993.6499999999,2354672.4700000002,2363253.2300000000,2438342.2100000000,12020653.0799999982,
FS(108),2432634.3999999999,2302656.9000000004,2284032.3100000001,2316101.9800000000,2375408.2700000000,11710833.8599999994,
FS(109),2394907.0399999996,2277854.8500000001,2270787.2800000003,2312329.8799999999,2381262.5900000003,11637141.6399999987,
FS(110),2373992.9600000000,2261679.6000000001,2256070.5800000001,2301390.7900000000,2371749.3199999998,11564883.2500000000,
FS(111),2449857.7599999998,2285043.8500000001,2300220.6800000002,2329681.5400000000,2414924.9300000002,11779728.7599999998,
FS(112),2441656.1599999997,2273541.4500000002,2304635.6900000004,2326286.6499999999,2393703.0200000000,11739822.9699999988,
FS(113),2484714.5600000001,2292951.7500000000,2316409.0500000003,2337225.7400000002,2423706.4100000001,11855007.5099999998,
FS(114),2446167.0399999996,2285762.7500000005,2298749.0100000002,2329681.5400000000,2354918.1500000004,11715278.4900000002,
FS(115),2512189.9199999999,2300859.6500000004,2341427.4400000004,2370043.0100000002,2314669.7000000002,11839189.7199999988,
FS(116),2535154.3999999999,2309845.9000000004,2372332.5100000002,2370797.4300000002,2381994.3799999999,11970124.6199999992,
FS(117),2579032.9600000000,2317753.8000000003,2370860.8400000003,2391166.7700000000,2392239.4399999999,12051053.8100000005,
FS(118),2607738.5600000001,2327099.5000000000,2367917.5000000000,2393430.0300000003,2337355.1900000004,12033540.7799999993,
