代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12511504.7600000016
真實報酬,2511504.7600000016
趨勢值,0.1229719894

選擇檔數,4
找到最佳解世代,1837
找到最佳解實驗,1
Stock#,BA,MCD,PG,UNH,
分配資金,2500000,2500000,2500000,2500000,
張數,47975,44060,44154,100847,
剩餘資金,22.7500000000,35.5999999999,0.5200000001,2.8700000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2465937.7500000000,2498678.2000000002,2505740.0200000000,2448568.0300000003,9918924.0000000000,
FS(3),2508155.7500000000,2494272.2000000002,2502649.2400000002,2424364.7500000000,9929441.9399999995,
FS(4),2508635.5000000000,2530842.0000000000,2518103.1400000001,2458652.7300000000,10016233.3699999992,
FS(5),2484648.0000000000,2517624.0000000000,2514570.8200000003,2526220.2200000002,10043063.0400000010,
FS(6),2509115.2500000000,2505727.7999999998,2545478.6200000001,2436466.3900000001,9996788.0600000005,
FS(7),2527825.5000000000,2498237.6000000001,2541504.7600000002,2487898.3600000003,10055466.2200000007,
FS(8),2478411.2500000000,2497356.3999999999,2538855.5200000000,2544372.6800000002,10058995.8499999996,
FS(9),2489925.2500000000,2513658.6000000001,2528258.5600000001,2449576.5000000000,9981418.9100000001,
FS(10),2519190.0000000000,2533485.6000000001,2530466.2600000002,2508067.7600000002,10091209.6200000010,
FS(11),2483208.7500000000,2564327.6000000001,2527375.4800000000,2475796.7200000002,10050708.5500000007,
FS(12),2551813.0000000000,2589882.4000000004,2536206.2799999998,2465712.0200000000,10143613.6999999993,
FS(13),2564286.5000000000,2611912.4000000004,2551660.1800000002,2513110.1100000003,10240969.1899999995,
FS(14),2489445.5000000000,2596050.8000000003,2566672.5400000000,2617990.9900000002,10270159.8300000001,
FS(15),2428997.0000000000,2570055.3999999999,2538413.9800000000,2533279.5100000002,10070745.8900000006,
FS(16),2450106.0000000000,2621605.6000000001,2566672.5400000000,2592779.2400000002,10231163.3800000008,
FS(17),2393495.5000000000,2618521.3999999999,2545037.0800000001,2606897.8200000003,10163951.7999999989,
FS(18),2316735.5000000000,2608387.6000000001,2512363.1200000001,2552440.4399999999,9989926.6600000001,
FS(19),2290829.0000000000,2600456.8000000003,2524726.2400000002,2672448.3700000001,10088460.4100000001,
FS(20),2265402.2500000000,2583714.0000000000,2526933.9399999999,2609923.2300000000,9985973.4199999999,
FS(21),2341682.5000000000,2605744.0000000000,2628929.6800000002,2669422.9600000000,10245779.1400000006,
FS(22),2293227.7500000000,2582392.2000000002,2560932.5200000000,2616982.5200000000,10053534.9900000002,
FS(23),2315776.0000000000,2606625.1999999997,2602878.8200000003,2664380.6100000003,10189660.6299999990,
FS(24),2307620.2500000000,2610150.0000000000,2586541.8399999999,2713795.6400000001,10218107.7300000004,
FS(25),2306181.0000000000,2656413.0000000000,2606411.1400000001,2810608.7600000002,10379613.9000000004,
FS(26),2387738.5000000000,2708844.3999999999,2669992.8999999999,2844896.7400000002,10611472.5399999991,
FS(27),2383420.7500000000,2719418.7999999998,2695160.6800000002,2891286.3600000003,10689286.5899999999,
FS(28),2463539.0000000000,2759954.0000000000,2730925.4199999999,2937675.9800000000,10892094.4000000004,
FS(29),2414124.7500000000,2744092.4000000004,2731366.9600000000,2921540.4600000000,10811124.5700000003,
FS(30),2431395.7500000000,2768325.3999999999,2747703.9399999999,2961879.2600000002,10909304.3499999996,
FS(31),2412205.7500000000,2739245.8000000003,2706640.7199999997,2900362.5900000003,10758454.8600000013,
FS(32),2431395.7500000000,2801370.3999999999,2720328.4600000000,2932633.6299999999,10885728.2400000002,
FS(33),2517750.7500000000,2843227.4000000004,2749470.1000000001,2939692.9199999999,11050141.1699999999,
FS(34),2520149.5000000000,2800929.8000000003,2751236.2600000002,2921540.4600000000,10993856.0200000014,
FS(35),2495682.2500000000,2818994.3999999999,2755651.6599999997,2911455.7600000002,10981784.0700000003,
FS(36),2467377.0000000000,2793880.1999999997,2744171.6200000001,2887252.4800000000,10892681.2999999989,
FS(37),2480330.2500000000,2818553.7999999998,2728717.7199999997,2880193.1899999999,10907794.9600000009,
FS(38),2524947.0000000000,2819435.0000000000,2769780.9399999999,2932633.6299999999,11046796.5700000003,
FS(39),2493283.5000000000,2829568.7999999998,2772871.7199999997,2981040.1899999999,11076764.2100000009,
FS(40),2539339.5000000000,2839702.6000000001,2775962.5000000000,2979023.2500000000,11134027.8499999996,
FS(41),2516311.5000000000,2802251.6000000001,2758742.4399999999,2968938.5500000003,11046244.0899999999,
FS(42),2514392.5000000000,2786830.6000000001,2753002.4199999999,2891286.3600000003,10945511.8800000008,
FS(43),2577239.7500000000,2799608.0000000000,2777728.6599999997,2894311.7700000000,11048888.1799999997,
FS(44),2580118.2500000000,2753785.6000000001,2790091.7799999998,2852964.5000000000,10976960.1300000008,
FS(45),2579638.5000000000,2730433.7999999998,2762274.7600000002,2756151.3799999999,10828498.4400000013,
FS(46),2623295.7500000000,2713691.0000000005,2764040.9199999999,2769261.4900000002,10870289.1600000001,
FS(47),2677987.2500000000,2728671.3999999999,2758300.8999999999,2853972.9700000002,11018932.5199999996,
FS(48),2670311.2500000000,2670512.2000000002,2731808.5000000000,2870108.4900000002,10942740.4399999995,
FS(49),2661196.0000000000,2670071.6000000001,2748145.4800000000,2874142.3700000001,10953555.4500000011,
FS(50),2639127.5000000000,2689898.6000000001,2748145.4800000000,3056675.4399999999,11133847.0199999996,
FS(51),2667432.7500000000,2716775.1999999997,2752560.8800000004,3073819.4300000002,11210588.2599999998,
FS(52),2689021.5000000000,2737924.0000000000,2782144.0600000001,3121217.5200000000,11330307.0800000001,
FS(53),2670791.0000000000,2731755.6000000001,2742847.0000000000,3158530.9100000001,11303924.5099999998,
FS(54),2644884.5000000000,2750260.8000000003,2744613.1599999997,3247276.2700000005,11387034.7300000004,
FS(55),2613221.0000000000,2728230.8000000003,2719445.3800000004,3208954.4100000001,11269851.5899999999,
FS(56),2563806.7500000000,2739245.8000000003,2717679.2199999997,3180717.2500000000,11201449.0200000014,
FS(57),2605065.2500000000,2760835.1999999997,2706640.7199999997,3244250.8600000003,11316792.0299999993,
FS(58),2643445.2500000000,2774493.7999999998,2706640.7199999997,3259377.9100000001,11383957.6799999997,
FS(59),2636728.7500000000,2791677.2000000002,2707082.2600000002,3188785.0100000002,11324273.2200000007,
FS(60),2661675.7500000000,2794320.8000000003,2705757.6400000001,3194835.8300000001,11356590.0200000014,
FS(61),2645364.2500000000,2802692.2000000002,2704433.0200000000,3165590.2000000002,11318079.6699999999,
FS(62),2648722.5000000000,2801811.0000000005,2719003.8399999999,3111132.8200000003,11280670.1600000001,
FS(63),2636728.7500000000,2770969.0000000000,2709731.5000000000,3127268.3400000003,11244697.5899999999,
FS(64),2596909.5000000000,2751142.0000000000,2677057.5400000000,3073819.4300000002,11098928.4700000007,
FS(65),2695258.2500000000,2766122.4000000004,2698693.0000000000,3179708.7800000003,11339782.4299999997,
FS(66),2783532.2500000000,2744973.6000000001,2699576.0800000001,3174666.4300000002,11402748.3599999994,
FS(67),2867968.2500000000,2707522.6000000001,2686771.4199999999,3205929.0000000000,11468191.2700000014,
FS(68),2984067.7500000000,2727349.6000000001,2672200.6000000001,3328962.3399999999,11712580.2900000010,
FS(69),2955282.7500000000,2724706.0000000005,2668668.2799999998,3297699.7700000005,11646356.8000000007,
FS(70),2920261.0000000000,2745854.8000000003,2658071.3200000003,3319886.1100000003,11644073.2300000004,
FS(71),2899152.0000000000,2760835.1999999997,2688537.5800000001,3232149.2199999997,11580674.0000000000,
FS(72),2934173.7500000000,2757751.0000000005,2716354.6000000001,3281564.2500000000,11689843.6000000015,
FS(73),2953363.7500000000,2760394.6000000001,2719003.8399999999,3360224.9100000001,11792987.0999999996,
FS(74),2917862.2500000000,2744092.4000000004,2685446.7999999998,3403589.1200000001,11750990.5700000003,
