代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14531718.0100000016
真實報酬,4531718.0100000016
趨勢值,0.1197091182

選擇檔數,2
找到最佳解世代,1564
找到最佳解實驗,1
Stock#,BA,HD,
分配資金,5000000,5000000,
張數,103584,199521,
剩餘資金,0.3199999997,3.7400000003,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4982390.7199999997,4988028.7400000002,9970419.4600000009,
FS(3),4979283.1999999993,4980047.9000000004,9959331.1000000015,
FS(4),5155376.0000000000,5113726.9699999997,10269102.9700000007,
FS(5),5146053.4399999995,5203511.4199999999,10349564.8599999994,
FS(6),5319038.7199999997,5349161.7500000000,10668200.4700000007,
FS(7),5212347.1999999993,5351156.9600000000,10563504.1600000001,
FS(8),5249637.4399999995,5448922.2500000000,10698559.6899999995,
FS(9),5208203.8399999999,5434955.7800000003,10643159.6200000010,
FS(10),5249637.4399999995,5454907.8799999999,10704545.3200000003,
FS(11),5436088.6399999987,5516759.3899999997,10952848.0299999993,
FS(12),5441267.8399999999,5385075.5300000003,10826343.3700000010,
FS(13),5388440.0000000000,5444931.8300000001,10833371.8300000001,
FS(14),5327325.4399999995,5409018.0499999998,10736343.4900000002,
FS(15),5355293.1200000001,5422984.5200000005,10778277.6400000006,
FS(16),5451626.2399999993,5488826.4500000002,10940452.6900000013,
FS(17),5383260.7999999989,5498802.5000000000,10882063.2999999989,
FS(18),5482701.4399999995,5556663.5900000008,11039365.0300000012,
FS(19),5432981.1200000001,5508778.5499999998,10941759.6700000018,
FS(20),5428837.7599999988,5458898.2999999998,10887736.0600000005,
FS(21),5564532.7999999989,5586591.7400000002,11151124.5400000010,
FS(22),5570747.8399999999,5652433.6699999999,11223181.5099999998,
FS(23),5569712.0000000000,5572625.2700000005,11142337.2700000014,
FS(24),5663973.4399999995,5602553.4199999999,11266526.8599999994,
FS(25),5782059.1999999993,5630486.3600000003,11412545.5600000005,
FS(26),5765485.7599999988,5520749.8100000005,11286235.5700000003,
FS(27),5745804.7999999989,5496807.2900000000,11242612.0899999999,
FS(28),5698156.1599999992,5584596.5300000003,11282752.6899999995,
FS(29),5759270.7199999997,5684357.0300000003,11443627.7500000000,
FS(30),5805883.5199999986,5760175.0100000007,11566058.5299999993,
FS(31),5766521.5999999996,5790103.1600000001,11556624.7599999998,
FS(32),5710586.2399999993,5778131.9000000004,11488718.1400000006,
FS(33),5642220.7999999989,5746208.5400000000,11388429.3399999999,
FS(34),5535529.2799999993,5716280.3899999997,11251809.6699999999,
FS(35),5624611.5199999986,5778131.9000000004,11402743.4199999999,
FS(36),5707478.7199999997,5843973.8300000001,11551452.5500000007,
FS(37),5692976.9599999990,5786112.7400000002,11479089.7000000011,
FS(38),5746840.6399999987,5820031.3100000005,11566871.9500000011,
FS(39),5711622.0799999991,5822026.5200000005,11533648.5999999996,
FS(40),5718872.9599999990,5839983.4100000001,11558856.3699999992,
