代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11754563.5000000000
真實報酬,1754563.5000000000
趨勢值,0.0616497345

選擇檔數,3
找到最佳解世代,2464
找到最佳解實驗,1
Stock#,AAPL,HD,UNH,
分配資金,3333333,3333333,3333333,
張數,118455,119047,116144,
剩餘資金,9.2999999999,17.0000000000,0.2000000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3320302.9499999997,3372618.5099999998,3285713.9600000000,9978636.4199999999,
FS(3),3325041.1499999999,3324999.7100000000,3174215.7200000002,9824257.5800000001,
FS(4),3271736.3999999999,3342856.7599999998,3189314.4400000004,9803908.5999999996,
FS(5),3197109.7499999995,3359523.3399999999,3286875.4000000004,9843509.4900000002,
FS(6),3212508.8999999999,3294047.4900000002,3305458.4400000004,9812015.8300000001,
FS(7),3347547.6000000001,3279761.8500000001,3310104.2000000002,9937414.6500000004,
FS(8),3323856.5999999996,3332142.5299999998,3520324.8399999999,10176324.9700000007,
FS(9),3294242.8499999996,3391666.0299999998,3540069.3200000003,10225979.1999999993,
FS(10),3333333.0000000000,3436903.8900000001,3594657.0000000000,10364894.8900000006,
FS(11),3285950.9999999995,3454760.9399999999,3637630.2800000003,10378343.2199999988,
FS(12),3300165.5999999996,3447618.1200000001,3739837.0000000005,10487621.7200000007,
FS(13),3246860.8499999996,3428570.6000000001,3695702.2800000003,10371134.7299999986,
FS(14),3307272.8999999999,3410713.5499999998,3663181.9600000000,10381169.4100000001,
FS(15),3354654.8999999999,3447618.1200000001,3736352.6800000002,10538626.6999999993,
FS(16),3390191.3999999999,3486903.6299999999,3753774.2800000003,10630870.3100000005,
FS(17),3419805.1499999999,3452380.0000000000,3672473.4800000004,10544659.6299999990,
FS(18),3537075.5999999996,3472617.9900000002,3679442.1200000001,10689136.7100000009,
FS(19),3580903.9499999997,3473808.4600000000,3645760.3600000003,10700473.7699999996,
FS(20),3538260.1499999999,3484522.6899999999,3583042.6000000006,10605826.4399999995,
FS(21),3580903.9499999997,3467856.1099999999,3601625.6400000006,10650386.6999999993,
FS(22),3565504.7999999998,3444046.7100000000,3540069.3200000003,10549621.8300000001,
FS(23),3621178.6499999999,3413094.4900000002,3662020.5200000005,10696294.6600000001,
FS(24),3628285.9499999997,3438094.3599999999,3656213.3200000003,10722594.6299999990,
FS(25),3570243.0000000000,3426189.6600000001,3692217.9600000000,10688651.6200000010,
FS(26),3563135.6999999997,3466665.6400000001,3833913.6400000001,10863715.9800000004,
FS(27),3586826.6999999997,3449999.0600000001,3797909.0000000005,10834735.7599999998,
FS(28),3556028.3999999999,3352380.5200000000,3823460.6800000002,10731870.5999999996,
FS(29),3514569.1499999999,3330952.0600000001,3722415.3999999999,10567937.6099999994,
FS(30),3564320.2500000000,3348809.1099999999,3779325.9600000000,10692456.3200000003,
FS(31),3544182.8999999999,3369047.1000000001,3869918.2800000003,10783149.2799999993,
FS(32),3484955.3999999999,3401189.7900000000,3919860.2000000002,10806006.3900000006,
FS(33),3638946.8999999999,3438094.3599999999,4080138.9200000004,11157181.1799999997,
FS(34),3583273.0499999998,3411904.0200000000,4012775.3999999999,11007953.4699999988,
FS(35),3520491.8999999999,3390475.5600000001,3844366.6000000006,10755335.0600000005,
FS(36),3346363.0499999998,3299999.8399999999,3851335.2399999998,10497699.1299999990,
FS(37),3436388.8500000001,3288095.1400000001,3832752.2000000002,10557237.1900000013,
FS(38),3484955.3999999999,3301190.3100000001,3767711.5600000001,10553858.2699999996,
FS(39),3518122.7999999998,3314285.4800000000,3860626.7600000002,10693036.0400000010,
FS(40),3372423.1499999999,3254761.9800000000,3882694.1200000001,10509880.2500000000,
FS(41),3250414.5000000000,3334523.4700000002,3832752.2000000002,10417691.1699999999,
FS(42),3295427.3999999999,3379761.3300000001,3847850.9200000004,10523040.6500000004,
FS(43),3314380.1999999997,3455951.4100000001,3954703.3999999999,10725036.0099999998,
FS(44),3371238.6000000001,3389285.0899999999,3869918.2800000003,10630442.9700000007,
FS(45),3250414.5000000000,3324999.7100000000,3770034.4400000004,10345449.6500000004,
FS(46),3307272.8999999999,3330952.0600000001,3779325.9600000000,10417551.9199999999,
FS(47),3284766.4499999997,3403570.7300000000,3764227.2399999998,10452565.4199999999,
FS(48),3320302.9499999997,3436903.8900000001,3832752.2000000002,10589960.0399999991,
FS(49),3301350.1499999999,3410713.5499999998,3799070.4400000004,10511135.1400000006,
FS(50),3361762.1999999997,3451189.5299999998,3846689.4800000000,10659642.2099999990,
FS(51),3391375.9499999997,3452380.0000000000,3737514.1200000001,10581271.0700000003,
FS(52),3442311.5999999996,3504760.6800000002,3673634.9199999999,10620708.1999999993,
FS(53),3428097.0000000000,3573807.9399999999,3780487.3999999999,10782393.3399999999,
FS(54),3434019.7499999995,3607141.1000000001,3796747.5600000001,10837909.4100000001,
FS(55),3412697.8499999996,3589284.0499999998,3709639.5600000005,10711622.4599999990,
FS(56),3391375.9499999997,3609522.0400000000,3842043.7200000002,10842942.7099999990,
FS(57),3334517.5499999998,3660712.2500000000,3810684.8400000003,10805915.6400000006,
FS(58),3396114.1499999999,3733330.9199999999,3904761.4800000000,11034207.5500000007,
FS(59),3418620.5999999996,3733330.9199999999,3885017.0000000005,11036969.5199999996,
FS(60),3462448.9499999997,3714283.3999999999,3932636.0400000000,11109369.3900000006,
FS(61),3537075.5999999996,3741664.2100000000,3953541.9600000000,11232282.7699999996,
FS(62),3534706.5000000000,3733330.9199999999,3943089.0000000005,11211127.4199999999,
FS(63),3541813.7999999998,3746426.0899999999,3960510.6000000006,11248751.4900000002,
FS(64),3565504.7999999998,3742854.6800000002,3826945.0000000005,11135305.4800000004,
FS(65),3705281.6999999997,3785711.6000000001,3918698.7600000002,11409693.0600000005,
FS(66),3707650.7999999998,3804759.1200000001,3844366.6000000006,11356777.5199999996,
FS(67),3773985.5999999996,3771425.9600000000,3842043.7200000002,11387456.2799999993,
FS(68),3804783.8999999994,3774997.3700000001,3860626.7600000002,11440409.0299999993,
FS(69),3815444.8500000001,3824997.1100000003,3890824.2000000002,11531267.1600000001,
FS(70),3834397.6499999994,3863092.1500000004,3822299.2399999998,11519790.0399999991,
FS(71),3788200.1999999997,3891663.4299999997,3778164.5200000005,11458029.1500000004,
FS(72),3797676.6000000001,3874996.8499999996,3838559.3999999999,11511233.8499999996,
FS(73),3792938.4000000004,3871425.4400000004,3803716.2000000002,11468081.0400000010,
FS(74),3801230.2500000000,3857139.7999999998,3901277.1600000006,11559648.2100000009,
FS(75),3760955.5499999998,3852377.9199999999,3994192.3600000003,11607526.8300000001,
FS(76),3803599.3499999996,3889282.4900000002,3867595.3999999999,11560478.2400000002,
FS(77),3864011.3999999994,3879758.7300000004,3851335.2399999998,11595106.3699999992,
FS(78),3881779.6500000004,3847616.0400000000,3800231.8799999999,11529628.5700000003,
FS(79),3835582.2000000002,3883330.1399999997,3846689.4800000000,11565602.8200000003,
FS(80),3907839.7500000000,3898806.2500000000,3789778.9200000004,11596425.9199999999,
FS(81),3932715.3000000003,3880949.2000000002,3814169.1600000006,11627834.6600000001,
FS(82),3990758.2499999995,3891663.4299999997,3839720.8400000003,11722143.5199999996,
FS(83),3976543.6499999999,3851187.4500000002,3794424.6800000002,11622156.7799999993,
FS(84),3993127.3500000001,3854758.8600000003,3831590.7600000002,11679477.9700000007,
FS(85),4035771.1499999999,3888092.0199999996,3849012.3600000003,11772876.5299999993,
