代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11888041.3599999975
真實報酬,1888041.3599999975
趨勢值,0.0251633021

選擇檔數,2
找到最佳解世代,1941
找到最佳解實驗,1
Stock#,UNH,VZ,
分配資金,5000000,5000000,
張數,165234,182615,
剩餘資金,19.1599999997,1.3000000002,
FS(1),5000000.0000000000,5000000.0000000000,9999999.9999999981,
FS(2),4872769.8200000003,4908692.5000000000,9781462.3199999984,
FS(3),4957039.1600000001,4895909.4499999993,9852948.6099999994,
FS(4),4831461.3200000003,4782688.1500000004,9614149.4699999988,
FS(5),4795109.8399999999,4813732.6999999993,9608842.5399999991,
FS(6),4937211.0800000001,4884952.5499999998,9822163.6299999990,
FS(7),4932254.0600000005,4848429.5499999998,9780683.6099999994,
FS(8),5009914.0400000000,4899561.7499999991,9909475.7899999991,
FS(9),4986781.2800000003,4897735.5999999996,9884516.8799999990,
FS(10),5021480.4199999999,4868517.2000000002,9889997.6199999992,
FS(11),5029742.1200000001,4894083.2999999998,9923825.4199999999,
FS(12),4986781.2800000003,4852081.8499999996,9838863.1299999990,
FS(13),4955386.8200000003,4868517.2000000002,9823904.0199999996,
FS(14),4785195.8000000007,4738860.5499999998,9524056.3499999996,
FS(15),4742234.9600000000,4773557.4000000004,9515792.3599999994,
FS(16),4763715.3799999999,4693206.7999999998,9456922.1799999978,
FS(17),4770324.7400000002,4678597.5999999996,9448922.3399999999,
FS(18),4757106.0199999996,4598247.0000000000,9355353.0199999977,
FS(19),4844680.0400000000,4709642.1499999994,9554322.1899999995,
FS(20),4803371.5400000000,4698685.2500000000,9502056.7899999991,
FS(21),4788500.4800000004,4645726.9000000004,9434227.3799999990,
FS(22),4942168.1000000006,4709642.1499999994,9651810.2500000000,
FS(23),5033046.8000000007,4718772.8999999994,9751819.6999999993,
FS(24),5013218.7199999997,4645726.9000000004,9658945.6199999992,
FS(25),5033046.8000000007,4623813.0999999996,9656859.9000000004,
FS(26),5104097.4199999999,4726077.5000000000,9830174.9199999981,
FS(27),5044613.1800000006,4742512.8499999996,9787126.0299999993,
FS(28),5072702.9600000000,4839298.7999999998,9912001.7599999998,
FS(29),5067745.9400000004,4875821.7999999998,9943567.7399999984,
FS(30),5054527.2199999997,4888604.8499999996,9943132.0699999984,
FS(31),5153667.6200000001,4970781.5999999996,10124449.2199999988,
FS(32),5186714.4199999999,4981738.5000000000,10168452.9199999999,
FS(33),5204890.1600000001,4967129.2999999998,10172019.4599999990,
FS(34),5176800.3799999999,4972607.7500000000,10149408.1299999990,
FS(35),5147058.2599999998,4961650.8500000006,10108709.1099999994,
FS(36),5062788.9199999999,4961650.8500000006,10024439.7699999996,
FS(37),4991738.3000000007,5007304.6000000006,9999042.9000000004,
FS(38),4917383.0000000000,4945215.4999999991,9862598.4999999981,
FS(39),4937211.0800000001,4873995.6500000004,9811206.7299999986,
FS(40),4823199.6200000001,4901387.8999999994,9724587.5199999996,
FS(41),4730668.5800000001,4886778.7000000002,9617447.2799999993,
FS(42),4692664.7599999998,4784514.2999999998,9477179.0599999987,
FS(43),4601786.0600000005,4802775.7999999998,9404561.8599999994,
FS(44),4676141.3600000003,4895909.4499999993,9572050.8099999987,
FS(45),4773629.4199999999,4859386.4499999993,9633015.8699999992,
FS(46),4824851.9600000000,4842951.0999999996,9667803.0599999987,
FS(47),4904164.2800000003,4890431.0000000000,9794595.2799999993,
FS(48),4952082.1399999997,4866691.0499999998,9818773.1899999976,
FS(49),4963648.5199999996,4837472.6499999994,9801121.1699999981,
FS(50),4980171.9199999999,4910518.6500000004,9890690.5699999984,
FS(51),5009914.0400000000,4901387.8999999994,9911301.9399999995,
