代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12232532.2899999991
真實報酬,2232532.2899999991
趨勢值,0.1249901154

選擇檔數,3
找到最佳解世代,2233
找到最佳解實驗,1
Stock#,KO,MCD,VZ,
分配資金,3333333,3333333,3333333,
張數,129954,50231,131027,
剩餘資金,12.9000000002,3.8400000000,6.1199999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3406107.2400000007,3404158.7099999995,3379192.4499999997,10189459.3999999985,
FS(3),3428199.4200000004,3408177.1899999995,3385743.7999999998,10222121.4100000001,
FS(4),3332033.4600000004,3350411.5400000000,3333333.0000000000,10015779.0000000000,
FS(5),3300844.5000000000,3352923.0899999999,3317609.7599999998,9971378.3499999996,
FS(6),3350227.0200000005,3434799.6199999996,3390984.8799999994,10176012.5199999996,
FS(7),3337231.6200000001,3428771.8999999999,3402777.3099999996,10168781.8300000001,
FS(8),3408706.3200000003,3484528.3100000001,3472221.6199999996,10365457.2500000000,
FS(9),3356724.7200000002,3493067.5800000001,3498427.0199999996,10348220.3200000003,
FS(10),3347627.9400000004,3481012.1399999997,3507598.9099999997,10336239.9899999984,
FS(11),3390512.7600000002,3536266.2400000002,3566561.0599999996,10493341.0599999987,
FS(12),3404807.7000000002,3530740.8300000001,3574422.6799999997,10509972.2099999990,
FS(13),3402208.6200000001,3518685.3899999997,3563940.5199999996,10484835.5299999993,
FS(14),3399609.5400000005,3510146.1199999996,3567871.3299999996,10477627.9900000002,
FS(15),3410005.8600000003,3512155.3599999999,3560009.7100000000,10482171.9299999997,
FS(16),3408706.3200000003,3447859.6799999997,3560009.7100000000,10416576.7099999990,
FS(17),3394411.3800000004,3447357.3699999996,3592766.4600000000,10434536.2099999990,
FS(18),3365821.5000000000,3402149.4700000002,3548217.2799999993,10316189.2499999981,
FS(19),3265756.9200000004,3386577.8599999999,3497116.7500000000,10149452.5299999993,
FS(20),3319038.0600000001,3382057.0699999998,3516770.7999999998,10217866.9299999997,
FS(21),3270955.0800000005,3338356.0999999996,3506288.6399999997,10115600.8199999984,
FS(22),3256660.1400000001,3308719.8100000001,3432913.5199999996,9998294.4699999988,
FS(23),3251461.9800000004,3350913.8499999996,3446016.2199999997,10048393.0499999989,
FS(24),3252761.5200000005,3322282.1799999997,3512839.9899999993,10087884.6899999995,
FS(25),3277452.7800000003,3320775.2500000000,3486634.5899999994,10084863.6199999992,
FS(26),3345028.8600000003,3381052.4500000002,3474842.1599999997,10200924.4699999988,
FS(27),3406107.2400000007,3466947.4599999995,3508909.1799999997,10381964.8799999990,
FS(28),3404807.7000000002,3476993.6599999997,3491875.6699999995,10373678.0299999993,
FS(29),3408706.3200000003,3513159.9799999995,3470911.3499999996,10392778.6499999985,
FS(30),3425600.3400000003,3558367.8799999999,3523322.1499999999,10507291.3699999992,
FS(31),3432098.0400000005,3561381.7400000002,3516770.7999999998,10510251.5800000001,
FS(32),3434697.1200000001,3582981.0699999998,3511529.7199999997,10529208.9099999983,
FS(33),3403508.1600000006,3513159.9799999995,3497116.7500000000,10413785.8900000006,
