代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11694754.9599999990
真實報酬,1694754.9599999990
趨勢值,0.1249652573

選擇檔數,5
找到最佳解世代,2643
找到最佳解實驗,1
Stock#,KO,MCD,PFE,VZ,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,70896,28469,129198,67658,32289,
剩餘資金,23.8399999999,52.7500000000,14.9599999999,29.5200000001,19.3400000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1998582.0799999998,2005693.8000000000,2111110.2799999998,1998646.8399999999,2025185.4200000002,10139218.4199999999,
FS(3),2004962.7200000000,2012526.3599999999,2124030.0800000001,1989174.7200000000,2025185.4200000002,10155879.3000000007,
FS(4),1998582.0799999998,2005693.8000000000,2091730.5800000001,1999323.4200000002,2024862.5300000000,10120192.4100000001,
FS(5),2012052.3199999998,2042418.8099999998,2098190.4800000000,1999323.4200000002,2000968.6700000002,10152953.6999999993,
FS(6),2024813.5999999999,2076012.2300000000,2121446.1200000001,2020297.3999999999,2016467.3900000001,10259036.7400000002,
FS(7),2019850.8799999997,2073734.7100000002,2140825.8199999998,2031122.6799999999,1999677.1100000001,10265211.2000000011,
FS(8),1986529.7599999998,2037579.0799999998,2067182.9600000000,2000000.0000000000,1949952.0500000000,10041243.8499999996,
FS(9),1974477.4399999999,2051528.8900000001,2093022.5599999998,2051420.0800000001,1944785.8100000001,10115234.7799999993,
FS(10),1975895.3599999999,2046689.1599999999,2077518.7999999998,2031799.2600000000,1934453.3300000001,10066355.9100000001,
FS(11),1980858.0799999998,2043842.2600000002,2071058.9000000001,2027063.2000000002,1933484.6600000001,10056307.0999999996,
FS(12),1989365.5999999999,2084552.9299999999,2102066.4199999999,2041271.3800000001,1963836.3200000001,10181092.6500000004,
FS(13),1979440.1599999999,2085407.0000000000,2080102.7600000002,2039918.2200000000,1942202.6899999999,10127070.8300000001,
FS(14),1959589.2799999998,2077435.6799999999,2071058.9000000001,2004059.4800000000,1914434.1500000001,10026577.4900000002,
FS(15),1960298.2399999998,2080567.2700000000,2056847.1199999999,1987144.9800000000,1901518.5500000000,9986376.1600000001,
FS(16),1970932.6399999999,2087969.2100000002,2080102.7600000002,1989851.3000000000,1921214.8400000001,10050070.7500000000,
FS(17),1973059.5199999998,2070318.4299999999,2043927.3200000001,1993910.7800000000,1903133.0000000000,9984349.0499999989,
FS(18),1963843.0399999998,2083698.8599999999,2065890.9800000000,2006765.8000000000,1902164.3300000001,10022363.0099999998,
FS(19),1955335.5199999998,2082844.7899999998,2054263.1599999999,1995940.5200000000,1888280.0600000001,9976664.0500000007,
FS(20),1990783.5199999998,2106474.0600000001,2078810.7800000000,2018944.2400000000,1930901.5400000000,10125914.1399999987,
FS(21),1969514.7200000000,2070887.8099999998,2049095.2400000000,1991881.0400000000,1905070.3400000001,9986449.1500000004,
FS(22),1980858.0799999998,2079997.8900000001,2055555.1399999999,1997970.2600000000,1908622.1300000001,10023003.5000000000,
FS(23),2031903.2000000000,2122132.0100000002,2103358.3999999999,2047360.6000000001,1966742.3300000001,10271496.5400000010,
FS(24),2034030.0799999998,2135797.1299999999,2118862.1599999997,2037211.8999999999,1971585.6800000002,10297486.9499999993,
FS(25),2040410.7200000000,2137789.9600000000,2126614.0400000000,2043301.1199999999,1979980.8200000001,10328096.6600000001,
FS(26),2043246.5599999998,2158002.9499999997,2109818.2999999998,2044654.2800000000,1955118.2900000000,10310840.3799999990,
FS(27),2050336.1599999999,2165974.2700000000,2139533.8399999999,2060892.2000000002,1961576.0900000001,10378312.5600000005,
FS(28),2066642.2399999998,2117292.2800000003,2166665.4199999999,2086602.2400000000,1971262.7900000000,10408464.9699999988,
FS(29),2074440.8000000000,2135512.4399999999,2195088.9800000000,2085249.0800000001,1976106.1400000001,10466397.4400000013,
FS(30),2057425.7599999998,2122986.0799999996,2192505.0200000000,2090661.7200000000,1969648.3400000001,10433226.9199999999,
FS(31),2041828.6399999999,2105050.6099999999,2206716.7999999998,2091338.3000000000,1969971.2300000000,10414905.5800000001,
FS(32),2035448.0000000000,2126971.7399999998,2231264.4199999999,2110282.5400000000,1969648.3400000001,10473615.0399999991,
FS(33),2038992.8000000000,2129533.9499999997,2218344.6200000001,2125843.8800000004,1968679.6700000002,10481394.9199999999,
FS(34),2040410.7200000000,2115868.8299999996,2204132.8399999999,2143434.9600000000,1962544.7600000000,10466392.1099999994,
FS(35),2055298.8799999997,2138359.3399999999,2231264.4199999999,2171174.7400000002,1987407.2900000000,10583504.6699999999,
FS(36),2060261.5999999999,2149746.9399999999,2214468.6800000002,2186736.0800000001,1987084.4000000001,10598297.7000000011,
FS(37),2064515.3599999999,2138928.7199999997,2224804.5200000000,2191472.1400000001,1984178.3900000001,10603899.1300000008,
FS(38),2051754.0799999998,2124978.9100000001,2201548.8799999999,2176587.3800000004,1974491.6899999999,10529360.9399999995,
FS(39),2077985.5999999999,2138074.6499999999,2248060.1599999997,2208386.6400000001,1993865.0900000001,10666372.1400000006,
FS(40),2077276.6399999999,2128395.1899999999,2218344.6200000001,2223271.3999999999,1992573.5300000000,10639861.3800000008,
FS(41),2095000.6399999999,2124694.2199999997,2251936.1000000001,2213799.2799999998,2003874.6800000002,10689304.9199999999,
FS(42),2082948.3199999998,2119569.8000000003,2248060.1599999997,2209739.7999999998,1988698.8500000001,10649016.9299999997,
FS(43),2074440.8000000000,2121277.9399999999,2218344.6200000001,2205003.7400000002,1995156.6500000001,10614223.7500000019,
FS(44),2095709.5999999999,2132950.2300000000,2219636.6000000001,2225301.1400000001,2019373.4000000001,10692970.9700000007,
FS(45),2087202.0799999998,2133804.3000000003,2183461.1599999997,2234773.2600000002,2008072.2500000000,10647313.0500000007,
FS(46),2114851.5199999996,2158572.3299999996,2226096.5000000000,2271308.5800000001,2042621.4800000000,10813450.4100000001,
FS(47),2118396.3199999998,2146615.3500000001,2220928.5800000001,2249658.0200000000,2057474.4200000002,10793072.6899999995,
FS(48),2107052.9600000000,2159711.0899999999,2245476.1999999997,2228007.4600000000,2061671.9900000002,10801919.7000000011,
FS(49),2106344.0000000000,2166543.6499999999,2255812.0400000000,2221241.6599999997,2078785.1599999999,10828726.5099999998,
FS(50),2111306.7199999997,2152024.4600000000,2245476.1999999997,2234773.2600000002,2084274.2900000000,10827854.9299999997,
FS(51),2112724.6400000001,2151739.7700000000,2258396.0000000000,2201620.8399999999,2089117.6400000001,10813598.8900000006,
FS(52),2124776.9600000000,2156579.5000000000,2290695.5000000000,2179293.7000000002,2100095.8999999999,10851441.5600000005,
FS(53),2124068.0000000000,2193304.5100000002,2281651.6400000001,2194855.0400000000,2108491.0399999996,10902370.2299999986,
FS(54),2124776.9600000000,2205830.8700000001,2293279.4600000000,2194178.4600000000,2104939.2500000000,10923005.0000000000,
FS(55),2126903.8399999999,2201275.8299999996,2299739.3599999999,2205003.7400000002,2140134.2599999998,10973057.0300000012,
FS(56),2138956.1600000001,2191881.0600000001,2246768.1800000002,2175910.7999999998,2102679.0200000000,10856195.2199999988,
FS(57),2168023.5199999996,2203838.0400000000,2281651.6400000001,2208386.6400000001,2131416.2300000000,10993316.0700000003,
FS(58),2179366.8799999999,2233161.1099999999,2277775.6999999997,2200267.6800000002,2141425.8199999998,11031997.1900000013,
FS(59),2184329.5999999996,2236292.6999999997,2260979.9600000000,2171174.7400000002,2142071.6000000001,10994848.5999999996,
FS(60),2163060.7999999998,2240563.0500000003,2276483.7200000002,2188765.8200000003,2137551.1400000001,11006424.5300000012,
FS(61),2170859.3599999999,2242271.1899999999,2259687.9800000000,2198914.5200000000,2148206.5099999998,11019939.5600000005,
FS(62),2169441.4399999999,2205830.8700000001,2232556.3999999999,2199591.1000000001,2120437.9699999997,10927857.7800000012,
FS(63),2170150.3999999999,2205830.8700000001,2270023.8199999998,2192825.2999999998,2138196.9199999999,10977027.3100000005,
FS(64),2173695.1999999997,2214086.8799999999,2250644.1200000001,2197561.3599999999,2146914.9499999997,10982902.5099999979,
FS(65),2187874.3999999999,2217218.4699999997,2276483.7200000002,2192148.7199999997,2161767.8900000001,11035493.2000000011,
FS(66),2192837.1199999996,2232022.3500000001,2254520.0600000001,2219211.9199999999,2190505.1000000001,11089096.5499999989,
FS(67),2196381.9199999999,2234869.2500000000,2272607.7799999998,2232066.9399999999,2194702.6699999999,11130628.5600000005,
FS(68),2214105.9199999999,2254228.1700000004,2245476.1999999997,2267925.6800000002,2240230.1599999997,11221966.1300000008,
FS(69),2218359.6799999997,2257644.4499999997,2219636.6000000001,2261836.4600000000,2260249.3399999999,11217726.5299999993,
FS(70),2214105.9199999999,2257929.1400000001,2202840.8599999999,2244245.3800000004,2270581.8199999998,11189703.1200000010,
FS(71),2220486.5600000001,2251950.6499999999,2195088.9800000000,2233420.1000000001,2280591.4099999997,11181537.6999999993,
FS(72),2217650.7199999997,2263338.2500000000,2174417.2999999998,2222594.8200000003,2296735.9099999997,11174737.0000000000,
FS(73),2226158.2399999998,2269032.0500000003,2193797.0000000000,2207710.0600000001,2319338.2100000000,11216035.5600000005,
FS(74),2230412.0000000000,2244833.3999999999,2177001.2600000002,2202974.0000000000,2292215.4499999997,11147436.1099999994,
FS(75),2231829.9199999999,2251096.5799999996,2164081.4600000000,2217182.1800000002,2275748.0600000001,11139938.2000000011,
FS(76),2200635.6799999997,2204122.7300000000,2144701.7600000002,2177940.5400000000,2226023.0000000000,10953423.7100000009,
FS(77),2216232.7999999998,2231168.2800000003,2129198.0000000000,2188089.2400000002,2228283.2300000000,10992971.5500000007,
FS(78),2263024.1600000001,2249673.1299999999,2174417.2999999998,2209063.2199999997,2270258.9299999997,11166436.7400000002,
FS(79),2280039.1999999997,2267323.9100000001,2170541.3599999999,2205003.7400000002,2277685.3999999999,11200593.6100000013,
FS(80),2278621.2799999998,2263907.6299999999,2148577.6999999997,2198914.5200000000,2266384.2500000000,11156405.3799999990,
FS(81),2255225.5999999996,2249388.4399999999,2140825.8199999998,2191472.1400000001,2227314.5600000001,11064226.5600000005,
FS(82),2290673.6000000001,2262768.8700000001,2156329.5800000001,2188765.8200000003,2256374.6599999997,11154912.5300000012,
FS(83),2272949.6000000001,2236008.0100000002,2130489.9800000000,2179293.7000000002,2235386.8100000001,11054128.1000000015,
FS(84),2247427.0399999996,2228036.6899999999,2139533.8399999999,2158319.7199999997,2242490.3900000001,11015807.6799999997,
FS(85),2239628.4800000000,2229175.4499999997,2105942.3599999999,2165762.1000000001,2246042.1799999997,10986550.5700000003,
FS(86),2293509.4399999999,2257359.7600000002,2157621.5600000001,2188765.8200000003,2303193.7100000000,11200450.2899999991,
FS(87),2300599.0400000000,2259921.9699999997,2156329.5800000001,2215152.4399999999,2308037.0600000001,11240040.0900000017,
FS(88),2286419.8399999999,2270740.1899999999,2160205.5200000000,2225977.7199999997,2298673.2500000000,11242016.5199999996,
FS(89),2268695.8399999999,2265615.7700000000,2171833.3399999999,2225301.1400000001,2302547.9299999997,11233994.0199999996,
FS(90),2273658.5600000001,2287252.2100000000,2166665.4199999999,2229360.6200000001,2307391.2799999998,11264328.0899999999,
FS(91),2282875.0400000000,2241701.8100000001,2160205.5200000000,2231390.3599999999,2319983.9899999998,11236156.7199999988,
FS(92),2298472.1600000001,2209531.8399999999,2165373.4399999999,2270632.0000000000,2324827.3399999999,11268836.7800000012,
FS(93),2292091.5199999996,2208108.3900000001,2198964.9199999999,2303107.8399999999,2330639.3599999999,11332912.0299999993,
FS(94),2298472.1600000001,2195297.3399999999,2220928.5800000001,2307843.8999999999,2336451.3799999999,11358993.3599999994,
FS(95),2265151.0399999996,2195297.3399999999,2210592.7399999998,2345732.3800000004,2330639.3599999999,11347412.8599999994,
FS(96),2294927.3599999999,2191596.3700000001,2206716.7999999998,2343026.0600000001,2319983.9899999998,11356250.5800000019,
FS(97),2316196.1600000001,2183909.7399999998,2224804.5200000000,2351821.6000000001,2331930.9199999999,11408662.9399999995,
FS(98),2328957.4399999999,2186756.6400000001,2200256.8999999999,2343702.6400000001,2330316.4699999997,11389990.0900000017,
FS(99),2315487.1999999997,2189888.2300000000,2218344.6200000001,2350468.4399999999,2331930.9199999999,11406119.4100000001,
FS(100),2321158.8799999999,2188180.0899999999,2245476.1999999997,2364000.0400000000,2348075.4199999999,11466890.6300000008,
FS(101),2325412.6399999997,2192450.4399999999,2268731.8399999999,2380237.9600000000,2350658.5399999996,11517491.4199999999,
FS(102),2324703.6799999997,2191026.9899999998,2275191.7399999998,2397829.0400000000,2363574.1400000001,11552325.5900000017,
FS(103),2306270.7199999997,2175938.4200000004,2259687.9800000000,2401888.5200000000,2357439.2300000000,11501224.8700000010,
FS(104),2316905.1199999996,2175938.4200000004,2272607.7799999998,2410007.4800000000,2370677.7199999997,11546136.5200000014,
FS(105),2320449.9199999995,2191881.0600000001,2273899.7600000002,2407301.1599999997,2369063.2700000000,11562595.1699999999,
FS(106),2321867.8399999999,2185333.1899999999,2259687.9800000000,2405948.0000000000,2368740.3799999999,11541577.3899999987,
FS(107),2331793.2799999998,2185333.1899999999,2262271.9399999999,2420832.7600000002,2360991.0200000000,11561222.1899999995,
FS(108),2311942.3999999999,2180778.1499999999,2284235.6000000001,2464810.4600000000,2407164.2899999996,11648930.8999999985,
FS(109),2264442.0800000001,2115584.1400000001,2324286.9800000000,2514200.7999999998,2418465.4399999999,11636979.4399999995,
FS(110),2250971.8399999999,2125548.2900000000,2339790.7399999998,2548706.3800000004,2412007.6400000001,11677024.8900000006,
FS(111),2234665.7599999998,2112737.2399999998,2348834.6000000001,2451278.8599999999,2427506.3599999999,11575022.8199999984,
FS(112),2230412.0000000000,2117292.2800000003,2369506.2799999998,2430981.4600000000,2440744.8500000001,11588936.8700000010,
FS(113),2235374.7199999997,2094232.3900000001,2359170.4399999999,2430304.8800000004,2425891.9099999997,11544974.3399999999,
FS(114),2222613.4399999999,2103911.8500000001,2354002.5200000000,2392416.3999999999,2443973.7500000000,11516917.9600000009,
