代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,13799828.2300000004
真實報酬,3799828.2300000004
趨勢值,0.2416566655

選擇檔數,5
找到最佳解世代,2630
找到最佳解實驗,1
Stock#,CAT,DIS,KO,WBA,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,29342,59683,69783,72228,32835,
剩餘資金,49.2800000001,22.6700000001,19.2200000000,6.6799999999,20.1500000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2011149.9600000002,2023873.2000000000,2002093.4900000000,2044059.0800000001,2004925.2500000002,10086100.9800000004,
FS(3),2056336.6399999999,2069232.2800000003,2008373.9600000000,2044059.0800000001,2013462.3500000001,10191464.3100000005,
FS(4),2045186.6800000002,2019695.3900000004,2011165.2800000000,2057782.3999999999,1988179.4000000001,10122009.1499999985,
FS(5),2075702.3599999999,2019695.3900000004,2018143.5800000001,2070783.4399999999,1994746.4000000001,10179071.1699999999,
FS(6),2072768.1600000001,2034019.3100000001,2034193.6699999999,2074394.8399999999,2004596.9000000001,10219972.8799999990,
FS(7),2090960.2000000002,2038197.1200000001,2041869.8000000000,2091729.5600000001,2009522.1500000001,10272278.8300000001,
FS(8),2119715.3600000003,2045359.0800000003,2025121.8799999999,2098952.3599999994,2002955.1500000001,10292103.8300000001,
FS(9),2107685.1400000001,2032228.8200000001,2009769.6200000001,2110508.8399999999,2003283.5000000000,10263475.9199999999,
FS(10),2116487.7400000002,2041778.1000000001,2003489.1500000001,2109786.5599999996,2002955.1500000001,10274496.6999999993,
FS(11),2112673.2800000003,2039390.7800000003,2006978.3000000000,2103286.0399999996,2001970.1000000001,10264298.5000000000,
FS(12),2147296.8400000003,2062667.1500000004,2008373.9600000000,2109786.5599999996,1995731.4500000002,10323855.9600000009,
FS(13),2193363.7800000003,2082959.3700000001,2023028.3899999999,2111953.3999999994,2021014.4000000001,10432319.3399999999,
FS(14),2241484.6600000001,2059086.1700000002,2027913.2000000000,2146622.8399999999,2020686.0500000000,10495792.9199999999,
FS(15),2235322.8400000003,2028647.8400000003,2032100.1799999999,2151678.7999999998,2017730.9000000001,10465480.5600000005,
FS(16),2237670.2000000002,1976723.6300000001,2019539.2400000000,2131454.9600000000,2007880.4000000001,10373268.4299999997,
FS(17),2339486.9400000004,2004177.8100000001,2045358.9500000000,2192848.7599999998,2027581.4000000001,10609453.8599999994,
FS(18),2333911.9600000004,1986869.7400000002,2044661.1200000001,2192126.4800000000,2026268.0000000002,10583837.3000000007,
FS(19),2337726.4200000004,1982691.9300000002,2062106.8700000001,2442035.3599999999,2037760.2500000002,10862320.8300000001,
FS(20),2347115.8600000003,1970158.5000000000,2050243.7600000000,2429034.3199999998,2022327.8000000003,10818880.2400000002,
FS(21),2308677.8400000003,1975529.9700000002,2041869.8000000000,2419644.6799999997,2028894.8000000000,10774617.0900000017,
FS(22),2295180.5200000000,1989853.8900000004,2062804.7000000000,2432645.7199999997,2053521.0500000000,10834005.8799999990,
FS(23),2267305.6200000001,1977917.2900000003,2054430.7400000000,2391475.7599999998,2042028.8000000000,10733158.2100000009,
FS(24),2329804.0800000005,2019098.5600000001,2081646.1099999999,2454314.1199999996,2077162.2500000000,10962025.1199999992,
FS(25),2313959.4000000004,2002387.3200000001,2085135.2600000000,2457925.5199999996,2092266.3500000001,10951673.8499999996,
FS(26),2310438.3600000003,2023873.2000000000,2073969.9800000000,2446369.0399999996,2096534.9000000001,10951185.4800000004,
FS(27),2358265.8200000003,2059683.0000000000,2073272.1500000001,2454314.1199999996,2113937.4499999997,11059472.5400000010,
FS(28),2346822.4400000004,2063263.9800000002,2078156.9600000000,2437701.6799999997,2119519.3999999999,11045464.4600000009,
FS(29),2328043.5600000005,2057892.5100000000,2079552.6200000001,2458647.7999999998,2124444.6499999999,11048581.1400000006,
FS(30),2355918.4600000004,2083556.2000000000,2091415.7300000000,2513541.0799999996,2135608.5500000003,11180040.0199999996,
FS(31),2344768.5000000000,2079975.2200000002,2090717.9000000001,2491150.3999999999,2144145.6499999999,11150757.6699999999,
FS(32),2340073.7800000003,2081765.7100000002,2091415.7300000000,2497650.9199999995,2140533.7999999998,11151439.9399999995,
FS(33),2354451.3600000003,2074006.9200000002,2093509.2200000000,2485372.1599999997,2176323.9499999997,11183663.6100000013,
FS(34),2304863.3800000004,2043568.5900000003,2105372.3300000005,2429034.3199999998,2138235.3500000001,11021073.9700000007,
FS(35),2356798.7200000002,2066248.1300000001,2133983.3599999999,2457925.5199999996,2167458.5000000000,11182414.2299999986,
FS(36),2314839.6600000001,2069829.1100000001,2145148.6400000001,2462981.4800000000,2177637.3499999996,11170436.2400000002,
FS(37),2298408.1400000001,2087137.1800000002,2150033.4500000002,2460814.6399999997,2178294.0499999998,11174687.4600000009,
FS(38),2319534.3800000004,2116381.8500000001,2129098.5500000003,2487538.9999999995,2173697.1499999999,11226250.9299999997,
FS(39),2307797.5800000005,2146223.3500000001,2136774.6800000002,2465870.5999999996,2184532.6999999997,11241198.9100000020,
FS(40),2295180.5200000000,2143836.0299999998,2135379.0200000005,2452147.2799999998,2156294.6000000001,11182837.4499999993,
FS(41),2281096.3600000003,2179049.0000000000,2136076.8500000001,2465870.5999999996,2174353.8500000001,11236446.6600000001,
FS(42),2306330.4800000000,2156369.4600000000,2139566.0000000000,2447091.3199999998,2183219.2999999998,11232576.5600000005,
FS(43),2325989.6200000001,2150401.1600000001,2153522.6000000001,2459370.0799999996,2198323.3999999999,11287606.8599999994,
FS(44),2340073.7800000003,2155175.7999999998,2158407.4100000001,2491150.3999999999,2227546.5499999998,11372353.9400000013,
FS(45),2343888.2400000002,2165918.7399999998,2161896.5600000001,2540987.7199999997,2231815.1000000001,11444506.3599999994,
FS(46),2440716.8400000003,2210084.1600000001,2179342.3100000001,2596603.2799999998,2278112.4499999997,11704859.0400000010,
FS(47),2451279.9600000004,2220230.2700000000,2183529.2900000000,2538098.5999999996,2298470.1499999999,11691608.2700000014,
FS(48),2438956.3200000003,2211874.6499999999,2179342.3100000001,2534487.1999999997,2308977.3499999996,11673637.8300000001,
FS(49),2403452.5000000000,2199938.0499999998,2185622.7800000003,2545321.3999999999,2319156.1999999997,11653490.9299999997,
FS(50),2419590.6000000001,2207696.8399999999,2182831.4600000004,2535931.7599999998,2335573.6999999997,11681624.3600000013,
FS(51),2419003.7600000002,2144432.8599999999,2191205.4199999999,2543154.5599999996,2358558.1999999997,11656354.8000000007,
FS(52),2377924.9600000004,2253055.9199999999,2195392.4000000004,2515707.9199999995,2330976.7999999998,11673058.0000000000,
FS(53),2400811.7200000002,2223214.4199999999,2196788.0600000001,2492594.9599999995,2314230.9500000002,11627640.1099999994,
FS(54),2358265.8200000003,2203519.0299999998,2166083.5400000000,2456480.9599999995,2263665.0499999998,11448014.4000000004,
FS(55),2381739.4200000004,2221423.9299999997,2181435.8000000003,2456480.9599999995,2265963.5000000000,11507043.6099999994,
FS(56),2438662.9000000004,2242909.8100000001,2227492.5800000005,2486094.4399999999,2308649.0000000000,11703808.7300000004,
FS(57),2463897.0200000000,2208890.5000000000,2244240.5000000000,2510651.9599999995,2316201.0500000003,11743881.0299999993,
FS(58),2464777.2800000003,2205309.5200000000,2242844.8400000003,2520041.5999999996,2304708.7999999998,11737682.0400000010,
FS(59),2424578.7400000002,2155772.6299999999,2219816.4500000002,2454314.1199999996,2264978.4500000002,11519460.3900000006,
FS(60),2485023.2600000002,2200534.8799999999,2254707.9500000002,2478149.3599999999,2294529.9499999997,11712945.4000000004,
FS(61),2468591.7400000002,2190388.7700000000,2237262.2000000002,2432645.7199999997,2273187.2000000002,11602075.6300000008,
FS(62),2455094.4200000004,2173677.5299999998,2212140.3200000003,2513541.0799999996,2280410.8999999999,11634864.2500000000,
FS(63),2482382.4800000000,2179049.0000000000,2204464.1900000004,2517152.4800000000,2284022.7500000000,11667070.8999999985,
FS(64),2566007.1800000002,2215455.6299999999,2257499.2700000005,2576379.4399999999,2342140.6999999997,11957482.2200000007,
FS(65),2600337.3200000003,2228585.8900000001,2264477.5700000003,2608159.7599999998,2347065.9500000002,12048626.4900000002,
FS(66),2622637.2400000002,2243506.6400000001,2250520.9700000002,2662330.7599999998,2337543.7999999998,12116539.4100000001,
