代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12989926.5299999993
真實報酬,2989926.5299999993
趨勢值,0.1533306242

選擇檔數,5
找到最佳解世代,2586
找到最佳解實驗,1
Stock#,CAT,CVX,DIS,KO,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,25568,24405,59988,67658,31979,
剩餘資金,71.0400000000,10.2499999999,0.0799999998,29.5200000001,33.3400000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1975710.3999999999,1984380.8000000000,1988002.3999999999,1991881.0400000000,1988807.3500000001,9928781.9900000021,
FS(3),2030170.2400000002,2035143.2000000000,2029394.1199999996,2018267.6599999999,2023024.8800000001,10136000.0999999996,
FS(4),2016363.5200000000,2041732.5499999998,2012597.4799999997,2021650.5600000001,2037735.2200000000,10130079.3300000001,
FS(5),2013295.3599999999,2038315.8499999999,2034193.1599999997,2010825.2800000000,2041892.4900000002,10138522.1400000006,
FS(6),2054971.2000000002,2048565.9500000000,2070185.9599999997,2010148.7000000002,2058841.3599999999,10242713.1699999999,
FS(7),2044999.6800000002,2042952.7999999998,2073785.2399999998,2014884.7600000000,2064277.7900000000,10240900.2699999996,
FS(8),2028636.1600000001,2046125.4500000002,2068386.3199999996,2016237.9200000002,2069074.6400000001,10228460.4900000021,
FS(9),2052925.7600000002,2041976.6000000001,2094181.1599999997,2027739.7800000000,2079947.5000000002,10296770.8000000007,
FS(10),2043209.9199999999,2047589.7500000002,2090581.8799999999,2027063.2000000002,2088262.0400000000,10296706.7899999991,
FS(11),2039119.0400000000,2040512.3000000000,2092381.5200000000,2027739.7800000000,2084744.3500000001,10284496.9900000002,
FS(12),2051647.3599999999,2061744.6500000001,2084583.0799999998,2029769.5200000000,2119601.4600000000,10347346.0700000003,
FS(13),2008437.4399999999,2020500.2000000002,2053989.2000000000,2041271.3800000001,2082505.8200000003,10206704.0400000010,
FS(14),2053692.7999999998,2050518.3499999999,2076784.6399999997,2069011.1599999999,2110967.1299999999,10360974.0800000001,
FS(15),2017130.5600000001,2056131.5000000000,2080383.9199999999,2079836.4399999999,2120880.6199999996,10354363.0400000010,
FS(16),2002812.4800000000,2063453.0000000000,2097780.4399999995,2084572.5000000000,2121520.2000000002,10370138.6199999992,
FS(17),2021221.4399999999,2071262.6000000001,2127174.5599999996,2064275.1000000001,2117043.1400000001,10400976.8400000017,
FS(18),2010994.2400000002,2078096.0000000002,2157168.5599999996,2071717.4800000000,2127596.2100000000,10445572.4900000002,
FS(19),2000000.0000000000,2057595.8000000000,2154769.0399999996,2070364.3200000001,2100094.2700000000,10382823.4300000016,
FS(20),1987727.3599999999,2060768.4500000000,2190161.9599999995,2071040.8999999999,2117682.7199999997,10427381.3900000006,
FS(21),2009715.8399999999,2015863.2499999998,2167366.5199999996,2074423.8000000000,2126317.0499999998,10393686.4600000009,
FS(22),2026846.3999999999,1987797.5000000000,2161367.7199999997,2087955.3999999999,2141027.3900000001,10404994.4100000001,
