代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12793555.2599999998
真實報酬,2793555.2599999998
趨勢值,0.1473981411

選擇檔數,5
找到最佳解世代,1503
找到最佳解實驗,1
Stock#,CAT,CVX,KO,PFE,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,25230,24554,64808,113507,29873,
剩餘資金,17.9000000001,76.6999999999,25.1200000000,6.6599999999,2.6499999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2012110.4000000001,2017187.8000000000,2004536.5600000001,1980703.8099999998,2026586.9700000000,10041125.5399999991,
FS(3),2015390.3000000000,2030692.5000000000,2007776.9600000002,1996594.7899999998,2030470.4600000000,10080925.0099999998,
FS(4),2098649.3000000003,2090604.2600000000,2023978.9600000002,1972758.3199999998,2072591.3899999997,10258582.2300000004,
FS(5),2107732.1000000001,2086675.6200000001,2027867.4399999999,1950056.9199999999,2091112.6499999999,10263444.7299999986,
FS(6),2097135.5000000002,2082255.8999999999,2023978.9600000002,1935301.0100000000,2100672.0099999998,10239343.3799999990,
FS(7),2066607.2000000000,2051808.9399999999,2029811.6800000002,1928490.5899999999,2109932.6399999997,10186651.0499999989,
FS(8),2080483.7000000000,2091340.8799999999,2027219.3600000001,1910329.4699999997,2124869.1399999997,10234242.5499999989,
FS(9),2079979.1000000001,2113930.5599999996,2034996.3200000001,1927355.5200000000,2145780.2399999998,10302041.7400000002,
FS(10),2044657.1000000003,2097970.4599999995,2038884.8000000003,1912599.6100000001,2120686.9199999999,10214798.8899999987,
FS(11),2064336.5000000000,2083729.1399999999,2040180.9600000002,1901248.9099999999,2105451.6899999999,10194947.1999999993,
FS(12),2027753.0000000002,2025290.6200000001,2011665.4399999999,1884222.8600000001,2059447.2699999998,10008379.1899999995,
FS(13),2047937.0000000002,2024799.5399999998,2025923.2000000002,1870602.0200000000,2061538.3800000001,10030800.1400000006,
FS(14),2096883.2000000002,2058192.9799999997,2068696.4800000002,1910329.4699999997,2100373.2799999998,10234475.4100000001,
FS(15),2118581.0000000000,2061139.4600000000,2084250.3999999999,1906924.2600000000,2107244.0700000003,10278139.1899999995,
FS(16),2119337.8999999999,2049108.0000000000,2082954.2400000002,1887628.0699999998,2096788.5199999998,10235816.7299999986,
FS(17),2084772.8000000000,2007366.2000000000,2061567.6000000001,1880817.6499999999,2060642.1899999999,10095166.4399999995,
FS(18),2136746.5999999996,2036339.9200000002,2093971.6000000003,1894438.4900000000,2087527.8899999997,10249024.5000000000,
FS(19),2122617.7999999998,2014732.3999999999,2077769.6000000003,1871737.0899999999,2068110.4399999999,10154967.3300000001,
FS(20),2111012.0000000000,2005892.9600000000,2054438.7200000000,1879682.5799999998,2074682.5000000000,10125708.7599999998,
FS(21),2134475.8999999999,1988214.0799999998,2047309.8400000001,1850170.7600000000,2077968.5300000000,10098139.1099999994,
FS(22),2206381.3999999999,2030692.5000000000,2096563.9200000002,1895573.5599999998,2130843.7399999998,10360055.1199999992,
FS(23),2235900.5000000000,2074889.7000000000,2103044.7200000002,1894438.4900000000,2135324.6899999999,10443598.0999999996,
FS(24),2255075.2999999998,2084465.7600000000,2090083.1200000001,1897843.6999999997,2126661.5200000000,10454129.3999999985,
FS(25),2250533.8999999999,2085939.0000000000,2073881.1200000001,1908059.3299999998,2130246.2799999998,10448659.6299999990,
FS(26),2279548.3999999999,2119086.8999999994,2078417.6800000002,1903519.0499999998,2134727.2299999995,10515299.2599999979,
FS(27),2261130.5000000000,2115158.2599999998,2086842.7200000002,1897843.6999999997,2146377.6999999997,10507352.8800000008,
FS(28),2262392.0000000000,2127680.7999999998,2101100.4800000004,1902383.9800000000,2150858.6499999999,10544415.9100000001,
FS(29),2269204.0999999996,2137011.3199999998,2095267.7600000000,1931895.7999999998,2156235.7900000000,10589614.7699999996,
FS(30),2311842.7999999998,2169913.6799999997,2101100.4800000004,1951191.9900000000,2161612.9299999997,10695661.8799999990,
FS(31),2323448.6000000001,2170159.2199999997,2070640.7200000000,1942111.4299999999,2156235.7900000000,10662595.7599999998,
FS(32),2349435.5000000000,2161074.2399999998,2097860.0800000001,1938706.2199999997,2146377.6999999997,10693453.7400000002,
FS(33),2351453.8999999999,2186855.9399999999,2117302.4800000004,1954597.1999999997,2157430.7100000000,10767640.2300000004,
FS(34),2336063.6000000001,2172860.1599999997,2128967.9200000004,1933030.8700000001,2155937.0600000001,10726859.6099999994,
FS(35),2353976.8999999999,2180471.8999999994,2116654.3999999999,1948921.8500000001,2157430.7100000000,10757455.7599999998,
FS(36),2387532.7999999998,2191030.1199999996,2121839.0400000000,1972758.3199999998,2172367.2100000000,10845527.4900000002,
FS(37),2386018.9999999995,2207972.3799999999,2125727.5200000000,1993189.5799999998,2174757.0499999998,10887665.5299999975,
FS(38),2382991.3999999999,2226633.4199999999,2125079.4399999999,1998864.9299999999,2186706.2500000000,10920275.4399999995,
FS(39),2373403.9999999995,2212883.1799999997,2108229.3600000003,1985244.0899999999,2181030.3799999999,10860791.0099999998,
FS(40),2363816.5999999996,2239155.9599999995,2117950.5600000001,1996594.7899999998,2193278.3100000001,10910796.2200000007,
FS(41),2366087.2999999998,2243575.6799999997,2121190.9600000000,1997729.8600000001,2191784.6600000001,10920368.4599999990,
FS(42),2368358.0000000000,2249223.0999999996,2122487.1200000001,1985244.0899999999,2191485.9299999997,10916798.2399999984,
FS(43),2363059.6999999997,2240629.1999999997,2131560.2400000002,1987514.2300000000,2184316.4100000001,10907079.7799999993,
FS(44),2375422.3999999999,2257571.4599999995,2113414.0000000000,2006810.4199999999,2227034.7999999998,10980253.0800000001,
FS(45),2364321.1999999997,2249223.0999999996,2069992.6400000001,2041997.5899999999,2237490.3500000001,10963024.8799999990,
FS(46),2384757.5000000000,2245294.4599999995,2057679.1200000001,2055618.4299999999,2231515.7500000000,10974865.2599999998,
FS(47),2360032.1000000001,2226878.9599999995,2042773.2800000000,2063563.9199999999,2245854.7900000000,10939103.0500000007,
FS(48),2364825.7999999998,2239155.9599999995,2038884.8000000003,2081725.0399999998,2258102.7200000002,10982694.3200000003,
FS(49),2356247.6000000001,2220003.8399999999,2043421.3600000001,2072644.4800000000,2244361.1399999997,10936678.4199999999,
FS(50),2370376.3999999999,2254870.5199999996,2031755.9200000002,2068104.1999999997,2261090.0200000000,10986197.0599999987,
FS(51),2358770.5999999996,2270094.0000000000,2042773.2800000000,2085130.2500000000,2287676.9899999998,11044445.1199999992,
FS(52),2375170.1000000001,2263464.4199999999,2054438.7200000000,2068104.1999999997,2291560.4799999995,11052737.9199999981,
FS(53),2371890.2000000002,2279424.5199999996,2046013.6800000002,2081725.0399999998,2325316.9700000002,11104370.4100000001,
FS(54),2427900.7999999998,2292192.5999999996,2057031.0400000000,2086265.3199999998,2351306.4799999995,11214696.2399999984,
FS(55),2410492.1000000001,2282862.0799999996,2055086.8000000003,2079454.8999999999,2337266.1699999999,11165162.0499999989,
FS(56),2361798.1999999997,2276478.0399999996,2039532.8800000001,2070374.3399999999,2322628.3999999999,11070811.8599999994,
FS(57),2340100.3999999999,2302750.8199999998,2034348.2400000002,2083995.1799999999,2359372.1899999999,11120566.8300000001,
FS(58),2386018.9999999995,2310608.0999999996,2049902.1600000001,2094210.8099999998,2347721.7200000002,11188461.7899999991,
FS(59),2381477.6000000001,2310117.0199999996,2040180.9600000002,2096480.9499999997,2350410.2900000000,11178666.8200000003,
FS(60),2415790.3999999999,2323867.2599999998,2040180.9600000002,2083995.1799999999,2379685.8299999996,11243519.6299999990,
FS(61),2437992.7999999998,2326568.1999999997,2031755.9200000002,2097616.0199999996,2386257.8899999997,11280190.8300000001,
FS(62),2414024.3000000003,2292683.6799999997,2016202.0000000000,2060158.7099999997,2359670.9199999999,11142739.6099999994,
FS(63),2447580.2000000002,2330987.9199999999,2036940.5600000001,2068104.1999999997,2410156.2900000000,11293769.1699999999,
FS(64),2472810.2000000002,2362662.5799999996,2043421.3600000001,2181611.1999999997,2506646.0799999996,11567151.4199999999,
FS(65),2500058.6000000001,2369046.6199999996,2036940.5600000001,2152099.3799999999,2491709.5799999996,11549854.7400000002,
FS(66),2496021.8000000003,2389426.4399999999,2027867.4399999999,2175935.8500000001,2492605.7700000000,11581857.2999999989,
FS(67),2512673.6000000001,2384515.6399999997,2027219.3600000001,2190691.7599999998,2487826.0899999999,11602926.4499999993,
FS(68),2534876.0000000000,2398020.3399999999,2025923.2000000002,2161179.9399999995,2507243.5400000000,11627243.0199999996,
FS(69),2538408.1999999997,2399984.6599999997,2037588.6400000001,2174800.7799999998,2478864.1899999999,11629646.4700000007,
FS(70),2517719.6000000001,2363153.6599999997,2046661.7600000000,2162315.0099999998,2466018.7999999998,11555868.8300000001,
FS(71),2538155.8999999999,2374448.5000000000,2058975.2800000000,2160044.8699999996,2485436.2500000000,11617060.7999999989,
FS(72),2612332.1000000001,2368310.0000000000,2060271.4399999999,2137343.4699999993,2474084.5099999998,11652341.5199999996,
FS(73),2605267.7000000002,2380587.0000000000,2046013.6800000002,2162315.0099999998,2536519.0799999996,11730702.4699999988,
FS(74),2598707.8999999999,2365609.0599999996,2047957.9200000002,2162315.0099999998,2478565.4600000000,11653155.3499999996,
FS(75),2612584.3999999999,2373466.3399999999,2054438.7200000000,2188421.6199999996,2500074.0200000000,11728985.0999999978,
FS(76),2607790.6999999997,2385988.8799999999,2092027.3600000001,2198637.2500000000,2505749.8899999997,11790194.0800000001,
FS(77),2670865.6999999997,2424047.5799999996,2092027.3600000001,2178205.9899999998,2524271.1499999999,11889417.7799999993,
FS(78),2573730.2000000002,2463333.9799999995,2066104.1600000001,2144153.8899999997,2552351.7700000000,11799673.9999999981,
FS(79),2523522.5000000000,2511214.2799999998,2071288.8000000003,2129397.9800000000,2601044.7599999998,11836468.3199999984,
FS(80),2537398.9999999995,2505321.3199999998,2069992.6400000001,2145288.9599999995,2568184.4600000000,11826186.3800000008,
FS(81),2573477.8999999999,2507040.0999999996,2084250.3999999999,2140748.6799999997,2549364.4700000002,11854881.5499999989,
FS(82),2596941.8000000003,2547554.1999999997,2071288.8000000003,2183881.3399999994,2555040.3399999999,11954706.4799999986,
FS(83),2519485.6999999997,2526683.2999999998,2103692.8000000003,2172530.6399999997,2533233.0499999998,11855625.4900000002,
FS(84),2547491.0000000000,2540679.0799999996,2088138.8800000001,2178205.9899999998,2541597.4899999998,11896112.4399999995,
FS(85),2630245.3999999999,2558357.9599999995,2124431.3600000003,2244040.0499999998,2563703.5099999998,12120778.2799999993,
FS(86),2599717.1000000001,2547554.1999999997,2112765.9200000004,2231554.2799999998,2541597.4899999998,12033188.9899999984,
FS(87),2576757.7999999998,2529384.2399999998,2113414.0000000000,2225878.9299999997,2530843.2100000000,11976278.1799999997,
FS(88),2627217.7999999998,2548045.2799999998,2127023.6800000002,2233824.4199999995,2527258.4499999997,12063369.6299999990,
FS(89),2582560.6999999997,2508022.2599999998,2126375.6000000001,2231554.2799999998,2520686.3899999997,11969199.2299999986,
FS(90),2482397.6000000001,2432887.0199999996,2116006.3199999998,2197502.1799999997,2431067.3899999997,11659860.5099999998,
FS(91),2523522.5000000000,2453757.9199999999,2100452.3999999999,2209987.9499999997,2453173.4100000001,11740894.1799999978,
FS(92),2576000.8999999999,2475119.8999999994,2071936.8800000001,2248580.3299999996,2460940.3899999997,11832578.3999999985,
FS(93),2541940.3999999999,2485678.1199999996,2042773.2800000000,2242904.9800000000,2431366.1200000001,11744662.9000000004,
FS(94),2533109.8999999999,2443445.2399999998,1996111.5200000003,2190691.7599999998,2369230.2799999998,11532588.7000000011,
FS(95),2601735.5000000000,2510477.6599999997,2018146.2400000002,2256525.8199999994,2424495.3299999996,11811380.5499999989,
FS(96),2650681.7000000002,2524227.8999999994,2031755.9200000002,2290577.9199999995,2415234.6999999997,11912478.1400000006,
FS(97),2714513.6000000001,2582911.9599999995,2060271.4399999999,2267876.5199999996,2474681.9700000002,12100255.4900000002,
FS(98),2694329.6000000001,2583894.1199999996,2058327.2000000002,2263336.2399999998,2466317.5299999998,12066204.6900000013,
FS(99),2693572.7000000002,2590032.6199999996,2082954.2400000002,2261066.1000000001,2467512.4499999997,12095138.1100000013,
FS(100),2734193.0000000000,2587577.2199999997,2096563.9200000002,2304198.7599999998,2471395.9399999999,12193928.8399999999,
FS(101),2752358.6000000001,2621952.8199999998,2113414.0000000000,2309874.1099999999,2497982.9100000001,12295582.4399999995,
FS(102),2760179.8999999999,2603782.8599999999,2107581.2800000003,2300793.5499999998,2493501.9600000000,12265839.5500000007,
FS(103),2788942.1000000001,2636439.6799999997,2129616.0000000000,2313279.3199999994,2486929.8999999999,12355207.0000000000,
FS(104),2813919.7999999998,2652154.2399999998,2139985.2800000003,2308739.0399999996,2523972.4199999999,12438770.7799999993,
FS(105),2809378.3999999999,2639386.1599999997,2149706.4800000004,2305333.8299999996,2513218.1399999997,12417023.0099999998,
FS(106),2854035.5000000000,2659765.9799999995,2178222.0000000000,2313279.3199999994,2529648.2900000000,12534951.0899999999,
FS(107),2860595.2999999998,2657556.1199999996,2192479.7599999998,2331440.4399999995,2535324.1600000001,12577395.7799999993,
FS(108),2833599.2000000002,2684565.5199999996,2186647.0400000000,2321224.8099999996,2551754.3100000001,12577790.8799999990,
FS(109),2800547.8999999999,2668114.3399999999,2191831.6800000002,2303063.6899999995,2544584.7900000000,12508142.3999999985,
FS(110),2771533.3999999999,2674989.4599999995,2185350.8799999999,2307603.9699999993,2561911.1299999999,12501388.8399999999,
FS(111),2770776.4999999995,2692668.3399999999,2180166.2400000002,2322359.8799999999,2567587.0000000000,12533557.9599999990,
FS(112),2751853.9999999995,2646506.8199999998,2184054.7200000002,2346196.3500000001,2543987.3299999996,12472599.2199999988,
FS(113),2688778.9999999995,2558112.4199999999,2167852.7200000002,2322359.8799999999,2484838.7900000000,12221942.8100000005,
FS(114),2715522.7999999998,2549027.4399999999,2180166.2400000002,2322359.8799999999,2484241.3299999996,12251317.6899999995,
FS(115),2714261.2999999998,2575300.2199999997,2213866.3999999999,2325765.0899999994,2492605.7700000000,12321798.7799999975,
FS(116),2704926.1999999997,2608693.6599999997,2204145.2000000002,2330305.3699999996,2517997.8200000003,12366068.2500000000,
FS(117),2621414.8999999999,2565969.6999999997,2181462.3999999999,2315549.4599999995,2482448.9499999997,12166845.4100000001,
FS(118),2676920.8999999999,2588068.2999999998,2173685.4399999999,2330305.3699999996,2503360.0499999998,12272340.0600000005,
FS(119),2731922.2999999998,2647243.4399999999,2198312.4800000004,2314414.3899999997,2558625.1000000001,12450517.7099999990,
FS(120),2760684.5000000000,2655100.7199999997,2199608.6400000001,2246310.1899999995,2579834.9299999997,12441538.9799999986,
FS(121),2746303.3999999999,2637667.3799999999,2195072.0800000001,2286037.6399999997,2575652.7100000000,12440733.2099999990,
FS(122),2824264.0999999996,2670324.1999999997,2169148.8799999999,2291712.9899999998,2611500.3100000001,12566950.4799999986,
FS(123),2841168.1999999997,2675726.0799999996,2171093.1200000001,2341656.0699999994,2622254.5899999999,12651898.0599999987,
FS(124),2841925.1000000001,2671797.4399999999,2184702.8000000003,2364357.4699999993,2609110.4700000002,12671893.2799999993,
FS(125),2911812.1999999997,2687266.4599999995,2185998.9600000000,2380248.4499999997,2628229.1899999999,12793555.2599999998,
