代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11917666.9399999995
真實報酬,1917666.9399999995
趨勢值,0.1494447972

選擇檔數,5
找到最佳解世代,2679
找到最佳解實驗,1
Stock#,CVX,MCD,PFE,PG,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,24183,25223,119760,32180,53092,
剩餘資金,65.8999999999,68.3299999998,8.0000000001,13.0000000000,24.3599999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2043529.3999999999,2002270.0699999998,1998802.4000000001,2006757.8000000000,2020174.9599999997,10071534.6299999990,
FS(3),2052960.7700000000,2011854.8100000001,2002395.2000000000,2005792.3999999999,2007963.7999999998,10080966.9800000004,
FS(4),2054411.7500000000,2007314.6699999997,2013173.5999999999,1997103.8000000000,1979825.0399999998,10051828.8599999994,
FS(5),2087058.7999999998,2026484.1499999999,2008383.2000000000,2000000.0000000000,1952217.2000000000,10074143.3499999996,
FS(6),2083189.5200000000,1986127.3499999996,2002395.2000000000,2015446.4000000001,1955933.6400000001,10043092.1099999994,
FS(7),2095522.8500000001,1957625.3599999999,2007185.6000000001,2023169.5999999999,1945846.1599999997,10029349.5700000003,
FS(8),2104712.3900000001,1956364.2100000000,2038323.2000000000,2033789.0000000000,1946908.0000000000,10080096.8000000007,
FS(9),2137117.6099999999,1945013.8599999999,2058682.4000000001,2033467.2000000000,1959119.1599999997,10133400.2300000004,
FS(10),2137359.4399999999,1945013.8599999999,2049101.5999999999,2045052.0000000000,1937882.3599999999,10114409.2599999998,
FS(11),2128411.7300000000,1941734.8699999999,2045508.7999999998,2047948.2000000000,1882135.7600000000,10045739.3599999994,
FS(12),2153803.8799999999,1934924.6599999997,2062275.2000000000,2075623.0000000000,1890630.4799999997,10117257.2199999988,
FS(13),2140019.5699999998,1937446.9600000000,2039520.8000000000,2085598.8000000000,1860898.9599999997,10063485.0899999999,
FS(14),2147516.2999999998,1940221.4900000000,2056287.2000000002,2090747.5999999999,1867800.9199999999,10102573.5099999998,
FS(15),2157914.9900000002,1938708.1099999999,2081436.7999999998,2087529.6000000001,1875764.7199999997,10141354.2200000007,
FS(16),2174601.2599999998,1942491.5600000001,2102993.5999999996,2090104.0000000000,1902841.6400000001,10213032.0599999987,
FS(17),2192980.3399999999,1941230.4099999997,2108981.6000000001,2099436.1999999997,1899125.2000000000,10241753.7500000000,
FS(18),2179437.8599999999,1927862.2200000000,2094610.3999999999,2081093.6000000001,1886914.0399999998,10169918.1199999992,
FS(19),2205313.6699999999,1927862.2200000000,2106586.3999999999,2083989.8000000003,1896470.5999999999,10220222.6899999995,
FS(20),2209666.6099999999,1941987.0999999996,2107784.0000000000,2072405.0000000002,1906558.0799999996,10238400.7900000010,
