代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11380212.6600000001
真實報酬,1380212.6600000001
趨勢值,0.0513356629

選擇檔數,3
找到最佳解世代,2420
找到最佳解實驗,1
Stock#,CSCO,MCD,PG,
分配資金,3333333,3333333,3333333,
張數,210570,38584,54262,
剩餘資金,9.9000000000,61.2400000000,18.3400000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3255422.1000000001,3282016.2799999998,3302946.2799999998,9840385.6600000001,
FS(3),3261739.1999999997,3300536.6000000001,3295349.5999999996,9857626.4000000004,
FS(4),3120657.2999999998,3251920.7599999998,3232948.2999999998,9605527.3599999994,
FS(5),3145925.6999999997,3282787.9599999995,3287752.9199999999,9716467.5800000001,
FS(6),2935355.6999999997,3168193.4799999995,3217212.3199999998,9320762.5000000000,
FS(7),2960624.1000000001,3316741.8799999994,3267675.9800000000,9545042.9600000009,
FS(8),2891136.0000000000,3244203.9599999995,3174887.9600000000,9310228.9199999999,
FS(9),3352284.2999999998,3329088.7599999998,3280156.2400000002,9961530.3000000007,
FS(10),3367024.1999999997,3337577.2399999998,3317597.0200000000,10022199.4600000009,
FS(11),3375447.0000000000,3349924.1199999996,3357750.8999999999,10083123.0199999996,
FS(12),3369129.8999999999,3344136.5200000000,3343642.7799999998,10056910.2000000011,
FS(13),3337544.3999999999,3376161.2399999998,3346355.8799999999,10060062.5200000014,
FS(14),3160665.6000000001,3303237.4799999995,3302403.6599999997,9766307.7400000002,
FS(15),3175405.5000000000,3365743.5600000001,3307829.8599999999,9848979.9199999999,
FS(16),3160665.6000000001,3386193.0800000001,3348526.3599999999,9895386.0400000010,
FS(17),3251210.6999999997,3454486.7599999998,3419609.5800000001,10125308.0400000010,
FS(18),3255422.1000000001,3477637.1599999997,3435345.5600000001,10168405.8200000003,
FS(19),3175405.5000000000,3422847.8799999994,3393021.1999999997,9991275.5800000001,
FS(20),3225942.2999999998,3469920.3599999999,3395191.6799999997,10091055.3400000017,
FS(21),3314381.6999999997,3503102.6000000001,3423407.9199999999,10240893.2200000007,
FS(22),3291219.0000000000,3502716.7599999998,3445655.3399999999,10239592.1000000015,
FS(23),3299641.7999999998,3488440.6799999997,3455422.5000000000,10243505.9800000004,
FS(24),3331227.2999999998,3475322.1199999996,3432632.4600000000,10239182.8799999990,
FS(25),3244893.6000000001,3437509.7999999998,3394106.4399999995,10076510.8400000017,
FS(26),3217519.5000000000,3427092.1199999996,3384881.8999999999,10029494.5199999996,
FS(27),3343861.5000000000,3445226.6000000001,3403330.9800000000,10192420.0800000001,
FS(28),3430195.1999999997,3418989.4799999995,3413640.7599999998,10262826.4399999995,
FS(29),3331227.2999999998,3280858.7599999998,3355580.4199999999,9967667.4800000004,
FS(30),3388081.1999999997,3325616.1999999997,3355037.7999999998,10068736.1999999993,
FS(31),3442829.4000000004,3322915.3199999998,3361006.6199999996,10126752.3400000017,
FS(32),3438617.9999999995,3347223.2399999998,3382711.4199999999,10168553.6600000001,
FS(33),3510211.8000000003,3398154.1199999996,3406586.6999999997,10314953.6200000010,
FS(34),3499683.3000000003,3406642.6000000001,3490692.7999999998,10397019.7000000011,
FS(35),3476520.6000000001,3426706.2799999998,3462476.5600000001,10365704.4400000013,
FS(36),3480732.0000000000,3445998.2799999998,3477127.2999999998,10403858.5800000001,
FS(37),3335438.6999999997,3376932.9199999995,3419609.5800000001,10131982.1999999993,
FS(38),3228048.0000000000,3317899.3999999994,3319224.8799999999,9865173.2800000012,
FS(39),3287007.5999999996,3371145.3199999998,3323565.8399999999,9981719.7600000016,
FS(40),3367024.1999999997,3447155.7999999998,3393563.8199999998,10207744.8200000003,
FS(41),3383869.7999999998,3462589.3999999994,3432632.4600000000,10279092.6600000001,
FS(42),3335438.6999999997,3396610.7599999998,3403873.5999999996,10135924.0600000005,
FS(43),3337544.3999999999,3425548.7599999998,3456507.7400000002,10219601.9000000004,
FS(44),3263844.8999999999,3388508.1199999996,3428291.5000000000,10080645.5199999996,
FS(45),3198568.1999999997,3319056.9199999995,3409842.4199999999,9927468.5400000010,
FS(46),3280690.5000000000,3336805.5600000001,3438601.2799999998,10056098.3399999999,
FS(47),3402821.1000000001,3311725.9599999995,3436973.4199999999,10151521.4800000004,
FS(48),3527057.3999999999,3361113.4799999995,3451624.1599999997,10339796.0400000010,
FS(49),3508106.1000000001,3364586.0400000000,3467902.7599999998,10340595.9000000004,
FS(50),3598651.1999999997,3415131.0800000001,3516195.9399999995,10529979.2200000007,
FS(51),3577594.1999999997,3447155.7999999998,3503715.6799999997,10528466.6799999997,
