代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,13946254.9299999997
真實報酬,3946254.9299999997
趨勢值,0.1187573481

選擇檔數,2
找到最佳解世代,2313
找到最佳解實驗,1
Stock#,HD,INTC,
分配資金,5000000,5000000,
張數,151837,250125,
剩餘資金,7.5900000000,1.2500000004,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4886122.2500000000,4912456.2500000000,9798578.5000000000,
FS(3),4866383.4399999995,4887443.7500000000,9753827.1899999995,
FS(4),4990889.7799999993,5022511.2500000000,10013401.0299999993,
FS(5),4928636.6100000003,4977488.7500000000,9906125.3599999994,
FS(6),4839052.7800000003,4927463.7500000000,9766516.5299999993,
FS(7),4911934.5400000000,5072536.2500000000,9984470.7900000010,
FS(8),4959004.0099999998,5192596.2500000000,10151600.2599999998,
FS(9),5092620.5699999994,5282641.2500000000,10375261.8200000003,
FS(10),5204979.9500000002,5387693.7500000000,10592673.6999999993,
FS(11),5255086.1600000001,5495247.5000000000,10750333.6600000001,
FS(12),5215608.5400000000,5485242.5000000000,10700851.0399999991,
FS(13),5285453.5600000005,5552776.2500000000,10838229.8100000005,
FS(14),5138171.6699999999,5487743.7500000000,10625915.4199999999,
FS(15),5018220.4399999995,5407703.7500000000,10425924.1899999995,
FS(16),5119951.2299999995,5542771.2500000000,10662722.4800000004,
FS(17),5162465.5899999999,5562781.2500000000,10725246.8399999999,
FS(18),5144245.1500000004,5637818.7500000000,10782063.9000000004,
FS(19),5101730.7900000000,5580290.0000000000,10682020.7899999991,
FS(20),5130579.8199999994,5555277.5000000000,10685857.3200000003,
FS(21),4990889.7799999993,5337668.7500000000,10328558.5299999993,
FS(22),4796538.4199999999,5157578.7500000000,9954117.1699999999,
FS(23),4930154.9799999995,5307653.7500000000,10237808.7299999986,
FS(24),4984816.2999999998,5465232.5000000000,10450048.8000000007,
FS(25),5068326.6500000004,5510255.0000000000,10578581.6500000004,
FS(26),5150318.6299999999,5575287.5000000000,10725606.1299999990,
FS(27),5262678.0099999998,5722861.2500000000,10985539.2599999998,
FS(28),5270269.8600000003,5750375.0000000000,11020644.8599999994,
FS(29),5271788.2299999995,5782891.2500000000,11054679.4800000004,
FS(30),5224718.7599999998,5850425.0000000000,11075143.7599999998,
FS(31),5321894.4399999995,5877938.7500000000,11199833.1899999995,
FS(32),5261159.6399999997,5822911.2500000000,11084070.8900000006,
FS(33),5458547.7400000002,5852926.2500000000,11311473.9900000002,
FS(34),5375037.3899999997,6063031.2500000000,11438068.6399999987,
FS(35),5425143.5999999996,5905452.5000000000,11330596.0999999996,
FS(36),5596719.4100000001,6010505.0000000000,11607224.4100000001,
FS(37),5572425.4900000002,6150575.0000000000,11723000.4900000002,
FS(38),5472213.0699999994,6160580.0000000000,11632793.0699999984,
FS(39),5549649.9399999995,6178088.7500000000,11727738.6899999995,
FS(40),5674156.2799999993,6285642.5000000000,11959798.7799999993,
FS(41),5484360.0299999993,6248123.7500000000,11732483.7799999993,
FS(42),5435772.1899999995,6138068.7500000000,11573840.9399999995,
FS(43),5396294.5699999994,5977988.7500000000,11374283.3199999984,
FS(44),5464621.2199999997,5965482.5000000000,11430103.7200000007,
FS(45),5534466.2400000002,6053026.2500000000,11587492.4900000002,
FS(46),5525356.0199999996,5937968.7500000000,11463324.7699999996,
FS(47),5669601.1699999999,6073036.2500000000,11742637.4199999999,
FS(48),5760703.3699999992,6190595.0000000000,11951298.3699999992,
FS(49),5642270.5099999998,5962981.2500000000,11605251.7599999998,
FS(50),5648343.9900000002,6018008.7500000000,11666352.7400000002,
FS(51),5778923.8100000005,6215607.5000000000,11994531.3100000005,
FS(52),5807772.8399999999,6160580.0000000000,11968352.8399999999,
FS(53),5780442.1799999997,6338168.7500000000,12118610.9299999997,
FS(54),5745519.6699999999,6238118.7500000000,11983638.4199999999,
FS(55),5712115.5299999993,6088043.7500000000,11800159.2799999993,
FS(56),5751593.1500000004,6075537.5000000000,11827130.6500000004,
FS(57),5627086.8100000005,5895447.5000000000,11522534.3100000005,
FS(58),5633160.2900000000,5812906.2500000000,11446066.5399999991,
FS(59),5545094.8300000001,5677838.7500000000,11222933.5800000001,
FS(60),5537502.9799999995,5685342.5000000000,11222845.4800000004,
FS(61),5663527.6899999995,5867933.7500000000,11531461.4399999995,
FS(62),5915577.1100000003,5897948.7500000000,11813525.8599999994,
FS(63),5955054.7299999995,6230615.0000000000,12185669.7300000004,
FS(64),5973275.1699999999,6233116.2500000000,12206391.4199999999,
FS(65),6064377.3699999992,6163081.2500000000,12227458.6199999992,
FS(66),6108410.0999999996,6255627.5000000000,12364037.5999999996,
FS(67),6122075.4299999997,6340670.0000000000,12462745.4299999997,
FS(68),6184328.5999999996,6418208.7500000000,12602537.3499999996,
FS(69),6059822.2599999998,6180590.0000000000,12240412.2599999998,
FS(70),6108410.0999999996,6255627.5000000000,12364037.5999999996,
FS(71),6081079.4399999995,6003001.2500000000,12084080.6899999995,
FS(72),5999087.4600000000,5892946.2500000000,11892033.7099999990,
FS(73),5942907.7699999996,5830415.0000000000,11773322.7699999996,
FS(74),5985422.1299999999,5830415.0000000000,11815837.1299999990,
FS(75),6137259.1299999999,5810405.0000000000,11947664.1300000008,
FS(76),6103854.9900000002,5777888.7500000000,11881743.7400000002,
FS(77),6369569.7400000002,5962981.2500000000,12332550.9900000002,
FS(78),6377161.5899999999,5922961.2500000000,12300122.8399999999,
FS(79),6365014.6299999999,6008003.7500000000,12373018.3799999990,
FS(80),6390826.9199999999,6103051.2500000000,12493878.1699999999,
FS(81),6410565.7299999995,6143071.2500000000,12553636.9799999986,
FS(82),6305798.2000000002,6060530.0000000000,12366328.2000000011,
FS(83),6378679.9600000000,6140570.0000000000,12519249.9600000009,
FS(84),6383235.0699999994,6065532.5000000000,12448767.5700000003,
FS(85),6398418.7699999996,6138068.7500000000,12536487.5199999996,
FS(86),6489520.9699999997,6280640.0000000000,12770160.9699999988,
FS(87),6542663.9199999999,6353176.2500000000,12895840.1699999999,
FS(88),6559365.9900000002,6315657.5000000000,12875023.4900000002,
FS(89),6563921.0999999996,6370685.0000000000,12934606.0999999996,
FS(90),6609472.2000000002,6400700.0000000000,13010172.1999999993,
FS(91),6598843.6100000003,6453226.2500000000,13052069.8600000013,
FS(92),6588215.0199999996,6440720.0000000000,13028935.0199999996,
FS(93),6606435.4600000000,6288143.7500000000,12894579.2100000009,
FS(94),6641357.9699999997,6263131.2500000000,12904489.2199999988,
FS(95),6814452.1500000004,6350675.0000000000,13165127.1500000004,
FS(96),6894925.7599999998,6410705.0000000000,13305630.7599999998,
FS(97),6758272.4600000000,6598298.7500000000,13356571.2099999990,
FS(98),6814452.1500000004,6680840.0000000000,13495292.1500000004,
FS(99),6826599.1100000003,6728363.7500000000,13554962.8599999994,
FS(100),6872150.2100000000,6728363.7500000000,13600513.9599999990,
FS(101),6825080.7400000002,6690845.0000000000,13515925.7400000002,
FS(102),6812933.7799999993,6685842.5000000000,13498776.2799999993,
FS(103),6797750.0800000001,6688343.7500000000,13486093.8300000001,
FS(104),6740052.0199999996,6608303.7500000000,13348355.7699999996,
FS(105),6752198.9799999995,6640820.0000000000,13393018.9800000004,
FS(106),6750680.6100000003,6625812.5000000000,13376493.1099999994,
FS(107),6858484.8799999999,6688343.7500000000,13546828.6299999990,
FS(108),6863039.9900000002,6683341.2500000000,13546381.2400000002,
FS(109),6902517.6100000003,6663331.2500000000,13565848.8600000013,
FS(110),6858484.8799999999,6715857.5000000000,13574342.3800000008,
FS(111),6873668.5800000001,6718358.7500000000,13592027.3300000001,
FS(112),6882778.7999999998,6678338.7500000000,13561117.5499999989,
FS(113),6973881.0000000000,6678338.7500000000,13652219.7500000000,
FS(114),6993619.8100000005,6698348.7500000000,13691968.5600000005,
FS(115),6940476.8600000003,6648323.7500000000,13588800.6099999994,
FS(116),6973881.0000000000,6710855.0000000000,13684736.0000000000,
FS(117),7092313.8600000003,6845922.5000000000,13938236.3600000013,
FS(118),7124199.6299999999,6793396.2500000000,13917595.8800000008,
FS(119),7071056.6799999997,6685842.5000000000,13756899.1799999997,
FS(120),7128754.7400000002,6668333.7500000000,13797088.4900000002,
FS(121),7133309.8499999996,6678338.7500000000,13811648.5999999996,
FS(122),7125718.0000000000,6725862.5000000000,13851580.5000000000,
FS(123),7171269.0999999996,6813406.2500000000,13984675.3499999996,
FS(124),7222893.6799999997,6723361.2500000000,13946254.9299999997,
