代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14116441.0199999996
真實報酬,4116441.0199999996
趨勢值,0.1745641685

選擇檔數,2
找到最佳解世代,2154
找到最佳解實驗,1
Stock#,HD,V,
分配資金,5000000,5000000,
張數,140686,222123,
剩餘資金,19.5600000001,11.2699999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5063308.7000000011,5082185.5099999998,10145494.2100000009,
FS(3),5128024.2600000007,5175477.1699999999,10303501.4299999997,
FS(4),5119583.1000000006,5144379.9499999993,10263963.0500000007,
FS(5),5253234.8000000007,5162149.7899999991,10415384.5899999999,
FS(6),5337646.4000000004,5250998.9899999993,10588645.3900000006,
FS(7),5227911.3200000003,5171034.7100000000,10398946.0299999993,
FS(8),5233538.7600000007,5166592.2500000000,10400131.0099999998,
FS(9),5354528.7200000007,5284317.4399999995,10638846.1600000001,
FS(10),5381259.0600000005,5211016.8499999996,10592275.9100000001,
FS(11),5355935.5800000010,5310972.1999999993,10666907.7800000012,
FS(12),5323577.8000000007,5186583.3200000003,10510161.1200000010,
FS(13),5292626.8799999999,5075521.8200000003,10368148.6999999993,
FS(14),5329205.2400000012,5042203.3699999992,10371408.6100000013,
FS(15),5213842.7200000007,5064415.6699999999,10278258.3900000006,
FS(16),5219470.1600000011,5044424.5999999996,10263894.7600000016,
FS(17),5137872.2800000012,4957796.6299999999,10095668.9100000001,
FS(18),5130837.9800000004,4944469.2500000000,10075307.2300000004,
FS(19),5247607.3600000003,5191025.7799999993,10438633.1400000006,
FS(20),5481146.1200000010,5159928.5599999996,10641074.6800000016,
FS(21),5517724.4800000004,5384272.7899999991,10901997.2699999996,
FS(22),5534606.8000000007,5428697.3899999997,10963304.1900000013,
FS(23),5619018.4000000004,5397600.1699999999,11016618.5700000003,
FS(24),5659817.3399999999,5335405.7299999995,10995223.0699999984,
FS(25),5672479.0800000010,5295423.5899999999,10967902.6699999999,
FS(26),5730160.3399999999,5390936.4799999995,11121096.8199999984,
FS(27),5614797.8200000003,5319857.1199999992,10934654.9399999995,
FS(28),5659817.3399999999,5397600.1699999999,11057417.5099999998,
FS(29),5634493.8600000003,5382051.5599999996,11016545.4199999999,
FS(30),5558523.4199999999,5326520.8099999996,10885044.2300000004,
FS(31),5506469.6000000006,5350954.3399999999,10857423.9399999995,
FS(32),5545861.6800000006,5322078.3499999996,10867940.0300000012,
FS(33),5686547.6800000006,5410927.5499999998,11097475.2300000004,
FS(34),5655596.7600000007,5475343.2199999988,11130939.9800000004,
FS(35),5901797.2600000007,5628608.0899999999,11530405.3499999996,
FS(36),5908831.5600000005,5593068.4099999992,11501899.9700000007,
FS(37),5897576.6800000006,5584183.4899999993,11481760.1699999999,
FS(38),5921493.3000000007,5690802.5299999993,11612295.8300000001,
FS(39),5939782.4800000004,5659705.3099999996,11599487.7900000010,
FS(40),5842709.1400000006,5593068.4099999992,11435777.5500000007,
FS(41),5910238.4199999999,5728563.4399999995,11638801.8599999994,
FS(42),5914459.0000000000,5637493.0099999998,11551952.0099999998,
FS(43),5928527.6000000006,5719678.5199999996,11648206.1199999992,
FS(44),6012939.2000000011,5617501.9399999995,11630441.1400000006,
FS(45),6062179.3000000007,5659705.3099999996,11721884.6100000013,
FS(46),6077654.7600000007,5593068.4099999992,11670723.1699999999,
FS(47),6081875.3399999999,5548643.8099999996,11630519.1500000004,
FS(48),6124081.1400000006,5541980.1199999992,11666061.2599999998,
FS(49),6114233.1200000010,5504219.2100000000,11618452.3300000001,
FS(50),6104385.1000000006,5628608.0899999999,11732993.1899999995,
FS(51),6121267.4199999999,5595289.6399999997,11716557.0600000005,
FS(52),6153625.2000000011,5693023.7599999998,11846648.9600000009,
FS(53),6314007.2400000012,5764103.1199999992,12078110.3600000013,
FS(54),6388570.8200000003,5684138.8399999999,12072709.6600000001,
FS(55),6261953.4199999999,5586404.7199999988,11848358.1399999987,
FS(56),6314007.2400000012,5530873.9699999988,11844881.2100000009,
FS(57),6325262.1200000010,5608617.0199999996,11933879.1400000006,
FS(58),6367467.9199999999,5584183.4899999993,11951651.4100000001,
FS(59),6323855.2600000007,5601953.3299999991,11925808.5899999999,
FS(60),6312600.3799999999,5610838.2500000000,11923438.6299999990,
FS(61),6298531.7800000012,5546422.5799999991,11844954.3600000013,
FS(62),6245071.1000000006,5588625.9499999993,11833697.0500000007,
FS(63),6256325.9800000004,5693023.7599999998,11949349.7400000002,
FS(64),6254919.1200000010,5890713.2299999995,12145632.3499999996,
FS(65),6354806.1800000006,5944022.7500000000,12298828.9299999997,
FS(66),6359026.7600000007,5961792.5899999999,12320819.3499999996,
FS(67),6395605.1200000010,5941801.5199999996,12337406.6400000006,
FS(68),6354806.1800000006,6017323.3399999999,12372129.5199999996,
FS(69),6368874.7800000012,6243888.7999999998,12612763.5800000001,
FS(70),6377315.9400000004,6326074.3099999996,12703390.2500000000,
FS(71),6461727.5400000000,6259437.4099999992,12721164.9499999993,
FS(72),6480016.7200000007,6399374.8999999994,12879391.6199999992,
