代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11552325.6199999992
真實報酬,1552325.6199999992
趨勢值,0.1159594705

選擇檔數,6
找到最佳解世代,2298
找到最佳解實驗,1
Stock#,AXP,DIS,KO,UNH,VZ,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,34874,46309,49870,34350,44126,28436,
剩餘資金,37.5400000000,5.0899999999,10.5999999999,3.9999999999,26.9799999999,32.0400000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000019,
FS(2),1682010.5599999998,1695377.5799999998,1655195.8999999997,1656704.5000000000,1670196.0799999998,1651879.2800000000,10011367.8999999985,
FS(3),1701191.2600000000,1710659.5499999998,1653699.7999999996,1658078.5000000000,1679021.2799999996,1658988.2800000000,10061642.6699999999,
FS(4),1693518.9800000002,1705565.5599999998,1662676.4000000001,1658765.5000000000,1690935.2999999998,1671500.1200000001,10082965.8599999994,
FS(5),1714443.3799999999,1718068.9900000000,1665169.8999999999,1694833.0000000002,1690494.0399999998,1663822.3999999999,10146835.7099999990,
FS(6),1667363.4800000002,1663424.3699999999,1664172.4999999998,1654299.9999999998,1668431.0399999998,1648751.3199999998,9966446.7100000009,
FS(7),1701888.7400000000,1693062.1299999999,1684619.2000000000,1680062.4999999998,1695789.1599999997,1658419.5600000001,10113845.2899999991,
FS(8),1670153.4000000001,1697229.9399999997,1668162.1000000001,1655674.0000000000,1692259.0799999998,1651879.2800000000,10035361.7999999989,
FS(9),1652716.4000000001,1682411.0599999998,1657689.3999999999,1646399.5000000000,1688287.7399999998,1637945.6400000001,9965453.7400000002,
FS(10),1641905.4600000000,1628229.5299999998,1652203.7000000000,1640560.0000000000,1688287.7399999998,1639367.4399999999,9890557.8699999992,
FS(11),1618888.6200000001,1629618.7999999998,1668162.1000000001,1666666.0000000000,1695347.8999999999,1647898.2400000002,9926585.6600000001,
FS(12),1634930.6600000001,1635638.9700000000,1681626.9999999998,1683154.0000000000,1711233.2599999998,1656997.7600000002,10003585.6500000004,
FS(13),1605636.5000000000,1609242.8399999999,1680130.8999999997,1682123.5000000000,1704614.3599999999,1643064.1200000001,9924816.2199999988,
