代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11559846.0399999991
真實報酬,1559846.0399999991
趨勢值,0.1098802598

選擇檔數,5
找到最佳解世代,1896
找到最佳解實驗,1
Stock#,DIS,HD,KO,TRV,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,47180,42140,57471,34234,34002,
剩餘資金,39.8000000000,35.6000000000,9.2000000002,49.7199999999,2.3600000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1998584.6000000001,1997892.9999999998,1987931.0900000003,1985964.0599999998,2006460.3800000001,9976833.1299999990,
FS(3),2014625.8000000003,1997050.2000000000,1989655.2200000000,2002738.7200000000,2019721.1600000001,10023791.0999999996,
FS(4),1981599.8000000000,1954910.2000000000,1975862.1800000004,1951045.3800000001,2005100.3000000000,9868517.8599999994,
FS(5),1969804.8000000000,1997050.2000000000,1977011.6000000001,1946937.2999999998,2035362.0800000001,9926165.9800000004,
FS(6),1982543.4000000001,2015170.3999999999,1990804.6400000001,1954811.1200000001,2032301.9000000001,9975631.4600000009,
FS(7),1992923.0000000002,2026969.5999999999,1997701.1600000001,1972270.4600000000,2042842.5200000000,10032706.7400000002,
FS(8),1997641.0000000002,2047618.2000000000,2016091.8800000001,1972270.4600000000,2063243.7200000002,10096865.2599999998,
FS(9),2076431.5999999999,2070795.2000000000,2018965.4300000004,1999657.6599999999,2074124.3600000001,10239974.2500000000,
FS(10),2051426.2000000000,2084701.3999999999,2017816.0100000002,2018144.0200000000,2076844.5200000000,10248932.1499999985,
FS(11),2050954.3999999999,2073323.6000000001,2021264.2700000003,2022594.4399999999,2081944.8200000001,10250081.5299999993,
FS(12),2037744.0000000000,2067002.5999999996,2016091.8800000001,2026702.5200000000,2068684.0400000003,10216225.0399999991,
FS(13),2049539.0000000000,2057731.7999999998,2022988.4000000004,2023963.7999999998,2065283.8400000001,10219506.8399999999,
FS(14),2040103.0000000002,2080908.8000000000,2028735.5000000000,2025333.1599999999,2060523.5600000001,10235604.0199999996,
FS(15),2041518.4000000001,2098186.2000000002,2043677.9600000004,2003081.0599999998,2059163.4800000002,10245627.0999999996,
FS(16),2042462.0000000000,2093550.7999999998,2052298.6100000003,1984594.7000000000,2062223.6600000001,10235129.7699999996,
FS(17),2059446.8000000000,2087651.1999999997,2054022.7400000002,1992468.5200000000,2065623.8600000001,10259213.1200000010,
FS(18),2093888.2000000002,2112513.8000000003,2066091.6500000004,2014720.6200000001,2080924.7600000002,10368139.0300000012,
FS(19),2083036.8000000000,2108721.2000000002,2065516.9399999999,2002054.0399999998,2077184.5400000003,10336513.5199999996,
FS(20),2052841.5999999999,2103243.0000000000,2087930.6300000001,2011981.9000000001,2080584.7400000000,10336581.8699999992,
FS(21),2029251.5999999999,2103243.0000000000,2121263.8100000001,2007873.8199999998,2068004.0000000000,10329636.2299999986,
FS(22),2065580.2000000002,2120099.0000000000,2127010.9100000001,2026702.5200000000,2080924.7600000002,10420317.3899999987,
FS(23),2068411.0000000002,2106614.2000000002,2130459.1700000004,2031152.9399999999,2086365.0800000001,10423002.3900000006,
FS(24),2042462.0000000000,2107035.6000000001,2119539.6800000002,2029441.2400000000,2062223.6600000001,10360702.1800000016,
FS(25),2025477.2000000000,2100714.6000000001,2110919.0299999998,2027387.2000000000,2048962.8800000001,10313460.9099999983,
