代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11447655.6799999997
真實報酬,1447655.6799999997
趨勢值,0.1229708373

選擇檔數,4
找到最佳解世代,2001
找到最佳解實驗,1
Stock#,DIS,PG,TRV,WMT,
分配資金,2500000,2500000,2500000,2500000,
張數,57090,39326,38699,42322,
剩餘資金,28.9000000000,46.1800000000,44.6000000002,39.4600000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2485727.5000000000,2516123.6600000001,2505417.8599999999,2497460.6799999997,10004729.7000000011,
FS(3),2501141.7999999998,2536966.4400000004,2505804.8500000001,2496614.2400000002,10040527.3300000001,
FS(4),2450902.6000000001,2527921.4600000004,2496130.1000000001,2484340.8599999999,9959295.0200000014,
FS(5),2501712.6999999997,2526741.6800000002,2499613.0100000002,2505078.6399999997,10033146.0300000012,
FS(6),2529115.8999999999,2523202.3399999999,2491873.2100000000,2499153.5600000001,10043345.0100000016,
FS(7),2570220.7000000002,2503932.6000000001,2473684.6800000002,2498307.1200000001,10046145.1000000015,
FS(8),2585064.1000000001,2522415.8200000003,2501547.9600000000,2505078.6399999997,10114106.5200000014,
FS(9),2601049.2999999998,2504325.8600000003,2500773.9800000004,2514812.7000000002,10120961.8399999999,
FS(10),2578784.2000000002,2500393.2600000002,2495356.1200000001,2500000.0000000000,10074533.5800000001,
FS(11),2569649.7999999998,2505898.8999999999,2482585.4500000002,2511850.1600000001,10069984.3100000005,
FS(12),2573646.0999999996,2528314.7200000002,2461687.9900000002,2505078.6399999997,10068727.4500000011,
FS(13),2530828.5999999996,2515337.1400000001,2426471.9000000004,2610460.4199999999,10083098.0600000005,
FS(14),2501141.7999999998,2498033.7000000002,2406348.4199999999,2642201.9199999999,10047725.8400000017,
FS(15),2534254.0000000000,2492921.3200000003,2426471.9000000004,2668018.3399999999,10121665.5600000005,
FS(16),2534254.0000000000,2483483.0800000001,2431115.7800000003,2697220.5200000000,10146073.3800000008,
FS(17),2534254.0000000000,2453595.3200000003,2431115.7800000003,2697220.5200000000,10116185.6200000010,
FS(18),2537108.5000000000,2460674.0000000000,2445434.4100000001,2753931.9999999995,10197148.9100000001,
FS(19),2540533.8999999999,2457527.9200000004,2422602.0000000000,2764089.2800000003,10184753.1000000015,
FS(20),2596482.0999999996,2475617.8800000004,2433437.7200000002,2779748.4200000004,10285286.1200000010,
FS(21),2580496.8999999999,2450842.5000000000,2395125.7100000000,2769591.1399999997,10196056.2500000019,
FS(22),2609612.7999999998,2449662.7200000002,2418345.1100000003,2785673.4999999995,10263294.1299999990,
FS(23),2534824.8999999999,2420561.4800000000,2344430.0200000000,2774246.5600000001,10074062.9600000009,
FS(24),2535395.7999999998,2414662.5800000001,2336690.2200000002,2792868.2399999998,10079616.8399999999,
FS(25),2559944.5000000000,2405617.6000000001,2352943.7999999998,2772130.4600000000,10090636.3600000013,
FS(26),2599336.6000000001,2430392.9800000000,2385450.9600000000,2790328.9200000004,10205509.4600000009,
FS(27),2605045.6000000001,2468145.9399999999,2395899.6899999999,2787789.6000000001,10256880.8300000001,
FS(28),2639870.5000000000,2467752.6800000002,2404800.4600000000,2887246.2999999998,10399669.9400000013,
FS(29),2614750.8999999999,2459494.2200000002,2382355.0400000000,2858044.1200000001,10314644.2800000012,
FS(30),2647863.1000000001,2468145.9399999999,2397060.6600000001,2866085.2999999998,10379155.0000000000,
FS(31),2639299.5999999996,2460674.0000000000,2385837.9500000002,2838575.9999999995,10324387.5499999989,
FS(32),2693535.1000000001,2484662.8600000003,2442725.4800000000,2862276.3199999998,10483199.7599999998,
FS(33),2688397.0000000000,2472865.0600000001,2453948.1899999999,2867354.9600000000,10482565.2100000009,
