代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11968246.3200000022
真實報酬,1968246.3200000022
趨勢值,0.1294869996

選擇檔數,4
找到最佳解世代,1880
找到最佳解實驗,1
Stock#,BA,HD,TRV,V,
分配資金,2500000,2500000,2500000,2500000,
張數,34354,48374,39463,78443,
剩餘資金,59.4200000001,31.6800000000,18.9499999999,21.5899999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2473203.8799999999,2485971.5400000000,2481057.7599999998,2535299.3500000001,9975532.5300000012,
FS(3),2501374.1600000001,2529508.1400000001,2514206.6799999997,2568245.4100000001,10113334.3900000006,
FS(4),2504122.4800000000,2515479.6800000002,2506708.7100000000,2569814.2699999996,10096125.1400000006,
FS(5),2558058.2599999998,2534829.2800000003,2500789.2599999998,2557263.3900000001,10150940.1899999995,
FS(6),2562867.8199999998,2553695.1400000001,2518152.9800000000,2572167.5599999996,10206883.5000000000,
FS(7),2551874.5400000000,2571109.7800000003,2521310.0199999996,2520395.1800000002,10164689.5200000014,
FS(8),2549469.7599999998,2566756.1200000001,2524861.6899999995,2531377.2000000002,10172464.7700000014,
FS(9),2548782.6799999997,2555146.3600000003,2514995.9399999995,2516473.0299999998,10135398.0099999998,
FS(10),2535728.1600000001,2646573.2200000002,2507497.9699999997,2547065.7999999998,10236865.1500000004,
FS(11),2510306.1999999997,2660601.6800000002,2515785.1999999997,2531377.2000000002,10218070.2799999993,
FS(12),2529887.9800000000,2723971.6200000001,2526834.8399999999,2543143.6499999999,10323838.0899999999,
FS(13),2539163.5599999996,2744288.7000000002,2570244.1399999997,2523532.8999999999,10377229.2999999989,
FS(14),2536415.2399999998,2736548.8600000003,2590370.2699999996,2513335.3099999996,10376669.6800000016,
FS(15),2517177.0000000000,2724455.3600000003,2574190.4399999999,2500784.4299999997,10316607.2300000004,
FS(16),2501030.6199999996,2739935.0400000000,2582872.2999999998,2512550.8799999999,10336388.8400000017,
FS(17),2417206.8599999999,2735581.3799999999,2557221.3499999996,2493724.5599999996,10203734.1500000004,
FS(18),2442285.2800000003,2755414.7200000002,2580899.1499999999,2484311.3999999999,10262910.5500000007,
FS(19),2452247.9399999999,2741386.2600000002,2572217.2900000000,2503922.1499999999,10269773.6400000006,
FS(20),2457057.5000000000,2734613.9000000004,2558799.8699999996,2498431.1400000001,10248902.4100000001,
FS(21),2454309.1799999997,2749609.8400000003,2557221.3499999996,2510982.0199999996,10272122.3900000006,
FS(22),2433009.6999999997,2738967.5600000001,2544987.8199999994,2485095.8299999996,10202060.9100000001,
FS(23),2452935.0200000000,2745256.1800000002,2554853.5699999994,2514904.1699999999,10267948.9400000013,
FS(24),2434727.3999999999,2747191.1400000001,2550907.2699999996,2520395.1800000002,10253220.9900000002,
FS(25),2470799.1000000001,2735097.6400000001,2546566.3399999999,2502353.2899999996,10254816.3699999992,
FS(26),2501717.6999999997,2788792.7800000003,2578531.3699999996,2540005.9300000002,10409047.7800000012,
FS(27),2504122.4800000000,2769926.9199999999,2573401.1799999997,2543928.0799999996,10391378.6600000001,
FS(28),2441941.7399999998,2771861.8799999999,2577347.4800000000,2523532.8999999999,10314684.0000000000,
FS(29),2448469.0000000000,2743804.9600000000,2642066.7999999998,2578442.9999999995,10412783.7600000016,
FS(30),2437819.2599999998,2759768.3799999999,2665349.9699999997,2617664.4999999995,10480602.1100000013,
FS(31),2459118.7399999998,2820235.8799999999,2701261.2999999998,2646688.4100000001,10627304.3300000001,
FS(32),2448812.5400000000,2876349.7200000002,2706391.4899999998,2632568.6699999999,10664122.4200000018,
