代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11829687.3099999987
真實報酬,1829687.3099999987
趨勢值,0.1253909323

選擇檔數,2
找到最佳解世代,2506
找到最佳解實驗,1
Stock#,JNJ,V,
分配資金,5000000,5000000,
張數,74338,155617,
剩餘資金,26.1199999996,25.7899999996,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000019,
FS(2),5000743.3799999990,4964208.0899999999,9964951.4699999988,
FS(3),5043116.0399999991,5038904.2500000000,10082020.2900000010,
FS(4),5046089.5599999987,5046685.0999999996,10092774.6600000001,
FS(5),5068390.9600000000,5006224.6800000006,10074615.6400000006,
FS(6),5069877.7199999997,5115156.5800000001,10185034.3000000007,
FS(7),5066160.8199999994,5192965.0800000001,10259125.9000000004,
FS(8),5128604.7399999984,5250543.3700000001,10379148.1099999994,
FS(9),5089948.9799999995,5222532.3100000005,10312481.2900000010,
FS(10),5073594.6199999992,5208526.7800000003,10282121.4000000004,
FS(11),5095896.0199999986,5200745.9300000006,10296641.9499999993,
FS(12),5099612.9199999990,5244318.6900000004,10343931.6100000013,
FS(13),5121914.3199999994,5236537.8399999999,10358452.1600000001,
FS(14),5133808.3999999994,5252099.5400000000,10385907.9400000013,
FS(15),5129348.1199999992,5203858.2699999996,10333206.3900000006,
FS(16),5153136.2799999984,5234981.6699999999,10388117.9499999993,
FS(17),5129348.1199999992,5155617.0000000000,10284965.1200000010,
FS(18),5130091.5000000000,5210082.9499999993,10340174.4500000011,
FS(19),5122657.6999999993,5224088.4800000004,10346746.1799999997,
FS(20),5139012.0599999987,5319014.8499999996,10458026.9100000001,
FS(21),5126374.5999999987,5291003.7900000000,10417378.3900000006,
FS(22),5129348.1199999992,5389042.5000000000,10518390.6200000010,
FS(23),5149419.3799999990,5434171.4300000006,10583590.8100000005,
FS(24),5177667.8199999994,5457513.9800000004,10635181.8000000007,
FS(25),5162056.8399999989,5396823.3499999996,10558880.1899999995,
FS(26),5085488.6999999993,5320571.0199999996,10406059.7200000007,
FS(27),5071364.4799999995,5345469.7400000002,10416834.2200000007,
FS(28),5052779.9799999995,5409272.7100000000,10462052.6899999995,
FS(29),5052779.9799999995,5412385.0499999998,10465165.0300000012,
FS(30),5099612.9199999990,5441952.2800000003,10541565.1999999993,
FS(31),5170234.0199999986,5491749.7199999997,10661983.7400000002,
FS(32),5278024.1199999992,5546215.6699999999,10824239.7900000010,
FS(33),5391017.8799999990,5519760.7800000003,10910778.6600000001,
FS(34),5341954.7999999989,5445064.6200000001,10787019.4199999999,
FS(35),5336007.7599999988,5407716.5400000000,10743724.3000000007,
FS(36),5269846.9399999995,5315902.5099999998,10585749.4499999993,
FS(37),5258696.2399999984,5309677.8300000001,10568374.0699999984,
FS(38),5288431.4399999995,5351694.4199999999,10640125.8600000013,
FS(39),5270590.3199999994,5381261.6499999994,10651851.9700000007,
FS(40),5264643.2799999984,5398379.5199999996,10663022.7999999989,
FS(41),5315193.1199999992,5597569.2800000003,10912762.4000000004,
FS(42),5270590.3199999994,5578895.2400000002,10849485.5600000005,
FS(43),5262413.1399999997,5505755.2500000000,10768168.3900000006,
FS(44),5278767.5000000000,5597569.2800000003,10876336.7800000012,
FS(45),5228961.0399999991,5546215.6699999999,10775176.7100000009,
