代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12305768.3200000003
真實報酬,2305768.3200000003
趨勢值,0.1076722303

選擇檔數,2
找到最佳解世代,2089
找到最佳解實驗,1
Stock#,TRV,V,
分配資金,5000000,5000000,
張數,72390,146284,
剩餘資金,22.7000000005,12.8800000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4973215.7000000002,4973668.8799999999,9946884.5800000001,
FS(3),4995656.6000000006,5065827.7999999998,10061484.4000000004,
FS(4),5015201.9000000004,5108250.1600000001,10123452.0600000005,
FS(5),5035471.1000000006,5130192.7599999998,10165663.8600000013,
FS(6),5034023.3000000007,5073142.0000000000,10107165.3000000007,
FS(7),5018097.5000000000,5001462.8399999999,10019560.3399999999,
FS(8),5023888.7000000002,5024868.2800000003,10048756.9800000004,
FS(9),5006515.0999999996,5084844.7199999997,10091359.8199999984,
FS(10),4974663.5000000000,5087770.4000000004,10062433.9000000004,
FS(11),5052120.8000000007,5115564.3599999994,10167685.1600000001,
FS(12),5102793.7999999998,5162375.2400000002,10265169.0399999991,
FS(13),5167220.8999999994,5213574.6399999997,10380795.5399999991,
FS(14),5352539.2999999998,5188706.3599999994,10541245.6600000001,
FS(15),5321411.6000000006,5118490.0400000000,10439901.6400000006,
FS(16),5356158.7999999998,5083381.8799999999,10439540.6799999997,
FS(17),5312000.8999999994,4997074.3199999994,10309075.2199999988,
FS(18),5297522.9000000004,4991222.9600000000,10288745.8599999994,
FS(19),5220789.5000000009,5030719.6399999997,10251509.1400000006,
FS(20),5180251.1000000006,5058513.5999999996,10238764.7000000011,
FS(21),5135369.2999999998,5074604.8399999999,10209974.1399999987,
FS(22),5083972.4000000004,5261848.3599999994,10345820.7599999998,
FS(23),5039814.5000000009,5244294.2800000003,10284108.7800000012,
FS(24),5002895.6000000006,5175540.7999999998,10178436.4000000004,
FS(25),5079629.0000000000,5261848.3599999994,10341477.3599999994,
FS(26),4973939.5999999996,5213574.6399999997,10187514.2400000002,
FS(27),4994932.7000000002,5196020.5600000005,10190953.2599999998,
FS(28),4993484.9000000004,5226740.1999999993,10220225.0999999996,
FS(29),4953670.4000000004,5238442.9199999999,10192113.3200000003,
FS(30),4939192.4000000004,5209186.1200000001,10148378.5199999996,
FS(31),4927610.0000000000,5118490.0400000000,10046100.0400000010,
FS(32),4945707.5000000000,5119952.8799999999,10065660.3800000008,
FS(33),4969596.2000000002,5219426.0000000000,10189022.1999999993,
FS(34),5034023.3000000007,5326213.3199999994,10360236.6200000010,
FS(35),5041262.2999999998,5352544.4400000004,10393806.7400000002,
FS(36),5083248.5000000000,5364247.1600000001,10447495.6600000001,
FS(37),5159258.0000000000,5416909.4000000004,10576167.4000000004,
FS(38),5129578.1000000006,5384726.9199999999,10514305.0200000014,
FS(39),5127406.4000000004,5368635.6800000006,10496042.0800000001,
FS(40),5136817.0999999996,5386189.7599999998,10523006.8599999994,
FS(41),5152742.9000000004,5419835.0799999991,10572577.9800000004,
FS(42),5126682.5000000000,5475423.0000000000,10602105.5000000000,
FS(43),5136093.2000000002,5435926.3199999994,10572019.5199999996,
FS(44),5105689.4000000004,5397892.4799999995,10503581.8800000008,
FS(45),5356882.7000000002,5415446.5600000005,10772329.2599999998,
FS(46),5295351.2000000002,5430074.9600000000,10725426.1600000001,
FS(47),5312724.7999999998,5433000.6399999997,10745725.4399999995,
FS(48),5309105.3000000007,5437389.1600000001,10746494.4600000009,
FS(49),5315620.4000000004,5446166.1999999993,10761786.5999999996,
FS(50),5306933.6000000006,5408132.3599999994,10715065.9600000009,
FS(51),5301142.4000000004,5383264.0799999991,10684406.4800000004,
FS(52),5311277.0000000009,5370098.5199999996,10681375.5200000014,
