代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12417546.8000000007
真實報酬,2417546.8000000007
趨勢值,0.1564129423

選擇檔數,7
找到最佳解世代,1709
找到最佳解實驗,1
Stock#,AXP,BA,CSCO,JNJ,MRK,UNH,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,23845,19080,68582,19258,34151,25615,32059,
剩餘資金,17.0500000001,51.3999999999,7.9400000001,12.5599999999,34.6700000001,22.4499999999,21.9599999999,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1416648.5000000000,1435058.1999999997,1427885.1800000002,1427222.9399999997,1395103.0200000003,1428058.7000000000,1427288.6400000001,9957268.1799999978,
FS(3),1446454.7500000000,1448032.5999999999,1445716.5000000000,1437814.8399999999,1414910.6000000001,1479801.0000000000,1428571.0000000000,10101304.2900000010,
FS(4),1444070.2500000000,1455664.6000000001,1453260.5200000003,1451873.1799999999,1403299.2600000002,1469811.1499999999,1434662.2100000000,10112644.1699999999,
FS(5),1481745.3500000001,1477415.8000000000,1447088.1400000004,1445518.0399999998,1400225.6700000002,1461358.2000000000,1425365.1000000001,10138719.3000000007,
FS(6),1473638.0500000000,1460816.2000000000,1451203.0600000003,1453606.3999999999,1406372.8500000001,1479032.5500000000,1421838.6100000001,10146510.7199999988,
FS(7),1477930.1499999999,1447651.0000000000,1458747.0800000001,1452258.3399999999,1413203.0500000003,1463151.2500000000,1420876.8400000001,10133820.7100000009,
FS(8),1483176.0500000000,1449940.5999999999,1438172.4800000002,1459768.9599999997,1415593.6200000003,1460333.5999999999,1424723.9199999999,10131712.2299999986,
FS(9),1480791.5500000000,1426853.7999999998,1449831.4200000002,1457072.8399999999,1405348.3200000001,1465968.8999999999,1427288.6400000001,10113158.4699999988,
FS(10),1486514.3500000001,1429715.8000000000,1439544.1200000001,1459961.5399999998,1406714.3600000001,1461358.2000000000,1421197.4299999999,10105008.7999999989,
FS(11),1471015.1000000001,1431623.7999999998,1439544.1200000001,1466701.8399999999,1414569.0900000003,1468274.2500000000,1423441.5599999998,10115172.7599999998,
FS(12),1485083.6500000001,1424373.3999999999,1471777.6600000001,1482108.2399999998,1441889.8900000001,1451368.3499999999,1426647.4600000000,10183251.6499999985,
FS(13),1476261.0000000000,1426853.7999999998,1447773.9600000002,1476138.2600000000,1456916.3300000001,1414226.5999999999,1440112.2400000000,10138285.1899999995,
FS(14),1467438.3500000001,1450322.2000000000,1423770.2600000002,1480375.0200000000,1451452.1700000002,1414995.0500000000,1446524.0399999998,10134880.0899999999,
FS(15),1491998.7000000000,1462724.2000000000,1433371.7400000000,1468435.0599999998,1467503.1400000001,1395271.5000000000,1455500.5599999998,10174807.8999999985,
FS(16),1478883.9500000002,1431623.7999999998,1416912.0600000003,1455339.6199999996,1452135.1900000002,1365301.9500000000,1465759.4399999999,10065959.0099999998,
FS(17),1476499.4500000002,1443453.3999999999,1413482.9600000002,1458806.0599999998,1448720.0900000003,1358898.2000000000,1478583.0399999998,10078446.1999999993,
FS(18),1490329.5500000000,1476080.2000000000,1432685.9200000002,1469783.1199999996,1467503.1400000001,1379902.5000000000,1485956.6100000001,10202244.0399999991,
FS(19),1481983.8000000000,1467303.3999999999,1430628.4600000002,1465738.9399999997,1459306.9000000001,1369144.2000000000,1491727.2300000000,10165835.9299999978,
FS(20),1487229.7000000000,1474553.7999999998,1428571.0000000000,1477101.1599999999,1455891.8000000003,1370937.2500000000,1497818.4399999999,10192106.1499999985,
FS(21),1499629.1000000001,1470928.5999999999,1422398.6200000001,1486730.1599999999,1480139.0100000002,1365814.2500000000,1510321.4500000000,10235964.1899999995,
FS(22),1528958.4500000002,1500884.2000000000,1455317.9800000002,1495588.8399999999,1477065.4200000002,1370424.9500000000,1528915.6699999999,10357158.5099999979,
FS(23),1541596.3000000003,1508897.7999999998,1489608.9800000002,1490389.1799999999,1491750.3500000001,1373242.5999999999,1515771.4800000000,10411259.6899999995,
FS(24),1539450.2500000000,1546485.3999999999,1495095.5400000003,1497322.0599999998,1477748.4400000002,1378109.4500000000,1522183.2799999998,10456397.4199999999,
FS(25),1542788.5500000000,1549919.8000000000,1497153.0000000000,1505795.5799999998,1467503.1400000001,1378365.6000000001,1537571.6000000001,10479100.2699999996,
FS(26),1561864.5500000000,1582546.5999999999,1500582.1000000001,1510610.0799999998,1491067.3300000001,1388611.5999999999,1532762.7500000000,10568048.0099999998,
FS(27),1556857.1000000001,1605824.2000000000,1488237.3400000001,1512921.0399999998,1538195.7100000002,1404492.8999999999,1550395.2000000000,10656926.4900000002,
FS(28),1557095.5500000000,1617081.3999999999,1480007.5000000000,1512728.4599999997,1522827.7600000002,1395527.6499999999,1536930.4199999999,10622201.7399999984,
FS(29),1559003.1499999999,1614601.0000000000,1480693.3200000001,1523320.3599999996,1511899.4400000002,1401931.3999999999,1554242.2799999998,10645693.9499999993,
FS(30),1575933.1000000001,1649135.8000000000,1504011.2000000002,1525053.5799999998,1505752.2600000002,1401931.3999999999,1539495.1400000001,10701315.4799999986,
FS(31),1568541.1500000001,1625285.8000000000,1486179.8800000004,1517735.5399999998,1490042.8000000003,1408847.4500000000,1562898.2100000000,10659533.8300000001,
FS(32),1553041.8999999999,1631582.2000000000,1475892.5800000001,1518698.4399999997,1492433.3700000003,1413202.0000000000,1569310.0100000000,10654163.5000000000,
FS(33),1573787.0500000000,1628911.0000000000,1486179.8800000004,1530060.6599999999,1506776.7900000000,1405773.6499999999,1558089.3600000001,10689581.3899999987,
FS(34),1559718.5000000000,1609067.7999999998,1429256.8200000001,1521587.1399999999,1495506.9600000002,1410384.3500000001,1564501.1599999999,10590025.7299999986,
FS(35),1579032.9500000000,1618416.9999999998,1423084.4400000002,1535645.4799999997,1499263.5700000001,1395015.3499999999,1571554.1400000001,10622015.9299999997,
FS(36),1576171.5499999998,1618989.3999999999,1429942.6400000004,1534490.0000000000,1492091.8600000001,1405261.3499999999,1576042.3999999999,10632992.1999999974,
FS(37),1601685.7000000002,1652761.0000000000,1429942.6400000004,1557021.8599999996,1515997.5600000003,1425497.2000000000,1586301.2799999998,10769210.2399999984,
FS(38),1601208.8000000003,1644747.3999999999,1428571.0000000000,1565110.2199999997,1506093.7700000003,1450343.7500000000,1568989.4199999999,10765067.3599999994,
FS(39),1608600.7500000000,1638069.3999999999,1433371.7400000000,1570117.2999999998,1509508.8700000003,1465456.5999999999,1575721.8099999998,10800849.4699999988,
FS(40),1603831.7500000002,1626621.3999999999,1428571.0000000000,1577820.5000000000,1514631.5200000003,1510539.0000000000,1577965.9399999999,10839984.1099999994,
FS(41),1612892.8500000001,1604488.5999999999,1455317.9800000002,1592456.5799999998,1533756.0800000001,1581492.5500000000,1586942.4600000000,10967350.0999999996,
