代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12869561.8399999999
真實報酬,2869561.8399999999
趨勢值,0.1131647788

選擇檔數,3
找到最佳解世代,3130
找到最佳解實驗,1
Stock#,BA,DD,UNH,
分配資金,3333333,3333333,3333333,
張數,43133,73583,62282,
剩餘資金,14.7600000000,23.1000000002,0.3599999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3325137.7300000000,3345106.2800000003,3320876.6000000001,9991121.6100000013,
FS(3),3392856.5399999996,3374539.4800000000,3332087.3599999999,10099484.3800000008,
FS(4),3410972.3999999999,3427519.2399999998,3338938.3799999999,10177431.0200000014,
FS(5),3495944.4099999997,3405444.3400000003,3350771.9599999995,10252161.7100000009,
FS(6),3503708.3500000001,3434141.7100000004,3351394.7799999998,10289245.8400000017,
FS(7),3577465.7799999998,3456952.4399999999,3376307.5800000001,10410726.8000000007,
FS(8),3630088.0399999996,3483442.3200000003,3414922.4199999999,10528453.7800000012,
FS(9),3655536.5099999998,3479763.1699999999,3393123.7199999997,10528424.4000000004,
FS(10),3649929.2200000002,3528327.9500000002,3408694.2199999997,10586952.3900000006,
FS(11),3727999.9500000002,3543044.5499999998,3408694.2199999997,10679739.7200000007,
FS(12),3674083.7000000002,3486385.6400000001,3425510.3599999999,10585980.7000000011,
FS(13),3688317.5899999999,3478291.5100000002,3436098.2999999998,10602708.4000000004,
FS(14),3682278.9700000002,3504045.5600000001,3418036.5200000000,10604362.0500000007,
FS(15),3637420.6499999999,3403236.8500000001,3429247.2799999998,10469905.7800000012,
FS(16),3658555.8199999994,3434877.5400000000,3391878.0800000001,10485312.4400000013,
FS(17),3659849.8099999996,3383369.4399999999,3416790.8799999999,10460011.1300000008,
FS(18),3736195.2200000002,3353200.4100000001,3465993.6599999997,10555390.2900000010,
FS(19),3718079.3599999999,3330389.6800000002,3526407.1999999997,10574877.2400000002,
FS(20),3702982.8099999996,3336276.3200000003,3563153.5800000001,10602413.7100000009,
FS(21),3677103.0099999998,3286975.7100000004,3672769.8999999999,10636849.6200000010,
FS(22),3627068.7300000000,3243561.7399999998,3845291.0400000000,10715922.5100000016,
FS(23),3638714.6399999997,3248712.5499999998,3840931.2999999998,10728359.4900000002,
FS(24),3664163.1099999999,3293598.1800000002,3863352.8199999998,10821115.1100000013,
FS(25),3716785.3699999996,3237675.1000000001,3867712.5600000001,10822174.0299999993,
FS(26),3741802.5099999998,3214864.3700000001,3854633.3399999999,10811301.2200000007,
FS(27),3761643.6899999995,3294334.0100000002,3872695.1199999996,10928673.8200000003,
FS(28),3787954.8199999994,3335540.4899999998,3887019.9799999995,11010516.2899999991,
FS(29),3818579.2500000000,3338483.8100000001,3922520.7199999997,11079584.7800000012,
FS(30),3834107.1299999999,3326710.5300000003,3925634.8199999998,11086453.4800000004,
FS(31),3742665.1699999995,3162620.4399999999,3835948.7400000002,10741235.3499999996,
FS(32),3747841.1299999999,3172186.2300000000,3911932.7799999998,10831961.1400000006,
FS(33),3739214.5299999998,3175129.5499999998,3863352.8199999998,10777697.9000000004,
FS(34),3714628.7200000002,3162620.4399999999,3717612.9399999999,10594863.0999999996,
FS(35),3793993.4399999995,3201619.4300000002,3739411.6399999997,10735025.5099999998,
FS(36),3749997.7799999998,3247240.8900000001,3688340.3999999999,10685580.0700000003,
FS(37),3803482.7000000002,3317880.5700000003,3645988.6399999997,10767352.9100000020,
FS(38),3917785.1499999999,3370860.3300000001,3661559.1399999997,10950205.6200000010,
FS(39),3954016.8699999996,3559968.6400000001,3695814.2400000002,11209800.7500000019,
FS(40),4004913.8099999996,3501838.0700000003,3704533.7199999997,11211286.6000000015,
FS(41),3963937.4600000000,3548931.1899999999,3737543.1799999997,11250412.8300000001,
FS(42),3942802.2899999996,3553346.1699999999,3732560.6199999996,11228710.0800000001,
FS(43),3932881.7000000002,3473876.5300000003,3719481.3999999999,11126240.6300000008,
