代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12963215.0700000003
真實報酬,2963215.0700000003
趨勢值,0.1168874576

選擇檔數,2
找到最佳解世代,2605
找到最佳解實驗,1
Stock#,BA,UNH,
分配資金,5000000,5000000,
張數,58651,84788,
剩餘資金,2.2500000000,51.6400000001,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4931964.8399999999,5234862.7599999998,10166827.6000000015,
FS(3),4947800.6100000003,5228927.5999999996,10176728.2100000009,
FS(4),4982404.7000000002,5259451.2799999993,10241855.9800000004,
FS(5),5053958.9199999999,5265386.4399999995,10319345.3600000013,
FS(6),5087976.5000000000,5247580.9600000000,10335557.4600000009,
FS(7),5114955.9600000000,5272169.4799999995,10387125.4400000013,
FS(8),5150733.0699999994,5291670.7199999997,10442403.7899999991,
FS(9),5192375.2800000003,5339999.8799999990,10532375.1600000001,
FS(10),5213489.6399999997,5344239.2799999993,10557728.9199999999,
FS(11),5089149.5199999996,5222144.5599999996,10311294.0800000001,
FS(12),5096187.6399999997,5325585.9199999999,10421773.5600000005,
FS(13),5084457.4399999995,5259451.2799999993,10343908.7200000007,
FS(14),5051026.3700000001,5061047.3599999994,10112073.7300000004,
FS(15),5158944.2100000000,5090723.1599999992,10249667.3700000010,
FS(16),5099120.1899999995,5021197.0000000000,10120317.1899999995,
FS(17),5171847.4300000006,4963541.1599999992,10135388.5900000017,
FS(18),5327272.5800000001,4984738.1599999992,10312010.7400000002,
FS(19),5376539.4199999999,5031371.5599999996,10407910.9800000004,
FS(20),5445747.5999999996,5043241.8799999990,10488989.4800000004,
FS(21),5390029.1500000004,5088179.5199999996,10478208.6699999999,
FS(22),5361290.1600000001,5081396.4799999995,10442686.6400000006,
FS(23),5347800.4300000006,5063591.0000000000,10411391.4300000016,
FS(24),5408210.9600000000,5043241.8799999990,10451452.8399999999,
FS(25),5497946.9899999993,4995760.5999999996,10493707.5899999999,
FS(26),5524339.9399999995,5104289.2400000002,10628629.1799999997,
FS(27),5559530.5400000000,5129725.6399999997,10689256.1799999997,
FS(28),5515542.2900000000,5300149.5199999996,10815691.8100000005,
FS(29),5548973.3600000003,5257755.5199999996,10806728.8800000008,
FS(30),5527272.4899999993,5334064.7199999997,10861337.2099999990,
FS(31),5557771.0100000007,5289974.9600000000,10847745.9700000007,
FS(32),5636949.8600000003,5234014.8799999990,10870964.7400000002,
FS(33),5690322.2699999996,5223840.3199999994,10914162.5899999999,
FS(34),5664515.8300000001,5268777.9600000000,10933293.7900000010,
FS(35),5801759.1699999999,5328129.5599999996,11129888.7300000004,
FS(36),5790028.9699999997,5304388.9199999999,11094417.8900000006,
FS(37),5791788.5000000000,5330673.1999999993,11122461.7000000011,
FS(38),5743694.6800000006,5280648.2799999993,11024342.9600000009,
FS(39),5850439.5000000000,5287431.3199999994,11137870.8200000003,
FS(40),5865102.2500000000,5261994.9199999999,11127097.1699999999,
FS(41),5871553.8600000003,5370523.5599999996,11242077.4200000018,
FS(42),5811729.8399999999,5371371.4399999995,11183101.2800000012,
FS(43),5896773.7900000000,5482443.7199999997,11379217.5099999998,
FS(44),5807624.2699999996,5310324.0800000001,11117948.3499999996,
FS(45),5908503.9899999993,5324738.0399999991,11233242.0299999993,
FS(46),5842228.3600000003,5287431.3199999994,11129659.6800000016,
FS(47),5776539.2399999993,5235710.6399999997,11012249.8799999990,
FS(48),5851026.0100000007,5250124.5999999996,11101150.6100000013,
FS(49),6011143.2399999993,5305236.7999999998,11316380.0399999991,
FS(50),5996480.4899999993,5399351.4799999995,11395831.9700000007,
FS(51),5967741.5000000000,5420548.4799999995,11388289.9800000004,
FS(52),5916715.1299999999,5412069.6799999997,11328784.8100000005,
FS(53),5991788.4100000001,5439201.8399999999,11430990.2500000019,
FS(54),5972433.5800000001,5409526.0399999991,11381959.6200000010,
FS(55),6042814.7800000003,5457855.2000000002,11500669.9800000004,
FS(56),6104398.3300000001,5568927.4800000004,11673325.8100000005,
