代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12546653.7999999989
真實報酬,2546653.7999999989
趨勢值,0.1126414947

選擇檔數,3
找到最佳解世代,1824
找到最佳解實驗,1
Stock#,AAPL,BA,UNH,
分配資金,3333333,3333333,3333333,
張數,53112,36557,55816,
剩餘資金,23.8800000001,65.7399999998,1.4800000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3380602.6799999997,3370986.7099999995,3319937.1599999997,10071527.5499999989,
FS(3),3414063.2399999998,3426918.9199999995,3288680.2000000002,10129663.3599999994,
FS(4),3495855.7199999997,3443369.5699999998,3360124.6800000002,10299350.9699999988,
FS(5),3479922.1199999996,3465303.7700000000,3376869.4800000000,10322096.3699999992,
FS(6),3519225.0000000000,3437886.0200000000,3489059.6399999997,10446171.6600000001,
FS(7),3465581.8799999999,3458723.5099999998,3461151.6399999997,10385458.0299999993,
FS(8),3436901.3999999994,3445197.4199999995,3511386.0399999996,10393485.8599999994,
FS(9),3450179.3999999994,3464207.0600000001,3482361.7200000002,10396749.1799999997,
FS(10),3367855.7999999998,3513559.0099999998,3445523.1599999997,10326938.9699999988,
FS(11),3253665.0000000000,3546825.8799999994,3438825.2399999998,10239317.1199999992,
FS(12),3297216.8399999999,3530740.7999999998,3468407.7200000002,10296366.3599999994,
FS(13),3287125.5600000001,3616284.1799999997,3507478.9200000004,10410889.6600000001,
FS(14),3360951.2399999998,3608972.7799999998,3491850.4399999999,10461775.4599999990,
FS(15),3335988.6000000001,3610069.4899999998,3509153.3999999999,10455212.4900000002,
FS(16),3348735.4799999995,3580092.7500000000,3476221.9600000000,10405051.1899999995,
FS(17),3354577.7999999998,3646626.4899999998,3480687.2399999998,10481892.5299999993,
FS(18),3377415.9600000000,3655765.7399999998,3463942.4399999999,10497125.1400000006,
FS(19),3349266.6000000001,3659787.0099999998,3535386.9200000004,10544441.5299999993,
FS(20),3375822.6000000001,3622498.8700000001,3535945.0800000001,10534267.5500000007,
FS(21),3426279.0000000000,3675506.5200000000,3609064.0399999996,10710850.5600000005,
FS(22),3412469.8799999999,3619939.8799999994,3495757.5600000001,10528168.3200000003,
FS(23),3419905.5600000001,3682817.9199999995,3505246.2799999998,10607970.7599999998,
FS(24),3409283.1599999997,3641508.5099999998,3480687.2399999998,10531479.9100000001,
FS(25),3377415.9600000000,3600564.6699999995,3446639.4800000000,10424621.1099999994,
FS(26),3326959.5600000001,3646992.0600000001,3456128.2000000002,10430080.8200000003,
FS(27),3352453.3199999998,3746792.6699999995,3492408.6000000001,10591655.5899999999,
FS(28),3330146.2800000003,3737653.4199999995,3554364.3599999999,10622165.0600000005,
FS(29),3320055.0000000000,3719740.4899999998,3568318.3599999999,10608114.8499999996,
FS(30),3279158.7599999998,3687935.8999999994,3562736.7599999998,10529832.4199999999,
FS(31),3307839.2399999998,3734728.8599999994,3580597.8800000004,10623166.9799999986,
FS(32),3263225.1599999997,3722665.0499999998,3561062.2799999998,10546953.4900000002,
FS(33),3277565.3999999999,3766533.4499999997,3592877.4000000004,10636977.2500000000,
FS(34),3275972.0400000000,3804918.2999999998,3665996.3600000003,10746887.6999999993,
FS(35),3209582.0400000000,3738018.9899999998,3642553.6400000001,10590155.6699999999,
FS(36),3162843.4799999995,3642605.2199999997,3561062.2799999998,10366511.9800000004,
FS(37),3137349.7199999997,3655034.6000000001,3566643.8799999999,10359029.1999999993,
FS(38),3054495.0000000000,3577168.1899999995,3608505.8800000004,10240170.0700000003,
FS(39),3055026.1200000001,3607144.9299999997,3557155.1599999997,10219327.2100000009,
FS(40),3020503.3199999998,3683183.4899999998,3615761.9600000000,10319449.7699999996,
FS(41),2987573.8799999999,3770920.2900000000,3688880.9200000004,10447376.0899999999,
FS(42),3008818.6799999997,3744964.8199999998,3654833.1600000001,10408617.6600000001,
FS(43),3104951.3999999999,3774210.4199999995,3663205.5599999996,10542368.3799999990,
FS(44),3175059.2399999998,3709504.5299999998,3643111.7999999998,10527676.5699999984,
FS(45),3192586.1999999997,3761415.4699999997,3658182.1200000001,10612184.7899999991,
FS(46),3167092.4399999999,3809305.1399999997,3693346.2000000002,10669744.7799999993,
FS(47),3149034.3599999999,3815519.8300000001,3770930.4399999999,10735485.6300000008,
FS(48),3204801.9600000000,3826852.5000000000,3793815.0000000000,10825470.4600000009,
FS(49),3192055.0800000001,3856829.2399999998,3778186.5200000000,10827071.8399999999,
FS(50),3241980.3599999999,3907277.8999999994,3815583.2399999998,10964842.5000000000,
FS(51),3236138.0400000000,3724127.3300000001,3795489.4800000000,10755755.8499999996,
FS(52),3243042.6000000001,3862678.3599999994,3774279.4000000004,10880001.3599999994,
FS(53),3264287.3999999999,3810401.8500000001,3734650.0399999996,10809340.2899999991,
FS(54),3264818.5200000000,3830873.7700000000,3696695.1600000001,10792388.4499999993,
FS(55),3275972.0400000000,3934695.6499999994,3937820.2799999998,11148488.9700000007,
FS(56),3224453.3999999999,3910202.4599999995,3988054.6800000002,11122711.5399999991,
FS(57),3234544.6799999997,3906546.7599999998,4028800.3600000003,11169892.7999999989,
FS(58),3179308.1999999997,3940544.7700000000,4057266.5200000000,11177120.4899999984,
FS(59),3342362.0400000000,3909836.8899999997,4048335.9600000000,11300535.8900000006,
FS(60),3326959.5600000001,3900697.6399999997,4053359.4000000004,11281017.5999999996,
FS(61),3346079.8799999999,3860484.9399999995,4030474.8399999999,11237040.6600000001,
FS(62),3397598.5200000000,3831604.9099999997,4062848.1200000001,11292052.5500000007,
FS(63),3439557.0000000000,3865237.3500000001,4033823.7999999998,11338619.1500000004,
FS(64),3433714.6800000002,3842206.4399999995,4066197.0799999996,11342119.1999999993,
FS(65),3465050.7599999998,3900697.6399999997,4083500.0399999996,11449249.4399999995,
FS(66),3509664.8399999999,3944566.0400000000,4033265.6400000001,11487497.5199999996,
FS(67),3561714.6000000001,3929943.2399999998,4093546.9200000004,11585205.7599999998,
FS(68),3529847.3999999994,3913127.0200000000,4087965.3199999998,11530940.7399999984,
FS(69),3528254.0400000000,3890461.6799999997,4070104.2000000002,11488820.9199999999,
FS(70),3497980.1999999997,3869258.6200000001,4084616.3600000003,11451856.1799999997,
FS(71),3448054.9199999999,3850614.5499999998,4070662.3600000003,11369332.8300000001,
FS(72),3546312.1199999996,3810767.4199999995,4040521.7200000002,11397602.2599999998,
FS(73),3714677.1599999997,3883515.8500000001,4094105.0799999996,11692299.0899999999,
FS(74),3782129.3999999994,3807842.8599999994,4046103.3199999998,11636076.5799999982,
FS(75),3777880.4399999995,3755566.3500000001,3985263.8800000004,11518711.6699999999,
FS(76),3811341.0000000000,3782618.5299999998,3986938.3600000003,11580898.8900000006,
FS(77),3852237.2399999998,3828314.7799999998,4002566.8399999999,11683119.8599999994,
FS(78),3801780.8399999999,3825024.6499999994,4044428.8399999999,11671235.3300000001,
FS(79),3811872.1199999996,3798703.6099999994,4010381.0799999996,11620957.8099999987,
FS(80),3816121.0799999996,3843668.7199999997,4017079.0000000000,11676869.7999999989,
FS(81),3801249.7199999997,3856098.1000000001,4048894.1200000001,11706242.9399999995,
FS(82),3816121.0799999996,3857925.9499999997,4039963.5599999996,11714011.5899999999,
FS(83),3707241.4799999995,3773113.7099999995,3991961.7999999998,11472317.9899999984,
FS(84),3724768.4399999995,3775307.1299999994,3993078.1200000001,11493154.6899999995,
FS(85),3730610.7599999998,3835991.7500000000,4043312.5200000000,11609916.0299999993,
FS(86),3696619.0799999996,3799069.1799999997,4004241.3199999998,11499930.5799999982,
FS(87),3707241.4799999995,3838916.3100000001,4050010.4399999999,11596169.2300000004,
FS(88),3783722.7599999998,3888633.8300000001,4094105.0799999996,11766462.6699999999,
FS(89),3757697.8799999999,3898869.7900000000,4132618.1200000001,11789186.7899999991,
FS(90),3780004.9199999999,3877666.7299999995,4133734.4399999999,11791407.0899999999,
FS(91),3840552.6000000001,3918610.5699999998,4144339.4800000000,11903503.6500000004,
FS(92),3752917.7999999998,3954436.4299999997,4165549.5599999996,11872904.7899999991,
FS(93),3548967.7199999997,3993186.8500000001,4196248.3600000013,11738403.9299999997,
FS(94),3586677.2399999998,4014024.3399999999,4171689.3199999998,11772391.8999999985,
FS(95),3527191.7999999998,4069956.5499999998,4157177.1600000001,11754326.5099999998,
FS(96),3415125.4799999995,4228613.9299999997,4192899.4000000004,11836639.8100000005,
FS(97),3454959.4799999995,4281256.0099999988,4147688.4399999999,11883904.9299999997,
FS(98),3525598.4399999995,4328414.5399999991,4076802.1200000001,11930816.0999999996,
FS(99),3583490.5200000000,4351811.0199999996,3954006.9200000004,11889309.4599999990,
FS(100),3546312.1199999996,4263708.6499999994,3938936.5999999996,11748958.3699999992,
FS(101),3722643.9600000000,4295878.8099999996,4008706.5999999996,12027230.3699999992,
FS(102),3710959.3200000003,4350348.7399999993,4036614.5999999996,12097923.6600000001,
FS(103),3653598.3600000003,4332435.8099999996,4017637.1600000001,12003672.3300000001,
FS(104),3689183.3999999994,4364240.3999999994,4027684.0399999996,12081108.8399999999,
FS(105),3662627.3999999994,4340843.9199999990,4018195.3199999998,12021667.6399999987,
FS(106),3617482.1999999997,4295513.2399999993,3996985.2399999998,11909981.6799999997,
FS(107),3702461.3999999994,4304652.4899999993,4051126.7599999998,12058241.6499999985,
FS(108),3714677.1599999997,4307942.6199999992,4050568.5999999996,12073189.3799999990,
FS(109),3667938.6000000001,4212894.4199999990,4047777.7999999998,11928611.8200000003,
FS(110),3664751.8799999999,4284546.1399999997,4074011.3199999998,12023310.3399999999,
FS(111),3700868.0400000000,4265902.0699999994,4028242.2000000002,11995013.3100000005,
FS(112),3649349.3999999994,4220205.8199999994,3989729.1600000001,11859285.3799999990,
FS(113),3691839.0000000000,4184745.5299999998,3984147.5599999996,11860733.0899999999,
FS(114),3715208.2800000003,4346693.0399999991,4129269.1600000001,12191171.4800000004,
FS(115),3739108.6800000002,4313060.5999999996,4145455.7999999998,12197626.0800000001,
FS(116),3763540.1999999997,4367164.9599999990,4170573.0000000000,12301279.1600000001,
FS(117),3783722.7599999998,4320372.0000000000,4123129.4000000004,12227225.1600000001,
FS(118),3802311.9600000000,4399335.1199999992,4196806.5200000005,12398454.5999999996,
FS(119),3827805.7199999997,4470621.2699999996,3983589.4000000004,12282017.3900000006,
FS(120),3861266.2800000003,4479029.3799999990,3837909.6400000001,12178206.3000000007,
FS(121),3955805.6400000001,4440644.5299999993,3806652.6800000002,12203103.8499999996,
FS(122),3944652.1199999996,4477567.0999999996,3843491.2399999998,12265711.4599999990,
FS(123),3982892.7599999998,4716649.8799999999,3796047.6400000001,12495591.2799999993,
FS(124),4036004.7599999998,4715187.5999999987,3773721.2399999998,12524914.5999999996,
FS(125),3990859.5600000001,4795978.5699999994,3774279.4000000004,12561118.5299999993,
FS(126),4020602.2800000003,4748088.8999999994,3736324.5200000000,12505016.6999999993,
FS(127),3920220.6000000001,4740046.3599999994,3799954.7599999998,12460222.7199999988,
