代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11999164.3200000003
真實報酬,1999164.3200000003
趨勢值,0.1005971743

選擇檔數,4
找到最佳解世代,1878
找到最佳解實驗,1
Stock#,BA,DD,PFE,UNH,
分配資金,2500000,2500000,2500000,2500000,
張數,24816,51124,90090,39808,
剩餘資金,36.1600000001,36.4000000001,2.5000000000,57.6000000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2471957.9199999999,2520449.5999999996,2491891.8999999999,2482484.4800000000,9966783.9000000004,
FS(3),2444164.0000000000,2450409.7199999997,2475675.7000000002,2458201.6000000001,9828451.0199999996,
FS(4),2475680.3200000003,2467280.6399999997,2532432.3999999999,2464968.9600000000,9940362.3200000003,
FS(5),2543428.0000000000,2501022.4800000000,2545945.9000000004,2490844.1600000001,10081240.5400000010,
FS(6),2537224.0000000000,2499488.7599999998,2555855.8000000003,2535031.0400000000,10127599.5999999996,
FS(7),2525064.1600000001,2475460.4800000000,2560360.3000000003,2544983.0400000000,10105867.9800000004,
FS(8),2503474.2400000002,2460123.2799999998,2561261.2000000002,2541002.2400000002,10065860.9600000009,
FS(9),2535238.7200000002,2522494.5600000001,2619819.6999999997,2553740.8000000003,10231293.7800000012,
FS(10),2527049.4399999999,2475971.7199999997,2620720.6000000001,2539808.0000000000,10163549.7599999998,
FS(11),2556828.6400000001,2485685.2799999998,2627026.8999999999,2562498.5600000001,10232039.3800000008,
FS(12),2582885.4399999999,2520449.5999999996,2648648.5000000000,2614647.0400000005,10366630.5800000001,
FS(13),2537472.1600000001,2482617.8399999999,2621621.5000000000,2597927.6800000002,10239639.1800000016,
FS(14),2472702.4000000004,2416667.8799999999,2580180.1000000001,2539808.0000000000,10009358.3800000008,
FS(15),2481139.8400000003,2375768.6799999997,2563963.8999999999,2543788.7999999998,9964661.2200000007,
FS(16),2428281.7599999998,2355319.0800000001,2496396.3999999999,2573644.8000000003,9853642.0400000010,
FS(17),2448630.8800000004,2366055.1200000001,2521621.5999999996,2537021.4399999999,9873329.0400000010,
FS(18),2500248.1600000001,2344583.0400000000,2531531.5000000000,2578819.8400000003,9955182.5399999991,
FS(19),2559806.5600000005,2355319.0800000001,2538738.7000000002,2630968.3200000003,10084832.6600000001,
FS(20),2542187.2000000002,2342026.8399999999,2523423.4000000004,2606685.4400000004,10014322.8800000008,
FS(21),2562040.0000000000,2366055.1200000001,2502702.7000000002,2612656.6400000001,10043454.4599999990,
FS(22),2518115.6800000002,2361965.2000000002,2495495.5000000000,2598325.7599999998,9973902.1400000006,
FS(23),2553354.4000000004,2360942.7199999997,2490991.0000000000,2609073.9200000004,10014362.0400000010,
FS(24),2585863.3600000003,2379858.5999999996,2519819.7999999998,2634152.9600000000,10119694.7200000007,
FS(25),2590082.0800000001,2408999.2799999998,2534234.1999999997,2689486.0800000001,10222801.6400000006,
FS(26),2597775.0400000005,2476994.2000000002,2554054.0000000000,2705807.3599999999,10334630.6000000015,
FS(27),2618124.1600000001,2460123.2799999998,2562162.1000000001,2694661.1200000001,10335070.6600000001,
FS(28),2652370.2400000002,2489775.2000000002,2591891.7999999998,2721332.4800000000,10455369.7200000007,
FS(29),2528042.0800000001,2484151.5600000001,2595495.3999999999,2707001.6000000001,10314690.6400000006,
FS(30),2622094.7200000002,2504601.1600000001,2593693.6000000001,2691874.5600000001,10412264.0400000010,
FS(31),2586607.8400000003,2473415.5200000000,2583783.7000000002,2663610.8799999999,10307417.9400000013,
FS(32),2600504.8000000003,2528629.4399999999,2583783.7000000002,2636541.4400000004,10349459.3800000008,
FS(33),2670982.2400000002,2517893.3999999999,2566666.5999999996,2808512.0000000000,10564054.2400000002,
FS(34),2654355.5200000000,2524028.2799999998,2620720.6000000001,2844339.2000000002,10643443.5999999996,
FS(35),2651873.9199999999,2518404.6399999997,2644144.0000000000,2873399.0400000005,10687821.5999999996,
FS(36),2674952.8000000003,2515337.2000000002,2650450.3000000003,2893701.1200000001,10734441.4199999999,
FS(37),2654107.3600000003,2502556.2000000002,2637837.7000000002,2887331.8400000003,10681833.0999999996,
FS(38),2647903.3600000003,2547545.3199999998,2629729.6000000001,2890914.5600000001,10716092.8400000017,
FS(39),2620605.7599999998,2526584.4800000000,2645945.8000000003,2874593.2799999998,10667729.3200000003,
FS(40),2601001.1200000001,2548056.5600000001,2661261.1000000001,2897681.9200000004,10708000.6999999993,
FS(41),2623831.8400000003,2552657.7199999997,2672972.8000000003,2876981.7599999998,10726444.1199999992,
FS(42),2608197.7599999998,2551124.0000000000,2633333.2000000002,2900070.3999999999,10692725.3599999994,
FS(43),2647903.3600000003,2577197.2399999998,2622522.3999999999,2912410.8799999999,10760033.8800000008,
FS(44),2677682.5600000005,2637012.3199999998,2645945.8000000003,2876583.6800000002,10837224.3600000013,
FS(45),2667756.1600000001,2655928.2000000002,2629729.6000000001,2919576.3200000003,10872990.2800000012,
FS(46),2656340.8000000003,2625253.7999999998,2643243.1000000001,2915595.5200000000,10840433.2199999988,
FS(47),2640954.8800000004,2642124.7199999997,2636035.9000000004,2902856.9600000000,10821972.4600000009,
FS(48),2626561.6000000001,2687113.8399999999,2624324.1999999997,2913207.0400000005,10851206.6799999997,
FS(49),2613905.4399999999,2769423.4800000000,2631531.3999999999,2903255.0400000005,10918115.3600000013,
FS(50),2586856.0000000000,2728524.2799999998,2629729.6000000001,2881758.7200000002,10826868.5999999996,
FS(51),2636239.8400000003,2757664.9600000000,2636936.7999999998,2919974.3999999999,10950816.0000000000,
FS(52),2584870.7200000002,2748462.6399999997,2615315.2000000002,2885739.5200000000,10834388.0800000001,
FS(53),2549383.8400000003,2705007.2399999998,2594594.5000000000,2842348.8000000003,10691334.3800000008,
FS(54),2567747.6800000002,2685580.1200000001,2555855.8000000003,2843543.0400000005,10652726.6400000006,
FS(55),2598767.6800000002,2666664.2399999998,2563963.8999999999,2854689.2799999998,10684085.0999999996,
FS(56),2596534.2400000002,2690181.2799999998,2570270.2000000002,2884545.2799999998,10741531.0000000000,
FS(57),2578666.7200000002,2703984.7599999998,2544144.0999999996,2860262.3999999999,10687057.9799999986,
FS(58),2609190.4000000004,2707563.4399999999,2536936.8999999999,2865039.3599999999,10718730.1000000015,
FS(59),2617627.8400000003,2820547.4800000000,2553153.1000000001,2887729.9200000004,10879058.3399999999,
FS(60),2618868.6400000001,2813901.3599999999,2524324.2999999998,2881360.6400000001,10838454.9399999995,
FS(61),2561295.5200000000,2734659.1600000001,2522522.5000000000,2847125.7599999998,10665602.9399999995,
FS(62),2562784.4800000000,2726479.3199999998,2541441.3999999999,2847921.9200000004,10678627.1199999992,
FS(63),2603979.0400000005,2731591.7199999997,2531531.5000000000,2883749.1200000001,10750851.3800000008,
FS(64),2578914.8800000004,2722900.6399999997,2541441.3999999999,2855883.5200000000,10699140.4399999995,
FS(65),2605964.3200000003,2725968.0800000001,2523423.4000000004,2888526.0800000001,10743881.8800000008,
FS(66),2639714.0800000001,2750507.5999999996,2555855.8000000003,2919974.3999999999,10866051.8799999990,
FS(67),2646662.5600000005,2796519.2000000002,2546846.7999999998,2947441.9200000004,10937470.4800000004,
FS(68),2632269.2799999998,2807255.2399999998,2547747.7000000002,2948238.0800000001,10935510.2999999989,
FS(69),2660063.2000000002,2825659.8799999999,2549549.5000000000,2955801.6000000001,10991074.1799999997,
FS(70),2684382.8800000004,2911036.9600000000,2563063.0000000000,2970928.6400000001,11129411.4800000004,
FS(71),2710687.8400000003,2901323.3999999999,2582882.8000000003,2992823.0400000005,11187717.0800000001,
FS(72),2724832.9600000000,2829238.5600000001,2550450.3999999999,2975307.5200000000,11079829.4399999995,
FS(73),2762801.4399999999,2902857.1200000001,2568468.4000000004,2964957.4400000004,11199084.4000000004,
FS(74),2870502.8800000004,2897744.7199999997,2586486.3999999999,2990434.5600000001,11345168.5600000005,
FS(75),2906237.9199999999,2891098.5999999996,2580180.1000000001,2958190.0800000001,11335706.6999999993,
FS(76),2938250.5600000005,2974941.9600000000,2616216.1000000001,2907633.9200000004,11437042.5400000010,
FS(77),2954132.8000000003,2956537.3199999998,2598198.1000000001,2820056.3200000003,11328924.5400000010,
FS(78),2894326.2400000002,2890587.3599999999,2609909.7999999998,2809308.1599999997,11204131.5600000005,
FS(79),2916164.3200000003,2856845.5200000000,2594594.5000000000,2859068.1599999997,11226672.5000000000,
FS(80),2953140.1600000001,2847643.2000000002,2586486.3999999999,2878972.1599999997,11266241.9199999999,
FS(81),2940980.3200000003,2901834.6399999997,2566666.5999999996,2865437.4400000004,11274919.0000000000,
FS(82),2962570.2400000002,2911548.2000000002,2569369.2999999998,2872602.8799999999,11316090.6199999992,
FS(83),2946688.0000000000,2840997.0800000001,2601801.6999999997,2865835.5200000000,11255322.2999999989,
FS(84),2915916.1600000001,2796007.9600000000,2588288.2000000002,2850708.4800000000,11150920.8000000007,
FS(85),2922120.1600000001,2789361.8399999999,2602702.6000000001,2889322.2400000002,11203506.8399999999,
FS(86),2924353.6000000001,2817480.0400000000,2613513.4000000004,2888924.1599999997,11244271.2000000011,
FS(87),2859832.0000000000,2822592.4399999999,2591891.7999999998,2886933.7599999998,11161250.0000000000,
FS(88),2908471.3600000003,2911548.2000000002,2612612.5000000000,2905643.5200000000,11338275.5800000001,
FS(89),2895815.2000000002,2865025.3599999999,2578378.3000000003,2873000.9600000000,11212219.8200000003,
FS(90),2864795.2000000002,2804699.0400000000,2544144.0999999996,2845533.4400000004,11059171.7799999993,
FS(91),2840723.6800000002,2833839.7199999997,2548648.6000000001,2841552.6400000001,11064764.6399999987,
FS(92),2950658.5600000005,2941200.1200000001,2591891.7999999998,2945053.4400000004,11428803.9199999999,
FS(93),2927827.8400000003,2990279.1600000001,2587387.2999999998,2956597.7599999998,11462092.0600000005,
FS(94),2964555.5200000000,2971874.5200000000,2644144.0000000000,2974511.3599999999,11555085.4000000004,
FS(95),2932791.0400000005,2943756.3199999998,2627026.8999999999,2940674.5600000001,11444248.8200000003,
FS(96),2986393.6000000001,2994369.0800000001,2684684.5000000000,2993221.1200000001,11658668.3000000007,
FS(97),3034784.8000000003,3013284.9600000000,2726125.9000000004,2841154.5600000001,11615350.2200000007,
FS(98),3040492.4800000000,3007661.3199999998,2748648.4000000004,2737255.6800000002,11534057.8799999990,
FS(99),3014435.6800000002,3011240.0000000000,2738738.5000000000,2714963.2000000002,11479377.3799999990,
FS(100),3039499.8400000003,3025043.4800000000,2763963.7000000002,2741236.4800000000,11569743.5000000019,
FS(101),3201796.4800000004,2987722.9600000000,2756756.5000000000,2707399.6800000002,11653675.6200000010,
FS(102),3200803.8399999999,2957559.7999999998,2757657.3999999999,2691476.4800000000,11607497.5200000014,
FS(103),3255647.2000000002,2877295.1200000001,2757657.3999999999,2691874.5600000001,11582474.2800000012,
FS(104),3223138.2400000002,2847643.2000000002,2769369.0999999996,2664805.1200000001,11504955.6600000001,
FS(105),3217678.7200000002,2872693.9600000000,2815315.0000000000,2710186.2400000002,11615873.9200000018,
FS(106),3218175.0400000005,2858379.2399999998,2786486.2000000002,2707399.6800000002,11570440.1600000001,
FS(107),3238524.1600000001,2873716.4399999999,2764864.6000000001,2717351.6800000002,11594456.8800000008,
FS(108),3301308.6400000001,2835884.6799999997,2808107.8000000003,2732080.6400000001,11677381.7599999998,
FS(109),3295352.7999999998,2796007.9600000000,2816215.9000000004,2744819.2000000002,11652395.8599999994,
FS(110),3314709.2799999998,2819013.7599999998,2814414.0999999996,2735663.3599999999,11683800.5000000000,
FS(111),3302797.6000000001,2858379.2399999998,2790089.7999999998,2798161.9200000004,11749428.5600000005,
FS(112),3263588.3199999998,2815435.0800000001,2784684.3999999999,2777063.6800000002,11640771.4800000004,
FS(113),3312724.0000000005,2888031.1600000001,2821621.2999999998,2806521.6000000001,11828898.0600000005,
FS(114),3288900.6400000001,2887519.9199999999,2814414.0999999996,2806521.6000000001,11797356.2599999998,
FS(115),3283937.4400000004,2864002.8799999999,2827026.6999999997,2784627.2000000002,11759594.2200000007,
FS(116),3304782.8799999999,2882918.7599999998,2871170.8000000003,2826823.6800000002,11885696.1200000010,
FS(117),3352429.6000000001,2919728.0400000000,2882882.5000000000,2843941.1200000001,11998981.2599999998,
FS(118),3376997.4400000004,2928930.3599999999,2900900.5000000005,2861058.5600000001,12067886.8600000013,
