代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11738978.2699999996
真實報酬,1738978.2699999996
趨勢值,0.1215596507

選擇檔數,6
找到最佳解世代,2467
找到最佳解實驗,1
Stock#,AAPL,BA,DD,MRK,MSFT,V,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,25546,15620,33062,34307,52626,37210,
剩餘資金,44.9600000001,12.0000000000,10.5800000001,31.9400000001,0.5799999999,30.1000000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1688124.6400000001,1685410.0000000000,1705348.5400000000,1665293.7200000000,1678243.7200000000,1711690.1000000001,10134114.7200000007,
FS(3),1713159.7200000002,1679162.0000000000,1717581.4800000002,1664950.6499999999,1668244.7799999998,1716899.5000000000,10160002.1300000008,
FS(4),1697832.1200000001,1671976.8000000000,1697744.2800000000,1661863.0199999998,1661929.6599999997,1701271.3000000000,10092621.1799999997,
FS(5),1697065.7400000005,1662292.4000000001,1708654.7400000000,1665636.7899999998,1687190.1399999999,1687503.6000000001,10108347.4100000001,
FS(6),1682504.5200000003,1653232.8000000000,1737749.3000000000,1662892.2300000000,1730869.7200000000,1681922.1000000001,10149174.6699999999,
FS(7),1658491.2800000003,1645266.5999999999,1790979.1200000001,1660147.6699999999,1720870.7800000000,1672619.6000000001,10148379.0500000007,
FS(8),1705751.3800000001,1628240.7999999998,1764529.5200000000,1662892.2300000000,1729817.1999999997,1672247.5000000000,10163482.6299999990,
FS(9),1786732.2000000002,1659324.6000000001,1783374.8600000001,1661519.9500000000,1696136.5599999996,1667410.2000000002,10254502.3699999992,
FS(10),1819175.6200000001,1626991.2000000000,1777423.7000000000,1666322.9299999999,1702451.6799999999,1659224.0000000002,10251593.1300000008,
FS(11),1817131.9400000002,1604654.6000000001,1749321.0000000000,1645738.7300000000,1672981.1199999999,1617920.8999999999,10107752.2900000010,
FS(12),1833225.9200000004,1616213.3999999999,1736757.4400000002,1636475.8400000001,1673507.3799999999,1610478.9000000001,10106662.8800000027,
FS(13),1852896.3400000003,1635738.3999999999,1724524.5000000000,1632359.0000000000,1651930.7200000000,1627967.6000000001,10125420.5600000005,
FS(14),1828627.6400000001,1634332.5999999999,1739733.0200000000,1631672.8600000001,1664034.7000000000,1611595.2000000002,10110000.0199999996,
FS(15),1833481.3800000001,1623086.2000000000,1748659.7600000000,1628242.1599999999,1663508.4399999997,1659596.1000000001,10156578.0399999991,
FS(16),1835525.0600000001,1642298.8000000000,1750974.1000000001,1640249.6100000001,1704556.7200000000,1664433.3999999999,10238041.6900000013,
FS(17),1828372.1799999999,1647609.6000000001,1824041.1200000001,1637505.0499999998,1828754.0799999998,1666293.9000000001,10432579.9300000016,
FS(18),1835525.0600000001,1648390.6000000001,1819743.0600000001,1633731.2799999998,1797178.4799999997,1627967.6000000001,10362540.0800000001,
FS(19),1783155.7600000000,1612152.2000000000,1768496.9600000002,1616234.7100000000,1750341.3399999999,1620153.5000000000,10150538.4700000007,
FS(20),1791585.9400000002,1613089.3999999999,1763207.0400000000,1615548.5700000001,1737711.1000000001,1629828.1000000001,10150974.1500000004,
FS(21),1794396.0000000000,1639018.6000000001,1766513.2400000000,1615891.6399999999,1765602.8799999997,1631316.5000000002,10212742.8600000013,
FS(22),1778046.5600000001,1623242.4000000001,1760892.7000000000,1622409.9700000000,1757708.9799999997,1622758.2000000002,10165062.8100000005,
FS(23),1783155.7600000000,1640268.2000000002,1762876.4200000002,1619665.4099999999,1677717.4599999997,1646944.7000000000,10130631.9499999993,
FS(24),1819942.0000000000,1661511.4000000001,1778746.1799999999,1635789.7000000000,1641931.7799999998,1639130.6000000001,10177055.6600000001,
FS(25),1807424.4600000002,1665885.0000000000,1808501.9800000002,1629957.5099999998,1644036.8199999998,1639130.6000000001,10194940.3700000010,
FS(26),1818153.7800000003,1656825.3999999999,1815445.0000000000,1629271.3700000001,1639300.4799999997,1643595.8000000000,10202595.8299999982,
FS(27),1847276.2200000002,1674319.8000000000,1827347.3200000001,1637848.1200000001,1666139.7399999998,1661084.5000000000,10314019.6999999993,
FS(28),1805125.3200000001,1689627.4000000001,1882560.8600000001,1646081.7999999998,1704556.7200000000,1717271.6000000001,10445227.7000000011,
FS(29),1707028.6799999999,1706184.6000000001,1876279.0800000001,1651570.9199999999,1722975.8199999998,1733271.9000000001,10397315.0000000019,
FS(30),1725166.3400000003,1715088.0000000000,1829661.6600000001,1641621.8899999999,1720344.5199999998,1721736.8000000003,10353623.2099999990,
FS(31),1696554.8200000001,1738986.5999999999,1877270.9400000002,1639563.4700000000,1738237.3599999999,1758202.6000000001,10448819.7900000010,
FS(32),1642652.7600000000,1806777.4000000001,1873964.7400000000,1653286.2699999998,1726133.3799999997,1761923.6000000001,10464742.1500000004,
FS(33),1661812.2600000000,1829270.2000000000,1869666.6799999999,1647111.0099999998,1732974.7599999998,1782389.1000000001,10523228.0099999998,
FS(34),1695788.4400000002,1849420.0000000000,1923888.3600000001,1660490.7400000000,1753498.8999999999,1801366.2000000000,10684456.6399999987,
FS(35),1723633.5800000001,1859416.8000000000,1911986.0400000000,1655687.7599999998,1770339.2200000000,1811412.9000000001,10732480.3000000007,
FS(36),1705751.3800000001,1821772.5999999999,1869336.0600000001,1647111.0099999998,1725607.1199999999,1849739.2000000002,10619321.3699999992,
FS(37),1790564.1000000003,1835518.2000000002,1847515.1400000001,1635789.7000000000,1722975.8199999998,1825552.7000000002,10657919.6600000001,
FS(38),1784943.9800000002,1858792.0000000000,1841563.9800000002,1630643.6499999999,1708240.5399999998,1798761.5000000002,10622949.6500000004,
FS(39),1757354.3000000003,1851138.2000000002,1876609.7000000000,1635446.6299999999,1710871.8399999999,1782017.0000000000,10613441.6700000018,
FS(40),1774470.1200000001,1864727.5999999999,1882891.4800000002,1635789.7000000000,1724554.6000000001,1800622.0000000000,10683059.5000000000,
FS(41),1761697.1200000001,1854730.7999999998,1837265.9200000002,1639563.4700000000,1750867.6000000001,1795784.7000000000,10639913.6099999994,
