代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12283900.3800000008
真實報酬,2283900.3800000008
趨勢值,0.1256825716

選擇檔數,3
找到最佳解世代,2414
找到最佳解實驗,1
Stock#,MRK,MSFT,V,
分配資金,3333333,3333333,3333333,
張數,70606,104558,75312,
剩餘資金,23.7399999999,23.9600000001,23.8800000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3366517.8199999998,3262233.5600000001,3317517.4800000000,9946269.8599999994,
FS(3),3354514.7999999998,3266415.8799999999,3317517.4800000000,9938449.1600000001,
FS(4),3353102.6799999997,3257005.6599999997,3326554.9200000004,9936664.2599999998,
FS(5),3370754.1799999997,3310330.2399999998,3361951.5600000005,10043036.9800000004,
FS(6),3387699.6199999996,3386657.5800000001,3475672.6800000002,10250030.8800000008,
FS(7),3398996.5799999996,3423252.8800000004,3508056.8400000003,10330307.2999999989,
FS(8),3378520.8399999999,3418024.9799999995,3484710.1200000006,10281256.9400000013,
FS(9),3374284.4799999995,3453574.7000000002,3558515.8800000004,10386376.0600000005,
FS(10),3402526.8799999994,3429526.3599999999,3566047.0800000005,10398101.3199999984,
FS(11),3389817.7999999998,3443118.8999999999,3607468.6800000002,10440406.3800000008,
FS(12),3417354.1399999997,3483896.5200000000,3645877.8000000003,10547129.4599999990,
FS(13),3407469.2999999998,3517355.0800000001,3666212.0400000005,10591037.4199999999,
FS(14),3389817.7999999998,3428480.7799999998,3743783.4000000004,10562082.9800000004,
FS(15),3366517.8199999998,3423252.8800000004,3694830.6000000006,10484602.3000000007,
FS(16),3355926.9199999999,3393976.6400000001,3640605.9600000004,10390510.5200000014,
FS(17),3365811.7599999998,3399204.5399999996,3606715.5600000005,10371732.8599999994,
FS(18),3366517.8199999998,3426389.6200000001,3644371.5600000005,10437280.0000000000,
FS(19),3374284.4799999995,3478668.6200000001,3634581.0000000000,10487535.0999999996,
FS(20),3361575.3999999999,3479714.2000000002,3598431.2400000002,10439721.8399999999,
FS(21),3441360.1799999997,3511081.5999999996,3638346.6000000006,10590789.3800000008,
FS(22),3415235.9599999995,3546631.3200000003,3611987.4000000004,10573855.6799999997,
FS(23),3414529.8999999999,3540357.8399999999,3551737.8000000003,10506626.5399999991,
FS(24),3405351.1199999996,3542449.0000000000,3586381.3200000003,10534182.4399999995,
FS(25),3381345.0799999996,3481805.3599999999,3508056.8400000003,10371208.2799999993,
FS(26),3371460.2399999998,3451483.5399999996,3436510.4400000004,10259455.2200000007,
FS(27),3337569.3599999999,3457757.0200000000,3461363.4000000004,10256690.7799999993,
FS(28),3353102.6799999997,3529902.0399999996,3559269.0000000000,10442274.7199999988,
FS(29),3338981.4799999995,3568588.5000000000,3618765.4800000000,10526336.4600000009,
FS(30),3300854.2399999998,3602047.0600000001,3642112.2000000002,10545014.5000000000,
FS(31),3288145.1599999997,3606229.3800000004,3602949.9600000004,10497325.5000000000,
FS(32),3330508.7599999998,3621913.0800000001,3683533.8000000003,10635956.6399999987,
FS(33),3326272.3999999999,3651189.3200000003,3733239.7200000002,10710702.4400000013,
FS(34),3290969.3999999999,3655371.6400000001,3773908.2000000002,10720250.2400000002,
FS(35),3283908.7999999998,3658508.3800000004,3766377.0000000000,10708795.1799999997,
FS(36),3281084.5599999996,3615639.5999999996,3765623.8800000004,10662349.0400000010,
FS(37),3287439.1000000001,3529902.0399999996,3744536.5200000005,10561878.6600000001,
FS(38),3263433.0599999996,3525719.7199999997,3820601.6400000001,10609755.4199999999,
FS(39),3286026.9799999995,3735881.2999999998,3823614.1200000006,10845523.4000000004,
FS(40),3202005.8399999999,3719152.0200000000,3823614.1200000006,10744772.9800000004,
FS(41),3218245.2199999997,3713924.1200000001,3845454.6000000006,10777624.9400000013,
FS(42),3194239.1799999997,3716015.2799999998,3837923.4000000004,10748178.8599999994,
FS(43),3183648.2799999998,3702422.7399999998,3703114.9200000004,10589186.9399999995,
FS(44),3193533.1199999996,3714969.7000000002,3749808.3600000003,10658312.1799999997,
FS(45),3228130.0599999996,3757838.4799999995,3698596.2000000002,10684565.7400000002,
FS(46),3202711.8999999999,3831029.0800000001,3715917.9600000004,10749659.9400000013,
FS(47),3245075.5000000000,3992048.3999999999,3747549.0000000000,10984673.9000000004,
FS(48),3235190.6599999997,3920948.9600000000,3692571.2400000002,10848711.8599999994,
FS(49),3304384.5399999996,3950225.2000000002,3733239.7200000002,10987850.4600000009,
FS(50),3318505.7399999998,3930359.1800000002,3752067.7200000002,11000933.6400000006,
FS(51),3360163.2799999998,3906310.8399999999,3733239.7200000002,10999714.8399999999,
FS(52),3342511.7799999998,3989957.2399999998,3761858.2800000007,11094328.2999999989,
FS(53),3376402.6599999997,3975319.1200000001,3768636.3600000003,11120359.1400000006,
FS(54),3394054.1599999997,3956498.6800000002,3803279.8800000004,11153833.7200000007,
FS(55),3389817.7999999998,3889581.5600000001,3764117.6400000001,11043518.0000000000,
FS(56),3394054.1599999997,3841484.8800000004,3716671.0800000005,10952211.1199999992,
FS(57),3398290.5200000000,3877034.5999999996,3730227.2400000002,11005553.3599999994,
FS(58),3432887.4599999995,3910493.1599999997,3795748.6800000002,11139130.3000000007,
FS(59),3455481.3799999994,3928268.0200000000,3805539.2400000002,11189289.6399999987,
FS(60),3506317.6999999997,3935587.0800000001,3801773.6400000001,11243679.4199999999,
FS(61),3500669.2199999997,3905265.2600000002,3831898.4400000004,11237833.9199999999,
FS(62),3518320.7199999997,3931404.7600000002,3840935.8800000004,11290662.3600000013,
FS(63),3518320.7199999997,3986820.5000000000,3831145.3200000003,11336287.5400000010,
FS(64),3543032.8199999998,4020279.0600000001,3862023.2400000002,11425336.1200000010,
FS(65),3513378.2999999998,4005640.9400000004,3798761.1600000001,11317781.4000000004,
FS(66),3481605.6000000001,4071512.4799999995,3817589.1600000001,11370708.2400000002,
FS(67),3446302.6000000001,3973227.9600000000,3798008.0400000005,11217539.5999999996,
FS(68),3487254.0799999996,4010868.8399999999,3801020.5200000005,11299144.4399999995,
FS(69),3499257.1000000001,4047464.1400000001,3795748.6800000002,11342470.9199999999,
FS(70),3490078.3199999998,3984729.3399999999,3755080.2000000002,11229888.8599999994,
FS(71),3456187.4399999999,3932450.3399999999,3872566.9200000004,11261205.7000000011,
FS(72),3411705.6599999997,3891672.7199999997,3830392.2000000002,11133771.5800000001,
FS(73),3415942.0200000000,3836256.9799999995,3904197.9600000004,11156397.9600000009,
FS(74),3395466.2799999998,3856123.0000000000,3911729.1600000001,11163319.4399999995,
FS(75),3382051.1399999997,3818482.1200000001,4014906.6000000006,11215440.8600000013,
FS(76),3452657.1399999997,3824755.5999999996,4054821.9600000004,11332235.7000000011,
FS(77),3444890.4799999995,3790251.4600000000,4068378.1200000006,11303521.0600000005,
FS(78),3482311.6599999997,3847758.3599999999,4066118.7600000007,11396189.7799999993,
FS(79),3485135.8999999999,3828937.9199999999,4105281.0000000000,11419355.8200000003,
FS(80),3488666.1999999997,3877034.5999999996,4118084.0400000005,11483785.8399999999,
FS(81),3510554.0599999996,3914675.4799999995,4145949.4800000000,11571180.0199999996,
FS(82),3515496.4799999995,3898991.7799999998,4136158.9200000004,11550648.1799999997,
FS(83),3526087.3799999994,3898991.7799999998,4159505.6400000001,11584585.7999999989,
FS(84),3533854.0399999996,3911538.7399999998,4192642.9200000004,11638036.6999999993,
FS(85),3494314.6799999997,3885399.2399999998,4161011.8800000004,11540726.7999999989,
FS(86),3511260.1199999996,3859259.7399999998,4164024.3600000003,11534545.2199999988,
FS(87),3511966.1799999997,3777704.5000000000,4139171.4000000004,11428843.0800000001,
FS(88),3538090.3999999999,3806980.7399999998,4170802.4400000004,11515874.5800000001,
FS(89),3515496.4799999995,3739018.0399999996,4184358.6000000006,11438874.1199999992,
FS(90),3496432.8599999999,3714969.7000000002,4178333.6400000001,11389737.1999999993,
FS(91),3521851.0200000000,3768294.2799999998,4163271.2400000002,11453417.5400000010,
FS(92),3750614.4599999995,3657462.7999999998,4121849.6400000001,11529927.8999999985,
FS(93),3742141.7399999998,3741109.2000000002,4191889.8000000003,11675141.7400000002,
FS(94),3708250.8599999999,3843576.0399999996,4212977.1600000001,11764805.0600000005,
FS(95),3706838.7399999998,3857168.5800000001,4175321.1600000001,11739329.4800000004,
FS(96),3668005.4399999999,3803844.0000000000,4371885.4799999995,11843735.9199999999,
FS(97),3659532.7199999997,3781886.8200000003,4366613.6399999997,11808034.1799999997,
FS(98),3625641.8399999999,3756792.8999999999,4386947.8799999999,11769383.6199999992,
FS(99),3643293.3399999999,3770385.4400000004,4297326.5999999996,11711006.3800000008,
FS(100),3670123.6199999996,3848803.9400000004,4165530.6000000006,11684459.1600000001,
FS(101),3708956.9199999999,3767248.7000000002,4071390.6000000006,11547597.2200000007,
FS(102),3732962.9599999995,3792342.6200000001,4160258.7600000007,11685565.3399999999,
FS(103),3686363.0000000000,3833120.2399999998,4087959.2400000002,11607443.4800000004,
FS(104),3778150.7999999998,3854031.8399999999,4158752.5200000005,11790936.1600000001,
FS(105),3740023.5599999996,3956498.6800000002,4056328.2000000002,11752851.4399999995,
FS(106),3677184.2199999997,3814299.7999999998,4019425.3200000003,11510910.3399999999,
