代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12141480.8300000019
真實報酬,2141480.8300000019
趨勢值,0.1497656201

選擇檔數,5
找到最佳解世代,1777
找到最佳解實驗,1
Stock#,CAT,DD,INTC,MRK,MSFT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,23926,36055,82203,44218,56290,
剩餘資金,25.6599999999,29.1500000000,1.0100000001,19.8600000001,16.2999999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2007177.7999999998,1971877.1000000001,1994245.7900000003,2021666.8200000001,2023078.8999999999,10018046.4100000001,
FS(3),2011005.9600000000,1988101.8500000001,1975339.1000000003,2005748.3400000001,2062481.9000000001,10042677.1500000004,
FS(4),2015073.3799999999,2015864.2000000000,1993423.7600000002,2032279.1400000001,2149168.5000000000,10205808.9800000004,
FS(5),2001435.5600000001,1985578.0000000002,1977805.1900000002,2026088.6200000001,2110891.2999999998,10101798.6699999999,
FS(6),2015551.8999999999,2036776.1000000003,1980271.2800000003,2069422.2600000000,2126652.5000000000,10228674.0399999991,
FS(7),2013398.5600000001,2036415.5500000000,1986847.5200000005,2078265.8600000001,2115957.3999999999,10230884.8900000006,
FS(8),2006220.7599999998,2019830.2500000002,2008220.3000000003,2104354.4800000004,2103010.6999999997,10241636.4900000002,
FS(9),2014594.8599999999,2033170.6000000001,2022194.8100000003,2093299.9800000002,2148042.6999999997,10311302.9500000011,
FS(10),2004067.4199999999,2059130.2000000002,2004932.1800000004,2114524.6200000006,2140162.1000000001,10322816.5200000014,
FS(11),2003588.8999999999,2065620.1000000001,2015618.5700000003,2125579.1200000006,2130029.8999999999,10340436.5899999999,
FS(12),2010766.7000000000,2047232.0500000003,2022194.8100000003,2122926.0400000000,2094004.3000000003,10297123.9000000004,
FS(13),2001914.0799999998,2038578.8500000001,2030415.1100000001,2125579.1200000006,2068110.9000000001,10264598.0600000005,
FS(14),1978227.3400000001,2015864.2000000000,2018906.6900000002,2128232.2000000007,2087249.5000000000,10228479.9299999997,
FS(15),1964828.7800000000,2034973.3500000001,2073982.7000000002,2149899.0200000000,2105262.2999999998,10328946.1500000004,
FS(16),1983012.5399999998,2036415.5500000000,1962186.6200000003,2164048.7800000003,2114831.5999999996,10260495.0899999999,
FS(17),2019380.0600000001,2002884.4000000001,1952322.2600000002,2195885.7400000002,2118771.8999999999,10289244.3600000013,
FS(18),2018423.0200000000,1991707.3500000003,1944101.9600000002,2192348.3000000003,2102447.7999999998,10249028.4299999997,
FS(19),2025840.0799999998,2007571.5500000000,1964652.7100000002,2203402.8000000003,2116520.2999999998,10317987.4399999995,
FS(20),2024165.2599999998,2005768.8000000003,1959720.5300000003,2203402.8000000003,2146354.0000000000,10339411.3899999987,
FS(21),2015791.1599999999,2053000.8500000001,1948212.1100000001,2218879.1000000001,2164366.7999999998,10400250.0200000014,
FS(22),2006699.2800000000,1988101.8500000001,1935881.6600000004,2200307.5400000000,2156486.1999999997,10287476.5300000012,
FS(23),2009091.8799999999,1996755.0500000003,1951500.2300000002,2180409.4400000004,2191948.8999999999,10329705.5000000000,
FS(24),2019619.3199999998,1982333.0500000000,1994245.7900000003,2158300.4400000004,2139036.2999999998,10293534.9000000004,
FS(25),2045698.6599999999,2016224.7500000002,2040279.4700000002,2183946.8800000004,2159300.6999999997,10445450.4600000009,
FS(26),2059815.0000000000,2094824.6500000001,2049321.8000000003,2191463.9400000004,2179002.1999999997,10574427.5900000017,
FS(27),2067710.5799999998,2145301.6499999999,2040279.4700000002,2185715.6000000001,2145228.1999999997,10584235.5000000000,
FS(28),2040434.9399999999,2107804.4499999997,2007398.2700000005,2164490.9600000004,2117083.1999999997,10437211.8200000003,
FS(29),2047373.4799999997,2093021.9000000001,2011508.4200000002,2136633.6200000006,2095130.1000000001,10383667.5199999996,
FS(30),2058857.9600000000,2131961.2999999998,1996711.8800000001,2139286.7000000007,2065296.3999999999,10392114.2400000002,
FS(31),2090679.5399999998,2135927.3500000001,2009864.3600000001,2126463.4800000004,2075991.5000000002,10438926.2300000004,
FS(32),2079673.5799999998,2166934.6499999999,2027126.9900000002,2118062.0600000001,2055727.1000000003,10447524.3800000008,
FS(33),2109581.0800000001,2233996.9499999997,2067406.4600000002,2162280.0600000001,2059104.5000000000,10632369.0499999989,
FS(34),2094507.7000000000,2254187.7500000000,2066584.4300000004,2157416.0800000001,2040528.8000000000,10613224.7600000016,
FS(35),2127764.8400000003,2248058.3999999999,2060008.1900000002,2180851.6200000006,2071488.2999999998,10688171.3500000015,
FS(36),2152408.6200000001,2253106.1000000001,2081380.9700000002,2182620.3400000003,2061356.0999999999,10730872.1300000008,
FS(37),2175138.3200000003,2280868.4499999997,2090423.3000000003,2184831.2400000002,2087249.5000000000,10818510.8099999987,
FS(38),2180880.5600000001,2303222.5499999998,2112618.1100000003,2198538.8200000003,2107513.8999999999,10902773.9399999995,
FS(39),2174181.2800000003,2289882.1999999997,2104397.8100000005,2201634.0800000001,2099070.3999999999,10869165.7699999996,
FS(40),2174181.2800000003,2289882.1999999997,2124948.5600000005,2208266.7800000003,2099070.3999999999,10896349.2199999988,
FS(41),2172745.7200000002,2279786.7999999998,2133990.8900000001,2213130.7600000002,2105825.1999999997,10905479.3700000010,
FS(42),2150255.2800000003,2252385.0000000000,2120016.3800000004,2188368.6800000006,2091752.7000000000,10802778.0400000010,
FS(43),2149058.9800000000,2242289.5999999996,2119194.3500000006,2198981.0000000000,2077680.2000000000,10787204.1300000008,
FS(44),2120826.3000000003,2238323.5499999998,2092889.3900000004,2199423.1800000006,2033774.0000000002,10685236.4199999999,
FS(45),2127764.8400000003,2213445.6000000001,2103575.7800000003,2215783.8400000003,2049535.2000000000,10710105.2599999998,
FS(46),2132789.3000000003,2215969.4499999997,2090423.3000000003,2201634.0800000001,2012946.7000000000,10653762.8300000019,
FS(47),2146427.1200000001,2187486.0000000000,2080558.9400000002,2189695.2200000007,2000000.0000000000,10604167.2799999993,
FS(48),2165567.9200000004,2192894.2500000000,2098643.6000000006,2205613.7000000007,2028707.8999999999,10691427.3700000010,
FS(49),2150733.8000000003,2151070.4499999997,2096177.5100000002,2348880.0200000000,1969040.4999999998,10715902.2799999993,
FS(50),2166764.2200000002,2190009.8500000001,2179202.5400000005,2343573.8600000003,2014072.5000000000,10893622.9699999988,
FS(51),2211027.3200000003,2210561.2000000002,2192355.0200000005,2322349.2200000007,2069236.7000000000,11005529.4600000009,
FS(52),2201456.9200000004,2212363.9499999997,2181668.6300000004,2321464.8600000003,2076554.4000000001,10993508.7599999998,
FS(53),2187819.1000000001,2211642.8500000001,2124948.5600000005,2297144.9600000004,2047846.5000000002,10869401.9699999988,
FS(54),2167721.2600000002,2358386.6999999997,2103575.7800000003,2291838.8000000003,2036025.6000000001,10957548.1400000006,
FS(55),2144752.3000000003,2345406.8999999999,2080558.9400000002,2270614.1600000006,2022516.0000000000,10863848.2999999989,
FS(56),2116998.1400000001,2296372.0999999996,2065762.4000000001,2281668.6600000006,2029833.7000000002,10790635.0000000000,
FS(57),2061729.0799999998,2228949.2500000000,2039457.4400000002,2298471.5000000000,2072051.2000000002,10700658.4700000007,
FS(58),2184230.2000000002,2213085.0499999998,2032059.1700000002,2322791.4000000004,2028145.0000000000,10780310.8200000003,
FS(59),2212462.8800000004,2210921.7500000000,2046855.7100000002,2337825.5200000000,2041654.6000000003,10849720.4600000009,
FS(60),2168199.7800000003,2296732.6499999999,2028771.0500000003,2308641.6400000006,2063607.7000000000,10865952.8200000003,
FS(61),2229928.8600000003,2326658.2999999998,2033703.2300000002,2366125.0400000000,2074865.7000000000,11031281.1300000008,
FS(62),2246916.3200000003,2336753.7000000002,2017262.6300000001,2342247.3200000003,2130029.8999999999,11073209.8699999992,
FS(63),2211266.5800000001,2294569.3500000001,1968762.8600000001,2302893.3000000003,2053475.4999999998,10830967.5899999999,
FS(64),2213180.6600000001,2308630.7999999998,1958076.4700000002,2366125.0400000000,2046157.8000000000,10892170.7700000014,
FS(65),2200260.6200000001,2302862.0000000000,1933415.5700000003,2367009.4000000004,2016324.1000000001,10819871.6900000013,
FS(66),2245002.2400000002,2340719.7500000000,1972050.9800000002,2377621.7200000007,2036588.5000000000,10971983.1899999995,
FS(67),2269885.2800000003,2341440.8499999996,1990135.6400000004,2421839.7200000007,2057978.7000000002,11081280.1900000013,
FS(68),2261032.6600000001,2353699.5499999998,1996711.8800000001,2427145.8800000004,2071488.2999999998,11110078.2700000014,
FS(69),2272038.6200000001,2404897.6499999999,2011508.4200000002,2462962.4600000004,2092315.6000000001,11243722.7500000019,
FS(70),2300989.0800000001,2381101.3500000001,2018084.6600000004,2432009.8600000003,2109202.5999999996,11241387.5500000007,
