代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11838089.2900000010
真實報酬,1838089.2900000010
趨勢值,0.1296298738

選擇檔數,4
找到最佳解世代,2299
找到最佳解實驗,1
Stock#,CAT,CSCO,DD,MCD,
分配資金,2500000,2500000,2500000,2500000,
張數,29673,118539,43905,25904,
剩餘資金,49.7500000000,12.4900000000,49.3000000001,4.9599999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2488724.2600000002,2520151.6300000004,2420971.0000000005,2496632.4800000000,9926479.3700000010,
FS(3),2491691.5600000001,2518966.2400000002,2431508.2000000002,2479276.7999999998,9921442.8000000007,
FS(4),2504747.6799999997,2478662.9800000004,2413946.2000000002,2472023.6800000002,9869380.5399999991,
FS(5),2537091.2500000000,2522522.4100000001,2455216.9000000004,2507512.1599999997,10022342.7199999988,
FS(6),2554598.3200000003,2515410.0700000003,2550929.8000000003,2479535.8399999999,10100474.0300000012,
FS(7),2564390.4100000001,2514224.6800000002,2612396.8000000003,2472023.6800000002,10163035.5700000003,
FS(8),2530563.1899999999,2475106.8100000001,2566735.6000000001,2467620.0000000000,10040025.5999999996,
FS(9),2539168.3599999999,2431247.3800000004,2548734.5500000003,2437571.3599999999,9956721.6500000004,
FS(10),2553411.3999999999,2399241.8500000001,2596151.9500000002,2446378.7199999997,9995183.9199999999,
FS(11),2592876.4899999998,2451399.0100000002,2600981.5000000005,2472541.7600000002,10117798.7599999998,
FS(12),2579226.9100000001,2479848.3700000006,2638739.8000000003,2444824.4800000000,10142639.5600000005,
FS(13),2616318.1600000001,2489331.4900000002,2720403.1000000001,2484975.6800000002,10311028.4299999997,
FS(14),2597624.1700000004,2497629.2200000002,2744989.9000000004,2464511.5200000000,10304754.8100000005,
FS(15),2638869.6400000001,2504741.5600000001,2737526.0500000003,2500000.0000000000,10381137.2500000000,
FS(16),2669432.8299999996,2556898.7200000002,2743672.7500000005,2494560.1599999997,10464564.4599999990,
FS(17),2697622.1799999997,2571123.4000000004,2777479.6000000001,2500777.1200000001,10547002.3000000007,
FS(18),2704743.7000000002,2584162.6900000004,2804700.7000000002,2508548.3199999998,10602155.4100000001,
FS(19),2696435.2600000002,2610241.2700000000,2788455.8500000001,2510361.6000000001,10605493.9800000004,
FS(20),2696435.2600000002,2637505.2400000002,2788455.8500000001,2512952.0000000000,10635348.3499999996,
FS(21),2694654.8799999999,2658842.2600000002,2776162.4500000002,2513470.0800000001,10643129.6699999981,
FS(22),2666762.2600000002,2607870.4900000002,2742794.6500000004,2497409.6000000001,10514837.0000000000,
FS(23),2665278.6099999999,2605499.7100000004,2730501.2500000000,2500777.1200000001,10502056.6900000013,
FS(24),2630264.4700000002,2609055.8800000004,2725671.7000000002,2482903.3599999999,10447895.4100000001,
FS(25),2638869.6400000001,2644617.5800000001,2695377.2500000005,2496632.4800000000,10475496.9499999993,
FS(26),2645100.9700000002,2642246.8000000003,2698450.6000000001,2471505.6000000001,10457303.9700000007,
FS(27),2662014.5799999996,2618539.0000000000,2663765.6500000004,2472800.7999999998,10417120.0299999993,
FS(28),2685752.9800000000,2633949.0700000003,2670351.4000000004,2481608.1599999997,10471661.6099999994,
FS(29),2667355.7200000002,2630392.9000000004,2619421.6000000001,2456481.2799999998,10373651.5000000000,
FS(30),2687236.6299999999,2656471.4800000004,2666839.0000000005,2466583.8399999999,10477130.9500000011,
FS(31),2742131.6799999997,2700330.9100000001,2691864.8500000006,2472800.7999999998,10607128.2399999984,
FS(32),2730262.4800000000,2700330.9100000001,2694060.1000000001,2488343.2000000002,10612996.6899999995,
FS(33),2713348.8700000001,2695589.3500000001,2693182.0000000005,2459071.6800000002,10561191.9000000004,
FS(34),2688423.5499999998,2706257.8599999999,2871875.3500000001,2462957.2799999998,10729514.0399999991,
FS(35),2659937.4700000002,2707443.2500000000,2856069.5500000003,2457776.4800000000,10681226.7500000000,
FS(36),2625516.7900000000,2674252.3300000001,2796358.7500000000,2469174.2399999998,10565302.1099999994,
