代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11458143.2300000004
真實報酬,1458143.2300000004
趨勢值,0.1438711444

選擇檔數,6
找到最佳解世代,1936
找到最佳解實驗,1
Stock#,CAT,CSCO,DD,JNJ,MCD,MRK,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,18545,75757,26679,18308,17287,33676,
剩餘資金,26.8499999999,12.0000000000,28.8700000000,88.7600000000,26.3300000001,40.7599999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1665738.7499999998,1665150.8600000001,1659195.8800000001,1681678.5599999998,1668913.3100000003,1674748.2400000000,10015429.5999999996,
FS(3),1643855.6499999999,1667423.5700000001,1656261.1900000002,1690466.3999999999,1656985.2800000000,1675085.0000000000,9990081.0899999999,
FS(4),1649233.7000000000,1690150.6699999999,1637852.6800000002,1726350.0800000001,1666147.3899999999,1687545.1199999999,10057283.6400000006,
FS(5),1653128.1499999999,1688635.5300000000,1639720.2100000002,1723970.0400000000,1649379.0000000000,1676768.8000000000,10031605.7300000004,
FS(6),1663698.7999999998,1673484.1299999999,1618643.8000000000,1734405.6000000001,1650243.3499999999,1667676.2800000000,10008155.9599999990,
FS(7),1678534.8000000000,1683332.5399999998,1622645.6500000001,1734588.6799999999,1656120.9299999999,1679799.6400000001,10055026.2400000002,
FS(8),1667036.8999999999,1681059.8300000001,1591698.0100000000,1730194.7600000000,1639352.5400000000,1788909.8799999999,10098255.9199999999,
FS(9),1679462.0499999998,1697726.3700000001,1620511.3300000001,1734222.5200000000,1646094.4700000000,1784868.7600000000,10162889.5000000000,
FS(10),1713770.2999999998,1725756.4600000002,1635718.3600000001,1735687.1599999999,1650243.3499999999,1768704.2800000000,10229883.9100000001,
FS(11),1706352.3000000000,1725756.4600000002,1637052.3100000001,1732757.8800000001,1660615.5500000000,1768030.7600000000,10230569.2600000016,
FS(12),1695781.6499999999,1722726.1799999999,1636518.7300000002,1740447.2400000000,1641081.2400000002,1749508.9600000002,10186068.0000000000,
FS(13),1680203.8499999999,1729544.3099999998,1745102.2600000000,1721590.0000000000,1643674.2900000000,1745467.8399999999,10265586.5500000007,
FS(14),1662400.6499999999,1730301.8799999999,1735497.8200000001,1726899.3199999998,1640216.8899999999,1729303.3600000001,10224623.9199999999,
FS(15),1640888.4500000000,1709089.9199999999,1699214.3800000001,1697972.6799999999,1647823.1699999999,1737722.3600000001,10132714.9600000009,
FS(16),1598049.5000000000,1681817.3999999999,1649324.6500000001,1658976.6399999999,1632437.7400000002,1750519.2400000000,9971129.1699999999,
FS(17),1692999.8999999999,1666666.0000000000,1637585.8900000001,1646710.2800000000,1626214.4199999999,1769041.0400000000,10039221.5299999993,
