代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11824732.6200000010
真實報酬,1824732.6200000010
趨勢值,0.2051696458

選擇檔數,8
找到最佳解世代,2053
找到最佳解實驗,2
Stock#,AAPL,CSCO,CVX,INTC,MCD,TRV,UNH,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17445,58004,11247,52192,13437,15574,17670,13881,
剩餘資金,65.7499999999,13.8000000000,8.4200000000,1.6000000000,90.2600000001,30.7599999999,24.2000000001,15.9500000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000019,
FS(2),1267968.3500000001,1264501.0000000000,1246513.4299999999,1243215.0400000000,1250940.5900000001,1251401.6599999999,1245935.9000000004,1249583.5699999998,10020059.5399999991,
FS(3),1277563.1000000001,1274941.7200000000,1231779.8599999999,1227557.4400000002,1257524.7200000000,1252803.3200000001,1251413.6000000001,1243475.9299999999,10017059.6899999995,
FS(4),1277388.6499999999,1304523.7600000000,1251462.1099999999,1252087.6799999999,1275799.0400000000,1256696.8200000001,1252297.1000000003,1246529.7500000000,10116784.9100000001,
FS(5),1295182.5499999998,1314964.4800000002,1260234.7699999998,1263569.9200000002,1288967.3000000000,1259655.8799999999,1260955.4000000001,1257356.9299999999,10200887.2300000004,
FS(6),1318384.3999999999,1324245.1199999999,1256185.8499999999,1267745.2800000000,1274724.0800000001,1282549.6599999999,1232330.0000000000,1242643.0699999998,10198807.4600000009,
FS(7),1335829.3999999999,1317284.6400000001,1277442.6799999999,1277139.8400000001,1281173.8400000001,1295943.2999999998,1247879.6000000003,1260965.9900000000,10293659.2900000010,
FS(8),1335654.9500000000,1325405.2000000002,1260009.8299999998,1281315.2000000002,1275127.1899999999,1281148.0000000000,1241165.0000000000,1264297.4299999999,10264122.8000000007,
FS(9),1356937.8500000001,1291762.8800000001,1265408.3899999999,1289144.0000000000,1282786.2800000000,1290803.8799999999,1258304.9000000001,1269155.7800000000,10304303.9600000009,
FS(10),1355716.7000000000,1308584.0400000000,1276317.9800000000,1292275.5200000003,1287086.1200000001,1308558.2400000000,1299122.6000000001,1306356.8599999999,10434018.0600000005,
FS(11),1360775.7500000000,1299883.4399999999,1267657.7899999998,1292275.5200000003,1290311.0000000000,1314009.1400000001,1304600.3000000000,1305801.6199999999,10435314.5600000005,
FS(12),1339318.3999999999,1292342.9200000002,1277667.6199999999,1278705.6000000001,1283995.6099999999,1308402.5000000000,1299652.7000000002,1304135.8999999999,10384221.2499999981,
FS(13),1323792.3499999999,1293503.0000000000,1288914.6199999999,1291231.6799999999,1286683.0100000000,1305287.7000000000,1298415.8000000003,1323846.9199999999,10411675.0800000001,
FS(14),1309138.5500000000,1283642.3200000001,1267320.3799999999,1274530.2400000002,1296088.9100000001,1304976.2200000002,1304246.9000000001,1319127.3799999999,10359070.9000000004,
FS(15),1314720.9500000000,1283062.2800000000,1283853.4700000000,1285490.5600000001,1296760.7600000000,1299525.3200000001,1343120.9000000004,1338699.5899999999,10445233.8300000001,
FS(16),1301113.8499999999,1266821.1600000001,1293076.0100000000,1284968.6400000001,1298373.2000000002,1297967.9200000002,1330928.6000000001,1336895.0600000001,10410144.4399999995,
