代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11992318.4299999997
真實報酬,1992318.4299999997
趨勢值,0.1343449109

選擇檔數,5
找到最佳解世代,2988
找到最佳解實驗,1
Stock#,AAPL,INTC,NKE,PG,TRV,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,25846,76952,53763,24894,23699,
剩餘資金,36.5200000001,17.5200000001,16.3999999998,16.0399999999,41.3900000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2003359.9800000002,1992304.8000000000,2003763.4100000001,1994772.2599999998,2006161.7400000000,10000362.1899999995,
FS(3),1989403.1399999999,2032319.8400000001,1988709.7700000000,1994025.4399999997,2013982.4099999999,10018440.5999999978,
FS(4),1963557.1399999999,2013081.8400000001,1958064.8600000001,1985810.4199999997,2019196.1899999999,9939710.4499999993,
FS(5),1932800.4000000001,2038476.0000000000,1904301.8600000001,2003734.0999999996,2014456.3899999999,9893768.7499999981,
FS(6),1932800.4000000001,2070795.8400000001,1960215.3799999999,2025142.9399999997,2008057.6599999999,9997012.2199999988,
FS(7),1958129.4800000002,2076182.4800000000,1977419.5400000000,2028628.0999999996,2033889.5699999998,10074249.1699999999,
FS(8),1932800.4000000001,2033858.8799999999,1947849.8899999997,2018670.5000000000,2014219.3999999997,9947399.0700000003,
FS(9),1918585.1000000001,2014620.8799999999,1915592.0900000001,2010455.4800000000,2021566.0899999999,9880819.6399999987,
FS(10),1926338.9000000001,2043862.6399999999,1945699.3699999999,2011700.1799999999,2026305.8899999999,9953906.9799999986,
FS(11),1912382.0599999998,2060022.5600000001,1943011.2200000000,2012447.0000000000,2035548.5000000000,9963411.3399999980,
FS(12),1916258.9600000000,2072334.8799999999,1965054.0499999998,2032611.1399999999,2056640.6099999999,10042899.6399999987,
FS(13),1938228.0599999998,2080799.5999999999,1990322.6600000001,2035349.4800000000,2054270.7100000000,10098970.5099999998,
FS(14),1961231.0000000000,2073873.9199999999,1986559.2500000000,2030370.6799999999,2047634.9900000000,10099669.8399999999,
FS(15),1963298.6799999999,2065409.2000000000,1998387.1100000001,2022653.5399999998,2059247.5000000000,10108996.0299999993,
FS(16),1937452.6799999999,2058483.5200000000,1991935.5499999998,2000497.8799999999,2088634.2599999998,10077003.8899999987,
FS(17),2096405.5800000001,2058483.5200000000,1973118.5000000000,2020164.1399999999,2099535.8000000003,10247707.5399999991,
FS(18),2111913.1799999997,2020777.0400000000,1954301.4500000000,2026636.5799999996,2092900.0799999998,10206528.3299999982,
FS(19),2193586.5400000000,2026163.6799999999,1926882.3200000001,2064724.3999999997,2124419.7500000000,10335776.6899999995,
FS(20),2187125.0400000000,2037706.4800000000,1948387.5200000000,2052277.3999999997,2154280.4900000002,10379776.9299999997,
