代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12423151.5700000003
真實報酬,2423151.5700000003
趨勢值,0.1002763925

選擇檔數,3
找到最佳解世代,2412
找到最佳解實驗,3
Stock#,AAPL,MSFT,NKE,
分配資金,3333333,3333333,3333333,
張數,39447,83333,91424,
剩餘資金,61.5000000000,13.0000000000,13.9599999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3339250.0500000003,3307499.7700000000,3336075.7200000002,9982826.5399999991,
FS(3),3386586.4499999997,3285833.1899999999,3350703.5600000001,10023124.1999999993,
FS(4),3349900.7400000002,3254999.9800000000,3303163.0800000001,9908064.8000000007,
FS(5),3338066.6400000001,3284999.8600000003,3299506.1200000001,9922573.6199999992,
FS(6),3313609.5000000000,3303333.1200000001,3339732.6800000002,9956676.2999999989,
FS(7),3299803.0500000003,3294999.8199999998,3358017.4799999995,9952821.3499999996,
FS(8),3340827.9299999997,3330833.0099999998,3411957.6400000001,10083619.5799999982,
FS(9),3345956.0399999996,3368332.8600000003,3410129.1599999997,10124419.0599999987,
FS(10),3346744.9800000000,3353332.9200000004,3363502.9199999999,10063581.8199999984,
FS(11),3318343.1400000001,3299999.8000000003,3334247.2399999998,9952591.1799999997,
FS(12),3367257.4199999999,3319166.3899999997,3379959.2399999998,10066384.0499999989,
FS(13),3407098.8900000001,3312499.7500000000,3404643.7200000002,10124243.3599999994,
FS(14),3407887.8300000001,3306666.4399999999,3348875.0800000001,10063430.3499999996,
FS(15),3416960.6400000001,3362499.5500000003,3391844.3599999999,10171305.5499999989,
FS(16),3422088.7500000000,3341666.3000000003,3422928.5199999996,10186684.5699999984,
FS(17),3460746.8100000001,3343332.9600000000,3466812.0400000000,10270892.8099999987,
FS(18),3525834.3599999999,3349166.2700000000,3502467.4000000004,10377469.0299999993,
FS(19),3516367.0800000001,3334166.3299999996,3486925.3199999998,10337459.7299999986,
FS(20),3580665.6899999999,3361666.2200000002,3491496.5199999996,10433829.4299999997,
FS(21),3567253.7100000004,3411666.0200000000,3516181.0000000000,10495101.7300000004,
FS(22),3542796.5700000003,3399166.0699999998,3507038.6000000001,10449002.2400000002,
FS(23),3592894.2599999998,3357499.5699999998,3454012.6800000002,10404407.5099999998,
FS(24),3633919.1400000001,3359999.5600000001,3480525.6400000001,10474445.3399999999,
FS(25),3648120.0600000001,3434165.9300000002,3468640.5199999996,10550927.5099999998,
FS(26),3637863.8399999999,3456665.8399999999,3485096.8399999999,10579627.5199999977,
FS(27),3696245.3999999999,3439165.9100000001,3505210.1200000001,10640622.4299999997,
FS(28),3717941.2500000000,3425832.6299999999,3488753.7999999998,10632528.6799999978,
FS(29),3702556.9199999999,3404999.3799999999,3434813.6400000001,10542370.9399999995,
FS(30),3640625.1300000004,3381666.1399999997,3418357.3199999998,10440649.5899999999,
FS(31),3600783.6600000001,3435832.5899999999,3411043.4000000004,10447660.6499999985,
FS(32),3637074.8999999999,3458332.5000000000,3408300.6800000002,10503709.0800000001,
FS(33),3632341.2599999998,3473332.4399999999,3432985.1599999997,10538659.8599999994,
FS(34),3636285.9600000004,3470832.4499999997,3483268.3599999999,10590387.7699999996,
FS(35),3623662.9199999999,3459165.8299999996,3457669.6400000001,10540499.3899999987,
FS(36),3586188.2700000000,3473332.4399999999,3432985.1599999997,10492506.8699999992,
FS(37),3583032.5099999998,3499165.6700000004,3449441.4799999995,10531640.6599999983,
FS(38),3561336.6600000001,3479165.7500000000,3427499.7200000002,10468003.1299999990,
FS(39),3564492.4199999999,3502498.9900000002,3496067.7200000002,10563060.1299999990,
FS(40),3585793.8000000003,3476665.7599999998,3513438.2799999998,10575898.8399999999,
FS(41),3628396.5600000001,3520832.2500000000,3550922.1200000001,10700151.9299999997,
FS(42),3665871.2100000004,3474999.1000000001,3545436.6800000002,10686307.9900000002,
FS(43),3689144.9399999999,3489165.7100000000,3565549.9600000000,10743861.6099999975,
FS(44),3687567.0600000001,3491665.6999999997,3556407.5600000001,10735641.3199999984,
FS(45),3709262.9100000001,3483332.3999999999,3586577.4799999995,10779173.7899999991,
FS(46),3785790.0899999999,3499165.6700000004,3595719.8799999999,10880676.6399999987,
FS(47),3761332.9499999997,3481665.7400000002,3550922.1200000001,10793921.8099999987,
FS(48),3762910.8300000001,3472499.1100000003,3597548.3599999999,10832959.2999999989,
FS(49),3749104.3800000004,3474165.7700000000,3542693.9600000000,10765965.1099999994,
FS(50),3756204.8399999999,3507498.9700000002,3533551.5600000001,10797256.3699999992,
FS(51),3804724.6499999999,3511665.6200000001,3563721.4799999995,10880112.7499999981,
FS(52),3760149.5399999996,3537498.8500000001,3567378.4400000004,10865027.8299999982,
FS(53),3738848.1600000001,3673331.6399999997,3516181.0000000000,10928361.7999999989,
FS(54),3672182.7300000000,3710831.4900000002,3498810.4400000004,10881825.6599999983,
FS(55),3725041.7100000004,3724164.7700000000,3543608.1999999997,10992815.6799999997,
FS(56),3705712.6799999997,3736664.7200000002,3511609.7999999998,10953988.1999999993,
FS(57),3736481.3399999999,3735831.3899999997,3521666.4400000004,10993980.1699999981,
FS(58),3833915.4299999997,3739164.7100000000,3537208.5199999996,11110289.6599999983,
FS(59),3827603.9100000001,3699998.1999999997,3592977.1599999997,11120580.2699999996,
FS(60),3852849.9900000002,3708331.5000000000,3552750.6000000001,11113933.0899999999,
FS(61),3906103.4399999999,3664165.0099999998,3583834.7600000002,11154104.2099999990,
FS(62),3880857.3599999999,3657498.3700000001,3570121.1599999997,11108477.8899999987,
FS(63),3871784.5500000003,3631665.1399999997,3639603.4000000004,11143054.0899999999,
