代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12669285.1500000004
真實報酬,2669285.1500000004
趨勢值,0.0995405760

選擇檔數,4
找到最佳解世代,1884
找到最佳解實驗,1
Stock#,GS,HD,INTC,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,15622,30925,91709,65172,
剩餘資金,11.3400000000,22.9999999999,12.6599999999,2.0800000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2527650.9399999999,2494742.7500000000,2536683.5999999996,2462200.2400000002,10021277.5300000012,
FS(3),2536867.9199999995,2490722.5000000000,2531181.0599999996,2481100.1200000001,10039871.5999999996,
FS(4),2539836.1000000001,2485774.5000000000,2536683.5999999996,2472627.7599999998,10034921.9600000009,
FS(5),2596231.5200000000,2493815.0000000000,2583455.1899999999,2484358.7199999997,10157860.4300000016,
FS(6),2593263.3399999999,2492887.2500000000,2559610.8499999996,2498696.5600000005,10144458.0000000000,
FS(7),2598887.2600000002,2496907.5000000000,2589874.8199999994,2486965.5999999996,10172635.1799999997,
FS(8),2584358.7999999998,2468147.2500000000,2561445.0299999998,2448514.1200000001,10062465.1999999993,
FS(9),2592638.4600000000,2425470.7500000000,2564196.2999999998,2436783.1600000001,10019088.6699999999,
FS(10),2591544.9199999995,2414337.7500000000,2739360.4899999998,2431569.4000000004,10176812.5599999987,
FS(11),2590920.0399999996,2440005.5000000000,2752199.7500000000,2429614.2400000002,10212739.5299999993,
FS(12),2627944.1799999997,2474641.5000000000,2746697.2099999995,2447210.6799999997,10296493.5700000003,
FS(13),2653564.2600000002,2495979.7500000000,2744863.0299999998,2483055.2800000003,10377462.3200000003,
FS(14),2651533.3999999999,2487630.0000000000,2759536.4699999997,2464807.1200000001,10363506.9899999984,
FS(15),2653251.8199999998,2479280.2500000000,2769624.4599999995,2447210.6799999997,10349367.2100000009,
FS(16),2659500.6200000001,2493815.0000000000,2772375.7299999995,2458941.6399999997,10384632.9900000002,
FS(17),2628100.3999999999,2487320.7500000000,2797137.1599999997,2443300.3600000003,10355858.6699999999,
FS(18),2630443.6999999997,2490413.2500000000,2831986.5799999996,2492179.3600000003,10445022.8900000006,
FS(19),2624663.5599999996,2497216.7500000000,2822815.6799999997,2504562.0400000000,10449258.0300000012,
FS(20),2605448.5000000000,2508968.2500000000,2836572.0299999998,2531282.5600000005,10482271.3399999999,
FS(21),2615759.0200000000,2503711.0000000000,2833820.7599999998,2527372.2400000002,10480663.0199999996,
FS(22),2605917.1599999997,2530306.5000000000,2841157.4799999995,2541710.0800000001,10519091.2200000007,
FS(23),2607166.9199999995,2535254.5000000000,2841157.4799999995,2535192.8799999999,10518771.7800000012,
FS(24),2647315.4600000000,2537419.2500000000,2855830.9199999999,2556699.6399999997,10597265.2699999996,
FS(25),2621070.5000000000,2517936.5000000000,2845742.9299999997,2563216.8399999999,10547966.7700000014,
FS(26),2576235.3599999999,2497526.0000000000,2823732.7699999996,2531282.5600000005,10428776.6900000013,
FS(27),2572486.0799999996,2496598.2500000000,2832903.6699999999,2564520.2800000003,10466508.2799999993,
FS(28),2552958.5799999996,2455468.0000000000,2866836.0000000000,2525417.0800000001,10400679.6600000001,
FS(29),2574516.9399999999,2461962.2500000000,2865918.9099999997,2518899.8799999999,10421297.9800000004,
FS(30),2608885.3399999999,2457323.5000000000,2887929.0699999994,2540406.6399999997,10494544.5500000007,
FS(31),2642785.0799999996,2469693.5000000000,2908105.0499999998,2543013.5200000005,10563597.1499999985,
FS(32),2663093.6799999997,2463508.5000000000,3177729.5099999998,2506517.2000000002,10810848.8899999987,
FS(33),2657938.4199999995,2460106.7500000000,3090605.9600000000,2494134.5200000005,10702785.6499999985,
FS(34),2678715.6799999997,2476497.0000000000,3090605.9600000000,2526068.7999999998,10771887.4399999995,
FS(35),2682621.1799999997,2465054.7500000000,3123621.1999999997,2503258.5999999996,10774555.7300000004,
FS(36),2734173.7799999998,2490722.5000000000,3190568.7699999996,2510427.5200000005,10925892.5700000003,
FS(37),2762293.3799999999,2505566.5000000000,3163973.1599999997,2521506.7599999998,10953339.7999999989,
FS(38),2753545.0599999996,2511133.0000000000,3141045.9099999997,2561261.6799999997,10966985.6499999985,
FS(39),2740110.1400000001,2505875.7500000000,3141045.9099999997,2532586.0000000000,10919617.8000000007,
FS(40),2748702.2399999998,2507112.7500000000,3139211.7299999995,2554744.4800000004,10949771.1999999993,
FS(41),2742297.2199999997,2504329.5000000000,3135543.3699999996,2544968.6799999997,10927138.7699999996,
FS(42),2745734.0599999996,2528451.0000000000,3150216.8099999996,2594499.4000000004,11018901.2699999996,
FS(43),2700586.4800000000,2500309.2500000000,3108030.6699999999,2513686.1200000001,10822612.5199999996,
FS(44),2659656.8399999999,2466291.7500000000,3094274.3199999998,2501955.1600000001,10722178.0700000003,
FS(45),2682152.5200000000,2474950.7500000000,3122704.1099999994,2514337.8399999999,10794145.2200000007,
FS(46),2646690.5799999996,2474950.7500000000,3009902.0399999996,2506517.2000000002,10638060.5700000003,
FS(47),2651689.6200000001,2490104.0000000000,3012653.3099999996,2513686.1200000001,10668133.0500000007,
FS(48),2641691.5399999996,2488557.7500000000,2997062.7799999998,2487617.3200000003,10614929.3899999987,
FS(49),2691057.0599999996,2549170.7500000000,2989726.0599999996,2511079.2400000002,10741033.1099999994,
FS(50),2694181.4600000000,2563087.0000000000,3028243.8399999999,2511079.2400000002,10796591.5400000010,
FS(51),2692150.6000000001,2564324.0000000000,3038331.8300000001,2500651.7199999997,10795458.1500000004,
FS(52),2692775.4800000000,2570509.0000000000,3127289.5599999996,2517596.4400000004,10908170.4800000004,
FS(53),2698399.3999999999,2593393.5000000000,3112616.1199999996,2518899.8799999999,10923308.9000000004,
FS(54),2685433.1400000001,2588136.2500000000,3133709.1899999999,2513686.1200000001,10920964.6999999993,
FS(55),2726831.4399999999,2585043.7500000000,3155719.3499999992,2559958.2400000002,11027552.7800000012,
FS(56),2717614.4600000000,2728535.7500000000,3149299.7200000002,2558654.7999999998,11154104.7300000004,
FS(57),2718708.0000000000,2806466.7500000000,3163973.1599999997,2571689.2000000002,11260837.1099999994,
FS(58),2736204.6400000001,2818836.7500000000,3223584.0099999998,2572340.9199999999,11350966.3200000003,
FS(59),2741203.6799999997,2815125.7500000000,3204325.1199999996,2584071.8799999999,11344726.4299999997,
FS(60),2778696.4800000000,2820383.0000000000,3192402.9499999997,2607533.7999999998,11399016.2300000023,
FS(61),2779165.1400000001,2833680.7500000000,3191485.8599999994,2589937.3600000003,11394269.1099999994,
FS(62),2777759.1599999997,2841102.7500000000,3190568.7699999996,2597758.0000000000,11407188.6799999997,
FS(63),2775259.6400000001,2860894.7500000000,3177729.5099999998,2568430.5999999996,11382314.5000000000,
FS(64),2798067.7600000002,2891510.5000000000,3202490.9399999999,2559958.2400000002,11452027.4399999995,
FS(65),2808378.2799999998,2818836.7500000000,3170392.7899999996,2583420.1600000001,11381027.9800000004,
FS(66),2805722.5399999996,2752348.0000000000,3170392.7899999996,2568430.5999999996,11296893.9299999997,
FS(67),2813221.1000000001,2781108.2500000000,3201573.8499999992,2604275.2000000002,11400178.4000000004,
FS(68),2808065.8399999999,2833062.2500000000,3209827.6599999997,2673357.5200000005,11524313.2699999996,
FS(69),2813689.7600000002,2808631.5000000000,3240091.6299999994,2685088.4800000004,11547501.3700000010,
FS(70),2771354.1400000001,2750183.2500000000,3201573.8499999992,2666840.3200000003,11389951.5600000005,
FS(71),2809940.4800000000,2760079.2500000000,3211661.8399999999,2687695.3600000003,11469376.9299999997,
FS(72),2827593.3399999999,2759151.5000000000,3211661.8399999999,2666188.5999999996,11464595.2799999993,
FS(73),2861493.0799999996,2747400.0000000000,3174978.2399999993,2666840.3200000003,11450711.6400000006,
FS(74),2874146.8999999999,2764099.5000000000,3167641.5199999996,2659671.4000000004,11465559.3200000003,
FS(75),2875084.2199999997,2791622.7500000000,3203408.0299999998,2645985.2800000003,11516100.2799999993,
FS(76),2887269.3799999999,2821001.5000000000,3207993.4799999995,2656412.7999999998,11572677.1600000001,
FS(77),2935228.9199999995,2847906.2500000000,3225418.1899999999,2671402.3600000003,11679955.7199999988,
FS(78),2908827.7399999998,2855637.5000000000,3193320.0399999996,2666188.5999999996,11623973.8800000008,
FS(79),2894611.7199999997,2841721.2500000000,3183232.0499999998,2629692.2800000003,11549257.2999999989,
FS(80),2891487.3199999998,2829351.2500000000,3156636.4399999999,2610792.4000000004,11488267.4100000001,
FS(81),2933979.1599999997,2876666.5000000000,3186900.4099999997,2634254.3200000003,11631800.3900000006,
FS(82),2875865.3199999998,2842030.5000000000,3130957.9199999999,2599061.4400000004,11447915.1799999997,
FS(83),2891955.9800000000,2871100.0000000000,3141962.9999999995,2916449.0800000001,11821468.0600000005,
FS(84),2871803.6000000001,2872337.0000000000,3200656.7599999998,2904066.4000000004,11848863.7599999998,
FS(85),2867741.8799999999,2837082.5000000000,3193320.0399999996,2906673.2800000003,11804817.6999999993,
FS(86),2822906.7399999998,2814816.5000000000,3117201.5699999998,2857794.2800000003,11612719.0899999999,
