代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11996167.3300000001
真實報酬,1996167.3300000001
趨勢值,0.0898538263

選擇檔數,5
找到最佳解世代,2017
找到最佳解實驗,1
Stock#,GS,HD,INTC,NKE,PG,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,11989,24443,64557,51282,25227,
剩餘資金,114.9100000000,73.7400000002,24.1400000000,2.0000000000,3.4400000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2000959.1199999996,2003910.8800000004,2000000.0000000000,1994871.7999999998,2007063.5600000001,10006805.3599999994,
FS(3),2031770.8500000001,2005621.8900000001,2010329.1199999999,2011794.8599999999,2017658.9000000001,10077175.6200000010,
FS(4),2011629.3299999998,1990222.8000000003,2003227.8499999999,2016923.0599999998,2022956.5699999998,10044959.6100000013,
FS(5),1977220.8999999999,1974090.4200000004,1987734.1699999999,1991794.8800000001,2032290.5600000001,9963130.9299999997,
FS(6),1974343.5399999998,1973357.1300000004,1994189.8699999999,2017948.7000000002,2060292.5300000000,10020131.7700000014,
FS(7),1959357.2899999998,1940847.9400000004,2018075.9600000000,1987179.5000000000,2058778.9099999999,9964239.6000000015,
FS(8),1975902.1100000001,1945980.9700000002,2017430.3899999999,1982051.2999999998,2047426.7599999998,9968791.5299999993,
FS(9),2002277.9099999999,1942314.5200000000,2032924.0699999998,1998974.3599999999,2051463.0799999998,10027953.9399999995,
FS(10),2028294.0399999998,1952091.7200000002,2047126.6099999999,2001025.6400000001,2049949.4600000000,10078487.4700000007,
FS(11),2043879.7400000000,1947203.1200000001,2236924.1899999999,1972307.7200000000,2041876.8199999998,10242191.5899999999,
FS(12),2039923.3699999996,1944514.3900000001,2175595.0400000005,1962564.1400000001,2028254.2400000000,10150851.1800000016,
FS(13),2055868.7400000000,1957469.1800000002,2175595.0400000005,1987692.3199999998,2032038.2899999998,10208663.5700000003,
FS(14),2058865.9900000000,1948425.2700000000,2198835.5600000001,1969743.6199999999,2025227.0000000000,10201097.4400000013,
FS(15),2098429.6900000004,1968712.9600000004,2245962.1699999999,1975384.6400000001,2020686.1399999999,10309175.6000000015,
FS(16),2120009.8900000001,1980445.6000000001,2227240.6400000001,1984102.5799999998,2017911.1699999999,10329709.8800000008,
FS(17),2113296.0499999998,1984845.3400000003,2211101.3900000001,2015384.5999999999,2024722.4600000000,10349349.8399999999,
FS(18),2102985.5100000002,1980690.0300000003,2211101.3900000001,1992820.5200000000,2007063.5600000001,10294661.0099999998,
