代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12425857.1099999994
真實報酬,2425857.1099999994
趨勢值,0.1212575792

選擇檔數,4
找到最佳解世代,1863
找到最佳解實驗,1
Stock#,HD,NKE,UNH,WMT,
分配資金,2500000,2500000,2500000,2500000,
張數,31347,65121,30678,33995,
剩餘資金,76.7500000000,4.8100000000,49.7800000002,7.6999999998,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2508777.1600000001,2512372.9899999998,2523928.8400000003,2500000.0000000000,10045078.9899999984,
FS(3),2508777.1600000001,2504558.4700000002,2484661.0000000000,2493201.0000000000,9991197.6299999990,
FS(4),2524137.1899999999,2511721.7800000003,2500306.7800000003,2522436.6999999997,10058602.4499999993,
FS(5),2522569.8399999999,2485673.3800000004,2431588.0600000005,2513937.9499999997,9953769.2300000004,
FS(6),2584009.9600000004,2509116.9399999999,2457971.1400000006,2538414.3499999996,10089512.3900000006,
FS(7),2598116.1099999999,2509116.9399999999,2450301.6400000006,2527875.8999999999,10085410.5899999999,
FS(8),2599369.9900000002,2498697.5800000001,2461038.9400000004,2523116.5999999996,10082223.1099999994,
FS(9),2605639.3900000001,2515629.0400000000,2500613.5600000005,2516657.5499999998,10138539.5399999991,
FS(10),2628836.1699999999,2516931.4600000000,2510123.7400000002,2528895.7499999995,10184787.1199999992,
FS(11),2623507.1799999997,2511721.7800000003,2499386.4400000004,2512238.1999999997,10146853.5999999996,
FS(12),2620372.4800000000,2557957.6899999999,2526076.3000000003,2532295.2499999995,10236701.7200000007,
FS(13),2765822.5600000001,2556655.2700000000,2560742.4400000004,2545553.2999999993,10428773.5699999984,
FS(14),2844817.0000000000,2569679.4700000002,2559515.3200000003,2548272.8999999994,10522284.6899999995,
FS(15),2857355.8000000003,2570330.6800000002,2569945.8400000003,2568329.9499999997,10565962.2699999977,
FS(16),2853594.1600000001,2582052.4600000000,2570252.6200000001,2574449.0499999998,10580348.2899999991,
