代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12959179.0900000017
真實報酬,2959179.0900000017
趨勢值,0.1086370528

選擇檔數,4
找到最佳解世代,1815
找到最佳解實驗,1
Stock#,HD,NKE,UNH,WBA,
分配資金,2500000,2500000,2500000,2500000,
張數,27427,63067,28938,41659,
剩餘資金,28.9499999998,24.1200000000,46.1800000000,43.4100000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000019,
FS(2),2441031.9499999997,2485494.5899999999,2511575.2000000002,2508748.3900000001,9946850.1300000008,
FS(3),2466539.0600000001,2520181.4399999999,2519388.4600000004,2602064.5500000003,10108173.5100000016,
FS(4),2512616.4199999999,2587032.4600000004,2539355.6800000002,2664136.4600000004,10303141.0200000014,
FS(5),2490949.0899999994,2598384.5200000005,2543985.7600000002,2622894.0500000003,10256213.4199999999,
FS(6),2439112.0600000001,2580725.7600000002,2562795.4600000004,2608313.3999999999,10190946.6799999997,
FS(7),2447888.6999999997,2600907.2000000002,2524886.6800000002,2637891.2900000000,10211573.8700000010,
FS(8),2447065.8899999997,2580095.0899999999,2519967.2200000002,2642890.3700000001,10190018.5700000003,
FS(9),2436643.6299999999,2580725.7600000002,2493923.0200000005,2617061.7900000000,10128354.2000000011,
FS(10),2451454.2099999995,2573788.3900000001,2489582.3200000003,2612895.8900000001,10127720.8100000005,
FS(11),2475864.2399999998,2560544.3200000003,2522282.2600000002,2651222.1700000004,10209912.9900000002,
FS(12),2501919.8899999997,2570635.0400000000,2517362.7999999998,2654971.4800000000,10244889.2099999990,
FS(13),2525781.3799999999,2585140.4500000002,2535883.1200000001,2632059.0300000003,10278863.9800000004,
FS(14),2532638.1299999999,2580095.0899999999,2540802.5800000001,2619561.3300000001,10273097.1300000008,
FS(15),2520295.9799999995,2544777.5700000003,2539934.4399999999,2517080.1900000004,10122088.1799999997,
FS(16),2509325.1799999997,2526488.1400000001,2505787.6000000001,2545408.3100000001,10087009.2300000004,
FS(17),2551288.4899999998,2549192.2600000002,2552667.1600000001,2562905.0900000003,10216053.0000000000,
