代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11617316.3000000007
真實報酬,1617316.3000000007
趨勢值,0.1171548593

選擇檔數,4
找到最佳解世代,2067
找到最佳解實驗,1
Stock#,DIS,MRK,UNH,WBA,
分配資金,2500000,2500000,2500000,2500000,
張數,27259,42430,26354,38473,
剩餘資金,77.1100000002,24.3999999999,59.5600000000,24.4599999998,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2462927.7600000002,2519093.5000000000,2503162.4800000000,2510002.9800000000,9995186.7199999988,
FS(3),2480646.1100000003,2527579.5000000000,2524772.7599999998,2526161.6399999997,10059160.0099999998,
FS(4),2507905.1100000003,2514426.1999999997,2535577.8999999999,2564249.9100000001,10122159.1199999992,
FS(5),2453387.1100000003,2517820.6000000001,2467057.5000000000,2574637.6200000001,10012902.8300000001,
FS(6),2447390.1300000004,2495332.7000000002,2497101.0600000001,2607724.3999999999,10047548.2899999991,
FS(7),2452841.9300000006,2519093.5000000000,2521873.8199999998,2596951.9600000000,10090761.2099999990,
FS(8),2450661.2100000004,2516547.7000000002,2521610.2800000003,2594643.5800000001,10083462.7699999996,
FS(9),2466744.0200000000,2526306.6000000001,2527408.1600000001,2576176.5399999996,10096635.3199999984,
FS(10),2475194.3100000001,2506364.5000000000,2506588.5000000000,2575022.3500000001,10063169.6600000001,
FS(11),2464563.3000000003,2522912.1999999997,2542429.9399999999,2560402.6099999999,10090308.0499999989,
FS(12),2461019.6300000004,2541157.1000000001,2587758.8199999998,2618496.8399999999,10208432.3899999987,
FS(13),2448480.4900000002,2530549.6000000001,2552708.0000000000,2608109.1300000004,10139847.2200000007,
FS(14),2423402.2100000004,2519517.7999999998,2552444.4600000000,2590796.2800000003,10086160.7499999981,
FS(15),2425037.7500000000,2531398.1999999997,2548754.8999999999,2600414.5300000003,10105605.3799999990,
FS(16),2469197.3300000001,2514001.8999999999,2553762.1600000001,2605800.7500000000,10142762.1400000006,
FS(17),2498364.4600000004,2517820.6000000001,2580116.1600000001,2608878.5899999999,10205179.8100000005,
FS(18),2505724.3900000006,2535216.8999999999,2585650.5000000000,2634270.7700000000,10260862.5600000005,
FS(19),2521807.2000000007,2562796.3999999999,2599354.5800000001,2639656.9899999998,10323615.1699999981,
FS(20),2526986.4100000006,2567888.0000000000,2610686.8000000003,2607339.6699999999,10312900.8799999990,
FS(21),2547975.8400000003,2578919.7999999998,2630979.3799999999,2568097.2100000000,10325972.2299999986,
FS(22),2538162.6000000001,2570433.7999999998,2656542.7599999998,2592335.1999999997,10357474.3599999994,
FS(23),2541433.6800000006,2584860.0000000000,2626762.7400000002,2612341.1600000001,10365397.5800000001,
FS(24),2555880.9500000007,2609045.1000000001,2644156.3799999999,2639272.2599999998,10448354.6899999995,
FS(25),2556971.3100000001,2625592.7999999998,2633351.2400000002,2605800.7500000000,10421716.0999999996,
FS(26),2533528.5700000003,2546248.6999999997,2662340.6400000001,2638887.5300000003,10381005.4399999995,
FS(27),2497819.2800000003,2544975.7999999998,2611477.4199999999,2621959.4100000001,10276231.9100000001,
FS(28),2501090.3600000003,2517820.6000000001,2628343.9800000000,2808938.1899999999,10456193.1299999990,
FS(29),2494003.0200000000,2449084.0000000000,2602780.6000000001,2866262.9600000000,10412130.5800000001,
FS(30),2477920.2100000004,2416412.8999999999,2589867.1400000001,2825481.5800000001,10309681.8300000001,
FS(31),2458021.1400000006,2410048.3999999999,2526090.4600000000,2785084.9300000002,10179244.9299999997,
FS(32),2491004.5300000003,2445265.2999999998,2612795.1200000001,2769695.7300000000,10318760.6799999997,
FS(33),2524533.1000000001,2502545.7999999998,2694492.5200000000,2861646.1999999997,10583217.6199999992,
FS(34),2532165.6200000006,2528003.7999999998,2701081.0200000000,2817402.2500000000,10578652.6899999995,
FS(35),2567874.9100000006,2501697.1999999997,2715575.7200000002,2857414.1699999999,10642562.0000000000,
FS(36),2581231.8200000003,2427444.6999999997,2710568.4600000000,2943593.6899999999,10662838.6699999981,
FS(37),2573871.8900000006,2438052.1999999997,2706088.2800000003,2949749.3700000001,10667761.7399999984,
FS(38),2590499.8800000004,2451629.7999999998,2702662.2599999998,2941670.0399999996,10686461.9799999986,
FS(39),2603311.6100000003,2449508.2999999998,2696864.3799999999,2954366.1300000004,10704050.4199999999,
FS(40),2581504.4100000006,2446113.8999999999,2710568.4600000000,2925896.1099999999,10664082.8799999990,
FS(41),2567602.3200000003,2409624.1000000001,2664185.4199999999,2931667.0600000001,10573078.9000000004,
FS(42),2555608.3600000003,2426596.0999999996,2656015.6800000002,2923972.4600000000,10562192.5999999996,
FS(43),2518263.5300000003,2462661.6000000001,2612268.0400000000,2866262.9600000000,10459456.1300000008,
FS(44),2504906.6200000006,2559402.0000000000,2606997.2400000002,2873572.8300000001,10544878.6899999995,
FS(45),2530530.0800000001,2614136.6999999997,2633614.7800000003,2947056.2599999998,10725337.8199999984,
FS(46),2556698.7200000007,2666749.8999999999,2759323.3600000003,2983605.6099999999,10966377.5899999999,
FS(47),2569237.8600000003,2654445.2000000002,2733496.4399999999,2911276.3700000001,10868455.8699999992,
FS(48),2574962.2500000000,2643413.3999999999,2702662.2599999998,2912430.5600000001,10833468.4699999988,
FS(49),2594861.3200000003,2638746.0999999996,2716366.3399999999,2895502.4399999999,10845476.1999999993,
FS(50),2568692.6800000006,2657839.6000000001,2723218.3799999999,2885114.7300000000,10834865.3900000006,
FS(51),2571963.7600000002,2625592.7999999998,2752998.3999999999,2877035.3999999999,10827590.3599999994,
FS(52),2594588.7300000004,2674387.2999999998,2787522.1400000001,2925126.6499999999,10981624.8200000003,
FS(53),2582594.7700000000,2656566.6999999997,2783569.0400000000,2925896.1099999999,10948626.6199999992,
FS(54),2567057.1400000006,2637473.1999999997,2881078.8399999999,2908198.5300000003,10993807.7099999990,
FS(55),2593770.9600000004,2655718.1000000001,3000462.4600000000,2924741.9199999999,11174693.4399999976,
FS(56),2582049.5900000003,2651475.1000000001,2951707.5600000001,2908198.5300000003,11093430.7799999993,
FS(57),2588864.3400000003,2665477.0000000000,2941429.5000000000,2917816.7800000003,11113587.6199999992,
FS(58),2561605.3400000003,2654445.2000000002,2899263.1000000001,2882806.3500000001,10998119.9900000002,
FS(59),2526168.6400000006,2607347.8999999999,2858414.3999999999,2838177.6699999999,10830108.6099999994,
FS(60),2541161.0900000003,2634503.1000000001,2882923.6200000001,2868956.0699999998,10927543.8799999990,
FS(61),2479555.7500000000,2557704.7999999998,2800172.0600000001,2837408.2100000000,10674840.8199999984,
FS(62),2505996.9800000004,2583162.7999999998,2827580.2200000002,2881267.4300000002,10798007.4299999997,
FS(63),2565149.0100000002,2589103.0000000000,2841284.3000000003,2877420.1300000004,10872956.4399999995,
FS(64),2760868.6300000004,2505515.8999999999,2844183.2400000002,2872803.3700000001,10983371.1399999987,
FS(65),2797940.8700000006,2510607.5000000000,2867901.8399999999,2877420.1300000004,11053870.3399999999,
FS(66),2781040.2900000000,2494484.1000000001,2835749.9600000000,2929743.4100000001,11041017.7599999998,
FS(67),2773135.1800000006,2474966.2999999998,2806497.0200000000,2939361.6600000001,10993960.1600000001,
FS(68),2778314.3900000006,2497029.8999999999,2871854.9399999999,2950518.8300000001,11097718.0599999987,
FS(69),2776951.4400000004,2492362.6000000001,2895046.4600000000,3059782.1499999999,11224142.6499999985,
FS(70),2823564.3300000001,2498302.7999999998,2894782.9199999999,3076325.5399999996,11292975.5899999999,
FS(71),2839647.1400000006,2495332.7000000002,2884241.3199999998,3029003.7500000000,11248224.9100000001,
FS(72),2838284.1900000004,2494484.1000000001,2892674.6000000001,3000918.4600000000,11226361.3499999996,
FS(73),2831196.8500000001,2494908.3999999999,2892938.1400000001,2992839.1300000004,11211882.5199999996,
FS(74),2832014.6200000006,2473693.3999999999,2899790.1800000002,2966292.7599999998,11171790.9599999990,
FS(75),2850005.5600000001,2475814.8999999999,2968047.0400000000,2967446.9499999997,11261314.4499999993,
FS(76),2861999.5200000000,2473693.3999999999,3067665.1600000001,3023617.5300000003,11426975.6099999994,
FS(77),2853276.6400000006,2476239.1999999997,3042101.7800000003,3092868.9300000002,11464486.5499999989,
FS(78),2877809.7400000002,2481755.1000000001,3005733.2599999998,3078249.1899999999,11443547.2899999991,
FS(79),2850278.1500000004,2501697.1999999997,2995455.2000000002,3141344.9100000001,11488775.4599999990,
FS(80),2837193.8300000001,2483876.6000000001,2994664.5800000001,3196361.2999999998,11512096.3099999987,
FS(81),2886532.6200000006,2485573.7999999998,3014957.1600000001,3217136.7200000002,11604200.3000000007,
FS(82),2899071.7600000002,2475390.6000000001,2974372.0000000000,3201362.7899999996,11550197.1499999985,
FS(83),2877809.7400000002,2455872.7999999998,2999671.8399999999,3194052.9199999999,11527407.2999999989,
FS(84),2863089.8800000004,2460115.7999999998,3025235.2200000002,3200978.0600000001,11549418.9599999990,
FS(85),2830106.4900000002,2411745.6000000001,2974899.0800000001,3168276.0099999998,11385027.1799999978,
FS(86),2869359.4500000007,2429566.1999999997,3028134.1600000001,3212519.9600000000,11539579.7700000014,
FS(87),2810207.4200000004,2400713.7999999998,2963830.3999999999,3182511.0200000000,11357262.6399999987,
FS(88),2804755.6200000006,2378650.2000000002,2970682.4399999999,3174431.6899999999,11328519.9499999993,
FS(89),2921424.1400000006,2383317.5000000000,3027607.0800000001,3241374.7100000000,11573723.4299999978,
FS(90),2901525.0700000003,2384590.3999999999,3037358.0600000001,3220984.0200000000,11544457.5499999989,
FS(91),2926875.9400000004,2423626.0000000000,3123535.6400000001,3338326.6699999999,11812364.2499999981,
FS(92),2915699.7500000000,2396046.5000000000,3099289.9600000000,3318705.4399999999,11729741.6499999985,
FS(93),2943231.3400000003,2446113.8999999999,3161485.3999999999,3354100.6000000001,11904931.2399999984,
FS(94),2926875.9400000004,2469874.6999999997,3182568.6000000001,3361025.7399999998,11940344.9799999986,
