代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11260786.2899999991
真實報酬,1260786.2899999991
趨勢值,0.1032928917

選擇檔數,6
找到最佳解世代,2076
找到最佳解實驗,1
Stock#,DIS,DD,GS,MRK,NKE,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,17777,25672,8572,29142,35072,16537,
剩餘資金,72.2500000000,39.7600000000,183.4800000000,35.0200000001,44.5599999999,67.1400000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,9999999.9999999981,
FS(2),1642311.5100000000,1615322.0000000000,1614633.9600000000,1691436.7000000000,1639660.5599999998,1639214.5800000001,9842583.3099999987,
FS(3),1633600.7800000000,1589393.2800000000,1581974.6399999999,1757880.4600000000,1630191.1199999996,1635907.1799999999,9828951.4599999990,
FS(4),1650311.1599999999,1586826.0800000001,1605547.6399999999,1795473.6399999999,1663860.2399999998,1652609.5500000000,9954632.3099999987,
FS(5),1667377.0800000001,1626104.2400000000,1631177.9200000002,1831609.7200000000,1702088.7200000000,1731491.0400000000,10189852.7199999988,
FS(6),1675554.5000000000,1623537.0400000000,1606147.6799999999,1823158.5400000000,1683500.5599999998,1715284.7799999998,10127187.0999999996,
FS(7),1679287.6699999999,1614038.3999999999,1586603.5200000000,1815581.6199999999,1681045.5199999998,1695936.4899999998,10072497.2199999988,
FS(8),1692264.8799999999,1594270.9600000000,1585403.4399999999,1812376.0000000000,1666315.2799999998,1704535.7299999997,10055170.2899999991,
FS(9),1675198.9600000000,1587852.9600000000,1545115.0399999998,1825489.9000000001,1643518.4799999997,1708835.3499999999,9986014.6899999995,
FS(10),1677332.2000000000,1583488.7200000000,1530199.7600000000,1803341.9800000000,1627736.0799999996,1727522.1599999997,9949624.8999999985,
FS(11),1692087.1100000001,1637656.6399999999,1519399.0399999998,1836855.2800000000,1630892.5599999998,1749185.6299999999,10066080.2599999979,
FS(12),1684265.2300000000,1613524.9600000000,1505683.8399999999,1824615.6399999999,1641764.8799999999,1746705.0800000001,10016563.6299999990,
FS(13),1674132.3400000001,1635602.8800000001,1518713.2800000000,1811501.7400000000,1640011.2799999998,1807891.9799999997,10087857.4999999981,
FS(14),1691553.8000000000,1658450.9600000000,1560630.3599999999,1824032.8000000000,1681045.5199999998,1882804.5899999999,10298522.0299999993,
FS(15),1683909.6899999999,1629441.6000000001,1547343.7600000000,1821118.6000000001,1686306.3199999998,1852211.1399999999,10220335.1099999975,
FS(16),1688353.9399999999,1629184.8800000001,1546743.7200000000,1830735.4600000000,1689813.5199999998,1845761.7100000000,10230597.2299999986,
FS(17),1670576.9399999999,1614808.5600000001,1513055.7600000000,1823158.5400000000,1657196.5599999998,1819302.5100000000,10098102.8699999992,
FS(18),1647466.8400000001,1573219.9199999999,1483568.0800000001,1790810.9200000002,1636504.0799999996,1793670.1599999997,9925244.0000000000,
FS(19),1657244.1899999999,1645614.9600000000,1508769.7600000000,1809461.8000000000,1663860.2399999998,1809049.5699999998,10094004.5199999996,
FS(20),1617068.1699999999,1651006.0800000001,1478082.0000000000,1756714.7800000000,1617915.9199999999,1757123.3899999999,9877914.3399999980,
FS(21),1634311.8600000001,1653316.5600000001,1504483.7600000000,1774199.9800000000,1611953.6799999999,1774321.8700000001,9952591.7099999990,
FS(22),1672887.9500000000,1714415.9199999999,1545200.7600000000,1778279.8600000001,1637205.5199999998,1782921.1099999999,10130915.1199999992,
FS(23),1800526.8100000001,1689770.7999999998,1532685.6399999999,1720870.1199999999,1622826.0000000000,1784740.1799999999,10151423.5499999989,
FS(24),1824703.5300000000,1747532.7999999998,1549743.9200000002,1724367.1600000001,1636854.7999999998,1799623.4799999997,10282829.6899999976,
FS(25),1813681.7900000000,1769610.7200000002,1572545.4399999999,1713293.2000000000,1609849.3599999999,1779448.3399999999,10258432.8499999978,
FS(26),1808526.4600000000,1764476.3200000001,1562173.3200000001,1699887.8799999999,1598977.0400000000,1761092.2699999998,10195137.2900000010,
FS(27),1811904.0900000001,1773204.7999999998,1582231.8000000000,1715041.7200000000,1626683.9199999999,1802104.0299999998,10311174.3599999994,
FS(28),1811015.2400000000,1757801.6000000001,1608719.2800000000,1711836.1000000001,1601432.0799999996,1816656.5899999999,10307464.8899999987,
FS(29),1841413.9099999999,1796823.0399999998,1626977.6399999999,1715915.9800000000,1613356.5599999998,1816491.2200000000,10410982.3499999978,
FS(30),1851902.3400000001,1807605.2800000000,1620291.4800000000,1713876.0400000000,1614058.0000000000,1809876.4199999999,10417613.5599999987,
FS(31),1851013.4900000000,1812226.2400000000,1629034.9200000002,1713293.2000000000,1610901.5199999998,1815168.2600000000,10431641.6299999990,
FS(32),1846391.4700000000,1806321.6799999999,1617462.7200000000,1713584.6199999999,1641764.8799999999,1815333.6299999999,10440862.9999999981,
FS(33),1846924.7800000000,1816333.7600000000,1621234.4000000001,1699013.6199999999,1643167.7599999998,1819633.2500000000,10446311.5699999984,
FS(34),1858657.5999999999,1810942.6400000001,1641807.2000000000,1700470.7200000000,1664912.3999999997,1862464.0800000001,10539258.6399999987,
FS(35),1866479.4800000000,1809402.3200000001,1631520.8000000000,1699013.6199999999,1666315.2799999998,1924973.9399999999,10597709.4399999995,
FS(36),1860790.8400000001,1820954.7200000002,1647893.3200000001,1700762.1399999999,1673329.6799999999,1908933.0500000000,10612667.7500000000,
FS(37),1876790.1399999999,1822495.0399999998,1643607.3200000001,1704550.6000000001,1697880.0799999996,1886111.9899999998,10631439.1699999981,
FS(38),1858835.3700000001,1800673.8400000001,1647721.8799999999,1718247.3400000001,1701036.5599999998,1879662.5599999998,10606181.5499999989,
FS(39),1850302.4099999999,1800160.4000000001,1627063.3599999999,1706007.7000000000,1703140.8799999999,1879166.4499999997,10565845.1999999993,
FS(40),1882478.7800000000,1804267.9199999999,1644207.3599999999,1707173.3799999999,1731899.9199999999,1891899.9399999999,10661931.3000000007,
FS(41),1890656.2000000000,1800673.8400000001,1639749.9200000002,1700179.3000000000,1718221.8399999999,1866432.9600000000,10615918.0599999987,
FS(42),1876790.1399999999,1812226.2400000000,1626034.7200000000,1686773.9800000000,1710155.2799999998,1882308.4799999997,10594292.8399999999,
FS(43),1867190.5600000001,1787324.4000000001,1629549.2400000000,1689688.1799999999,1726639.1199999996,1898349.3700000001,10598744.8699999992,
FS(44),1845680.3899999999,1752667.2000000000,1602376.0000000000,1656466.3000000000,1699633.6799999999,1866763.6999999997,10423591.2699999996,
FS(45),1871279.2700000000,1752410.4800000002,1611119.4399999999,1668705.9399999999,1708752.3999999997,1900168.4399999999,10512439.9700000007,
FS(46),1832703.1800000002,1722374.2400000000,1566373.6000000001,1648889.3799999999,1692619.2799999998,1859818.1599999997,10322781.8399999999,
FS(47),1829147.7800000000,1710308.4000000001,1578974.4399999999,1633735.5400000000,1671926.7999999998,1864117.7799999998,10288214.7400000002,
FS(48),1905233.3400000001,1735210.2400000000,1628434.8799999999,1636941.1600000001,1701738.0000000000,1899837.6999999997,10507399.3199999984,
FS(49),1892256.1299999999,1720063.7600000000,1623205.9600000000,1637815.4200000002,1680344.0799999996,1905956.3899999999,10459645.7400000002,
FS(50),1908788.7400000000,1719550.3200000001,1645150.2800000000,1664626.0600000001,1691216.3999999997,1960032.3799999999,10589368.1799999997,
FS(51),1901500.1699999999,1704917.2800000000,1633749.5200000000,1645683.7600000000,1692970.0000000000,1944818.3399999999,10523643.0699999984,
FS(52),1919454.9399999999,1738034.1600000001,1648750.5200000000,1680071.3200000001,1710155.2799999998,1983845.6599999997,10680315.8799999990,
FS(53),1908788.7400000000,1708511.3599999999,1628606.3200000001,1696390.8400000001,1724184.0799999996,1997075.2600000000,10663560.5999999978,
FS(54),1927632.3600000001,1729048.9600000000,1655693.8399999999,1707173.3799999999,1788365.8399999999,1970285.3199999998,10778203.6999999993,
FS(55),1923899.1899999999,1726738.4800000002,1645664.6000000001,1711544.6799999999,1779247.1199999996,1968631.6200000001,10755729.6899999995,
FS(56),1904166.7200000000,1725968.3200000001,1639835.6399999999,1708630.4800000000,1765218.3199999998,1953417.5800000001,10697241.0599999987,
FS(57),1866657.2500000000,1712105.4399999999,1606147.6799999999,1697847.9399999999,1736108.5599999998,1927289.1200000001,10546159.9900000002,
FS(58),1870923.7300000000,1713132.3200000001,1605204.7600000000,1678614.2200000000,1742070.7999999998,1922493.3899999999,10532443.2199999988,
FS(59),1875190.2100000000,1745992.4800000002,1612233.8000000000,1682985.5200000000,1751540.2399999998,1951598.5100000000,10619544.7599999979,
FS(60),1886567.4900000000,1779622.7999999998,1637606.9200000002,1700179.3000000000,1769426.9600000000,2001044.1399999999,10774451.6099999994,
FS(61),1864701.7800000000,1754207.5200000000,1611462.3200000001,1675117.1799999999,1759606.7999999998,1956228.8700000001,10621328.4699999988,
FS(62),1874479.1299999999,1751126.8799999999,1647979.0399999998,1657049.1399999999,1745928.7200000000,1942337.7900000000,10618904.6999999993,
FS(63),1884434.2500000000,1763706.1600000001,1642150.0800000001,1664043.2200000000,1747682.3199999998,1940849.4600000000,10642869.4900000002,
FS(64),1877856.7600000000,1779622.7999999998,1646436.0800000001,1666374.5800000001,1749085.1999999997,1946472.0400000000,10665851.4599999990,
