代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10846759.3499999996
真實報酬,846759.3499999996
趨勢值,0.0377193323

選擇檔數,2
找到最佳解世代,1964
找到最佳解實驗,1
Stock#,JPM,NKE,
分配資金,5000000,5000000,
張數,80945,101255,
剩餘資金,27.3499999997,28.0999999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5016189.0000000000,4960510.5499999998,9976699.5500000007,
FS(3),5029140.2000000002,4937221.8999999994,9966362.0999999996,
FS(4),5018617.3499999996,4984811.7499999991,10003429.0999999996,
FS(5),4928768.3999999994,4906845.3999999994,9835613.7999999989,
FS(6),4978144.8499999996,4933171.6999999993,9911316.5499999989,
FS(7),4853489.5499999998,4886594.3999999994,9740083.9499999993,
FS(8),4876154.1499999994,4826853.9500000002,9703008.0999999996,
FS(9),4967621.9999999991,4912920.7000000002,9880542.6999999993,
FS(10),4937672.3499999996,4851155.1499999994,9788827.4999999981,
FS(11),5006475.5999999996,4882544.1999999993,9889019.7999999989,
FS(12),4987048.7999999998,4887606.9500000002,9874655.7500000000,
FS(13),4998381.0999999996,4937221.8999999994,9935602.9999999981,
FS(14),4953861.3499999996,4977723.8999999994,9931585.2499999981,
FS(15),4998381.0999999996,5163020.5499999998,10161401.6500000004,
FS(16),4949004.6499999994,5136694.2499999991,10085698.8999999985,
FS(17),4893962.0499999998,5096192.2499999991,9990154.2999999989,
FS(18),4825158.7999999998,5012150.5999999996,9837309.3999999985,
FS(19),4819492.6499999994,5029363.9500000002,9848856.5999999996,
FS(20),4820302.0999999996,5056702.7999999998,9877004.8999999985,
FS(21),4934434.5499999998,5108342.8499999996,10042777.4000000004,
FS(22),4903675.4499999993,5079991.4500000002,9983666.8999999985,
FS(23),4852680.0999999996,5040502.0000000000,9893182.0999999996,
FS(24),4898818.7500000000,5045564.7499999991,9944383.5000000000,
FS(25),4894771.5000000000,5049614.9499999993,9944386.4499999993,
FS(26),4925530.5999999996,5043539.6499999994,9969070.2500000000,
FS(27),4941719.5999999996,5105305.2000000002,10047024.7999999989,
FS(28),4975716.5000000000,5099229.8999999994,10074946.4000000004,
FS(29),4994333.8499999996,5061765.5499999998,10056099.4000000004,
FS(30),5024283.5000000000,5026326.2999999998,10050609.7999999989,
FS(31),5102800.1499999994,5039489.4500000002,10142289.5999999996,
FS(32),5197505.7999999989,5054677.7000000002,10252183.4999999981,
FS(33),5165127.7999999998,5057715.3499999996,10222843.1500000004,
FS(34),5086611.1499999994,4989874.5000000000,10076485.6499999985,
FS(35),5118989.1499999994,5062778.0999999996,10181767.2500000000,
FS(36),5043710.2999999998,5077966.3499999996,10121676.6499999985,
FS(37),5094705.6499999994,5070878.4999999991,10165584.1499999985,
FS(38),5083373.3499999996,5119480.8999999994,10202854.2500000000,
FS(39),5067184.3499999996,5111380.4999999991,10178564.8499999996,
FS(40),5046138.6499999994,5110367.9499999993,10156506.5999999996,
FS(41),5080135.5499999998,5055690.2500000000,10135825.7999999989,
FS(42),5148129.3499999996,5071891.0499999998,10220020.4000000004,
FS(43),5120608.0499999998,5004050.2000000002,10124658.2500000000,
FS(44),5148938.7999999998,5102267.5499999998,10251206.3499999996,
FS(45),5238787.7500000000,5105305.2000000002,10344092.9499999993,
FS(46),5212885.3499999996,5084041.6499999994,10296927.0000000000,
FS(47),5174031.7500000000,5073916.1499999994,10247947.9000000004,
FS(48),5220979.8499999996,5136694.2499999991,10357674.0999999996,
FS(49),5301115.3999999994,5186309.1999999993,10487424.5999999996,
FS(50),5297877.5999999996,5204535.0999999996,10502412.6999999993,
FS(51),5290592.5499999998,5183271.5499999998,10473864.0999999996,
FS(52),5303543.7499999991,5172133.4999999991,10475677.2499999981,
FS(53),5346444.5999999996,5236936.6999999993,10583381.2999999989,
FS(54),5332683.9499999993,5314903.0499999998,10647587.0000000000,
FS(55),5376394.2500000000,5303765.0000000000,10680159.2500000000,
FS(56),5424151.7999999998,5297689.6999999993,10721841.5000000000,
FS(57),5381250.9500000002,5296677.1499999994,10677928.0999999996,
