代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12144371.0700000003
真實報酬,2144371.0700000003
趨勢值,0.0489006570

選擇檔數,2
找到最佳解世代,2182
找到最佳解實驗,1
Stock#,HD,NKE,
分配資金,5000000,5000000,
張數,45641,99226,
剩餘資金,28.4500000001,1.8599999999,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5023276.9100000001,5002976.7800000003,10026253.6900000013,
FS(3),4931994.9100000001,4982139.3200000003,9914134.2300000004,
FS(4),4943405.1600000001,4972216.7200000007,9915621.8800000008,
FS(5),5022364.0900000008,5033736.8399999999,10056100.9300000016,
FS(6),5133271.7199999997,5082357.5800000001,10215629.3000000007,
FS(7),5107256.3500000006,5100218.2599999998,10207474.6100000013,
FS(8),5135553.7699999996,5079380.7999999998,10214934.5700000003,
FS(9),5074851.2400000002,5068465.9400000004,10143317.1799999997,
FS(10),5109081.9900000002,5131970.5800000001,10241052.5700000003,
FS(11),5173435.7999999998,5208374.6000000006,10381810.4000000004,
FS(12),5218163.9800000004,5197459.7400000002,10415623.7200000007,
FS(13),5127338.3900000006,5191506.1800000006,10318844.5700000003,
FS(14),5116384.5499999998,5190513.9200000009,10306898.4700000007,
FS(15),5112276.8600000003,5179599.0600000005,10291875.9200000018,
FS(16),5119123.0099999998,5181583.5800000001,10300706.5899999999,
FS(17),5062984.5800000001,5130978.3200000003,10193962.9000000004,
FS(18),5119123.0099999998,5102202.7800000003,10221325.7900000010,
FS(19),5120492.2400000002,5075411.7599999998,10195904.0000000000,
FS(20),5085348.6699999999,5044651.7000000011,10130000.3700000010,
FS(21),5096758.9199999999,5048620.7400000002,10145379.6600000001,
FS(22),5093107.6400000006,5066481.4200000009,10159589.0600000005,
FS(23),5164764.0099999998,5086326.6200000001,10251090.6300000008,
FS(24),5087174.3099999996,5058543.3399999999,10145717.6500000004,
FS(25),5037425.6200000001,5062512.3800000008,10099938.0000000000,
FS(26),5017343.5800000001,5032744.5800000001,10050088.1600000001,
FS(27),4999087.1800000006,5028775.5400000000,10027862.7200000007,
FS(28),5065266.6300000008,5127009.2800000003,10192275.9100000020,
FS(29),5079415.3400000008,5153800.2999999998,10233215.6400000006,
FS(30),5047923.0499999998,5148839.0000000000,10196762.0500000007,
FS(31),5020994.8600000003,5128001.5400000000,10148996.4000000004,
FS(32),5031035.8800000008,5187537.1400000006,10218573.0200000014,
FS(33),5041989.7199999997,5197459.7400000002,10239449.4600000009,
