代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12999200.3999999985
真實報酬,2999200.3999999985
趨勢值,0.0564709194

選擇檔數,1
找到最佳解世代,2286
找到最佳解實驗,1
Stock#,NKE,
分配資金,10000000,
張數,196540,
剩餘資金,44.7999999995,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10035377.1999999993,10035377.1999999993,
FS(3),10074685.1999999993,10074685.1999999993,
FS(4),10019653.9999999981,10019653.9999999981,
FS(5),10027515.5999999996,10027515.5999999996,
FS(6),9968553.5999999978,9968553.5999999978,
FS(7),9960691.9999999981,9960691.9999999981,
FS(8),10155266.5999999996,10155266.5999999996,
FS(9),10208332.3999999985,10208332.3999999985,
FS(10),10198505.3999999985,10198505.3999999985,
FS(11),10157231.9999999981,10157231.9999999981,
FS(12),10275156.0000000000,10275156.0000000000,
FS(13),10294810.0000000000,10294810.0000000000,
FS(14),10416664.7999999989,10416664.7999999989,
FS(15),10469730.5999999996,10469730.5999999996,
FS(16),10495280.7999999989,10495280.7999999989,
FS(17),10534588.7999999989,10534588.7999999989,
FS(18),10438284.1999999993,10438284.1999999993,
FS(19),10340014.1999999993,10340014.1999999993,
FS(20),10782229.1999999993,10782229.1999999993,
FS(21),10581758.4000000004,10581758.4000000004,
FS(22),10615170.1999999993,10615170.1999999993,
FS(23),10754713.5999999978,10754713.5999999978,
FS(24),10797952.3999999985,10797952.3999999985,
FS(25),10794021.5999999996,10794021.5999999996,
FS(26),10937495.7999999989,10937495.7999999989,
FS(27),10738990.3999999985,10738990.3999999985,
FS(28),10754713.5999999978,10754713.5999999978,
FS(29),10860845.1999999993,10860845.1999999993,
FS(30),11047558.1999999993,11047558.1999999993,
FS(31),11039696.5999999996,11039696.5999999996,
FS(32),10996457.7999999989,10996457.7999999989,
FS(33),11039696.5999999996,11039696.5999999996,
FS(34),11084900.7999999989,11084900.7999999989,
FS(35),11118312.5999999996,11118312.5999999996,
FS(36),11104554.7999999989,11104554.7999999989,
FS(37),11212651.7999999989,11212651.7999999989,
FS(38),11202824.7999999989,11202824.7999999989,
FS(39),11104554.7999999989,11104554.7999999989,
FS(40),10980734.5999999978,10980734.5999999978,
FS(41),11151724.3999999985,11151724.3999999985,
FS(42),11293233.1999999993,11293233.1999999993,
FS(43),11303060.1999999993,11303060.1999999993,
FS(44),11322714.1999999993,11322714.1999999993,
FS(45),11285371.5999999996,11285371.5999999996,
FS(46),11377745.3999999985,11377745.3999999985,
FS(47),11474050.0000000000,11474050.0000000000,
FS(48),11312887.1999999993,11312887.1999999993,
FS(49),11253925.1999999993,11253925.1999999993,
FS(50),11336471.9999999981,11336471.9999999981,
FS(51),11248028.9999999981,11248028.9999999981,
FS(52),11110451.0000000000,11110451.0000000000,
FS(53),11163516.7999999989,11163516.7999999989,
FS(54),11238201.9999999981,11238201.9999999981,
FS(55),11299129.3999999985,11299129.3999999985,
FS(56),11283406.1999999974,11283406.1999999974,
FS(57),11297163.9999999981,11297163.9999999981,
FS(58),11035765.7999999989,11035765.7999999989,
FS(59),10503142.3999999985,10503142.3999999985,
FS(60),10208332.3999999985,10208332.3999999985,
