代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12450201.8800000008
真實報酬,2450201.8800000008
趨勢值,0.0360098290

選擇檔數,1
找到最佳解世代,1977
找到最佳解實驗,1
Stock#,MCD,
分配資金,10000000,
張數,100583,
剩餘資金,38.1399999998,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9971836.7599999998,9971836.7599999998,
FS(3),10038221.5400000010,10038221.5400000010,
FS(4),9992959.1899999995,9992959.1899999995,
FS(5),9949708.5000000000,9949708.5000000000,
FS(6),9996982.5099999998,9996982.5099999998,
FS(7),9938644.3700000010,9938644.3700000010,
FS(8),9885335.3800000008,9885335.3800000008,
FS(9),9994970.8500000015,9994970.8500000015,
FS(10),9984912.5500000007,9984912.5500000007,
FS(11),10124722.9199999999,10124722.9199999999,
FS(12),10134781.2200000007,10134781.2200000007,
FS(13),10168979.4399999995,10168979.4399999995,
FS(14),10034198.2200000007,10034198.2200000007,
FS(15),9769664.9299999997,9769664.9299999997,
FS(16),9341181.3500000015,9341181.3500000015,
FS(17),9174213.5700000003,9174213.5700000003,
FS(18),9570510.5900000017,9570510.5900000017,
FS(19),9789781.5300000012,9789781.5300000012,
FS(20),9681151.8900000006,9681151.8900000006,
FS(21),9557434.8000000007,9557434.8000000007,
FS(22),9401531.1500000004,9401531.1500000004,
FS(23),9660029.4600000009,9660029.4600000009,
FS(24),9657011.9700000007,9657011.9700000007,
FS(25),9540335.6899999995,9540335.6899999995,
FS(26),9734460.8800000008,9734460.8800000008,
FS(27),9598673.8300000019,9598673.8300000019,
FS(28),9580568.8900000006,9580568.8900000006,
FS(29),9797828.1699999999,9797828.1699999999,
FS(30),9753571.6500000004,9753571.6500000004,
FS(31),9876282.9100000001,9876282.9100000001,
FS(32),9926574.4100000001,9926574.4100000001,
FS(33),9841078.8600000013,9841078.8600000013,
FS(34),9761618.2900000010,9761618.2900000010,
FS(35),9847113.8400000017,9847113.8400000017,
FS(36),9776705.7400000002,9776705.7400000002,
FS(37),9794810.6799999997,9794810.6799999997,
FS(38),9785758.2100000009,9785758.2100000009,
FS(39),9815933.1100000013,9815933.1100000013,
FS(40),9651982.8200000003,9651982.8200000003,
FS(41),9804868.9800000004,9804868.9800000004,
FS(42),9910481.1300000008,9910481.1300000008,
FS(43),9935626.8800000008,9935626.8800000008,
FS(44),10037215.7100000009,10037215.7100000009,
FS(45),10176020.2500000000,10176020.2500000000,
FS(46),10249445.8400000017,10249445.8400000017,
FS(47),10236370.0500000007,10236370.0500000007,
FS(48),10355057.9900000002,10355057.9900000002,
FS(49),10335947.2200000007,10335947.2200000007,
FS(50),10384227.0600000005,10384227.0600000005,
FS(51),10398308.6799999997,10398308.6799999997,
FS(52),10341982.1999999993,10341982.1999999993,
FS(53),10426471.9199999999,10426471.9199999999,
FS(54),10543148.1999999993,10543148.1999999993,
FS(55),10509955.8100000005,10509955.8100000005,
FS(56),10444576.8600000013,10444576.8600000013,
FS(57),10313818.9600000009,10313818.9600000009,
FS(58),11151675.3500000015,11151675.3500000015,
FS(59),11324678.1100000013,11324678.1100000013,
FS(60),11283439.0800000019,11283439.0800000019,
FS(61),11229124.2599999998,11229124.2599999998,
FS(62),11359882.1600000001,11359882.1600000001,
FS(63),11327695.6000000015,11327695.6000000015,
FS(64),11290479.8900000006,11290479.8900000006,
FS(65),11276398.2700000014,11276398.2700000014,
