代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11528559.0500000007
真實報酬,1528559.0500000007
趨勢值,0.0912902938

選擇檔數,3
找到最佳解世代,2637
找到最佳解實驗,1
Stock#,MCD,PG,WMT,
分配資金,3333333,3333333,3333333,
張數,35662,48379,52230,
剩餘資金,5.8600000000,19.8999999997,14.4000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3424984.3400000003,3377357.8900000001,3365715.5999999996,10168058.8300000001,
FS(3),3423914.4800000000,3383163.3700000001,3387652.1999999997,10194731.0500000007,
FS(4),3382546.5599999996,3326559.9399999999,3336989.1000000001,10046096.5999999996,
FS(5),3451374.2199999997,3385582.3200000003,3467041.7999999998,10303999.3399999999,
FS(6),3403230.5200000000,3313013.8200000003,3401232.0000000000,10117477.3399999999,
FS(7),3396811.3599999999,3305273.1799999997,3349002.0000000000,10051087.5399999991,
FS(8),3473841.2799999998,3310111.0800000001,3376683.9000000004,10160637.2599999998,
FS(9),3458150.0000000000,3292694.6400000001,3357358.7999999998,10108204.4399999995,
FS(10),3501657.6399999997,3359941.4500000002,3359447.9999999995,10221048.0899999999,
FS(11),3519488.6399999997,3391387.7999999998,3378773.0999999996,10289650.5399999991,
FS(12),3489175.9399999999,3398160.8599999999,3367282.5000000000,10254620.3000000007,
FS(13),3461002.9600000000,3383647.1599999997,3308262.6000000001,10152913.7200000007,
FS(14),3491315.6600000001,3417996.2500000000,3328110.0000000000,10237422.9100000001,
FS(15),3466352.2599999998,3395741.9099999997,3321320.1000000001,10183415.2699999996,
FS(16),3472771.4199999999,3399128.4399999999,3328110.0000000000,10200010.8600000013,
FS(17),3469561.8400000003,3452345.3399999999,3333855.2999999998,10255763.4800000004,
FS(18),3480260.4399999999,3515721.8300000001,3331243.7999999998,10327227.0700000003,
FS(19),3422131.3799999994,3472180.7299999995,3324976.1999999997,10219289.3100000005,
FS(20),3476337.6200000001,3496854.0200000000,3331243.7999999998,10304436.4399999995,
FS(21),3513782.7199999997,3480405.1599999997,3386607.6000000001,10380796.4800000004,
FS(22),3522698.2199999997,3480888.9500000002,3356836.4999999995,10360424.6699999999,
FS(23),3558716.8400000003,3503627.0800000001,3393919.8000000003,10456264.7200000007,
FS(24),3607930.3999999999,3542330.2799999998,3440404.5000000000,10590666.1799999997,
FS(25),3633963.6600000001,3551038.5000000000,3430480.8000000003,10615483.9600000009,
FS(26),3629327.5999999996,3566519.7799999998,3465997.1999999997,10661845.5800000001,
FS(27),3671408.7599999998,3599417.5000000000,3493156.7999999998,10763984.0600000005,
FS(28),3664632.9800000000,3603287.8200000003,3483233.0999999996,10751154.9000000004,
FS(29),3681750.7399999998,3596030.9699999997,3495768.3000000003,10773551.0099999998,
FS(30),3686743.4199999999,3585387.5899999999,3485322.3000000003,10757454.3100000005,
FS(31),3666772.6999999997,3590225.4899999998,3135381.2999999998,10392380.4900000002,
FS(32),3696728.7799999998,3593128.2299999995,3098820.2999999998,10388678.3100000005,
FS(33),3738096.6999999997,3623607.0000000000,3075839.1000000001,10437543.8000000007,
FS(34),3726328.2399999998,3636185.5399999996,3073749.8999999999,10436264.6799999997,
FS(35),3703147.9399999999,3600868.8700000001,3068526.8999999999,10372544.7100000009,
FS(36),3656787.3400000003,3560230.5100000002,3062781.6000000001,10279800.4500000011,
FS(37),3953851.7999999998,3621188.0499999998,3076361.3999999999,10651402.2500000000,
FS(38),4015190.4399999999,3726654.2700000000,3045023.3999999999,10786869.1099999994,
FS(39),4000569.0200000000,3748908.6099999999,3030399.0000000000,10779877.6300000008,
FS(40),3981311.5400000000,3739232.8100000001,3002194.7999999998,10722740.1500000004,
FS(41),4027672.1399999997,3701497.1899999999,3010551.6000000001,10739721.9299999997,
FS(42),4016260.2999999998,3726170.4799999995,3027265.1999999997,10769696.9800000004,
FS(43),4003065.3599999999,3695207.9199999995,2989659.6000000001,10687933.8799999990,
FS(44),3998072.6799999997,3705851.2999999998,3008984.6999999997,10712909.6799999997,
FS(45),3997002.8199999998,3727621.8499999996,3035099.6999999997,10759725.3700000010,
FS(46),4008414.6600000001,3728105.6400000001,3048679.5000000000,10785200.8000000007,
FS(47),4024462.5599999996,3695691.7100000000,3061214.6999999997,10781369.9700000007,
FS(48),4040867.0800000001,3656020.9299999997,3070093.7999999998,10766982.8100000005,
FS(49),4027315.5200000000,3647796.5000000000,3054947.1000000001,10730060.1200000010,
FS(50),4037657.5000000000,3665696.7299999995,3064870.7999999998,10768226.0299999993,
FS(51),4060124.5599999996,3674888.7399999998,3007417.7999999998,10742432.0999999996,
FS(52),3998072.6799999997,3611996.0399999996,2974512.8999999999,10584582.6200000010,
FS(53),3921756.0000000000,3578130.7399999998,2946831.0000000000,10446718.7400000002,
FS(54),3960627.5800000001,3642958.5999999996,3022564.5000000000,10626151.6799999997,
FS(55),3956348.1399999997,3631831.4299999997,3129636.0000000000,10717816.5700000003,
FS(56),4013050.7199999997,3671986.0000000000,3182388.2999999998,10867426.0199999996,
FS(57),4040510.4600000000,3687467.2799999998,3170375.3999999999,10898354.1400000006,
FS(58),4062264.2799999998,3668115.6799999997,3137470.5000000000,10867851.4599999990,
FS(59),4082235.0000000000,3675372.5299999998,3147394.1999999997,10905002.7300000004,
FS(60),4075459.2199999997,3698594.4500000002,3129636.0000000000,10903690.6699999999,
FS(61),4079738.6600000001,3671986.0000000000,3146349.6000000001,10898075.2599999998,
FS(62),4073676.1200000001,3662310.2000000002,3128069.1000000001,10864056.4199999999,
FS(63),4071179.7799999998,3620704.2600000002,3073227.6000000001,10765112.6400000006,
FS(64),4081521.7599999998,3673921.1599999997,3081062.1000000001,10836506.0199999996,
FS(65),4055488.5000000000,3666664.3100000001,3047634.8999999999,10769788.7100000009,
FS(66),4043720.0400000000,3664245.3599999999,3083673.6000000001,10791640.0000000000,
FS(67),4143930.2599999998,3765357.4699999997,3116056.1999999997,11025344.9299999997,
FS(68),4151775.8999999999,3791482.1300000004,3159929.3999999999,11103188.4299999997,
FS(69),4155698.7199999997,3761487.1499999999,3113444.6999999997,11030631.5700000003,
FS(70),4157481.8199999998,3759068.2000000002,3088374.2999999998,11004925.3200000003,
FS(71),4179592.2599999998,3763422.3100000001,3110833.2000000002,11053848.7700000014,
FS(72),4139650.8199999998,3762938.5200000000,3100387.1999999997,11002977.5400000010,
FS(73),4146069.9800000000,3787611.8100000001,3154184.1000000001,11087866.8900000006,
FS(74),4169963.5200000000,3854858.6200000001,3115011.6000000001,11139834.7400000002,
FS(75),4202415.9400000004,3918235.1099999999,3149483.3999999999,11270135.4499999993,
FS(76),4190290.8599999999,3884369.8100000001,3080539.7999999998,11155201.4700000007,
FS(77),4160334.7799999998,3779871.1699999995,3073749.8999999999,11013956.8499999996,
FS(78),4197066.6400000006,3819541.9500000002,3110310.8999999999,11126920.4900000002,
FS(79),4198136.5000000000,3850988.2999999998,3162018.6000000001,11211144.3999999985,
