代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11445009.0200000014
真實報酬,1445009.0200000014
趨勢值,0.1041389015

選擇檔數,2
找到最佳解世代,2088
找到最佳解實驗,1
Stock#,MCD,WMT,
分配資金,5000000,5000000,
張數,44599,86790,
剩餘資金,6.1100000000,28.1000000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4998662.0300000003,5043395.0000000000,10042057.0300000012,
FS(3),5012933.7100000009,5065960.3999999994,10078894.1100000013,
FS(4),5033003.2599999998,5086790.0000000000,10119793.2599999998,
FS(5),5053518.8000000007,5101544.2999999998,10155063.1000000015,
FS(6),5036571.1800000006,5076375.2000000002,10112946.3800000008,
FS(7),5049504.8900000006,5092865.2999999998,10142370.1900000013,
FS(8),5077602.2599999998,4997396.2999999998,10074998.5600000005,
FS(9),5000000.0000000000,4942718.5999999996,9942718.6000000015,
FS(10),4904558.1400000006,4896719.8999999994,9801278.0400000010,
FS(11),4953171.0500000007,5022565.3999999994,9975736.4500000011,
FS(12),4947819.1699999999,5200484.8999999994,10148304.0700000003,
FS(13),5018731.5800000001,5288142.7999999998,10306874.3800000008,
FS(14),5053072.8100000005,5268181.0999999996,10321253.9100000020,
FS(15),5080278.2000000002,5213503.3999999994,10293781.6000000015,
FS(16),5105253.6400000006,5229993.4999999991,10335247.1400000006,
FS(17),5096779.8300000001,5200484.8999999994,10297264.7300000004,
FS(18),5102131.7100000009,5228257.7000000002,10330389.4100000020,
FS(19),5094549.8800000008,5197881.1999999993,10292431.0800000019,
FS(20),5091427.9500000002,5106751.7000000002,10198179.6500000004,
FS(21),5104361.6600000001,5119770.2000000002,10224131.8600000013,
FS(22),5071804.3900000006,5064224.5999999996,10136028.9900000021,
FS(23),5057086.7200000007,5124109.6999999993,10181196.4200000018,
FS(24),5182409.9100000001,5177919.4999999991,10360329.4100000001,
FS(25),5192221.6900000004,5250823.0999999996,10443044.7900000010,
FS(26),5197127.5800000001,5173580.0000000000,10370707.5800000001,
FS(27),5199357.5300000003,5131920.7999999998,10331278.3300000019,
FS(28),5227008.9100000001,5169240.5000000000,10396249.4100000001,
FS(29),5177058.0300000003,5151882.5000000000,10328940.5300000012,
FS(30),5185085.8500000006,5241276.1999999993,10426362.0500000007,
FS(31),5214967.1800000006,5176183.6999999993,10391150.8800000008,
FS(32),5255552.2700000005,5233465.0999999996,10489017.3700000010,
