代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11224225.5000000019
真實報酬,1224225.5000000019
趨勢值,0.0782302415

選擇檔數,3
找到最佳解世代,2127
找到最佳解實驗,1
Stock#,JNJ,MCD,WMT,
分配資金,3333333,3333333,3333333,
張數,32564,29124,56506,
剩餘資金,81.9600000000,91.1999999999,44.0599999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3323238.1599999997,3312072.4799999995,3297169.1600000001,9932480.8000000007,
FS(3),3282207.5200000000,3302461.5599999996,3336158.2999999998,9920828.3800000008,
FS(4),3352545.7600000002,3384300.0000000000,3371192.0200000000,10108038.7800000012,
FS(5),3364594.4399999999,3390707.2799999998,3418657.0600000001,10173959.7799999993,
FS(6),3335286.8399999999,3393910.9199999999,3368366.7200000002,10097565.4800000004,
FS(7),3326494.5600000001,3395367.1199999996,3341243.8400000003,10063106.5200000014,
FS(8),3342450.9199999999,3413424.0000000000,3365541.4200000004,10121417.3399999999,
FS(9),3311189.4800000000,3380805.1199999996,3354240.2200000002,10046235.8200000003,
FS(10),3326494.5600000001,3386047.4399999999,3412441.3999999999,10124984.4000000004,
FS(11),3390971.2799999998,3405560.5200000000,3370061.8999999999,10166594.7000000011,
FS(12),3427442.9600000000,3432063.3599999999,3407355.8599999999,10266863.1800000016,
FS(13),3375014.9199999999,3422161.1999999997,3332767.9399999999,10129945.0600000005,
FS(14),3319981.7600000002,3397697.0399999996,3325422.1600000001,10043101.9600000009,
FS(15),3307933.0800000001,3427694.7599999998,3364976.3599999999,10100605.2000000011,
FS(16),3344730.3999999999,3428568.4799999995,3420917.2999999998,10194217.1799999997,
FS(17),3370130.3199999998,3460022.3999999994,3451995.6000000001,10282149.3200000003,
FS(18),3377620.0400000000,3453323.8799999994,3437304.0400000000,10268248.9600000009,
FS(19),3361338.0400000000,3458566.1999999997,3432783.5600000001,10252688.8000000007,
FS(20),3387714.8799999999,3497009.8799999994,3481378.7200000002,10366104.4800000004,
FS(21),3379573.8799999999,3478370.5200000000,3485334.1400000001,10343279.5400000010,
FS(22),3345056.0400000000,3440800.5599999996,3463861.8599999999,10249719.4600000009,
