代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12046800.0199999996
真實報酬,2046800.0199999996
趨勢值,0.1588957717

選擇檔數,5
找到最佳解世代,2784
找到最佳解實驗,1
Stock#,JNJ,MMM,PFE,UNH,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,19162,13447,66291,17257,26215,
剩餘資金,62.0599999999,27.6900000001,0.5299999999,86.2700000000,57.6499999998,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1981604.4799999997,1988435.5800000003,1998011.2699999998,1965313.4299999999,1955434.5000000000,9888799.2599999998,
FS(3),1995592.7399999998,2050964.1300000004,1966854.5000000000,1945813.0200000000,2057410.8500000001,10016635.2399999984,
FS(4),1990993.8599999999,2063335.3700000001,1922439.5299999998,1970835.6700000002,2092801.0999999999,10040405.5299999993,
FS(5),1926609.5400000000,2063738.7800000003,1924428.2599999998,1928038.3100000001,2099354.8500000001,9942169.7400000002,
FS(6),1954586.0599999998,2069520.9900000002,1893271.4899999998,1898701.4099999999,2127667.0499999998,9943746.9999999981,
FS(7),1954011.1999999997,2080816.4700000002,1929068.6299999999,1918374.3899999999,2099354.8500000001,9981625.5399999991,
FS(8),1949412.3199999998,2050022.8400000001,1954922.1199999996,1945640.4500000000,2080217.8999999997,9980215.6299999990,
FS(9),1948837.4600000000,2026087.1799999999,1931057.3599999996,1909055.6100000001,2086771.6499999997,9901809.2599999979,
FS(10),1951136.8999999997,2070327.8100000003,1946304.2899999998,1929764.0100000000,2124259.1000000001,10021792.1099999994,
FS(11),1960717.8999999997,2091439.6000000001,1976135.2399999998,1987229.8200000001,2129239.9499999997,10144762.5099999998,
FS(12),1964167.0599999998,2106096.8300000001,1964202.8599999996,2041589.3699999999,2149687.6499999999,10225743.7699999996,
FS(13),1997508.9399999997,2108248.3500000001,1958899.5799999998,2026920.9200000002,2161484.3999999999,10253062.1899999995,
FS(14),1995975.9799999997,2103810.8399999999,1954922.1199999996,2030890.0300000000,2162795.1499999999,10248394.1199999992,
FS(15),2007281.5599999998,2120619.5899999999,1992045.0799999998,2092842.6599999999,2159911.5000000000,10372700.3899999987,
FS(16),1994443.0199999998,2100045.6799999997,1986078.8899999999,2090771.8200000001,2129502.1000000001,10300841.5099999979,
FS(17),2011305.5799999996,2114165.0299999998,1990056.3499999999,2074377.6700000002,2137104.4499999997,10327009.0800000001,
FS(18),2038515.6199999996,2137966.2200000002,2027842.2199999997,2091634.6700000002,2149949.7999999998,10445908.5299999993,
FS(19),2027018.4199999999,2128284.3799999999,2003977.4599999997,2093878.0800000001,2143133.8999999999,10396292.2399999984,
FS(20),2016096.0799999996,2109458.5800000001,1966854.5000000000,2055394.9700000000,2101189.8999999999,10248994.0299999993,
FS(21),2054611.6999999997,2146034.4199999999,1991382.1699999997,2099745.4600000000,2130812.8500000001,10422586.5999999996,
FS(22),2051162.5400000000,2143613.9600000000,1987404.7099999997,2092842.6599999999,2168038.1499999999,10443062.0199999996,
