代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11062114.6799999997
真實報酬,1062114.6799999997
趨勢值,0.0777220433

選擇檔數,4
找到最佳解世代,2325
找到最佳解實驗,3
Stock#,AAPL,BA,CVX,PG,
分配資金,2500000,2500000,2500000,2500000,
張數,25391,19776,24720,30566,
剩餘資金,2.1400000002,115.8400000001,66.4000000001,6.8599999998,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2481210.6600000001,2508701.4399999999,2485168.0000000000,2504890.5600000001,9979970.6600000001,
FS(3),2486288.8600000003,2519182.7199999997,2488381.5999999996,2520784.8799999999,10014638.0600000005,
FS(4),2504316.4700000002,2608570.2399999998,2500988.7999999998,2529954.6799999997,10143830.1900000013,
FS(5),2514472.8700000001,2609163.5200000000,2554136.7999999998,2516199.9799999995,10193973.1699999999,
FS(6),2512187.6800000002,2630323.8399999999,2548451.2000000002,2526286.7600000002,10217249.4800000004,
FS(7),2530215.2900000005,2632301.4399999999,2541529.6000000001,2542181.0800000001,10246227.4100000001,
FS(8),2509394.6699999999,2593540.4799999995,2521012.0000000000,2543098.0600000001,10167045.2100000009,
FS(9),2471562.0800000001,2569413.7599999998,2523978.3999999999,2523841.4799999995,10088795.7199999988,
FS(10),2474609.0000000000,2580883.8399999999,2503708.0000000000,2547682.9599999995,10106883.7999999989,
FS(11),2466483.8800000004,2574160.0000000000,2487640.0000000000,2535456.5600000001,10063740.4399999995,
FS(12),2476894.1899999999,2558536.9600000000,2498516.7999999998,2549516.9199999999,10083464.8699999992,
FS(13),2420526.1699999999,2567436.1599999997,2510876.7999999998,2540958.4399999999,10039797.5699999984,
FS(14),2414686.2399999998,2625379.8399999999,2536585.6000000001,2538207.5000000000,10114859.1799999997,
FS(15),2435252.9500000002,2601055.3599999999,2552159.1999999997,2549516.9199999999,10137984.4299999997,
FS(16),2426112.1899999999,2605999.3599999999,2528675.2000000002,2554407.4799999995,10115194.2300000004,
FS(17),2440077.2399999998,2641200.6400000001,2581823.1999999997,2573969.7199999997,10237070.7999999989,
FS(18),2371521.5400000005,2502175.3599999999,2519034.3999999999,2514366.0200000000,9907097.3200000003,
FS(19),2336989.7800000003,2426631.0400000000,2480965.6000000001,2482883.0400000000,9727469.4600000009,
FS(20),2376345.8300000001,2450164.4800000000,2512360.0000000000,2520479.2199999997,9859349.5299999993,
FS(21),2396912.5400000005,2511470.0799999996,2556608.7999999998,2564799.9199999999,10029791.3400000017,
FS(22),2427381.7399999998,2568424.9600000000,2591464.0000000000,2588030.0800000001,10175300.7799999993,
FS(23),2434745.1300000004,2564865.2799999998,2574654.3999999999,2591392.3399999999,10165657.1500000004,
FS(24),2411893.2300000000,2511074.5600000001,2560316.7999999998,2611565.8999999999,10094850.4899999984,
