代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11758717.3300000001
真實報酬,1758717.3300000001
趨勢值,0.0949886537

選擇檔數,3
找到最佳解世代,2046
找到最佳解實驗,1
Stock#,AAPL,JPM,V,
分配資金,3333333,3333333,3333333,
張數,31431,52246,42593,
剩餘資金,75.4500000001,38.2000000001,4.8199999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3283986.3300000005,3325496.1000000001,3334184.8599999999,9943668.2900000010,
FS(3),3325160.9400000004,3378264.5600000001,3352499.8499999996,10055926.3499999996,
FS(4),3327675.4200000004,3373039.9600000004,3385296.4600000000,10086012.8400000017,
FS(5),3378279.3300000005,3463948.0000000000,3413407.8399999999,10255636.1700000018,
FS(6),3406252.9200000004,3453498.7999999998,3405315.1699999999,10265067.8900000006,
FS(7),3420082.5600000001,3441482.2200000002,3410000.3999999999,10271566.1800000016,
FS(8),3394623.4500000002,3410657.0800000001,3393815.0600000001,10199096.5900000017,
FS(9),3392423.2800000003,3420061.3599999999,3412555.9800000000,10225041.6200000010,
FS(10),3400281.0300000003,3412746.9199999999,3408296.6799999997,10221325.6300000008,
FS(11),3441141.3300000005,3433645.3200000003,3446204.4499999997,10320992.0999999996,
FS(12),3437998.2300000000,3433122.8599999999,3441945.1499999999,10313067.2400000002,
FS(13),3432969.2700000000,3442527.1400000001,3443222.9399999999,10318720.3500000015,
FS(14),3428568.9300000002,3445661.9000000004,3418944.9299999997,10293176.7599999998,
FS(15),3437369.6100000003,3440959.7600000002,3427463.5299999998,10305793.9000000004,
FS(16),3410653.2600000002,3437825.0000000000,3452593.3999999999,10301072.6600000020,
FS(17),3421339.7999999998,3436257.6200000001,3441519.2199999997,10299117.6400000006,
FS(18),3395566.3800000004,3445661.9000000004,3419796.7900000000,10261026.0700000003,
FS(19),3381108.1200000001,3451931.4199999999,3421074.5799999996,10254115.1199999992,
FS(20),3361306.5900000003,3459768.3200000003,3431722.8299999996,10252798.7400000002,
FS(21),3357534.8700000001,3497907.9000000004,3444500.7300000000,10299944.5000000019,
FS(22),3331761.4500000002,3526643.2000000002,3457278.6299999999,10315684.2800000012,
FS(23),3334904.5499999998,3526643.2000000002,3445778.5200000000,10307327.2700000014,
FS(24),3354706.0800000005,3511491.8599999999,3462815.7199999997,10329014.6600000001,
FS(25),3386137.0800000005,3526120.7399999998,3492630.8199999998,10404889.6400000006,
FS(26),3385194.1500000004,3523508.4399999999,3515205.1099999999,10423908.7000000011,
FS(27),3405938.6100000003,3508879.5600000001,3545446.1399999997,10460265.3100000005,
FS(28),3316674.5699999998,3513581.7000000002,3533946.0299999998,10364203.2999999989,
FS(29),3241554.4800000000,3482234.1000000006,3464093.5099999998,10187883.0899999999,
FS(30),3314160.0900000003,3503654.9600000004,3533946.0299999998,10351762.0800000001,
FS(31),3393051.9000000004,3475964.5800000001,3487945.5899999999,10356963.0700000003,
FS(32),3513118.3199999998,3469172.6000000006,3470908.3899999997,10453200.3100000005,
FS(33),3632556.1200000001,3481711.6400000001,3493056.7500000000,10607325.5100000016,
FS(34),3612125.9700000002,3438869.9199999999,3495612.3299999996,10546609.2199999988,
FS(35),3570008.4300000002,3458200.9399999999,3514353.2500000000,10542563.6200000010,
FS(36),3569694.1200000001,3472307.3599999999,3513075.4600000000,10555077.9399999995,
FS(37),3569065.5000000000,3492160.8400000003,3544594.2799999998,10605821.6200000010,
FS(38),3602696.6700000004,3520896.1400000001,3550557.2999999998,10674151.1100000013,
FS(39),3542663.4600000000,3513581.7000000002,3515631.0400000000,10571877.2000000011,
FS(40),3548006.7300000000,3436780.0800000001,3484538.1499999999,10469325.9600000009,
FS(41),3554607.2400000002,3467082.7600000002,3499445.6999999997,10521136.6999999993,
FS(42),3581637.9000000004,3485368.8599999999,3533946.0299999998,10600953.7899999991,
FS(43),3526005.0300000003,3429988.1000000006,3489223.3799999999,10445217.5100000016,
FS(44),3553350.0000000000,3479099.3400000003,3522445.9199999999,10554896.2600000016,
FS(45),3536691.5699999998,3474919.6600000006,3529260.7999999998,10540873.0300000012,
FS(46),3551778.4500000002,3479621.7999999998,3523723.7100000000,10555124.9600000009,
FS(47),3553350.0000000000,3536569.9399999999,3550131.3699999996,10640052.3100000005,
FS(48),3579752.0400000000,3545974.2200000002,3550557.2999999998,10676284.5600000005,
FS(49),3585095.3100000001,3558513.2600000002,3530112.6599999997,10673722.2300000004,
FS(50),3647643.0000000000,3586203.6400000001,3540334.9800000000,10774182.6200000010,
FS(51),3655500.7500000000,3568962.4600000004,3494334.5400000000,10718798.7500000000,
FS(52),3688188.9900000002,3559558.1800000002,3503279.0699999998,10751027.2400000002,
FS(53),3676873.8300000005,3539182.2399999998,3487093.7300000000,10703150.8000000007,
FS(54),3697303.9800000000,3527688.1200000001,3511797.6699999999,10736790.7699999996,
FS(55),3694789.5000000000,3509402.0200000005,3499019.7700000000,10703212.2900000010,
FS(56),3692275.0200000000,3537092.4000000004,3474741.7599999998,10704110.1799999997,
FS(57),3681274.1700000004,3571052.2999999998,3527131.1499999999,10779458.6200000010,
FS(58),3679388.3100000001,3566350.1600000006,3513927.3199999998,10759666.7900000010,
FS(59),3664930.0499999998,3578366.7399999998,3507538.3699999996,10750836.1600000001,
FS(60),3697932.6000000006,3598220.2200000002,3542464.6299999999,10838618.4500000011,
FS(61),3716791.2000000002,3594563.0000000000,3493908.6099999999,10805263.8100000005,
FS(62),3633184.7400000002,3611804.1800000002,3481982.5699999998,10726972.4900000002,
FS(63),3598296.3300000005,3617028.7800000003,3489223.3799999999,10704549.4900000021,
FS(64),3574408.7700000000,3610759.2600000002,3502001.2799999998,10687170.3100000005,
FS(65),3568751.1900000004,3618596.1600000006,3514353.2500000000,10701701.6000000015,
FS(66),3504317.6400000001,3603444.8200000003,3476445.4800000000,10584208.9400000013,
FS(67),3507460.7400000002,3588293.4800000004,3432148.7599999998,10527903.9800000004,
FS(68),3452142.1800000002,3572619.6800000002,3435130.2700000000,10459893.1300000008,
FS(69),3421025.4900000002,3540227.1600000006,3422778.2999999998,10384031.9500000011,
FS(70),3470372.1600000001,3650988.6800000002,3514353.2500000000,10635715.0899999999,
FS(71),3490802.3100000001,3658825.5800000001,3530112.6599999997,10679741.5500000007,
FS(72),3485144.7300000000,3827057.7000000002,3545446.1399999997,10857649.5700000003,
FS(73),3388022.9400000004,4004694.1000000006,3487093.7300000000,10879811.7700000014,
FS(74),3408138.7800000003,4006783.9399999999,3487519.6599999997,10902443.3800000008,
FS(75),3322646.4600000000,4154117.6600000006,3338444.1599999997,10815209.2799999993,
FS(76),3366649.8600000003,4146280.7600000002,3346536.8299999996,10859468.4499999993,
FS(77),3457171.1400000001,4043878.6000000006,3410852.2599999998,10911903.0000000000,
FS(78),3455913.9000000004,4076271.1200000001,3453019.3299999996,10985205.3499999996,
FS(79),3459371.3100000001,4060074.8599999999,3442371.0799999996,10961818.2500000000,
FS(80),3511861.0800000005,4077838.5000000000,3479426.9899999998,11069127.5700000003,
FS(81),3514061.2500000000,4102916.5800000001,3404463.3100000001,11021442.1400000006,
FS(82),3496145.5800000005,4120157.7600000002,3389129.8299999996,11005434.1699999999,
FS(83),3513746.9400000004,4118590.3799999999,3412981.9099999997,11045320.2300000004,
FS(84),3506832.1200000001,4091944.9199999999,3368259.2599999998,10967037.3000000007,
FS(85),3503374.7100000000,4123292.5200000005,3371240.7700000000,10997909.0000000019,
FS(86),3473829.5699999998,4188600.0200000005,3293295.5799999996,10955726.1699999999,
FS(87),3441455.6400000001,4273238.5400000010,3212794.8100000001,10927489.9900000021,
FS(88),3454342.3500000006,4263311.7999999998,3225146.7799999998,10942801.9299999997,
FS(89),3429511.8600000003,4350040.1600000001,3292869.6499999999,11072422.6700000018,
FS(90),3455913.9000000004,4372505.9400000004,3284351.0499999998,11112771.8900000006,
FS(91),3489859.3800000004,4392359.4199999999,3378055.6499999999,11260275.4500000011,
FS(92),3524119.1700000004,4447217.7200000007,3376777.8599999999,11348115.7500000019,
FS(93),3581637.9000000004,4466548.7400000002,3370814.8399999999,11419002.4800000004,
FS(94),3561207.7500000000,4426841.7800000003,3343555.3199999998,11331605.8499999996,
FS(95),3620612.3400000003,4428409.1600000001,3373370.4199999999,11422392.9200000018,
FS(96),3620612.3400000003,4426841.7800000003,3370388.9099999997,11417844.0300000012,
FS(97),3640413.8700000001,4493194.2000000002,3386148.3199999998,11519757.3900000006,
FS(98),3645128.5200000000,4437813.4400000004,3337166.3699999996,11420109.3300000001,
FS(99),3666187.2900000000,4463413.9800000004,3326518.1199999996,11456120.3900000006,
FS(100),3675930.9000000004,4520884.5800000001,3337592.2999999998,11534408.7800000012,
FS(101),3679388.3100000001,4532378.7000000002,3328221.8399999999,11539989.8499999996,
FS(102),3655186.4400000004,4539693.1400000006,3317999.5200000000,11512880.1000000015,
FS(103),3662415.5699999998,4548052.5000000000,3328647.7700000000,11539116.8400000017,
FS(104),3685674.5100000002,4552232.1799999997,3337166.3699999996,11575074.0600000005,
FS(105),3669959.0100000002,4519317.2000000002,3335036.7199999997,11524313.9300000016,
FS(106),3669016.0800000005,4487447.1400000006,3336314.5099999998,11492778.7300000004,
FS(107),3640413.8700000001,4508345.5400000010,3323110.6799999997,11471871.0900000017,
FS(108),3650786.1000000006,4557456.7800000003,3386148.3199999998,11594392.2000000011,
FS(109),3646700.0699999998,4540738.0599999996,3413833.7700000000,11601272.9000000004,
FS(110),3665244.3600000003,4498941.2599999998,3453871.1899999999,11618057.8100000005,
FS(111),3706104.6600000001,4499463.7200000007,3501575.3499999996,11707144.7300000004,
FS(112),3740050.1400000001,4502598.4800000004,3481982.5699999998,11724632.1900000013,
FS(113),3743821.8600000003,4515659.9800000004,3463241.6499999999,11722724.4900000021,
FS(114),3763937.7000000002,4549619.8799999999,3484112.2199999997,11797670.8000000007,
FS(115),3748222.2000000002,4505733.2400000002,3465797.2300000000,11719753.6700000018,
FS(116),3741621.6900000004,4529766.4000000004,3457278.6299999999,11728667.7200000007,
FS(117),3771795.4500000002,4365191.5000000000,3461112.0000000000,11598099.9500000011,
FS(118),3771481.1400000001,4385567.4400000004,3475167.6899999999,11632217.2700000014,
FS(119),3764880.6300000004,4352130.0000000000,3481130.7100000000,11598142.3400000017,
FS(120),3771795.4500000002,4371461.0200000005,3485815.9399999999,11629073.4100000020,
FS(121),3774309.9300000002,4373550.8599999994,3499019.7700000000,11646881.5600000005,
FS(122),3770852.5200000000,4426319.3200000003,3545020.2100000000,11742193.0500000007,
FS(123),3830885.7300000000,4494761.5800000001,3573557.5200000000,11899205.8300000019,
FS(124),3832771.5900000003,4532378.7000000002,3545446.1399999997,11910597.4300000016,
FS(125),3833085.9000000004,4541782.9800000004,3568020.4299999997,11942890.3100000005,
FS(126),3823027.9800000000,4494761.5800000001,3565038.9199999999,11882829.4800000004,
FS(127),3814227.2999999998,4421617.1799999997,3522871.8499999996,11758717.3300000001,
