代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12450819.9900000002
真實報酬,2450819.9900000002
趨勢值,0.1334355531

選擇檔數,4
找到最佳解世代,2246
找到最佳解實驗,1
Stock#,AAPL,BA,CAT,CVX,
分配資金,2500000,2500000,2500000,2500000,
張數,23423,19245,30693,24947,
剩餘資金,63.2099999999,74.4999999999,55.1499999999,61.1300000002,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2523423.0000000000,2524248.6999999997,2507366.3199999998,2517961.8400000003,10072999.8600000013,
FS(3),2522720.3100000001,2559467.0500000003,2519336.5899999999,2555382.3400000003,10156906.2900000010,
FS(4),2538179.4899999998,2552731.2999999998,2569673.1099999999,2566608.4900000002,10227192.3899999987,
FS(5),2471658.1699999999,2557735.0000000000,2564148.3700000001,2597542.7700000005,10191084.3100000005,
FS(6),2415677.1999999997,2473634.3500000001,2479742.6200000001,2526443.8200000003,9895497.9900000002,
FS(7),2469784.3300000001,2504233.8999999999,2514425.7100000000,2550891.8800000004,10039335.8200000003,
FS(8),2528576.0600000001,2478060.6999999997,2462554.5400000000,2480541.3400000003,9949732.6400000006,
FS(9),2618051.9199999999,2457083.6499999999,2486802.0099999998,2455344.8700000006,10017282.4500000011,
FS(10),2707059.3199999998,2459008.1499999999,2517801.9399999999,2482287.6300000004,10166157.0400000010,
FS(11),2691834.3700000001,2438416.0000000000,2518415.7999999998,2440875.6100000003,10089541.7800000012,
FS(12),2660447.5499999998,2453427.1000000001,2513197.9899999998,2445865.0100000007,10072937.6500000004,
FS(13),2660213.3199999998,2459393.0500000003,2507673.2500000000,2437383.0300000003,10064662.6500000004,
FS(14),2659744.8599999999,2512701.7000000002,2561999.8599999999,2485530.7400000002,10219977.1600000001,
FS(15),2684807.4700000002,2537912.6499999999,2562920.6499999999,2494262.1900000004,10279902.9600000009,
FS(16),2640069.5400000000,2536180.6000000001,2530386.0699999998,2475302.4700000002,10181938.6799999997,
FS(17),2644051.4499999997,2512894.1499999999,2528237.5600000001,2464325.7900000005,10149508.9499999993,
FS(18),2648970.2800000003,2527327.8999999999,2543890.9899999998,2469315.1900000004,10189504.3599999994,
FS(19),2669114.0600000001,2544840.8499999996,2657762.0200000000,2548397.1800000006,10420114.1100000013,
FS(20),2627655.3500000001,2521746.8500000001,2684771.8599999999,2526443.8200000003,10360617.8800000008,
FS(21),2648033.3599999999,2535410.8000000003,2724672.7599999998,2567606.3700000006,10475723.2900000010,
FS(22),2635619.1699999999,2547727.6000000001,2709633.1899999999,2555881.2800000003,10448861.2400000002,
FS(23),2646862.2100000000,2545225.7500000000,2685999.5800000001,2526443.8200000003,10404531.3599999994,
FS(24),2648033.3599999999,2591606.1999999997,2744623.2100000000,2550392.9400000004,10534655.7099999990,
FS(25),2667708.6800000002,2586987.3999999999,2740633.1200000001,2549145.5900000003,10544474.7900000010,
FS(26),2671690.5899999999,2576017.7500000000,2715464.8599999999,2551390.8200000003,10514564.0199999996,
FS(27),2718302.3599999999,2614315.3000000003,2707791.6099999999,2594050.1900000004,10634459.4600000009,
FS(28),2724158.1099999999,2573900.8000000003,2684771.8599999999,2570600.0100000007,10553430.7800000012,
FS(29),2748518.0300000003,2562738.6999999997,2688148.0899999999,2548397.1800000006,10547802.0000000019,
FS(30),2740085.7500000000,2566972.6000000001,2669425.3599999999,2514469.2600000007,10490952.9700000007,
FS(31),2755310.6999999997,2569282.0000000000,2690910.4600000000,2521703.8900000001,10537207.0500000007,
FS(32),2753436.8599999999,2578904.5000000000,2679247.1200000001,2528689.0500000003,10540277.5300000012,
FS(33),2751563.0200000000,2600074.0000000000,2677098.6099999999,2539416.2600000007,10568151.8900000006,
FS(34),2743364.9700000002,2620858.6000000001,2701039.1499999999,2551390.8200000003,10616653.5400000010,
FS(35),2741959.5899999999,2614315.3000000003,2658989.7399999998,2541412.0200000005,10556676.6500000004,
FS(36),2731185.0099999998,2610273.8500000001,2649781.8399999999,2527192.2300000004,10518432.9299999997,
FS(37),2755779.1600000001,2645299.7500000000,2639346.2199999997,2511226.1500000004,10551651.2800000012,
FS(38),2769832.9600000000,2675514.4000000004,2592999.7900000000,2513970.3200000003,10552317.4700000007,
FS(39),2707527.7800000003,2800991.7999999998,2582257.2399999998,2524448.0600000005,10615224.8800000008,
FS(40),2681528.2500000000,2758075.4500000002,2547881.0800000001,2492765.3700000006,10480250.1500000004,
FS(41),2663726.7700000000,2752301.9499999997,2574583.9899999998,2590058.6700000004,10580671.3799999990,
FS(42),2659510.6299999999,2741139.8500000001,2561692.9299999997,2613259.3800000004,10575602.7900000010,
FS(43),2611493.4800000000,2740754.9499999997,2524247.4699999997,2656417.6900000004,10532913.5899999999,
FS(44),2613835.7800000003,2708808.2500000000,2489564.3799999999,2629225.4600000004,10441433.8700000010,
FS(45),2572611.2999999998,2694759.4000000004,2494475.2599999998,2629225.4600000004,10391071.4199999999,
FS(46),2549422.5300000003,2685521.7999999998,2526395.9800000000,2614007.7900000005,10375348.0999999996,
FS(47),2586196.6399999997,2752686.8500000001,2570593.8999999999,2665648.0800000001,10575125.4699999988,
FS(48),2601421.5899999999,2736713.5000000000,2599138.3900000001,2676624.7600000007,10613898.2400000002,
FS(49),2597205.4499999997,2792331.5500000003,2799256.7500000000,2685356.2100000004,10874149.9599999990,
FS(50),2524828.3799999999,2842368.5499999998,2868316.0000000000,2689098.2600000007,10924611.1899999995,
FS(51),2539819.1000000001,2858341.9000000004,2854811.0800000001,2660409.2100000004,10913381.2899999991,
FS(52),2476108.5400000000,2886632.0500000003,2890414.9600000000,2659161.8600000003,10912317.4100000001,
FS(53),2508900.7399999998,2850451.4500000002,2898702.0699999998,2718286.2500000000,10976340.5099999998,
FS(54),2576358.9800000000,2818312.2999999998,2865246.6999999997,2703068.5800000001,10962986.5600000005,
FS(55),2575422.0600000001,2796950.3500000001,2847751.6899999999,2697330.7700000005,10917454.8700000010,
FS(56),2577998.5899999999,2816580.2500000000,2834246.7700000000,2724273.5300000003,10953099.1400000006,
FS(57),2617115.0000000000,2829474.4000000004,2851434.8500000001,2748721.5900000003,11046745.8400000017,
FS(58),2618754.6099999999,2877586.9000000004,2873533.8100000001,2759698.2700000005,11129573.5899999999,
FS(59),2605403.5000000000,2881820.8000000003,2952107.8900000001,2769178.1300000004,11208510.3200000003,
FS(60),2618520.3799999999,2887594.2999999998,2940751.4800000000,2769178.1300000004,11216044.2899999991,
FS(61),2613367.3199999998,2882398.1500000004,2912820.8500000001,2756704.6300000004,11165290.9499999993,
FS(62),2610790.7900000000,2918386.2999999998,2886424.8700000001,2727766.1100000003,11143368.0700000003,
FS(63),2588773.1699999999,2897601.7000000002,2933078.2300000000,2783148.4500000002,11202601.5500000007,
FS(64),2564647.4800000000,2932820.0499999998,2953949.4699999997,2826306.7600000007,11277723.7599999998,
FS(65),2574250.9100000001,2930125.7500000000,2920187.1699999999,2819072.1300000004,11243635.9600000009,
FS(66),2555746.7399999998,2928393.6999999997,2899009.0000000000,2825308.8800000004,11208458.3199999984,
FS(67),2575422.0600000001,2929933.3000000003,2922642.6099999999,2813084.8500000006,11241082.8200000022,
FS(68),2600718.8999999999,2966498.7999999998,2987404.8399999999,2854995.8100000005,11409618.3499999996,
FS(69),2626249.9700000002,2990555.0499999998,2954870.2599999998,2873207.1200000006,11444882.4000000004,
FS(70),2669114.0600000001,3011724.5500000003,2932157.4399999999,2889173.2000000002,11502169.2500000000,
FS(71),2653889.1099999999,3024618.6999999997,2918345.5899999999,2922602.1800000006,11519455.5800000001,
FS(72),2698158.5800000001,3014996.1999999997,2947197.0099999998,2929337.8700000006,11589689.6600000001,
FS(73),2698158.5800000001,2972849.6499999999,2877216.9699999997,2892915.2500000000,11441140.4499999993,
FS(74),2712915.0699999998,2959378.1500000004,2901464.4399999999,2920107.4800000004,11493865.1399999987,
FS(75),2716428.5200000000,2973427.0000000000,2841613.0899999999,2945802.8900000001,11477271.5000000000,
FS(76),2732121.9300000002,3005758.6000000001,2845603.1799999997,2935075.6800000006,11518559.3900000006,
FS(77),2739383.0600000001,3009800.0499999998,2895632.7700000000,2942559.7800000003,11587375.6600000001,
FS(78),2741959.5899999999,3030777.0999999996,2879672.4099999997,2941561.9000000004,11593971.0000000000,
FS(79),2723923.8799999999,3030392.2000000002,2888880.3100000001,2963016.3200000003,11606212.7099999990,
FS(80),2729311.1699999999,3037127.9500000002,2895018.9099999997,2954284.8700000006,11615742.9000000004,
FS(81),2746644.1899999999,3030777.0999999996,2902078.2999999998,2949295.4700000002,11628795.0600000005,
FS(82),2734932.6899999999,3004219.0000000000,2859108.1000000001,2941561.9000000004,11539821.6899999995,
FS(83),2734230.0000000000,2996328.5499999998,2863405.1200000001,2939316.6700000004,11533280.3399999999,
FS(84),2712915.0699999998,2996136.1000000001,2846523.9699999997,2936323.0300000003,11491898.1699999999,
FS(85),2720644.6600000001,3020962.1499999999,2884890.2199999997,2940065.0800000001,11566562.1099999994,
FS(86),2717599.6699999999,3052716.3999999999,2871999.1599999997,2939316.6700000004,11581631.9000000004,
FS(87),2731419.2399999998,3054448.4500000002,2854504.1499999999,2926593.7000000002,11566965.5400000010,
FS(88),2761869.1399999997,3061954.0000000000,2855731.8700000001,2914868.6100000003,11594423.6200000010,
FS(89),2787165.9800000000,3046942.8999999999,2835167.5600000001,2889921.6100000003,11559198.0500000007,
FS(90),2789976.7399999998,3061376.6499999999,2879979.3399999999,2867968.2500000000,11599300.9799999986,
FS(91),2804967.4600000000,3067727.5000000000,2905147.6000000001,2892166.8400000003,11670009.4000000004,
FS(92),2793255.9600000000,3046365.5499999998,2884890.2199999997,2897904.6500000004,11622416.3799999990,
FS(93),2788337.1299999999,3056757.8500000001,2899929.7900000000,2903392.9900000002,11648417.7599999998,
FS(94),2810823.2100000000,3034433.6499999999,2871999.1599999997,2900898.2900000005,11618154.3100000005,
FS(95),2810588.9800000000,3046942.8999999999,2864632.8399999999,2892416.3100000005,11614581.0299999993,
FS(96),2805670.1499999999,3060029.5000000000,2866167.4899999998,2883435.3900000001,11615302.5299999993,
FS(97),2810823.2100000000,3070229.3500000001,2902999.0899999999,2883934.3300000001,11667985.9799999986,
FS(98),2812697.0499999998,3037705.3000000003,2899315.9299999997,2878695.4600000004,11628413.7400000002,
FS(99),2810120.5200000000,3089859.2500000000,2953949.4699999997,2903143.5200000005,11757072.7600000016,
FS(100),2854858.4499999997,3220917.7000000002,3012573.1000000001,2924847.4100000001,12013196.6600000001,
FS(101),2856263.8300000001,3254788.8999999999,2984028.6099999999,2907633.9800000004,12002715.3200000003,
FS(102),2856498.0600000001,3227461.0000000000,3038355.2199999997,2838780.2600000007,11961094.5400000010,
FS(103),2849002.6999999997,3186469.1499999999,2970830.6200000001,2789634.6700000004,11795937.1399999987,
FS(104),2842444.2599999998,3145092.3999999999,2936147.5299999998,2777909.5800000001,11701593.7699999996,
FS(105),3015774.4600000000,3155677.1499999999,2919266.3799999999,2769178.1300000004,11859896.1200000010,
FS(106),3010621.3999999999,3122768.1999999997,2878137.7599999998,2799364.0000000000,11810891.3599999994,
FS(107),3023504.0500000003,3125462.5000000000,2863098.1899999999,2833291.9200000004,11845356.6600000001,
FS(108),3051845.8799999999,3155869.5999999996,2850514.0600000001,2818573.1900000004,11876802.7300000004,
FS(109),3080890.3999999999,3204367.0000000000,2864018.9800000000,2778907.4600000004,11928183.8399999999,
FS(110),3092836.1299999999,3152597.9500000002,2851741.7799999998,2783647.3900000001,11880823.2500000000,
FS(111),3101736.8699999996,3161643.1000000001,2883969.4299999997,2800611.3500000006,11947960.7500000000,
FS(112),3094709.9700000002,3199170.8499999996,2956097.9800000000,2820319.4800000004,12070298.2799999993,
FS(113),3122114.8799999999,3233811.8500000001,3023315.6499999999,2841773.9000000004,12221016.2799999993,
FS(114),3162636.6700000004,3242857.0000000000,3010731.5200000000,2807097.5700000003,12223322.7599999998,
FS(115),3174113.9399999999,3258253.0000000000,3039276.0099999998,2808344.9200000004,12279987.8699999992,
FS(116),3170366.2599999998,3287312.9500000002,3015949.3300000001,2761195.0900000003,12234823.6300000008,
FS(117),3179032.7700000000,3323878.4500000002,3034058.1999999997,2752463.6400000001,12289433.0600000005,
FS(118),3201987.3099999996,3378726.7000000002,3011038.4499999997,2787139.9700000002,12378892.4299999997,
FS(119),3211590.7400000002,3374877.7000000002,3014107.7500000000,2753710.9900000002,12354287.1799999997,
FS(120),3198005.3999999999,3403745.2000000002,2932771.2999999998,2769677.0700000003,12304198.9700000007,
FS(121),3201050.3899999997,3414907.2999999998,2930622.7900000000,2747224.7700000005,12293805.2500000000,
FS(122),3207374.6000000001,3453204.8500000001,2990781.0699999998,2787888.3800000004,12439248.9000000004,
FS(123),3208779.9800000000,3468600.8499999996,2966840.5299999998,2806598.6300000004,12450819.9900000002,
