代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12026758.9699999988
真實報酬,2026758.9699999988
趨勢值,0.1900202358

選擇檔數,4
找到最佳解世代,2198
找到最佳解實驗,1
Stock#,AAPL,DIS,KO,MCD,
分配資金,2500000,2500000,2500000,2500000,
張數,22423,27059,59354,22271,
剩餘資金,59.7300000001,18.9900000000,9.5200000002,80.2500000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2502242.3000000003,2487011.6799999997,2495845.2199999997,2503117.9399999999,9988217.1400000006,
FS(3),2462777.8199999998,2526517.8199999998,2494658.1400000001,2488196.3700000001,9972150.1500000004,
FS(4),2440579.0500000003,2501623.5400000000,2474477.7799999998,2473052.0900000003,9889732.4600000009,
FS(5),2475783.1599999997,2555200.3599999999,2520180.3599999999,2512694.4699999997,10063858.3499999996,
FS(6),2490358.1099999999,2553847.4099999997,2545109.0400000000,2541424.0600000001,10130738.6200000010,
FS(7),2486321.9699999997,2560882.7500000000,2508903.1000000001,2560799.8300000001,10116907.6500000004,
FS(8),2417034.8999999999,2569541.6299999994,2429962.2799999998,2550332.4600000000,9966871.2699999996,
FS(9),2431385.6200000001,2643142.1099999999,2435304.1400000001,2543873.8700000001,10053705.7400000002,
FS(10),2370395.0600000001,2649636.2700000000,2443613.7000000002,2624940.3100000001,10088585.3399999999,
FS(11),2401787.2599999998,2643683.2900000000,2459639.2799999998,2635184.9699999997,10140294.8000000007,
FS(12),2466365.5000000000,2682107.0699999998,2448955.5600000001,2655006.1599999997,10252434.2900000010,
FS(13),2465468.5800000001,2688871.8199999998,2440646.0000000000,2660351.2000000002,10255337.5999999996,
FS(14),2467935.1099999999,2658295.1499999994,2428181.6599999997,2672600.2500000000,10227012.1699999999,
FS(15),2505381.5200000000,2641789.1599999997,2454890.9600000000,2661464.7500000000,10263526.3900000006,
FS(16),2506951.1299999999,2643953.8799999994,2455484.5000000000,2665696.2399999998,10272085.7500000000,
FS(17),2494170.0200000000,2658836.3300000001,2440646.0000000000,2675718.1899999999,10269370.5399999991,
FS(18),2506726.8999999999,2673989.3699999996,2464981.1400000001,2687299.1099999999,10332996.5199999996,
FS(19),2501793.8399999999,2678048.2199999997,2478039.0200000000,2713133.4699999997,10371014.5500000007,
FS(20),2499327.3100000001,2696989.5200000000,2442426.6200000001,2687744.5300000003,10326487.9800000004,
FS(21),2478249.6899999999,2682107.0699999998,2394943.4199999999,2656342.4199999999,10211642.5999999996,
FS(22),2455154.0000000000,2677236.4499999997,2384259.7000000002,2638525.6200000001,10155175.7699999996,
FS(23),2464347.4300000002,2665330.4899999998,2395536.9600000000,2633403.2900000000,10158618.1699999999,
FS(24),2446633.2599999998,2704836.6299999994,2410969.0000000000,2656787.8400000003,10219226.7300000004,
FS(25),2465468.5800000001,2723777.9299999997,2408001.2999999998,2655897.0000000000,10253144.8100000005,
FS(26),2489685.4199999999,2759766.3999999994,2450736.1800000002,2670818.5699999998,10371006.5700000003,
FS(27),2514126.4900000002,2797378.4099999997,2432336.4399999999,2682622.2000000002,10426463.5399999991,
FS(28),2555160.5800000001,2837425.7299999995,2492877.5200000000,2700661.7100000000,10586125.5400000010,
FS(29),2540585.6299999999,2815778.5299999998,2486942.1200000001,2711351.7900000000,10554658.0700000003,
FS(30),2582965.1000000001,2810096.1399999997,2478632.5600000001,2732286.5300000003,10603980.3300000001,
FS(31),2582965.1000000001,2815507.9399999995,2445987.8599999999,2735849.8900000001,10580310.7900000010,
FS(32),2597091.5899999999,2824708.0000000000,2466168.2199999997,2725159.8100000001,10613127.6200000010,
FS(33),2600455.0400000000,2811719.6799999997,2477445.4800000000,2744758.2900000000,10634378.4900000002,
FS(34),2615478.4500000002,2849331.6899999995,2473290.7000000002,2739190.5400000000,10677291.3799999990,
FS(35),2622429.5800000001,2853661.1299999994,2472697.1599999997,2746762.6800000002,10695550.5500000007,
FS(36),2624896.1099999999,2856367.0299999998,2467355.2999999998,2743422.0300000003,10692040.4700000007,
FS(37),2607630.3999999999,2852578.7700000000,2466168.2199999997,2755448.3700000001,10681825.7599999998,
FS(38),2612787.6899999999,2845272.8399999999,2469135.9199999999,2742531.1899999999,10669727.6400000006,
FS(39),2629380.7100000000,2845814.0200000000,2469729.4600000000,2740972.2199999997,10685896.4100000001,
FS(40),2618169.2100000000,2822272.6899999995,2456671.5800000001,2732286.5300000003,10629400.0099999998,
FS(41),2617496.5200000000,2829308.0299999998,2469135.9199999999,2734736.3400000003,10650676.8100000005,
FS(42),2597091.5899999999,2820107.9699999997,2460826.3599999999,2710906.3700000001,10588932.2899999991,
FS(43),2604491.1800000002,2870437.7099999995,2481006.7199999997,2664137.2700000000,10620072.8800000008,
FS(44),2601576.1899999999,2907237.9499999997,2472103.6200000001,2661019.3300000001,10641937.0899999999,
FS(45),2614805.7599999998,2905614.4099999997,2478039.0200000000,2665918.9500000002,10664378.1399999987,
FS(46),2643955.6599999997,2948908.8100000001,2477445.4800000000,2689526.2100000000,10759836.1600000001,
FS(47),2668172.5000000000,2932132.2299999995,2452516.7999999998,2682176.7800000003,10734998.3100000005,
FS(48),2670863.2599999998,2932673.4099999997,2435897.6800000002,2678168.0000000000,10717602.3499999996,
FS(49),2685213.9800000000,2961355.9499999997,2436491.2199999997,2692198.7300000000,10775259.8800000008,
FS(50),2674002.4800000000,2909673.2599999998,2430555.8200000003,2719369.3500000001,10733600.9100000001,
FS(51),2669293.6499999999,2924014.5299999998,2426401.0400000000,2706006.7500000000,10725715.9700000007,
FS(52),2690819.7300000000,2921579.2199999997,2446581.3999999999,2733845.5000000000,10792825.8499999996,
FS(53),2690595.5000000000,2926720.4299999997,2450736.1800000002,2732954.6599999997,10801006.7699999996,
FS(54),2685886.6699999999,2902908.5099999998,2441833.0800000001,2721151.0300000003,10751779.2899999991,
FS(55),2690819.7300000000,2913190.9299999997,2452516.7999999998,2722932.7100000000,10779460.1699999999,
FS(56),2692613.5699999998,2898579.0699999998,2459045.7400000002,2703334.2300000000,10753572.6099999994,
FS(57),2690147.0400000000,2919685.0899999999,2486942.1200000001,2695984.7999999998,10792759.0500000007,
FS(58),2732974.9699999997,2923473.3500000001,2500000.0000000000,2712465.3400000003,10868913.6600000001,
FS(59),2734320.3500000001,2924014.5299999998,2481600.2600000002,2714469.7300000000,10854404.8700000010,
FS(60),2734544.5800000001,2957567.6899999995,2460232.8200000003,2736295.3100000001,10888640.4000000004,
FS(61),2727369.2199999997,3001944.4499999997,2456078.0400000000,2739858.6699999999,10925250.3799999990,
FS(62),2721090.7799999998,2994097.3399999999,2467355.2999999998,2729836.7199999997,10912380.1400000006,
FS(63),2887020.9800000000,3011685.6899999995,2448955.5600000001,2726496.0699999998,11074158.3000000007,
FS(64),2882087.9199999999,2993014.9799999995,2457265.1200000001,2744312.8700000001,11076680.8899999987,
FS(65),2894420.5700000003,2984626.6899999995,2465574.6800000002,2767029.2900000000,11111651.2300000004,
FS(66),2921552.3999999999,2964873.6199999996,2466761.7600000002,2771706.2000000002,11124893.9800000004,
FS(67),2949356.9199999999,2949449.9899999998,2486942.1200000001,2774824.1400000001,11160573.1699999999,
FS(68),2960792.6499999999,2949449.9899999998,2494064.6000000001,2776605.8199999998,11180913.0600000005,
FS(69),2969313.3899999997,2962708.8999999994,2448362.0200000000,2772374.3300000001,11152758.6400000006,
FS(70),2962586.4900000002,2956485.3300000001,2408594.8399999999,2802217.4699999997,11129884.1300000008,
FS(71),2988821.3999999999,2967038.3399999999,2410969.0000000000,2795981.5900000003,11162810.3300000001,
FS(72),3027613.1900000004,2985438.4599999995,2405627.1400000001,2801994.7600000002,11220673.5500000007,
FS(73),3038600.4600000000,2981379.6099999999,2400285.2799999998,2816916.3300000001,11237181.6800000016,
FS(74),3035012.7799999998,2995720.8799999994,2445394.3200000003,2821815.9500000002,11297943.9299999997,
FS(75),3043309.2900000000,2978132.5299999998,2447174.9399999999,2846314.0499999998,11314930.8100000005,
FS(76),3065283.8299999996,2976779.5800000001,2460826.3599999999,2851659.0899999999,11354548.8599999994,
FS(77),3074477.2600000002,2979756.0699999998,2469135.9199999999,2847427.6000000001,11370796.8499999996,
FS(78),3061471.9199999999,2969203.0600000001,2472697.1599999997,2856781.4200000004,11360153.5600000005,
FS(79),3064386.9099999997,2985167.8699999996,2479819.6400000001,2865244.3999999999,11394618.8200000003,
FS(80),3070441.1200000001,2982732.5600000001,2473290.7000000002,2828274.5400000000,11354738.9199999999,
FS(81),3071786.5000000000,2978944.2999999998,2490503.3599999999,2842973.3999999999,11384207.5600000005,
FS(82),3134570.8999999999,3004650.3500000001,2502374.1599999997,2874152.8000000003,11515748.2100000009,
FS(83),3115959.8100000001,2992473.7999999998,2520773.8999999999,2855890.5799999996,11485098.0900000017,
FS(84),3134346.6699999999,3010062.1499999994,2521367.4399999999,2848541.1499999999,11514317.4100000001,
FS(85),3124480.5500000003,2994638.5200000000,2503561.2400000002,2851436.3799999999,11474116.6900000013,
FS(86),3128516.6900000004,2999779.7299999995,2492283.9800000000,2852327.2199999997,11472907.6200000010,
FS(87),3116856.7300000000,2999238.5499999998,2492283.9800000000,2852772.6400000001,11461151.9000000022,
FS(88),3109681.3700000001,3004379.7599999998,2494658.1400000001,2853886.1899999995,11462605.4599999990,
FS(89),3119995.9499999997,3001403.2700000000,2510090.1800000002,2850322.8300000001,11481812.2300000004,
FS(90),3121341.3299999996,3017638.6699999995,2494658.1400000001,2842082.5600000001,11475720.6999999993,
FS(91),3116632.5000000000,3039015.2799999998,2491096.8999999999,2846314.0499999998,11493058.7300000023,
FS(92),3149594.3100000001,3027109.3199999998,2500000.0000000000,2848095.7300000000,11524799.3600000013,
FS(93),3154751.6000000001,3022779.8799999994,2507716.0200000000,2850322.8300000001,11535570.3300000001,
FS(94),3139055.5000000000,3024132.8300000001,2494658.1400000001,2865021.6899999995,11522868.1600000001,
FS(95),3172017.3100000001,3049838.8799999994,2503561.2400000002,2868139.6299999999,11593557.0600000005,
FS(96),3135692.0500000003,3023862.2399999998,2522554.5200000000,2862349.1700000004,11544457.9800000004,
FS(97),3171120.3899999997,3032791.7099999995,2515432.0400000000,2875266.3500000001,11594610.4900000002,
FS(98),3159908.8899999997,3037121.1499999994,2502967.7000000002,2873039.2500000000,11573036.9900000002,
FS(99),3153630.4499999997,3034415.2500000000,2500000.0000000000,2880611.3900000001,11568657.0899999999,
FS(100),3159011.9699999997,3040909.4099999997,2511870.7999999998,2883952.0400000000,11595744.2200000007,
FS(101),3224487.1300000004,3059038.9399999995,2518399.7400000002,2883061.1999999997,11684987.0099999998,
FS(102),3231662.4900000002,3044968.2599999998,2517806.2000000002,2869475.8900000001,11663912.8400000017,
FS(103),3227402.1200000001,3062556.6099999999,2528489.9199999999,2880165.9699999997,11698614.6200000010,
FS(104),3221347.9099999997,3068239.0000000000,2518993.2799999998,2886624.5600000005,11695204.7500000000,
FS(105),3222244.8299999996,3063097.7900000000,2517212.6599999997,2886624.5600000005,11689179.8399999999,
FS(106),3246237.4400000004,3058768.3500000001,2533238.2400000002,2879497.8399999999,11717741.8700000010,
FS(107),3229420.1900000004,3057685.9899999998,2526709.2999999998,2904441.3599999999,11718256.8399999999,
FS(108),3221347.9099999997,3059038.9399999995,2532644.7000000002,2898650.8999999999,11711682.4500000011,
FS(109),3214172.5500000003,3046321.2099999995,2529083.4600000000,2894419.4100000001,11683996.6300000008,
FS(110),3210360.6399999997,3042262.3599999999,2533831.7799999998,2894864.8299999996,11681319.6100000013,
FS(111),3175829.2199999997,3059580.1199999996,2532051.1599999997,2922035.4499999997,11689495.9499999993,
FS(112),3179641.1300000004,3058768.3500000001,2548670.2799999998,2923371.7100000000,11710451.4700000007,
FS(113),3162823.8800000004,3063097.7900000000,2539767.1800000002,2912236.2100000000,11677925.0599999987,
FS(114),3180313.8200000003,3078792.0099999998,2556386.2999999998,2925376.1000000001,11740868.2300000004,
FS(115),3166187.3299999996,3089886.1999999997,2580721.4399999999,2946533.5500000003,11783328.5199999996,
FS(116),3154527.3700000001,3077439.0600000001,2565882.9399999999,2954105.6899999995,11751955.0599999987,
FS(117),3193991.8500000001,3106121.6000000001,2557573.3800000004,2968136.4200000004,11825823.2500000000,
FS(118),3190179.9400000004,3096650.9499999997,2556386.2999999998,2971254.3599999999,11814471.5499999989,
FS(119),3220899.4499999997,3076627.2900000000,2568850.6400000001,2989516.5799999996,11855893.9599999990,
FS(120),3240855.9199999999,3116674.6099999999,2558760.4600000000,3155880.9499999997,12072171.9399999995,
FS(121),3221796.3700000001,3127498.2099999995,2566476.4800000000,3136727.8900000001,12052498.9500000011,
FS(122),3224262.8999999999,3134533.5499999998,2552825.0600000001,3137396.0200000000,12049017.5299999993,
FS(123),3221123.6800000002,3128039.3899999997,2561134.6200000001,3116461.2800000003,12026758.9699999988,
