代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12110736.6899999995
真實報酬,2110736.6899999995
趨勢值,0.1745853270

選擇檔數,6
找到最佳解世代,2102
找到最佳解實驗,1
Stock#,AAPL,DIS,KO,MCD,V,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,15222,16845,41490,14068,22095,23583,
剩餘資金,9.2200000001,21.7000000000,12.6999999999,30.0400000000,40.1499999998,55.3900000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1672907.0200000000,1659254.2000000000,1674549.0999999999,1663430.3599999999,1673073.5499999998,1671618.4299999997,10014836.6600000001,
FS(3),1660881.6399999999,1683847.8999999999,1685336.4999999998,1678201.7600000000,1708204.5999999999,1649450.4099999999,10065926.8099999987,
FS(4),1673668.1200000001,1695639.3999999999,1683262.0000000000,1677639.0400000000,1703785.5999999999,1659355.2699999998,10093353.4299999997,
FS(5),1690107.8799999999,1718043.2499999998,1713134.7999999998,1687064.6000000001,1752394.5999999999,1665015.1899999997,10225764.3199999984,
FS(6),1706699.8600000001,1741457.7999999998,1700272.8999999999,1694520.6400000001,1751731.7500000000,1658883.6099999999,10253570.5600000005,
FS(7),1734556.1200000001,1766388.3999999999,1742592.7000000000,1705915.7200000002,1748638.4500000000,1652752.0299999998,10350847.4199999999,
FS(8),1724661.8199999998,1752912.3999999999,1738443.7000000000,1712668.3599999999,1734497.6499999999,1690249.0000000000,10353436.9299999997,
FS(9),1753431.3999999999,1749374.9500000000,1732635.0999999999,1725892.2800000000,1749964.1499999999,1693314.7899999998,10404616.6699999999,
FS(10),1753431.3999999999,1752743.9500000000,1709815.6000000001,1728143.1600000001,1748417.4999999998,1682466.6099999999,10375022.2200000007,
FS(11),1763021.2599999998,1758471.2500000000,1723922.1999999997,1721390.5200000000,1756592.6499999999,1676335.0299999998,10399736.9100000001,
FS(12),1765304.5600000001,1750385.6499999999,1731805.3000000000,1733770.3599999999,1731183.3999999997,1673976.7300000000,10386429.9999999981,
FS(13),1775503.3000000000,1773800.2000000000,1728901.0000000000,1730253.3599999999,1725659.6499999997,1688126.5299999998,10422248.0399999991,
FS(14),1780222.1200000001,1776495.3999999999,1728486.0999999999,1735036.4800000000,1731404.3499999999,1693786.4499999997,10445434.9000000004,
FS(15),1781896.5400000000,1778179.8999999999,1724752.0000000000,1732926.2800000000,1726543.4500000000,1680108.3099999998,10424410.4800000004,
FS(16),1770175.6000000001,1775821.6000000001,1723922.1999999997,1740523.0000000000,1721240.6500000001,1641196.3599999999,10372883.4100000001,
FS(17),1773676.6599999999,1771273.4500000000,1725996.7000000000,1732363.5600000001,1726764.4000000001,1640017.2100000000,10370095.9800000004,
FS(18),1784940.9399999999,1771610.3500000001,1726411.5999999999,1731378.8000000000,1731183.3999999997,1643790.4900000000,10389319.5799999982,
