代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12232283.3799999990
真實報酬,2232283.3799999990
趨勢值,0.1459885142

選擇檔數,6
找到最佳解世代,2487
找到最佳解實驗,1
Stock#,AAPL,BA,KO,MCD,MMM,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,12944,10164,40394,13614,9514,10243,
剩餘資金,126.0000000000,74.9200000000,9.5600000001,40.1200000000,98.6200000001,27.4699999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,9999999.9999999981,
FS(2),1663818.3200000001,1649285.5599999998,1672321.1599999999,1677557.2000000000,1657247.1400000001,1646692.1499999999,9966925.5299999993,
FS(3),1670937.5200000003,1650708.5200000000,1677976.3200000001,1691443.4799999997,1665429.1799999999,1658061.8800000001,10014560.8999999985,
FS(4),1686599.7600000000,1666767.6399999999,1678784.2000000002,1694302.4199999999,1666000.0200000000,1644131.3999999999,10036589.4399999995,
FS(5),1702650.3200000001,1692380.9199999999,1692518.1599999999,1696208.3799999999,1672279.2600000000,1644336.2600000000,10100377.2999999989,
FS(6),1709251.7600000000,1665039.7600000000,1697365.4400000002,1697297.5000000000,1684742.6000000001,1642082.8000000000,10095783.8599999994,
FS(7),1714170.4799999997,1669816.8399999999,1666262.0600000001,1694710.8399999999,1695303.1400000001,1643414.3899999999,10083681.7500000000,
FS(8),1710287.2800000000,1689636.6399999999,1639198.0800000001,1712953.5999999999,1703104.6200000001,1646589.7200000000,10101773.9399999995,
FS(9),1725431.7600000000,1707931.8399999999,1640813.8399999999,1709141.6799999999,1722322.9000000001,1659291.0400000000,10164937.0600000005,
FS(10),1747824.8800000001,1712708.9199999999,1637178.3800000001,1712817.4600000000,1727841.0200000000,1670968.0599999998,10209342.7199999988,
FS(11),1754167.4399999999,1720840.1200000001,1633542.9199999999,1721938.8399999999,1728792.4199999999,1682849.9399999999,10242135.6799999997,
FS(12),1752096.3999999999,1736187.7600000000,1664242.3600000001,1724933.9199999999,1745061.3600000001,1676294.4199999999,10298820.2199999988,
FS(13),1756885.6799999999,1755499.3600000001,1665454.1799999999,1739909.3199999998,1740684.9199999999,1614529.1300000001,10272966.5899999999,
FS(14),1769570.7999999998,1784466.7600000000,1674744.8000000000,1743176.6799999997,1744680.8000000000,1644745.9800000000,10361389.8199999984,
FS(15),1774877.8400000001,1782433.9600000000,1680399.9600000002,1740590.0199999998,1770083.1799999999,1644745.9800000000,10393134.9399999995,
FS(16),1767370.3200000001,1797679.9600000000,1682823.5999999999,1746307.8999999999,1781024.2800000000,1665539.2700000000,10440749.3300000001,
FS(17),1769053.0400000000,1803575.0799999998,1687670.8800000001,1751481.2200000000,1783117.3600000001,1670251.0500000000,10465152.6299999990,
FS(18),1772547.9200000002,1823801.4399999999,1683227.5400000000,1728881.9799999997,1778360.3600000001,1694014.8099999998,10480838.0500000007,
FS(19),1773324.5600000001,1831932.6399999999,1694941.8000000000,1737867.2200000000,1773032.5200000000,1694014.8099999998,10505117.5499999989,
FS(20),1809567.7600000000,1869336.1599999999,1703020.5999999999,1756926.8200000001,1806426.6600000001,1720236.8899999999,10665518.8900000006,
FS(21),1798824.2400000000,1859985.2800000000,1715542.7400000000,1745763.3399999999,1806712.0800000001,1713783.8000000000,10640615.4799999986,
FS(22),1809438.3200000001,1851752.4399999999,1715946.6799999999,1741270.7200000000,1801193.9600000002,1722900.0699999998,10642506.1899999995,
FS(23),1803742.9600000000,1839047.4399999999,1703828.4800000000,1743040.5399999998,1797293.2200000002,1728021.5699999998,10614978.2099999990,
FS(24),1806072.8800000001,1850126.2000000000,1696153.6200000001,1743585.0999999999,1799100.8800000001,1723924.3700000001,10618967.0500000007,
FS(25),1799342.0000000000,1847280.2800000000,1696153.6200000001,1743857.3799999999,1803096.7600000000,1719929.5999999999,10609663.6400000006,
FS(26),1795199.9200000002,1835388.3999999999,1697769.3800000001,1744538.0799999996,1806807.2200000002,1720953.8999999999,10600660.8999999985,
FS(27),1801154.1599999999,1816381.7199999997,1708271.8200000001,1742359.8399999999,1819270.5600000003,1741132.6099999999,10628574.7099999990,
FS(28),1801930.7999999998,1819939.1200000001,1697769.3800000001,1737322.6599999999,1822219.9000000001,1743488.5000000000,10622674.3599999994,
FS(29),1799212.5600000001,1816686.6399999999,1695345.7400000000,1739909.3199999998,1810898.2400000002,1731709.0500000000,10593765.5500000007,
FS(30),1818240.2400000000,1816483.3600000001,1701404.8399999999,1740998.4399999997,1819175.4199999999,1759570.0100000000,10655876.3099999987,
FS(31),1821217.3599999999,1811198.0799999998,1706656.0600000001,1742359.8399999999,1810707.9600000002,1754653.3700000001,10646796.6699999999,
FS(32),1812156.5600000001,1830611.3199999998,1697769.3800000001,1751345.0799999996,1830211.6600000001,1738264.5699999998,10660362.5700000003,
