代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11154425.0800000001
真實報酬,1154425.0800000001
趨勢值,0.1000355511

選擇檔數,5
找到最佳解世代,2015
找到最佳解實驗,1
Stock#,AAPL,DIS,JNJ,MCD,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,14307,18011,16147,15497,11909,
剩餘資金,24.4700000001,58.5599999999,32.5800000000,112.1499999998,2.5400000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000019,
FS(2),1988125.1900000004,1991895.0499999998,1996286.1899999999,1987292.4599999997,1992497.3300000001,9956096.2200000007,
FS(3),1999856.9300000002,2003602.1999999997,1998869.7100000002,1982178.4500000000,2003096.3399999999,9987603.6300000008,
FS(4),1993561.8500000003,1993335.9299999999,1997577.9500000000,1984193.0599999998,2009050.8399999999,9977719.6300000008,
FS(5),1996137.1100000003,1996758.0199999998,1999515.5900000001,1984812.9399999997,2004287.2400000002,9981510.9000000004,
FS(6),1988697.4700000002,1996397.7999999998,2003875.2800000000,1985122.8799999999,1999642.7300000000,9973736.1600000020,
FS(7),1984119.2300000002,1999819.8899999999,2033747.2300000002,1985897.7299999997,2000833.6299999999,10004417.7100000009,
FS(8),1990700.4500000000,1997838.6799999999,2037945.4500000000,1983418.2100000000,2024294.3599999999,10034197.1500000004,
FS(9),1991558.8700000001,2008645.2799999998,2045534.5400000003,1977684.3199999998,2027033.4300000002,10050456.4400000013,
FS(10),1988554.4000000004,2022873.9700000000,2051508.9299999999,1980628.7499999998,2013338.0800000001,10056904.1300000008,
FS(11),2009585.6900000004,2014949.1299999999,2082349.7000000002,1981868.5099999998,2045730.5600000001,10134483.5900000017,
FS(12),2012876.3000000003,2012067.3699999996,2074276.2000000002,1983418.2100000000,2040014.2400000002,10122652.3200000022,
FS(13),2002861.4000000004,2012967.9199999999,2067817.4000000001,1993646.2299999997,2020959.8399999999,10098252.7900000010,
FS(14),2023892.6900000004,2030078.3699999996,2067978.8699999999,1995815.8099999998,2000714.5400000000,10118480.2800000012,
FS(15),2000715.3500000003,2012787.8099999998,2054738.3300000001,1991786.5900000001,1997141.8399999999,10057169.9200000018,
FS(16),2023320.4099999999,2018731.4399999997,2038752.8000000000,2000774.8499999999,1989162.8100000001,10070742.3100000005,
FS(17),2016166.9099999999,2021613.1999999997,2032939.8800000001,1999225.1499999999,1968441.1499999999,10038386.2900000010,
FS(18),2012160.9500000000,2019812.0999999999,2026158.1400000001,2004494.1299999999,1964987.5400000000,10027612.8600000013,
