代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11625148.3300000019
真實報酬,1625148.3300000019
趨勢值,0.1888209745

選擇檔數,8
找到最佳解世代,2868
找到最佳解實驗,1
Stock#,AXP,BA,HD,JNJ,MCD,MRK,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,15776,6853,8105,10134,8855,20038,7159,13697,
剩餘資金,67.5199999999,81.3300000001,127.9499999999,72.4400000000,116.7499999999,29.5599999999,110.1900000000,11.7799999999,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1254890.5600000001,1257195.6500000001,1255997.7000000000,1253648.2400000000,1250708.3999999999,1256412.1600000001,1246778.4500000000,1267532.1600000001,10043163.3200000003,
FS(3),1243689.6000000001,1256853.0000000000,1256402.9500000000,1249898.6599999999,1263016.8500000001,1275047.5000000000,1235324.0499999998,1266162.4600000000,10046395.0699999984,
FS(4),1235801.6000000001,1254660.0400000000,1255268.2500000000,1256181.7400000000,1270366.5000000000,1270038.0000000000,1245919.3700000001,1268627.9200000002,10056863.4200000018,
FS(5),1235643.8399999999,1267954.8600000001,1262319.5999999999,1251722.7800000000,1274882.5500000000,1281860.4199999999,1246635.2700000000,1261368.5100000000,10082387.8300000001,
FS(6),1233119.6799999999,1274876.3900000001,1271721.3999999999,1249087.9399999999,1277361.9500000002,1282661.9400000002,1248926.1499999999,1259040.0200000000,10096795.4700000007,
FS(7),1237536.9600000000,1280975.5600000001,1278124.3500000001,1248682.5799999998,1278424.5500000000,1268234.5800000001,1240335.3500000001,1260135.7800000000,10092449.7099999990,
FS(8),1240849.9200000002,1255413.8700000001,1281771.5999999999,1244628.9800000000,1279841.3500000001,1281259.2800000000,1241409.2000000000,1263560.0300000000,10088734.2299999986,
FS(9),1229333.4399999999,1260622.1500000001,1266128.9500000000,1248581.2400000000,1277096.3000000000,1291077.9000000001,1240908.0699999998,1261505.4800000000,10075253.5299999993,
FS(10),1222549.7600000000,1255893.5800000001,1271964.5499999998,1253040.2000000000,1287279.5500000000,1273845.2200000000,1230097.9800000000,1270134.5900000001,10064805.4299999997,
FS(11),1235801.6000000001,1250000.0000000000,1275287.6000000001,1286989.0999999999,1295426.1499999999,1272642.9399999999,1228093.4600000000,1276983.0900000001,10121223.9399999995,
FS(12),1232646.3999999999,1252124.4299999999,1282825.2499999998,1294893.6199999999,1304369.7000000000,1278253.5800000001,1203681.2700000000,1275887.3300000001,10124681.5800000001,
FS(13),1204880.6400000001,1225260.6700000002,1265237.3999999999,1283746.2200000000,1296577.3000000000,1262423.5600000001,1208978.9299999999,1256848.5000000000,10003953.2200000007,
