代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12356018.6699999999
真實報酬,2356018.6699999999
趨勢值,0.2016848223

選擇檔數,6
找到最佳解世代,2372
找到最佳解實驗,3
Stock#,AXP,BA,MCD,PFE,UNH,V,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,21291,8897,10936,50952,9280,17470,
剩餘資金,6.5200000000,79.9600000001,128.9600000001,26.0800000000,163.5999999999,27.9999999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1671137.1099999999,1692556.2699999998,1681429.6000000003,1658004.1599999997,1664902.7999999998,1679768.5000000000,10047802.4399999995,
FS(3),1681356.7900000000,1681168.1099999999,1671040.4000000001,1648323.2800000000,1664717.2000000000,1686756.5000000000,10033366.2799999975,
FS(4),1678801.8699999999,1661594.7100000000,1653980.2400000000,1634056.7200000000,1678173.1999999997,1673479.3000000000,9980090.0399999991,
FS(5),1699241.2300000000,1673605.6599999999,1661744.8000000003,1630490.0799999998,1700352.3999999999,1678720.3000000000,10044158.4699999988,
FS(6),1702221.9700000000,1689887.1699999999,1656167.4400000002,1617752.0799999998,1686246.7999999998,1678720.3000000000,10030999.7599999998,
FS(7),1709886.7300000000,1690776.8699999999,1656714.2400000000,1669723.1200000001,1684112.3999999999,1651991.2000000000,10063208.5599999987,
FS(8),1706905.9900000000,1690509.9600000000,1623796.8800000001,1666156.4800000000,1663603.5999999999,1633473.0000000000,9984449.9099999983,
FS(9),1715848.2100000002,1700207.6899999999,1638560.4800000002,1660042.2399999998,1680307.5999999999,1661075.5999999999,10056045.8200000003,
FS(10),1721170.9600000002,1711684.8199999998,1647965.4400000002,1665646.9599999997,1692464.3999999999,1665268.3999999999,10104204.9800000004,
FS(11),1718190.2200000000,1738998.6099999999,1653324.0800000001,1671761.2000000000,1674089.9999999998,1645177.9000000001,10101546.0099999998,
FS(12),1734158.4700000000,1747806.6399999999,1662291.6000000003,1679913.5199999998,1685689.9999999998,1645177.9000000001,10155042.1299999990,
FS(13),1743313.5999999999,1771294.7200000000,1674868.0000000000,1692651.5199999998,1698589.2000000000,1656009.3000000000,10236730.3399999999,
FS(14),1756726.9300000002,1764621.9700000000,1685038.4800000002,1709975.2000000000,1700909.2000000000,1648846.5999999999,10266122.3799999990,
FS(15),1750339.6299999999,1772095.4500000000,1681320.2400000000,1726279.8400000001,1716221.1999999997,1651641.8000000000,10297902.1600000001,
FS(16),1751191.2700000000,1774497.6399999999,1693021.7600000002,1735451.2000000000,1730883.5999999999,1641334.5000000000,10326383.9700000007,
FS(17),1750552.5400000000,1799320.2699999998,1691272.0000000000,1741055.9199999999,1719283.5999999999,1669810.5999999999,10371298.9299999997,
FS(18),1766307.8799999999,1779302.0199999998,1683835.5200000003,1734432.1599999997,1718077.2000000000,1663521.3999999999,10345480.1799999997,
FS(19),1768862.8000000000,1769604.2899999998,1681210.8800000001,1720675.1200000001,1713251.5999999999,1657931.0000000000,10311539.6899999995,
FS(20),1787811.7900000000,1776099.1000000001,1687553.7600000002,1719656.0799999998,1723459.5999999999,1681166.1000000001,10375750.4299999978,
FS(21),1780572.8499999999,1756881.5800000001,1674758.6400000001,1713541.8400000001,1719469.2000000000,1649545.4000000001,10294773.5099999998,
FS(22),1793560.3599999999,1759461.7100000000,1675086.7200000002,1711503.7600000000,1720861.1999999997,1638364.6000000001,10298842.3499999996,
FS(23),1811870.6199999999,1766935.1899999999,1667868.9600000002,1723222.7200000000,1732275.5999999999,1630852.5000000000,10333029.5899999999,
FS(24),1807399.5100000000,1795583.5300000000,1674102.4800000002,1714051.3599999999,1747123.5999999999,1642382.7000000002,10380647.1799999978,
FS(25),1782914.8599999999,1792647.5199999998,1674321.2000000002,1692651.5199999998,1734966.7999999998,1629105.5000000000,10306611.3999999985,
FS(26),1795476.5500000000,1800565.8500000001,1709097.6800000004,1699275.2800000000,1744432.3999999999,1640810.4000000001,10389662.1600000001,
FS(27),1794837.8200000001,1814712.0800000001,1700895.6800000004,1702332.3999999997,1735059.5999999999,1661250.3000000000,10409091.8799999990,
FS(28),1791857.0799999998,1835264.1500000001,1694224.7200000002,1690103.9199999999,1725779.5999999999,1666840.7000000000,10404074.1699999981,
FS(29),1805909.1399999999,1836776.6399999999,1712487.8400000003,1692651.5199999998,1732646.7999999998,1680292.6000000001,10460768.5399999972,
FS(30),1817619.1900000002,1834908.2699999998,1695646.4000000001,1695708.6399999999,1721417.9999999998,1676099.8000000000,10441404.3000000007,
FS(31),1815703.0000000000,1855193.4299999999,1698271.0400000003,1703351.4399999997,1734595.5999999999,1693395.1000000001,10500513.6099999994,
FS(32),1814425.5400000000,1859552.9600000000,1698052.3200000001,1694180.0799999998,1729491.5999999999,1691648.0999999999,10487354.5999999978,
FS(33),1820812.8399999999,1852791.2400000000,1683835.5200000003,1699784.7999999998,1734131.5999999999,1704750.5999999999,10496110.5999999978,
FS(34),1829542.1500000001,1876279.3199999998,1683070.0000000000,1713032.3199999996,1755846.7999999998,1716455.5000000000,10574230.0899999999,
FS(35),1817193.3699999999,1870941.1199999999,1686569.5200000003,1708956.1599999997,1777283.5999999999,1714009.7000000000,10574957.4699999988,
FS(36),1822303.2100000002,1887489.5399999998,1683398.0800000001,1705899.0399999996,1779881.9999999998,1740040.0000000000,10619015.8699999992,
FS(37),1809741.5200000000,1887845.4199999999,1660760.5600000001,1697746.7200000000,1771622.7999999998,1753491.9000000001,10581212.9199999981,
FS(38),1818470.8299999998,1890336.5800000001,1739718.4800000002,1686537.2800000000,1767075.5999999999,1746853.2999999998,10648996.0700000003,
FS(39),1816128.8200000001,2077084.6099999999,1711722.3200000001,1675837.3599999999,1770323.5999999999,1761877.5000000000,10812978.2099999990,
FS(40),1785256.8699999999,2144256.9600000000,1716534.1600000001,1681442.0799999998,1753434.0000000000,1739515.8999999999,10820443.9699999988,
FS(41),1805483.3200000001,2146659.1499999999,1704504.5600000001,1689084.8799999997,1774035.5999999999,1732178.5000000000,10851950.0099999998,
FS(42),1814638.4500000002,2157246.5800000001,1696740.0000000000,1689594.3999999997,1780160.3999999999,1739341.2000000000,10877725.0299999975,
FS(43),1814851.3599999999,2130377.6400000001,1684710.4000000001,1685518.2399999998,1784057.9999999998,1762226.9000000001,10861746.5399999991,
FS(44),1816128.8200000001,2117121.1099999999,1712597.2000000002,1677365.9199999999,1791203.5999999999,1769389.6000000001,10883810.2499999981,
FS(45),1821238.6600000001,2119790.2100000000,1692146.8800000001,1703351.4399999997,1807629.2000000000,1757335.3000000000,10901495.6900000013,
FS(46),1830393.7900000000,2114985.8300000001,1682304.4800000002,1714051.3599999999,1808649.9999999998,1762576.3000000000,10912965.7599999998,
FS(47),1827838.8699999999,2137406.2700000000,1694880.8800000001,1697237.2000000000,1807721.9999999998,1773058.2999999998,10938147.5199999996,
FS(48),1829755.0600000001,2130911.4600000000,1694334.0800000001,1695708.6399999999,1808835.5999999999,1769389.6000000001,10928938.4399999995,
FS(49),1824432.3100000001,2084736.0300000000,1694334.0800000001,1704370.4800000000,1808186.0000000000,1763973.8999999999,10880036.7999999989,
FS(50),1800373.4800000000,2072013.3199999998,1712925.2800000003,1702841.9199999999,1787213.1999999997,1738118.2999999998,10813489.5000000000,
FS(51),1794624.9100000001,2089807.3199999998,1720361.7600000002,1694180.0799999998,1791389.2000000000,1748600.3000000000,10838967.5700000003,
FS(52),1819748.2900000000,2110003.5100000002,1719924.3200000001,1697237.2000000000,1797792.3999999999,1779696.9000000001,10924406.6200000010,
FS(53),1847852.4100000001,2127975.4499999997,1723861.2800000003,1700803.8400000001,1805123.5999999999,1792974.0999999999,10998594.6799999997,
FS(54),1860627.0100000000,2113918.1899999999,1737859.3600000003,1699784.7999999998,1798349.2000000000,1805028.3999999999,11015570.9599999990,
FS(55),1832948.7100000002,2096124.1899999999,1726814.0000000000,1678894.4800000000,1788419.5999999999,1784763.2000000000,10907968.1799999978,
FS(56),1817832.0999999999,2097725.6499999999,1725392.3200000001,1664627.9199999999,1770973.1999999997,1790877.7000000002,10867432.8899999987,
FS(57),1816128.8200000001,2096924.9199999999,1731953.9200000004,1669213.5999999996,1782201.9999999998,1803281.3999999999,10899708.6600000001,
FS(58),1816128.8200000001,2133135.7100000000,1745952.0000000000,1689084.8799999997,1807814.7999999998,1818130.8999999999,11010251.1099999994,
FS(59),1815703.0000000000,2118366.6899999999,1736875.1200000001,1693670.5600000001,1802710.8000000000,1802582.6000000001,10969912.7699999996,
FS(60),1817406.2800000000,2124149.7400000002,1732500.7200000002,1693161.0399999996,1807443.5999999999,1803281.3999999999,10977946.7799999993,
FS(61),1819748.2900000000,2098793.2900000000,1736984.4800000002,1701313.3599999999,1803824.3999999999,1805552.5000000000,10966220.3200000003,
FS(62),1818470.8299999998,2110270.4199999999,1746280.0800000001,1705389.5199999998,1810598.7999999998,1813064.6000000001,11004078.2499999981,
FS(63),1818683.7400000000,2139719.4900000002,1743108.6400000001,1706918.0799999998,1825817.9999999998,1812889.8999999999,11047141.8499999996,
FS(64),1824432.3100000001,2139452.5800000001,1744749.0400000003,1704370.4800000000,1817929.9999999998,1812191.1000000001,11043129.5099999998,
FS(65),1833161.6199999999,2132334.9800000000,1749560.8800000001,1728317.9199999999,1845955.5999999999,1808522.3999999999,11097857.4000000004,
FS(66),1834013.2600000000,2138295.9700000002,1747811.1200000001,1730356.0000000000,1853843.5999999999,1815161.0000000000,11119484.9499999993,
FS(67),1816341.7300000000,2108668.9600000000,1740046.5600000001,1722203.6799999997,1849760.3999999999,1799612.7000000002,11036638.0299999975,
FS(68),1814638.4500000002,2087494.1000000001,1730422.8800000001,1731884.5600000001,1841129.9999999998,1802582.6000000001,11008156.5899999999,
FS(69),1797179.8299999998,2102530.0299999998,1748795.3600000003,1731884.5600000001,1839181.1999999997,1826691.2000000000,11046266.1799999997,
FS(70),1793773.2700000000,2124505.6200000001,1746717.5200000003,1737489.2800000000,1835283.5999999999,1824420.1000000001,11062193.3900000006,
FS(71),1824432.3100000001,2140609.1899999999,1766621.0400000003,1748698.7200000000,1852266.0000000000,1854468.5000000000,11187099.7599999979,
FS(72),1842742.5700000001,2140520.2200000002,1709753.8400000003,1802198.3199999996,1832685.2000000000,1855516.7000000000,11183420.8499999996,
FS(73),1844658.7600000000,2152531.1699999999,1717080.9600000002,1786403.2000000000,1840666.0000000000,1848878.0999999999,11190222.1899999995,
FS(74),1835077.8100000001,2181891.2700000000,1717080.9600000002,1820541.0399999996,1835097.9999999998,1853245.5999999999,11242938.6799999978,
FS(75),1852110.6099999999,2215432.9600000000,1716206.0800000001,1801688.7999999998,1839274.0000000000,1839619.0000000000,11264335.4499999993,
FS(76),1870846.6900000002,2251732.7200000002,1713581.4400000002,1811369.6799999997,1839366.7999999998,1831408.0999999999,11318309.4299999978,
FS(77),1894905.5200000000,2246216.5800000001,1721783.4400000002,1806274.4800000000,1806515.5999999999,1841540.7000000000,11317240.3200000003,
FS(78),1882769.6500000001,2272907.5800000001,1748576.6400000001,1833788.5600000001,1816723.5999999999,1841540.7000000000,11396310.7299999986,
FS(79),1882556.7400000000,2278067.8400000003,1739281.0400000003,1832769.5199999998,1811712.3999999999,1839793.7000000000,11384185.2399999984,
FS(80),1882130.9200000002,2281715.6099999999,1737968.7200000002,1832260.0000000000,1791481.9999999998,1844161.2000000000,11369722.4499999974,
FS(81),1878085.6299999999,2262765.0000000000,1708988.3200000001,1809331.5999999996,1779603.5999999999,1799787.3999999999,11238565.5499999989,
FS(82),1888305.3100000001,2257248.8599999999,1677164.5600000001,1798631.6799999997,1788419.5999999999,1798389.8000000000,11208163.8099999987,
FS(83),1905338.1099999999,2271306.1200000001,1684819.7600000002,1806274.4800000000,1805030.8000000000,1814986.3000000000,11287759.5700000003,
FS(84),1919177.2600000000,2262320.1499999999,1722439.6000000003,1813917.2800000000,1819971.5999999999,1827040.5999999999,11364870.4899999984,
FS(85),1925990.3799999999,2261786.3300000001,1713581.4400000002,1819012.4800000000,1817651.5999999999,1827040.5999999999,11365066.8299999982,
FS(86),1927693.6600000001,2277622.9900000002,1716643.5200000003,1837864.7200000000,1832406.7999999998,1842064.8000000000,11434300.4900000002,
FS(87),1946642.6500000001,2272907.5800000001,1715549.9200000004,1841431.3599999999,1843449.9999999998,1844685.3000000000,11464670.8100000005,
FS(88),1937700.4300000002,2275576.6799999997,1719377.5200000003,1832260.0000000000,1860617.9999999998,1839793.7000000000,11465330.3299999982,
FS(89),1940894.0799999998,2303424.2900000000,1736765.7600000002,1834298.0799999998,1836675.5999999999,1856040.7999999998,11508102.6099999994,
FS(90),1949197.5700000001,2300666.2199999997,1745514.5600000001,1836845.6799999997,1838160.3999999999,1864601.1000000001,11534989.5299999975,
FS(91),1952178.3100000001,2298975.7900000000,1751201.2800000003,1841431.3599999999,1821827.5999999999,1869492.7000000002,11535111.0399999991,
FS(92),1956436.5100000000,2321574.1699999999,1756231.8400000003,1854678.8799999997,1806794.0000000000,1874733.7000000000,11570453.0999999978,
FS(93),1957926.8799999999,2326111.6400000001,1784337.3600000003,1857226.4800000000,1812176.3999999997,1894474.8000000000,11632257.5600000005,
FS(94),1950475.0300000000,2330293.2300000000,1792648.7200000002,1852131.2800000000,1790461.1999999997,1888709.7000000000,11604723.1599999983,
FS(95),1977088.7800000000,2319883.7400000002,1808615.2800000003,1851621.7600000000,1786749.2000000000,1898318.2000000000,11642280.9599999990,
FS(96),1957926.8799999999,2311075.7100000000,1804678.3200000001,1833279.0399999996,1793059.5999999999,1892029.0000000000,11592052.5499999989,
FS(97),1952178.3100000001,2301022.1000000001,1808943.3600000003,1844488.4800000000,1892262.7999999998,1878751.8000000000,11677650.8499999996,
FS(98),1960481.8000000000,2313655.8400000003,1812989.6800000004,1825636.2399999998,1904697.9999999998,1883294.0000000000,11700759.5599999987,
FS(99),1956649.4200000002,2304758.8400000003,1820972.9600000002,1846526.5600000001,1886323.5999999999,1869667.3999999999,11684902.7800000012,
FS(100),1960694.7100000002,2355560.7100000000,1818785.7600000002,1855697.9199999999,1925670.8000000000,1878926.5000000000,11795340.3999999985,
FS(101),1966869.0999999999,2333941.0000000000,1786415.2000000002,1854678.8799999997,1921216.3999999997,1878577.1000000001,11741701.6799999997,
FS(102),1998379.7800000000,2366681.9600000000,1792320.6400000001,1848055.1200000001,1931795.5999999999,1893950.7000000000,11831187.7999999989,
FS(103),1991353.7500000000,2299242.7000000002,1789039.8400000003,1842450.3999999997,1926320.3999999999,1912818.2999999998,11761229.3899999987,
FS(104),2037342.3100000001,2306805.1499999999,1793742.3200000001,1821050.5600000001,1941075.5999999999,1918234.0000000000,11818253.9399999995,
FS(105),2039471.4100000001,2281804.5799999996,1808834.0000000000,1813917.2800000000,1973091.5999999999,1916661.7000000000,11833784.5699999984,
FS(106),2024141.8899999999,2306627.2100000000,1818020.2400000000,1790988.8799999997,1943302.7999999998,1922426.8000000000,11805511.8200000003,
FS(107),2033722.8399999999,2295328.0200000000,1825456.7200000002,1786403.2000000000,1951005.2000000000,1921378.6000000001,11813298.5799999982,
FS(108),2039471.4100000001,2299954.4600000000,1819551.2800000003,1796593.5999999996,1944601.9999999998,1940420.8999999999,11840597.6500000004,
FS(109),2043516.7000000002,2336699.0699999998,1838470.5600000001,1806784.0000000000,1959171.5999999999,1938848.6000000001,11923494.5299999975,
FS(110),2053097.6500000001,2328869.7100000000,1844485.3600000003,1811369.6799999997,1975597.2000000000,1945487.2000000000,11958910.7999999989,
FS(111),2050116.9100000001,2349510.7500000000,1860014.4800000002,1799650.7200000000,1968637.2000000000,1955270.4000000001,11983204.4599999990,
FS(112),2030529.1900000002,2367838.5699999998,1867669.6800000004,1801688.7999999998,1974019.5999999999,1958240.3000000000,11999990.1399999987,
FS(113),2025419.3499999999,2362856.2500000000,1860342.5600000001,1800669.7600000000,1956109.2000000000,1964878.8999999999,11970280.0199999996,
FS(114),1996037.7700000000,2337321.8599999999,1826440.9600000002,1793536.4800000000,1963440.3999999999,1959113.8000000000,11875895.2699999996,
FS(115),1991140.8399999999,2320862.4100000001,1811021.2000000002,1792517.4399999997,1958893.1999999997,1954571.5999999999,11829010.6899999995,
FS(116),1999231.4200000002,2334830.7000000002,1830487.2800000003,1798631.6799999997,1973648.3999999999,1946186.0000000000,11883019.4800000004,
FS(117),1996250.6800000002,2328958.6799999997,1838579.9200000004,1802707.8400000001,1964832.3999999999,1956318.6000000001,11887652.1199999992,
FS(118),1985605.1800000002,2338745.3799999999,1829940.4800000002,1801688.7999999998,1947664.3999999999,1926095.5000000000,11829743.7399999984,
FS(119),1991992.4800000000,2346218.8599999999,1838361.2000000002,1811879.2000000000,1959449.9999999998,1939547.3999999999,11887453.1399999987,
